2oiuQ_M351.pdb     -388.659427 kBT
2oiuQ_M15.pdb     -631.536011 kBT
2oiuQ_M295.pdb     -383.923304 kBT
2oiuQ_M372.pdb     -403.203630 kBT
2oiuQ_M408.pdb     -387.336277 kBT
2oiuQ_M285.pdb     -390.742175 kBT
2oiuQ_M61.pdb     -493.378602 kBT
2oiuQ_M448.pdb     -369.169944 kBT
2oiuQ_M391.pdb     -367.289136 kBT
2oiuQ_M21.pdb     -540.670270 kBT
2oiuQ_M9.pdb     -611.805854 kBT
2oiuQ_M464.pdb     -405.966243 kBT
2oiuQ_M243.pdb     -454.345606 kBT
2oiuQ_M329.pdb     -388.613167 kBT
2oiuQ_M433.pdb     -397.716924 kBT
2oiuQ_M474.pdb     -371.111082 kBT
2oiuQ_M245.pdb     -380.234920 kBT
2oiuQ_M68.pdb     -527.697039 kBT
2oiuQ_M238.pdb     -359.842178 kBT
2oiuQ_M472.pdb     -382.443466 kBT
2oiuQ_M18.pdb     -580.156691 kBT
2oiuQ_M289.pdb     -379.027213 kBT
2oiuQ_M374.pdb     -350.182084 kBT
2oiuQ_M176.pdb     -417.116648 kBT
2oiuQ_M427.pdb     -370.776566 kBT
2oiuQ_M148.pdb     -431.684227 kBT
2oiuQ_M90.pdb     -477.160144 kBT
2oiuQ_M404.pdb     -415.727466 kBT
2oiuQ_M157.pdb     -416.639887 kBT
2oiuQ_M118.pdb     -419.018870 kBT
2oiuQ_M460.pdb     -350.292150 kBT
2oiuQ_M37.pdb     -508.153728 kBT
2oiuQ_M495.pdb     -422.143784 kBT
2oiuQ_M208.pdb     -412.536266 kBT
2oiuQ_M17.pdb     -559.209404 kBT
2oiuQ_M240.pdb     -434.828590 kBT
2oiuQ_M3.pdb     -621.834058 kBT
2oiuQ_M345.pdb     -362.547880 kBT
2oiuQ_M368.pdb     -411.629026 kBT
2oiuQ_M226.pdb     -424.451027 kBT
2oiuQ_M294.pdb     -417.379212 kBT
2oiuQ_M304.pdb     -385.811247 kBT
2oiuQ_M167.pdb     -414.578562 kBT
2oiuQ_M224.pdb     -397.026512 kBT
2oiuQ_M452.pdb     -419.438163 kBT
2oiuQ_M112.pdb     -456.653349 kBT
2oiuQ_M106.pdb     -441.654719 kBT
2oiuQ_M393.pdb     -363.523044 kBT
2oiuQ_M354.pdb     -364.337767 kBT
2oiuQ_M256.pdb     -389.623918 kBT
2oiuQ_M183.pdb     -414.896441 kBT
2oiuQ_M353.pdb     -357.533928 kBT
2oiuQ_M268.pdb     -415.289235 kBT
2oiuQ_M249.pdb     -384.852453 kBT
2oiuQ_M220.pdb     -423.383876 kBT
2oiuQ_M204.pdb     -467.883663 kBT
2oiuQ_M195.pdb     -396.091617 kBT
2oiuQ_M500.pdb     -384.816468 kBT
2oiuQ_M409.pdb     -362.569894 kBT
2oiuQ_M399.pdb     -419.460697 kBT
2oiuQ_M401.pdb     -389.358308 kBT
2oiuQ_M163.pdb     -411.430336 kBT
2oiuQ_M166.pdb     -418.513116 kBT
2oiuQ_M278.pdb     -468.534653 kBT
2oiuQ_M44.pdb     -461.973730 kBT
2oiuQ_M496.pdb     -405.052282 kBT
2oiuQ_M312.pdb     -407.196915 kBT
2oiuQ_M423.pdb     -418.298034 kBT
2oiuQ_M79.pdb     -454.020803 kBT
2oiuQ_M47.pdb     -536.728163 kBT
2oiuQ_M267.pdb     -404.234317 kBT
2oiuQ_M367.pdb     -408.253825 kBT
2oiuQ_M478.pdb     -428.260186 kBT
2oiuQ_M82.pdb     -420.503798 kBT
2oiuQ_M483.pdb     -406.814452 kBT
2oiuQ_M131.pdb     -483.484654 kBT
2oiuQ_M282.pdb     -371.717218 kBT
2oiuQ_M180.pdb     -480.912444 kBT
2oiuQ_M218.pdb     -451.634839 kBT
2oiuQ_M101.pdb     -494.105008 kBT
2oiuQ_M173.pdb     -422.233096 kBT
2oiuQ_M277.pdb     -425.253014 kBT
2oiuQ_M111.pdb     -452.322305 kBT
2oiuQ_M317.pdb     -369.993742 kBT
2oiuQ_M486.pdb     -410.613094 kBT
2oiuQ_M217.pdb     -419.998916 kBT
2oiuQ_M446.pdb     -370.244571 kBT
2oiuQ_M360.pdb     -398.208307 kBT
2oiuQ_M324.pdb     -408.421027 kBT
2oiuQ_M405.pdb     -401.389331 kBT
2oiuQ_M396.pdb     -380.784804 kBT
2oiuQ_M133.pdb     -470.478476 kBT
2oiuQ_M103.pdb     -475.499452 kBT
2oiuQ_M244.pdb     -412.184177 kBT
2oiuQ_M171.pdb     -419.739841 kBT
2oiuQ_M135.pdb     -429.444849 kBT
2oiuQ_M296.pdb     -401.749151 kBT
2oiuQ_M152.pdb     -470.048274 kBT
2oiuQ_M59.pdb     -445.518693 kBT
2oiuQ_M291.pdb     -418.933252 kBT
2oiuQ_M370.pdb     -351.577223 kBT
2oiuQ_M394.pdb     -384.664997 kBT
2oiuQ_M201.pdb     -429.487104 kBT
2oiuQ_M263.pdb     -434.696484 kBT
2oiuQ_M13.pdb     -645.862173 kBT
2oiuQ_M45.pdb     -498.485729 kBT
2oiuQ_M151.pdb     -456.493751 kBT
2oiuQ_M491.pdb     -391.836271 kBT
2oiuQ_M465.pdb     -384.259875 kBT
2oiuQ_M38.pdb     -539.426501 kBT
2oiuQ_M459.pdb     -358.146041 kBT
2oiuQ_M229.pdb     -454.330831 kBT
2oiuQ_M476.pdb     -330.960646 kBT
2oiuQ_M497.pdb     -397.503550 kBT
2oiuQ_M431.pdb     -391.632172 kBT
2oiuQ_M49.pdb     -506.778232 kBT
2oiuQ_M301.pdb     -397.641477 kBT
2oiuQ_M336.pdb     -372.824226 kBT
2oiuQ_M357.pdb     -382.931865 kBT
2oiuQ_M389.pdb     -372.357303 kBT
2oiuQ_M227.pdb     -374.250271 kBT
2oiuQ_M246.pdb     -387.346702 kBT
2oiuQ_M2.pdb     -630.850294 kBT
2oiuQ_M383.pdb     -365.745994 kBT
2oiuQ_M193.pdb     -455.220632 kBT
2oiuQ_M449.pdb     -420.978965 kBT
2oiuQ_M390.pdb     -394.516596 kBT
2oiuQ_M127.pdb     -440.546786 kBT
2oiuQ_M232.pdb     -393.978741 kBT
2oiuQ_M77.pdb     -523.384298 kBT
2oiuQ_M430.pdb     -388.475857 kBT
2oiuQ_M323.pdb     -424.867020 kBT
2oiuQ_M54.pdb     -528.299441 kBT
2oiuQ_M272.pdb     -375.262292 kBT
2oiuQ_M116.pdb     -407.139737 kBT
2oiuQ_M420.pdb     -378.606454 kBT
2oiuQ_M454.pdb     -411.247567 kBT
2oiuQ_M400.pdb     -372.118147 kBT
2oiuQ_M395.pdb     -404.659835 kBT
2oiuQ_M300.pdb     -386.447268 kBT
2oiuQ_M339.pdb     -395.605267 kBT
2oiuQ_M55.pdb     -495.989787 kBT
2oiuQ_M330.pdb     -388.922771 kBT
2oiuQ_M441.pdb     -388.152676 kBT
2oiuQ_M248.pdb     -419.612466 kBT
2oiuQ_M320.pdb     -404.694171 kBT
2oiuQ_M28.pdb     -523.233936 kBT
2oiuQ_M222.pdb     -387.571092 kBT
2oiuQ_M349.pdb     -395.158510 kBT
2oiuQ_M432.pdb     -338.833760 kBT
2oiuQ_M161.pdb     -393.685811 kBT
2oiuQ_M424.pdb     -341.706607 kBT
2oiuQ_M284.pdb     -426.651444 kBT
2oiuQ_M12.pdb     -611.299909 kBT
2oiuQ_M48.pdb     -486.699799 kBT
2oiuQ_M485.pdb     -383.420686 kBT
2oiuQ_M168.pdb     -389.127672 kBT
2oiuQ_M30.pdb     -529.146244 kBT
2oiuQ_M93.pdb     -443.130079 kBT
2oiuQ_M275.pdb     -417.845952 kBT
2oiuQ_M281.pdb     -430.262465 kBT
2oiuQ_M52.pdb     -482.189212 kBT
2oiuQ_M154.pdb     -430.690001 kBT
2oiuQ_M462.pdb     -401.450563 kBT
2oiuQ_M384.pdb     -389.342946 kBT
2oiuQ_M288.pdb     -416.077258 kBT
2oiuQ_M386.pdb     -386.733151 kBT
2oiuQ_M158.pdb     -441.484844 kBT
2oiuQ_M27.pdb     -568.009387 kBT
2oiuQ_M469.pdb     -370.875662 kBT
2oiuQ_M499.pdb     -393.818033 kBT
2oiuQ_M251.pdb     -440.240527 kBT
2oiuQ_M260.pdb     -420.922453 kBT
2oiuQ_M129.pdb     -389.305496 kBT
2oiuQ_M186.pdb     -437.662905 kBT
2oiuQ_M241.pdb     -405.040396 kBT
2oiuQ_M72.pdb     -490.363768 kBT
2oiuQ_M279.pdb     -427.415006 kBT
2oiuQ_M141.pdb     -454.966686 kBT
2oiuQ_M455.pdb     -348.508725 kBT
2oiuQ_M493.pdb     -411.428081 kBT
2oiuQ_M412.pdb     -380.150723 kBT
2oiuQ_M102.pdb     -447.842232 kBT
2oiuQ_M6.pdb     -624.222320 kBT
2oiuQ_M60.pdb     -471.409048 kBT
2oiuQ_M347.pdb     -375.386299 kBT
2oiuQ_M228.pdb     -388.465997 kBT
2oiuQ_M125.pdb     -386.004963 kBT
2oiuQ_M319.pdb     -399.103108 kBT
2oiuQ_M332.pdb     -462.506297 kBT
2oiuQ_M109.pdb     -437.111969 kBT
2oiuQ_M26.pdb     -545.749988 kBT
2oiuQ_M197.pdb     -426.714689 kBT
2oiuQ_M477.pdb     -377.045163 kBT
2oiuQ_M387.pdb     -407.004821 kBT
2oiuQ_M164.pdb     -411.733001 kBT
2oiuQ_M276.pdb     -418.724257 kBT
2oiuQ_M87.pdb     -497.371748 kBT
2oiuQ_M444.pdb     -415.781831 kBT
2oiuQ_M306.pdb     -414.008230 kBT
2oiuQ_M198.pdb     -391.142631 kBT
2oiuQ_M94.pdb     -454.757216 kBT
2oiuQ_M81.pdb     -461.456914 kBT
2oiuQ_M316.pdb     -421.889944 kBT
2oiuQ_M4.pdb     -633.698637 kBT
2oiuQ_M293.pdb     -392.285205 kBT
2oiuQ_M221.pdb     -441.494021 kBT
2oiuQ_M146.pdb     -474.478945 kBT
2oiuQ_M69.pdb     -496.240409 kBT
2oiuQ_M121.pdb     -434.147987 kBT
2oiuQ_M76.pdb     -504.378192 kBT
2oiuQ.pdb     -651.924481 kBT
2oiuQ_M42.pdb     -526.140944 kBT
2oiuQ_M415.pdb     -345.850822 kBT
2oiuQ_M71.pdb     -508.821747 kBT
2oiuQ_M11.pdb     -614.662575 kBT
2oiuQ_M29.pdb     -509.480861 kBT
2oiuQ_M311.pdb     -414.557623 kBT
2oiuQ_M271.pdb     -404.376130 kBT
2oiuQ_M16.pdb     -621.253232 kBT
2oiuQ_M65.pdb     -475.830525 kBT
2oiuQ_M359.pdb     -403.068630 kBT
2oiuQ_M322.pdb     -402.227534 kBT
2oiuQ_M286.pdb     -337.611644 kBT
2oiuQ_M342.pdb     -370.801159 kBT
2oiuQ_M265.pdb     -423.558703 kBT
2oiuQ_M113.pdb     -453.553202 kBT
2oiuQ_M189.pdb     -450.810700 kBT
2oiuQ_M32.pdb     -514.620065 kBT
2oiuQ_M136.pdb     -420.593708 kBT
2oiuQ_M235.pdb     -430.162294 kBT
2oiuQ_M190.pdb     -402.355695 kBT
2oiuQ_M196.pdb     -413.752012 kBT
2oiuQ_M117.pdb     -415.762678 kBT
2oiuQ_M31.pdb     -546.619444 kBT
2oiuQ_M56.pdb     -449.201444 kBT
2oiuQ_M445.pdb     -399.894300 kBT
2oiuQ_M159.pdb     -427.228375 kBT
2oiuQ_M225.pdb     -429.356412 kBT
2oiuQ_M98.pdb     -480.360676 kBT
2oiuQ_M114.pdb     -463.138165 kBT
2oiuQ_M488.pdb     -387.229767 kBT
2oiuQ_M247.pdb     -366.275380 kBT
2oiuQ_M206.pdb     -430.633216 kBT
2oiuQ_M162.pdb     -418.727432 kBT
2oiuQ_M308.pdb     -390.123765 kBT
2oiuQ_M366.pdb     -390.980996 kBT
2oiuQ_M25.pdb     -573.503532 kBT
2oiuQ_M273.pdb     -420.479505 kBT
2oiuQ_M185.pdb     -425.273358 kBT
2oiuQ_M236.pdb     -423.984935 kBT
2oiuQ_M309.pdb     -377.403532 kBT
2oiuQ_M200.pdb     -430.248182 kBT
2oiuQ_M470.pdb     -346.699127 kBT
2oiuQ_M315.pdb     -380.536950 kBT
2oiuQ_M343.pdb     -435.003801 kBT
2oiuQ_M137.pdb     -364.893495 kBT
2oiuQ_M83.pdb     -461.745806 kBT
2oiuQ_M211.pdb     -409.369302 kBT
2oiuQ_M337.pdb     -427.596744 kBT
2oiuQ_M142.pdb     -432.955326 kBT
2oiuQ_M298.pdb     -436.315668 kBT
2oiuQ_M443.pdb     -380.550700 kBT
2oiuQ_M178.pdb     -431.045428 kBT
2oiuQ_M175.pdb     -402.675297 kBT
2oiuQ_M24.pdb     -585.969122 kBT
2oiuQ_M498.pdb     -419.915686 kBT
2oiuQ_M287.pdb     -418.376385 kBT
2oiuQ_M237.pdb     -401.620983 kBT
2oiuQ_M355.pdb     -424.748660 kBT
2oiuQ_M376.pdb     -384.441296 kBT
2oiuQ_M35.pdb     -557.391916 kBT
2oiuQ_M144.pdb     -415.298927 kBT
2oiuQ_M255.pdb     -455.343877 kBT
2oiuQ_M145.pdb     -432.781030 kBT
2oiuQ_M297.pdb     -443.486001 kBT
2oiuQ_M410.pdb     -417.442459 kBT
2oiuQ_M385.pdb     -401.579575 kBT
2oiuQ_M63.pdb     -469.281250 kBT
2oiuQ_M107.pdb     -418.802648 kBT
2oiuQ_M134.pdb     -419.902800 kBT
2oiuQ_M403.pdb     -392.397019 kBT
2oiuQ_M234.pdb     -424.838691 kBT
2oiuQ_M482.pdb     -355.565980 kBT
2oiuQ_M429.pdb     -384.098481 kBT
2oiuQ_M299.pdb     -382.563874 kBT
2oiuQ_M341.pdb     -392.100192 kBT
2oiuQ_M361.pdb     -416.937044 kBT
2oiuQ_M230.pdb     -402.241213 kBT
2oiuQ_M307.pdb     -392.583721 kBT
2oiuQ_M139.pdb     -472.408056 kBT
2oiuQ_M70.pdb     -477.843522 kBT
2oiuQ_M89.pdb     -461.477369 kBT
2oiuQ_M421.pdb     -375.592101 kBT
2oiuQ_M33.pdb     -530.679691 kBT
2oiuQ_M274.pdb     -404.614877 kBT
2oiuQ_M215.pdb     -398.629353 kBT
2oiuQ_M130.pdb     -423.000048 kBT
2oiuQ_M392.pdb     -378.982786 kBT
2oiuQ_M50.pdb     -534.790498 kBT
2oiuQ_M108.pdb     -454.262087 kBT
2oiuQ_M363.pdb     -398.195137 kBT
2oiuQ_M453.pdb     -382.805458 kBT
2oiuQ_M242.pdb     -431.346086 kBT
2oiuQ_M257.pdb     -436.404215 kBT
2oiuQ_M378.pdb     -410.972999 kBT
2oiuQ_M150.pdb     -417.554584 kBT
2oiuQ_M397.pdb     -359.689430 kBT
2oiuQ_M492.pdb     -399.709607 kBT
2oiuQ_M475.pdb     -366.055827 kBT
2oiuQ_M100.pdb     -437.434641 kBT
2oiuQ_M41.pdb     -540.348018 kBT
2oiuQ_M205.pdb     -425.673091 kBT
2oiuQ_M40.pdb     -547.105967 kBT
2oiuQ_M398.pdb     -387.858056 kBT
2oiuQ_M223.pdb     -401.375453 kBT
2oiuQ_M418.pdb     -389.772958 kBT
2oiuQ_M153.pdb     -438.758436 kBT
2oiuQ_M266.pdb     -449.725023 kBT
2oiuQ_M350.pdb     -377.751859 kBT
2oiuQ_M1.pdb     -622.607723 kBT
2oiuQ_M264.pdb     -431.965430 kBT
2oiuQ_M43.pdb     -541.836809 kBT
2oiuQ_M209.pdb     -435.573488 kBT
2oiuQ_M406.pdb     -415.451045 kBT
2oiuQ_M188.pdb     -422.777861 kBT
2oiuQ_M254.pdb     -399.651272 kBT
2oiuQ_M487.pdb     -429.199617 kBT
2oiuQ_M73.pdb     -464.273378 kBT
2oiuQ_M270.pdb     -393.806784 kBT
2oiuQ_M479.pdb     -361.359624 kBT
2oiuQ_M313.pdb     -394.899633 kBT
2oiuQ_M119.pdb     -444.912646 kBT
2oiuQ_M436.pdb     -353.805486 kBT
2oiuQ_M22.pdb     -581.194563 kBT
2oiuQ_M422.pdb     -386.821519 kBT
2oiuQ_M262.pdb     -419.094698 kBT
2oiuQ_M426.pdb     -397.409678 kBT
2oiuQ_M46.pdb     -491.556400 kBT
2oiuQ_M253.pdb     -400.136329 kBT
2oiuQ_M169.pdb     -390.396336 kBT
2oiuQ_M333.pdb     -435.708763 kBT
2oiuQ_M182.pdb     -498.991002 kBT
2oiuQ_M428.pdb     -411.558350 kBT
2oiuQ_M51.pdb     -473.569397 kBT
2oiuQ_M95.pdb     -494.896507 kBT
2oiuQ_M377.pdb     -398.720487 kBT
2oiuQ_M170.pdb     -396.361221 kBT
2oiuQ_M292.pdb     -424.310396 kBT
2oiuQ_M67.pdb     -475.149384 kBT
2oiuQ_M259.pdb     -395.089524 kBT
2oiuQ_M120.pdb     -410.754410 kBT
2oiuQ_M202.pdb     -449.123995 kBT
2oiuQ_M213.pdb     -409.596075 kBT
2oiuQ_M325.pdb     -439.682507 kBT
2oiuQ_M344.pdb     -396.262562 kBT
2oiuQ_M174.pdb     -483.333244 kBT
2oiuQ_M382.pdb     -393.209805 kBT
2oiuQ_M199.pdb     -436.829096 kBT
2oiuQ_M468.pdb     -348.564653 kBT
2oiuQ_M321.pdb     -449.623439 kBT
2oiuQ_M250.pdb     -398.101041 kBT
2oiuQ_M97.pdb     -509.701396 kBT
2oiuQ_M331.pdb     -384.922123 kBT
2oiuQ_M194.pdb     -400.523435 kBT
2oiuQ_M7.pdb     -629.372457 kBT
2oiuQ_M233.pdb     -407.186975 kBT
2oiuQ_M128.pdb     -455.560665 kBT
2oiuQ_M75.pdb     -547.957325 kBT
2oiuQ_M110.pdb     -443.059969 kBT
2oiuQ_M310.pdb     -379.677943 kBT
2oiuQ_M414.pdb     -388.284662 kBT
2oiuQ_M66.pdb     -482.880207 kBT
2oiuQ_M84.pdb     -487.941599 kBT
2oiuQ_M179.pdb     -389.521897 kBT
2oiuQ_M318.pdb     -380.668352 kBT
2oiuQ_M371.pdb     -376.159047 kBT
2oiuQ_M214.pdb     -364.697957 kBT
2oiuQ_M216.pdb     -409.978104 kBT
2oiuQ_M435.pdb     -390.796615 kBT
2oiuQ_M305.pdb     -382.807648 kBT
2oiuQ_M105.pdb     -426.770506 kBT
2oiuQ_M450.pdb     -392.611071 kBT
2oiuQ_M417.pdb     -407.543390 kBT
2oiuQ_M261.pdb     -418.260415 kBT
2oiuQ_M104.pdb     -367.617454 kBT
2oiuQ_M473.pdb     -429.450699 kBT
2oiuQ_M407.pdb     -376.886678 kBT
2oiuQ_M147.pdb     -484.253891 kBT
2oiuQ_M10.pdb     -634.015143 kBT
2oiuQ_M283.pdb     -379.310054 kBT
2oiuQ_M96.pdb     -472.408906 kBT
2oiuQ_M57.pdb     -520.774450 kBT
2oiuQ_M375.pdb     -361.534462 kBT
2oiuQ_M369.pdb     -354.229532 kBT
2oiuQ_M143.pdb     -470.028454 kBT
2oiuQ_M463.pdb     -347.177135 kBT
2oiuQ_M457.pdb     -354.111417 kBT
2oiuQ_M19.pdb     -597.187261 kBT
2oiuQ_M352.pdb     -395.184577 kBT
2oiuQ_M203.pdb     -418.718614 kBT
2oiuQ_M74.pdb     -455.515084 kBT
2oiuQ_M494.pdb     -376.411596 kBT
2oiuQ_M23.pdb     -569.033090 kBT
2oiuQ_M484.pdb     -371.994666 kBT
2oiuQ_M124.pdb     -414.733446 kBT
2oiuQ_M212.pdb     -418.891531 kBT
2oiuQ_M160.pdb     -404.706432 kBT
2oiuQ_M239.pdb     -431.287073 kBT
2oiuQ_M416.pdb     -400.800086 kBT
2oiuQ_M327.pdb     -420.616841 kBT
2oiuQ_M252.pdb     -393.236764 kBT
2oiuQ_M439.pdb     -401.430168 kBT
2oiuQ_M438.pdb     -352.762950 kBT
2oiuQ_M210.pdb     -419.021439 kBT
2oiuQ_M36.pdb     -541.500366 kBT
2oiuQ_M437.pdb     -405.718903 kBT
2oiuQ_M219.pdb     -429.779715 kBT
2oiuQ_M80.pdb     -452.654271 kBT
2oiuQ_M425.pdb     -377.249963 kBT
2oiuQ_M39.pdb     -502.419071 kBT
2oiuQ_M126.pdb     -452.198097 kBT
2oiuQ_M348.pdb     -376.545417 kBT
2oiuQ_M358.pdb     -431.692531 kBT
2oiuQ_M381.pdb     -353.622942 kBT
2oiuQ_M303.pdb     -372.727203 kBT
2oiuQ_M334.pdb     -413.121337 kBT
2oiuQ_M471.pdb     -343.143597 kBT
2oiuQ_M461.pdb     -376.913887 kBT
2oiuQ_M156.pdb     -468.520227 kBT
2oiuQ_M191.pdb     -438.790019 kBT
2oiuQ_M20.pdb     -570.315900 kBT
2oiuQ_M402.pdb     -369.309563 kBT
2oiuQ_M181.pdb     -404.194481 kBT
2oiuQ_M466.pdb     -387.021234 kBT
2oiuQ_M467.pdb     -361.390257 kBT
2oiuQ_M115.pdb     -423.218909 kBT
2oiuQ_M34.pdb     -578.596643 kBT
2oiuQ_M442.pdb     -352.194539 kBT
2oiuQ_M413.pdb     -403.240525 kBT
2oiuQ_M388.pdb     -401.499707 kBT
