1s03B_M257.pdb     -277.632620 kBT
1s03B_M442.pdb     -233.829372 kBT
1s03B_M354.pdb     -298.385258 kBT
1s03B_M483.pdb     -314.425618 kBT
1s03B_M466.pdb     -296.427618 kBT
1s03B_M365.pdb     -322.944781 kBT
1s03B_M468.pdb     -277.399802 kBT
1s03B_M265.pdb     -280.059614 kBT
1s03B_M76.pdb     -353.273335 kBT
1s03B_M242.pdb     -326.047500 kBT
1s03B_M225.pdb     -269.441050 kBT
1s03B_M297.pdb     -293.665988 kBT
1s03B_M56.pdb     -374.633372 kBT
1s03B_M77.pdb     -328.503962 kBT
1s03B_M98.pdb     -337.821781 kBT
1s03B_M96.pdb     -361.063684 kBT
1s03B_M152.pdb     -337.510550 kBT
1s03B_M130.pdb     -329.962075 kBT
1s03B_M6.pdb     -403.335084 kBT
1s03B_M306.pdb     -288.168658 kBT
1s03B_M384.pdb     -238.923395 kBT
1s03B_M108.pdb     -333.981046 kBT
1s03B_M357.pdb     -279.720870 kBT
1s03B_M482.pdb     -298.200495 kBT
1s03B_M303.pdb     -283.644733 kBT
1s03B_M215.pdb     -276.085990 kBT
1s03B_M87.pdb     -346.157599 kBT
1s03B_M73.pdb     -382.462133 kBT
1s03B_M467.pdb     -252.188949 kBT
1s03B_M355.pdb     -282.801261 kBT
1s03B_M202.pdb     -269.413803 kBT
1s03B_M296.pdb     -266.784696 kBT
1s03B_M135.pdb     -306.482229 kBT
1s03B_M111.pdb     -334.498100 kBT
1s03B_M276.pdb     -294.607875 kBT
1s03B_M10.pdb     -409.803984 kBT
1s03B_M131.pdb     -304.592994 kBT
1s03B_M445.pdb     -283.555767 kBT
1s03B_M290.pdb     -334.509069 kBT
1s03B_M142.pdb     -314.741364 kBT
1s03B_M230.pdb     -301.427031 kBT
1s03B_M61.pdb     -361.598470 kBT
1s03B_M153.pdb     -318.524434 kBT
1s03B_M416.pdb     -267.758576 kBT
1s03B_M434.pdb     -288.605183 kBT
1s03B_M70.pdb     -352.719975 kBT
1s03B_M151.pdb     -287.826288 kBT
1s03B_M167.pdb     -294.182032 kBT
1s03B_M168.pdb     -331.674053 kBT
1s03B_M406.pdb     -303.963738 kBT
1s03B_M121.pdb     -347.909813 kBT
1s03B_M245.pdb     -287.779893 kBT
1s03B_M199.pdb     -294.603007 kBT
1s03B_M420.pdb     -277.274460 kBT
1s03B_M46.pdb     -369.671028 kBT
1s03B_M284.pdb     -299.448621 kBT
1s03B_M166.pdb     -314.043475 kBT
1s03B_M50.pdb     -402.030425 kBT
1s03B_M475.pdb     -273.679546 kBT
1s03B_M123.pdb     -347.575835 kBT
1s03B_M280.pdb     -296.756797 kBT
1s03B_M487.pdb     -248.762319 kBT
1s03B_M206.pdb     -296.784067 kBT
1s03B_M322.pdb     -284.693121 kBT
1s03B_M402.pdb     -299.569042 kBT
1s03B_M122.pdb     -307.466154 kBT
1s03B_M94.pdb     -335.258919 kBT
1s03B_M60.pdb     -369.998947 kBT
1s03B_M239.pdb     -306.197519 kBT
1s03B_M270.pdb     -272.608063 kBT
1s03B_M114.pdb     -319.401659 kBT
1s03B_M241.pdb     -309.850861 kBT
1s03B_M39.pdb     -368.736513 kBT
1s03B_M158.pdb     -339.946597 kBT
1s03B_M40.pdb     -389.676099 kBT
1s03B_M291.pdb     -256.627893 kBT
1s03B_M407.pdb     -236.589069 kBT
1s03B_M211.pdb     -313.322435 kBT
1s03B_M43.pdb     -364.146640 kBT
1s03B_M300.pdb     -296.822812 kBT
1s03B_M181.pdb     -310.528731 kBT
1s03B_M93.pdb     -313.124871 kBT
1s03B_M344.pdb     -278.567216 kBT
1s03B_M17.pdb     -401.291779 kBT
1s03B_M229.pdb     -298.692786 kBT
1s03B_M171.pdb     -303.823051 kBT
1s03B_M413.pdb     -289.462844 kBT
1s03B_M373.pdb     -245.081307 kBT
1s03B_M204.pdb     -323.324869 kBT
1s03B_M233.pdb     -315.086014 kBT
1s03B_M160.pdb     -327.837568 kBT
1s03B_M377.pdb     -303.322434 kBT
1s03B_M251.pdb     -287.344341 kBT
1s03B_M465.pdb     -235.691101 kBT
1s03B_M463.pdb     -277.142888 kBT
1s03B_M57.pdb     -323.542469 kBT
1s03B_M35.pdb     -389.059530 kBT
1s03B_M95.pdb     -320.526283 kBT
1s03B_M253.pdb     -307.907676 kBT
1s03B_M333.pdb     -267.089485 kBT
1s03B_M193.pdb     -267.473073 kBT
1s03B_M470.pdb     -239.257797 kBT
1s03B_M499.pdb     -250.428024 kBT
1s03B_M346.pdb     -293.415750 kBT
1s03B_M124.pdb     -332.274711 kBT
1s03B_M227.pdb     -286.314726 kBT
1s03B_M11.pdb     -406.357092 kBT
1s03B_M125.pdb     -314.413722 kBT
1s03B_M267.pdb     -292.540797 kBT
1s03B_M90.pdb     -348.719119 kBT
1s03B_M368.pdb     -282.466793 kBT
1s03B_M409.pdb     -302.347993 kBT
1s03B_M431.pdb     -319.169652 kBT
1s03B_M196.pdb     -308.293791 kBT
1s03B_M103.pdb     -344.612510 kBT
1s03B_M238.pdb     -247.248438 kBT
1s03B_M55.pdb     -367.526185 kBT
1s03B_M156.pdb     -324.694270 kBT
1s03B_M187.pdb     -318.849522 kBT
1s03B_M163.pdb     -320.260167 kBT
1s03B_M82.pdb     -352.125654 kBT
1s03B_M219.pdb     -279.052423 kBT
1s03B_M441.pdb     -261.633314 kBT
1s03B_M178.pdb     -345.819815 kBT
1s03B_M446.pdb     -292.470453 kBT
1s03B_M307.pdb     -292.301846 kBT
1s03B_M71.pdb     -345.638382 kBT
1s03B_M387.pdb     -293.657914 kBT
1s03B_M331.pdb     -262.911179 kBT
1s03B_M392.pdb     -270.171106 kBT
1s03B_M42.pdb     -408.493819 kBT
1s03B_M412.pdb     -283.360545 kBT
1s03B_M75.pdb     -365.391770 kBT
1s03B_M102.pdb     -345.344426 kBT
1s03B_M13.pdb     -388.411854 kBT
1s03B_M328.pdb     -249.095192 kBT
1s03B_M248.pdb     -272.435071 kBT
1s03B_M459.pdb     -327.236252 kBT
1s03B_M453.pdb     -275.582434 kBT
1s03B_M110.pdb     -342.178655 kBT
1s03B_M356.pdb     -285.535446 kBT
1s03B_M299.pdb     -295.113878 kBT
1s03B_M378.pdb     -240.510257 kBT
1s03B_M63.pdb     -377.899738 kBT
1s03B_M313.pdb     -300.988424 kBT
1s03B_M435.pdb     -237.245709 kBT
1s03B_M337.pdb     -232.046145 kBT
1s03B_M38.pdb     -366.350485 kBT
1s03B_M464.pdb     -272.029264 kBT
1s03B_M414.pdb     -296.811667 kBT
1s03B_M417.pdb     -247.887890 kBT
1s03B_M203.pdb     -304.602415 kBT
1s03B_M145.pdb     -317.277608 kBT
1s03B_M58.pdb     -361.720433 kBT
1s03B_M374.pdb     -285.895899 kBT
1s03B_M388.pdb     -243.715006 kBT
1s03B_M495.pdb     -265.997292 kBT
1s03B_M198.pdb     -327.078788 kBT
1s03B_M155.pdb     -304.948750 kBT
1s03B_M418.pdb     -280.948194 kBT
1s03B_M259.pdb     -341.337668 kBT
1s03B_M106.pdb     -364.452748 kBT
1s03B_M236.pdb     -281.045942 kBT
1s03B_M320.pdb     -305.781805 kBT
1s03B_M364.pdb     -282.572004 kBT
1s03B_M213.pdb     -283.163388 kBT
1s03B_M285.pdb     -294.259033 kBT
1s03B_M352.pdb     -283.159469 kBT
1s03B_M223.pdb     -293.170108 kBT
1s03B_M410.pdb     -244.847951 kBT
1s03B_M9.pdb     -405.985843 kBT
1s03B_M451.pdb     -243.241667 kBT
1s03B_M173.pdb     -288.272041 kBT
1s03B_M490.pdb     -279.727544 kBT
1s03B_M67.pdb     -329.782495 kBT
1s03B_M150.pdb     -336.738081 kBT
1s03B_M126.pdb     -360.080489 kBT
1s03B_M398.pdb     -293.812756 kBT
1s03B_M423.pdb     -268.349863 kBT
1s03B_M174.pdb     -295.616636 kBT
1s03B_M324.pdb     -299.551024 kBT
1s03B_M319.pdb     -277.405442 kBT
1s03B_M401.pdb     -300.677407 kBT
1s03B_M179.pdb     -328.884755 kBT
1s03B_M186.pdb     -324.687688 kBT
1s03B_M3.pdb     -401.839373 kBT
1s03B_M454.pdb     -271.322168 kBT
1s03B_M425.pdb     -258.107922 kBT
1s03B_M286.pdb     -286.500520 kBT
1s03B_M133.pdb     -320.731310 kBT
1s03B_M372.pdb     -303.341074 kBT
1s03B_M24.pdb     -397.203985 kBT
1s03B_M234.pdb     -319.322285 kBT
1s03B_M330.pdb     -254.518204 kBT
1s03B_M194.pdb     -354.602768 kBT
1s03B_M34.pdb     -366.825471 kBT
1s03B_M48.pdb     -357.136766 kBT
1s03B_M45.pdb     -357.726002 kBT
1s03B_M341.pdb     -258.519614 kBT
1s03B_M271.pdb     -294.917821 kBT
1s03B_M473.pdb     -231.260999 kBT
1s03B_M390.pdb     -288.030749 kBT
1s03B_M381.pdb     -281.754720 kBT
1s03B_M432.pdb     -279.400052 kBT
1s03B_M222.pdb     -298.963831 kBT
1s03B_M266.pdb     -336.661836 kBT
1s03B_M159.pdb     -327.122445 kBT
1s03B_M461.pdb     -274.805239 kBT
1s03B_M298.pdb     -263.978837 kBT
1s03B_M471.pdb     -262.146733 kBT
1s03B_M269.pdb     -292.199619 kBT
1s03B_M129.pdb     -341.175399 kBT
1s03B_M85.pdb     -326.287489 kBT
1s03B_M491.pdb     -255.562219 kBT
1s03B_M323.pdb     -296.179963 kBT
1s03B_M450.pdb     -316.774311 kBT
1s03B_M192.pdb     -353.982768 kBT
1s03B_M217.pdb     -291.176078 kBT
1s03B_M421.pdb     -231.223448 kBT
1s03B_M191.pdb     -339.764658 kBT
1s03B_M252.pdb     -287.195059 kBT
1s03B_M29.pdb     -396.376018 kBT
1s03B_M433.pdb     -293.854358 kBT
1s03B_M72.pdb     -332.909846 kBT
1s03B_M59.pdb     -343.447636 kBT
1s03B_M120.pdb     -335.564892 kBT
1s03B_M424.pdb     -279.825466 kBT
1s03B_M16.pdb     -393.009589 kBT
1s03B_M5.pdb     -396.854179 kBT
1s03B_M65.pdb     -341.928027 kBT
1s03B_M447.pdb     -266.407632 kBT
1s03B_M44.pdb     -397.042184 kBT
1s03B_M214.pdb     -332.808275 kBT
1s03B_M258.pdb     -297.031815 kBT
1s03B_M292.pdb     -282.116896 kBT
1s03B_M496.pdb     -256.925142 kBT
1s03B_M397.pdb     -280.942411 kBT
1s03B_M379.pdb     -327.454893 kBT
1s03B_M247.pdb     -286.093283 kBT
1s03B_M494.pdb     -273.061559 kBT
1s03B_M309.pdb     -291.413262 kBT
1s03B_M274.pdb     -292.355036 kBT
1s03B_M183.pdb     -346.569691 kBT
1s03B_M426.pdb     -312.967440 kBT
1s03B_M91.pdb     -318.878377 kBT
1s03B_M389.pdb     -290.476942 kBT
1s03B_M210.pdb     -315.877878 kBT
1s03B_M36.pdb     -396.272152 kBT
1s03B_M232.pdb     -273.465227 kBT
1s03B_M310.pdb     -273.353411 kBT
1s03B_M144.pdb     -330.462159 kBT
1s03B_M109.pdb     -327.116478 kBT
1s03B_M436.pdb     -247.598442 kBT
1s03B_M469.pdb     -256.950905 kBT
1s03B_M342.pdb     -234.889325 kBT
1s03B_M182.pdb     -288.241747 kBT
1s03B_M321.pdb     -275.792362 kBT
1s03B_M439.pdb     -268.922841 kBT
1s03B_M419.pdb     -320.237228 kBT
1s03B_M62.pdb     -387.569480 kBT
1s03B_M139.pdb     -320.483570 kBT
1s03B_M30.pdb     -386.623828 kBT
1s03B_M226.pdb     -285.523608 kBT
1s03B_M366.pdb     -286.815634 kBT
1s03B_M78.pdb     -322.122087 kBT
1s03B_M282.pdb     -310.274644 kBT
1s03B_M212.pdb     -293.370846 kBT
1s03B_M19.pdb     -402.569305 kBT
1s03B_M427.pdb     -261.918443 kBT
1s03B_M481.pdb     -290.721362 kBT
1s03B_M326.pdb     -288.681864 kBT
1s03B_M472.pdb     -290.390016 kBT
1s03B_M385.pdb     -304.971576 kBT
1s03B_M327.pdb     -255.087874 kBT
1s03B_M289.pdb     -310.417139 kBT
1s03B_M175.pdb     -327.475536 kBT
1s03B_M348.pdb     -311.883889 kBT
1s03B_M146.pdb     -286.580253 kBT
1s03B_M119.pdb     -353.917608 kBT
1s03B_M288.pdb     -287.925886 kBT
1s03B_M332.pdb     -298.517052 kBT
1s03B_M383.pdb     -285.471087 kBT
1s03B_M162.pdb     -284.791645 kBT
1s03B_M240.pdb     -294.085729 kBT
1s03B_M22.pdb     -398.212428 kBT
1s03B_M184.pdb     -319.010662 kBT
1s03B_M176.pdb     -289.106324 kBT
1s03B_M367.pdb     -295.119504 kBT
1s03B_M429.pdb     -273.421701 kBT
1s03B_M235.pdb     -301.629535 kBT
1s03B_M369.pdb     -300.199651 kBT
1s03B_M350.pdb     -275.952594 kBT
1s03B_M399.pdb     -288.504610 kBT
1s03B_M246.pdb     -315.566018 kBT
1s03B_M189.pdb     -288.023360 kBT
1s03B_M458.pdb     -260.400491 kBT
1s03B_M312.pdb     -322.922516 kBT
1s03B_M53.pdb     -397.686330 kBT
1s03B_M21.pdb     -403.640439 kBT
1s03B_M375.pdb     -277.395388 kBT
1s03B_M20.pdb     -406.537781 kBT
1s03B_M279.pdb     -294.313752 kBT
1s03B_M370.pdb     -245.582151 kBT
1s03B_M68.pdb     -362.911338 kBT
1s03B_M359.pdb     -269.413162 kBT
1s03B_M485.pdb     -249.161627 kBT
1s03B_M395.pdb     -264.965198 kBT
1s03B_M405.pdb     -250.167425 kBT
1s03B_M293.pdb     -303.075803 kBT
1s03B_M498.pdb     -277.800923 kBT
1s03B_M349.pdb     -267.238193 kBT
1s03B_M340.pdb     -280.338147 kBT
1s03B_M80.pdb     -297.817949 kBT
1s03B_M347.pdb     -264.954751 kBT
1s03B_M51.pdb     -366.637192 kBT
1s03B_M338.pdb     -292.918450 kBT
1s03B_M141.pdb     -314.532129 kBT
1s03B_M489.pdb     -265.548760 kBT
1s03B_M15.pdb     -393.378904 kBT
1s03B_M79.pdb     -315.357294 kBT
1s03B_M488.pdb     -263.778902 kBT
1s03B_M345.pdb     -321.421742 kBT
1s03B_M243.pdb     -305.080409 kBT
1s03B_M456.pdb     -284.866942 kBT
1s03B_M329.pdb     -301.201861 kBT
1s03B_M314.pdb     -308.706035 kBT
1s03B_M170.pdb     -312.271710 kBT
1s03B_M86.pdb     -340.789312 kBT
1s03B_M478.pdb     -277.958510 kBT
1s03B_M92.pdb     -319.125504 kBT
1s03B_M165.pdb     -302.930003 kBT
1s03B_M449.pdb     -275.286362 kBT
1s03B_M325.pdb     -288.042284 kBT
1s03B_M205.pdb     -298.035388 kBT
1s03B_M143.pdb     -320.282526 kBT
1s03B_M262.pdb     -285.303492 kBT
1s03B_M164.pdb     -348.671952 kBT
1s03B_M351.pdb     -217.938194 kBT
1s03B_M376.pdb     -294.167619 kBT
1s03B_M457.pdb     -293.213786 kBT
1s03B_M41.pdb     -369.440776 kBT
1s03B_M261.pdb     -287.092807 kBT
1s03B_M47.pdb     -380.467102 kBT
