1e7kD_M392.pdb     -44.623004 kBT
1e7kD_M341.pdb     -63.269084 kBT
1e7kD_M299.pdb     -56.388011 kBT
1e7kD_M37.pdb     -69.524536 kBT
1e7kD_M159.pdb     -54.332247 kBT
1e7kD_M360.pdb     -41.630393 kBT
1e7kD_M491.pdb     -51.422676 kBT
1e7kD_M315.pdb     -24.702831 kBT
1e7kD_M114.pdb     -67.209216 kBT
1e7kD_M369.pdb     -32.536276 kBT
1e7kD_M76.pdb     -66.585014 kBT
1e7kD_M66.pdb     -55.169830 kBT
1e7kD_M219.pdb     -54.538666 kBT
1e7kD_M336.pdb     -32.550486 kBT
1e7kD_M284.pdb     -46.778670 kBT
1e7kD_M52.pdb     -77.573416 kBT
1e7kD_M6.pdb     -73.483765 kBT
1e7kD_M9.pdb     -81.682685 kBT
1e7kD_M40.pdb     -57.440180 kBT
1e7kD_M205.pdb     -67.113488 kBT
1e7kD_M317.pdb     -43.959232 kBT
1e7kD_M130.pdb     -23.475679 kBT
1e7kD_M265.pdb     -89.718970 kBT
1e7kD_M442.pdb     -64.961553 kBT
1e7kD_M332.pdb     -60.377994 kBT
1e7kD_M355.pdb     -27.583768 kBT
1e7kD_M305.pdb     -57.398236 kBT
1e7kD_M218.pdb     -63.100721 kBT
1e7kD_M375.pdb     -40.772646 kBT
1e7kD_M440.pdb     -54.882306 kBT
1e7kD_M379.pdb     -58.647176 kBT
1e7kD_M75.pdb     -44.401614 kBT
1e7kD_M431.pdb     -59.008449 kBT
1e7kD_M344.pdb     -42.604790 kBT
1e7kD_M472.pdb     -54.299437 kBT
1e7kD_M62.pdb     -60.029887 kBT
1e7kD_M11.pdb     -68.203765 kBT
1e7kD_M131.pdb     -62.366946 kBT
1e7kD_M339.pdb     -54.027229 kBT
1e7kD_M107.pdb     -63.426759 kBT
1e7kD_M331.pdb     -55.824750 kBT
1e7kD_M128.pdb     -60.909735 kBT
1e7kD_M58.pdb     -57.121845 kBT
1e7kD_M287.pdb     -47.810047 kBT
1e7kD_M141.pdb     -63.467182 kBT
1e7kD_M438.pdb     -41.146080 kBT
1e7kD_M343.pdb     -56.438230 kBT
1e7kD_M102.pdb     -65.514333 kBT
1e7kD_M401.pdb     -44.611317 kBT
1e7kD_M322.pdb     -50.143556 kBT
1e7kD_M439.pdb     -41.636609 kBT
1e7kD_M243.pdb     -36.952305 kBT
1e7kD_M394.pdb     -38.485105 kBT
1e7kD_M120.pdb     -66.772573 kBT
1e7kD_M479.pdb     -52.030945 kBT
1e7kD_M15.pdb     -64.423981 kBT
1e7kD_M2.pdb     -75.255314 kBT
1e7kD_M487.pdb     -59.843327 kBT
1e7kD_M268.pdb     -66.724209 kBT
1e7kD_M458.pdb     -34.728342 kBT
1e7kD_M175.pdb     -46.875141 kBT
1e7kD_M323.pdb     -50.146764 kBT
1e7kD_M144.pdb     -70.524038 kBT
1e7kD_M181.pdb     -40.702194 kBT
1e7kD_M473.pdb     -65.967688 kBT
1e7kD_M119.pdb     -66.709342 kBT
1e7kD_M173.pdb     -45.199006 kBT
1e7kD_M64.pdb     -76.992862 kBT
1e7kD_M478.pdb     -75.813605 kBT
1e7kD_M314.pdb     -46.037521 kBT
1e7kD_M456.pdb     -39.463973 kBT
1e7kD_M69.pdb     -76.022228 kBT
1e7kD_M193.pdb     -62.770076 kBT
1e7kD_M137.pdb     -62.013427 kBT
1e7kD_M400.pdb     -25.140721 kBT
1e7kD_M220.pdb     -58.513101 kBT
1e7kD_M133.pdb     -65.528656 kBT
1e7kD_M446.pdb     -54.347568 kBT
1e7kD_M126.pdb     -51.403390 kBT
1e7kD_M275.pdb     -43.877943 kBT
1e7kD_M250.pdb     -58.825142 kBT
1e7kD_M244.pdb     -42.629058 kBT
1e7kD_M233.pdb     -48.555671 kBT
1e7kD_M127.pdb     -64.714589 kBT
1e7kD_M316.pdb     -45.361310 kBT
1e7kD_M19.pdb     -61.385468 kBT
1e7kD_M313.pdb     -47.503717 kBT
1e7kD_M72.pdb     -72.129708 kBT
1e7kD_M420.pdb     -46.472553 kBT
1e7kD_M320.pdb     -68.556969 kBT
1e7kD_M65.pdb     -72.123870 kBT
1e7kD_M354.pdb     -62.729363 kBT
1e7kD_M238.pdb     -50.529159 kBT
1e7kD_M8.pdb     -59.586761 kBT
1e7kD_M433.pdb     -40.717284 kBT
1e7kD_M35.pdb     -82.885133 kBT
1e7kD_M326.pdb     -54.016720 kBT
1e7kD_M178.pdb     -72.207106 kBT
1e7kD_M342.pdb     -67.506101 kBT
1e7kD_M63.pdb     -59.714369 kBT
1e7kD_M334.pdb     -51.994958 kBT
1e7kD_M337.pdb     -51.632667 kBT
1e7kD_M90.pdb     -84.391133 kBT
1e7kD_M32.pdb     -72.488345 kBT
1e7kD_M157.pdb     -40.692111 kBT
1e7kD_M187.pdb     -48.544855 kBT
1e7kD_M364.pdb     -55.881060 kBT
1e7kD_M281.pdb     -31.177089 kBT
1e7kD_M231.pdb     -49.519969 kBT
1e7kD_M50.pdb     -63.508550 kBT
1e7kD_M303.pdb     -50.296617 kBT
1e7kD_M71.pdb     -52.201004 kBT
1e7kD_M492.pdb     -45.150150 kBT
1e7kD_M389.pdb     -53.407809 kBT
1e7kD_M467.pdb     29.776320 kBT
1e7kD_M61.pdb     -63.663496 kBT
1e7kD_M340.pdb     -47.612098 kBT
1e7kD_M116.pdb     -65.821475 kBT
1e7kD_M26.pdb     -59.686867 kBT
1e7kD_M295.pdb     -63.728663 kBT
1e7kD_M136.pdb     -48.863388 kBT
1e7kD_M223.pdb     -46.780618 kBT
1e7kD_M464.pdb     -57.701885 kBT
1e7kD_M68.pdb     -75.183556 kBT
1e7kD_M261.pdb     -48.352128 kBT
1e7kD_M29.pdb     -58.509701 kBT
1e7kD_M310.pdb     -39.491725 kBT
1e7kD_M468.pdb     -63.604901 kBT
1e7kD_M14.pdb     -72.929346 kBT
1e7kD_M346.pdb     -55.667436 kBT
1e7kD_M359.pdb     -47.306350 kBT
1e7kD_M496.pdb     -44.853388 kBT
1e7kD_M211.pdb     -73.199739 kBT
1e7kD_M362.pdb     -43.471843 kBT
1e7kD_M434.pdb     -53.332761 kBT
1e7kD_M60.pdb     -66.121228 kBT
1e7kD_M253.pdb     -42.881174 kBT
1e7kD_M415.pdb     -56.210745 kBT
1e7kD_M445.pdb     -34.348026 kBT
1e7kD_M234.pdb     -69.850423 kBT
1e7kD_M47.pdb     -51.563411 kBT
1e7kD_M278.pdb     -45.728490 kBT
1e7kD_M13.pdb     -79.249568 kBT
1e7kD_M266.pdb     -40.204826 kBT
1e7kD_M271.pdb     -59.564244 kBT
1e7kD_M78.pdb     -59.682791 kBT
1e7kD_M311.pdb     -45.392469 kBT
1e7kD_M142.pdb     -51.374855 kBT
1e7kD_M500.pdb     -49.677306 kBT
1e7kD_M338.pdb     -52.260496 kBT
1e7kD_M405.pdb     -50.761315 kBT
1e7kD_M95.pdb     -56.111887 kBT
1e7kD_M41.pdb     -73.862557 kBT
1e7kD_M481.pdb     -59.565932 kBT
1e7kD_M279.pdb     -51.719841 kBT
1e7kD_M450.pdb     -49.315967 kBT
1e7kD_M100.pdb     -71.168026 kBT
1e7kD_M163.pdb     -55.805516 kBT
1e7kD_M111.pdb     -56.717236 kBT
1e7kD_M94.pdb     -47.188199 kBT
1e7kD_M457.pdb     -55.863385 kBT
1e7kD_M490.pdb     -76.588391 kBT
1e7kD_M168.pdb     -63.909821 kBT
1e7kD_M259.pdb     -46.219155 kBT
1e7kD_M408.pdb     -58.782211 kBT
1e7kD_M45.pdb     -54.490707 kBT
1e7kD_M166.pdb     -45.646087 kBT
1e7kD_M164.pdb     -45.671772 kBT
1e7kD_M27.pdb     -51.980461 kBT
1e7kD_M463.pdb     -31.968707 kBT
1e7kD_M421.pdb     -43.615511 kBT
1e7kD_M448.pdb     -48.338490 kBT
1e7kD_M49.pdb     -70.737647 kBT
1e7kD_M36.pdb     -60.601446 kBT
1e7kD_M73.pdb     -46.596150 kBT
1e7kD_M1.pdb     -77.548153 kBT
1e7kD_M67.pdb     -72.091537 kBT
1e7kD_M290.pdb     -46.187273 kBT
1e7kD_M280.pdb     -67.857382 kBT
1e7kD_M426.pdb     -48.450078 kBT
1e7kD_M404.pdb     -59.544843 kBT
1e7kD_M352.pdb     -72.411331 kBT
1e7kD_M210.pdb     -39.443512 kBT
1e7kD_M167.pdb     -78.163247 kBT
1e7kD_M112.pdb     -50.616497 kBT
1e7kD_M459.pdb     -45.691096 kBT
1e7kD_M328.pdb     -44.564948 kBT
1e7kD_M413.pdb     -42.022634 kBT
1e7kD_M135.pdb     -48.161664 kBT
1e7kD_M307.pdb     -58.047594 kBT
1e7kD_M424.pdb     -34.340366 kBT
1e7kD_M57.pdb     -63.152183 kBT
1e7kD_M248.pdb     -64.854950 kBT
1e7kD_M87.pdb     -43.560402 kBT
1e7kD_M79.pdb     -72.767245 kBT
1e7kD_M174.pdb     -67.448568 kBT
1e7kD_M494.pdb     -39.168037 kBT
1e7kD_M335.pdb     -66.430990 kBT
1e7kD_M82.pdb     -69.101161 kBT
1e7kD_M30.pdb     -69.191532 kBT
1e7kD_M31.pdb     -40.032559 kBT
1e7kD_M312.pdb     -47.545636 kBT
1e7kD_M418.pdb     -47.294639 kBT
1e7kD_M221.pdb     -38.715930 kBT
1e7kD_M196.pdb     -49.583881 kBT
1e7kD_M201.pdb     -83.666587 kBT
1e7kD_M292.pdb     -60.538867 kBT
1e7kD_M16.pdb     -61.480115 kBT
1e7kD_M469.pdb     -65.839979 kBT
1e7kD_M42.pdb     -70.613048 kBT
1e7kD_M143.pdb     -46.753819 kBT
1e7kD_M190.pdb     -64.897804 kBT
1e7kD_M270.pdb     -39.240272 kBT
1e7kD_M171.pdb     -58.083266 kBT
1e7kD_M255.pdb     -47.674097 kBT
1e7kD_M117.pdb     -61.008732 kBT
1e7kD_M232.pdb     -43.761035 kBT
1e7kD_M203.pdb     -66.304224 kBT
1e7kD_M319.pdb     -31.910112 kBT
1e7kD_M441.pdb     -48.558910 kBT
1e7kD_M209.pdb     -65.509550 kBT
1e7kD_M156.pdb     -42.688046 kBT
1e7kD_M296.pdb     -54.135512 kBT
1e7kD_M372.pdb     -54.731729 kBT
1e7kD_M470.pdb     -62.685897 kBT
1e7kD_M224.pdb     -53.251792 kBT
1e7kD_M132.pdb     -71.175160 kBT
1e7kD_M155.pdb     -44.823092 kBT
1e7kD_M409.pdb     -51.343889 kBT
1e7kD_M140.pdb     -63.991990 kBT
1e7kD_M367.pdb     -46.232372 kBT
1e7kD_M226.pdb     -36.453795 kBT
1e7kD_M122.pdb     -69.077700 kBT
1e7kD_M28.pdb     -76.706897 kBT
1e7kD_M20.pdb     -59.974681 kBT
1e7kD_M423.pdb     -51.242510 kBT
1e7kD_M361.pdb     -49.813236 kBT
1e7kD_M449.pdb     -39.214349 kBT
1e7kD_M411.pdb     -53.827236 kBT
1e7kD_M443.pdb     -64.903179 kBT
1e7kD_M154.pdb     -40.499842 kBT
1e7kD_M391.pdb     -31.022220 kBT
1e7kD_M188.pdb     -57.717381 kBT
1e7kD_M377.pdb     -35.731547 kBT
1e7kD_M195.pdb     -36.747835 kBT
1e7kD_M419.pdb     -46.767848 kBT
1e7kD_M204.pdb     -70.604244 kBT
1e7kD_M151.pdb     -66.770112 kBT
1e7kD_M152.pdb     -69.127878 kBT
1e7kD_M427.pdb     -66.622966 kBT
1e7kD_M371.pdb     -48.497786 kBT
1e7kD_M286.pdb     -66.086281 kBT
1e7kD_M180.pdb     -61.534840 kBT
1e7kD_M300.pdb     -45.330208 kBT
1e7kD_M160.pdb     -46.099064 kBT
1e7kD_M170.pdb     -37.087937 kBT
1e7kD_M386.pdb     -64.120863 kBT
1e7kD_M499.pdb     -35.998476 kBT
1e7kD_M417.pdb     -64.771714 kBT
1e7kD_M451.pdb     -46.522435 kBT
1e7kD_M148.pdb     -69.777802 kBT
1e7kD_M462.pdb     -65.215783 kBT
1e7kD_M396.pdb     -48.072335 kBT
1e7kD_M70.pdb     -72.349254 kBT
1e7kD_M18.pdb     -62.154126 kBT
1e7kD_M288.pdb     -43.840837 kBT
1e7kD_M436.pdb     -46.512951 kBT
1e7kD_M153.pdb     -39.092687 kBT
1e7kD_M283.pdb     -62.496852 kBT
1e7kD_M24.pdb     -76.178300 kBT
1e7kD_M54.pdb     -66.783137 kBT
1e7kD_M121.pdb     -53.410484 kBT
1e7kD_M366.pdb     -52.177548 kBT
1e7kD_M269.pdb     -58.886899 kBT
1e7kD_M382.pdb     -54.002657 kBT
1e7kD_M92.pdb     -46.695105 kBT
1e7kD_M333.pdb     -48.794711 kBT
1e7kD_M150.pdb     -51.350213 kBT
1e7kD_M227.pdb     -69.102764 kBT
1e7kD_M228.pdb     -47.702502 kBT
1e7kD_M309.pdb     -54.246884 kBT
1e7kD_M484.pdb     -59.049662 kBT
1e7kD_M465.pdb     -56.891857 kBT
1e7kD_M17.pdb     -68.436578 kBT
1e7kD_M179.pdb     -58.040713 kBT
1e7kD_M466.pdb     -57.718760 kBT
1e7kD_M260.pdb     -48.610460 kBT
1e7kD_M298.pdb     -64.066054 kBT
1e7kD_M202.pdb     -45.659792 kBT
1e7kD_M249.pdb     -79.291872 kBT
1e7kD_M256.pdb     -51.505776 kBT
1e7kD_M165.pdb     -63.794270 kBT
1e7kD_M192.pdb     -29.939245 kBT
1e7kD_M347.pdb     -38.250046 kBT
1e7kD_M306.pdb     -31.233635 kBT
1e7kD_M308.pdb     -55.359425 kBT
1e7kD_M454.pdb     -45.876634 kBT
1e7kD_M4.pdb     -75.305627 kBT
1e7kD_M98.pdb     -63.590901 kBT
1e7kD_M145.pdb     -49.780249 kBT
1e7kD_M302.pdb     -49.761547 kBT
1e7kD_M237.pdb     -27.989780 kBT
1e7kD_M109.pdb     -45.480777 kBT
1e7kD_M356.pdb     -29.863654 kBT
1e7kD_M55.pdb     -61.626563 kBT
1e7kD_M387.pdb     -72.654643 kBT
1e7kD_M99.pdb     -46.860700 kBT
1e7kD_M282.pdb     -55.415171 kBT
1e7kD_M425.pdb     -55.890212 kBT
1e7kD_M406.pdb     -43.655357 kBT
1e7kD_M383.pdb     -59.701343 kBT
1e7kD_M263.pdb     -49.449979 kBT
1e7kD_M22.pdb     -63.545213 kBT
1e7kD_M85.pdb     -59.895079 kBT
1e7kD_M51.pdb     -58.085457 kBT
1e7kD_M294.pdb     -65.056489 kBT
1e7kD_M348.pdb     -41.488315 kBT
1e7kD_M21.pdb     -57.477459 kBT
1e7kD_M381.pdb     -45.461757 kBT
1e7kD_M97.pdb     -74.175825 kBT
1e7kD_M83.pdb     -69.436973 kBT
1e7kD_M414.pdb     -53.210010 kBT
1e7kD_M169.pdb     -68.994044 kBT
1e7kD_M113.pdb     -72.720008 kBT
1e7kD_M138.pdb     -61.783092 kBT
1e7kD_M241.pdb     -22.746805 kBT
