1msyA_M53.pdb     -124.157840 kBT
1msyA_M90.pdb     -141.600812 kBT
1msyA_M259.pdb     -127.213999 kBT
1msyA_M67.pdb     -120.657830 kBT
1msyA_M218.pdb     -114.686550 kBT
1msyA_M58.pdb     -103.314973 kBT
1msyA_M316.pdb     -130.003921 kBT
1msyA_M457.pdb     -112.312429 kBT
1msyA_M304.pdb     -106.449998 kBT
1msyA_M226.pdb     -120.677730 kBT
1msyA_M193.pdb     -113.929988 kBT
1msyA_M250.pdb     -108.201892 kBT
1msyA_M348.pdb     -112.835671 kBT
1msyA_M114.pdb     -107.477679 kBT
1msyA_M7.pdb     -162.511309 kBT
1msyA_M371.pdb     -120.707091 kBT
1msyA_M413.pdb     -106.735953 kBT
1msyA_M265.pdb     -127.611938 kBT
1msyA_M106.pdb     -135.103622 kBT
1msyA_M162.pdb     -143.921115 kBT
1msyA_M414.pdb     -83.047324 kBT
1msyA_M249.pdb     -133.779053 kBT
1msyA_M206.pdb     -112.813196 kBT
1msyA_M375.pdb     -90.922983 kBT
1msyA_M472.pdb     -108.061681 kBT
1msyA_M335.pdb     -114.799338 kBT
1msyA_M452.pdb     -111.653241 kBT
1msyA_M295.pdb     -94.689481 kBT
1msyA_M358.pdb     -99.738641 kBT
1msyA_M491.pdb     -75.921527 kBT
1msyA_M122.pdb     -120.945554 kBT
1msyA_M27.pdb     -112.703271 kBT
1msyA_M17.pdb     -161.552304 kBT
1msyA_M146.pdb     -110.583878 kBT
1msyA_M79.pdb     -120.386252 kBT
1msyA_M299.pdb     -106.301548 kBT
1msyA_M195.pdb     -114.952000 kBT
1msyA_M446.pdb     -108.941317 kBT
1msyA_M22.pdb     -153.823574 kBT
1msyA_M45.pdb     -125.773459 kBT
1msyA_M171.pdb     -103.864586 kBT
1msyA_M183.pdb     -89.169192 kBT
1msyA_M315.pdb     -99.059180 kBT
1msyA_M6.pdb     -169.943458 kBT
1msyA_M317.pdb     -101.819705 kBT
1msyA_M387.pdb     -121.246693 kBT
1msyA_M174.pdb     -105.252562 kBT
1msyA_M209.pdb     -122.025145 kBT
1msyA_M26.pdb     -160.590303 kBT
1msyA_M123.pdb     -126.060190 kBT
1msyA_M185.pdb     -110.505164 kBT
1msyA_M230.pdb     -80.057976 kBT
1msyA_M311.pdb     -128.471435 kBT
1msyA_M219.pdb     -119.141832 kBT
1msyA_M439.pdb     -109.120374 kBT
1msyA_M275.pdb     -91.947026 kBT
1msyA_M498.pdb     -107.732839 kBT
1msyA_M314.pdb     -92.841171 kBT
1msyA_M243.pdb     -104.973749 kBT
1msyA_M339.pdb     -112.082650 kBT
1msyA_M363.pdb     -73.639926 kBT
1msyA_M74.pdb     -157.365371 kBT
1msyA_M121.pdb     -135.931016 kBT
1msyA_M127.pdb     -122.193225 kBT
1msyA_M298.pdb     -117.922896 kBT
1msyA_M9.pdb     -162.498799 kBT
1msyA_M189.pdb     -128.902034 kBT
1msyA_M385.pdb     -80.769324 kBT
1msyA_M471.pdb     -91.135444 kBT
1msyA_M71.pdb     -120.480908 kBT
1msyA_M20.pdb     -167.880128 kBT
1msyA_M169.pdb     -127.278057 kBT
1msyA_M164.pdb     -119.248084 kBT
1msyA_M3.pdb     -170.485329 kBT
1msyA_M12.pdb     -156.661746 kBT
1msyA_M359.pdb     -91.900349 kBT
1msyA_M418.pdb     -116.088372 kBT
1msyA_M291.pdb     -78.347031 kBT
1msyA_M397.pdb     -107.444776 kBT
1msyA_M86.pdb     -133.571491 kBT
1msyA_M402.pdb     -90.159865 kBT
1msyA_M415.pdb     -98.833967 kBT
1msyA_M148.pdb     -120.492276 kBT
1msyA_M318.pdb     -126.659443 kBT
1msyA_M269.pdb     -66.955975 kBT
1msyA_M462.pdb     -108.971595 kBT
1msyA_M136.pdb     -113.443257 kBT
1msyA_M327.pdb     -86.662091 kBT
1msyA_M197.pdb     -99.624879 kBT
1msyA_M362.pdb     -100.871853 kBT
1msyA_M368.pdb     -98.035652 kBT
1msyA_M32.pdb     -142.128308 kBT
1msyA_M14.pdb     -162.755529 kBT
1msyA_M46.pdb     -118.403984 kBT
1msyA_M410.pdb     -85.140477 kBT
1msyA_M235.pdb     -104.503331 kBT
1msyA_M271.pdb     -107.099379 kBT
1msyA_M283.pdb     -113.835289 kBT
1msyA_M267.pdb     -144.305252 kBT
1msyA_M247.pdb     -118.101860 kBT
1msyA_M19.pdb     -142.418407 kBT
1msyA_M435.pdb     -118.157781 kBT
1msyA_M187.pdb     -87.119555 kBT
1msyA_M427.pdb     -130.274805 kBT
1msyA_M463.pdb     -86.611687 kBT
1msyA_M73.pdb     -143.850390 kBT
1msyA_M328.pdb     -120.719523 kBT
1msyA_M139.pdb     -118.123634 kBT
1msyA_M4.pdb     -166.145990 kBT
1msyA_M202.pdb     -120.892583 kBT
1msyA_M158.pdb     -115.523870 kBT
1msyA_M308.pdb     -99.732994 kBT
1msyA_M214.pdb     -137.443524 kBT
1msyA_M369.pdb     -112.440610 kBT
1msyA_M43.pdb     -122.601062 kBT
1msyA_M440.pdb     -111.359757 kBT
1msyA_M383.pdb     -73.492483 kBT
1msyA_M421.pdb     -97.961439 kBT
1msyA_M443.pdb     -111.157497 kBT
1msyA_M107.pdb     -140.791910 kBT
1msyA_M102.pdb     -143.484804 kBT
1msyA_M252.pdb     -98.738924 kBT
1msyA_M469.pdb     -125.117354 kBT
1msyA_M213.pdb     -89.104200 kBT
1msyA_M165.pdb     -115.317591 kBT
1msyA_M172.pdb     -99.711193 kBT
1msyA_M253.pdb     -106.583779 kBT
1msyA_M489.pdb     -144.981107 kBT
1msyA_M497.pdb     -101.606355 kBT
1msyA_M117.pdb     -143.910549 kBT
1msyA_M321.pdb     -117.681331 kBT
1msyA_M447.pdb     -98.104580 kBT
1msyA_M278.pdb     -104.845752 kBT
1msyA_M423.pdb     -118.242698 kBT
1msyA_M228.pdb     -91.533949 kBT
1msyA_M293.pdb     -115.496815 kBT
1msyA_M251.pdb     -97.043304 kBT
1msyA_M76.pdb     -96.455081 kBT
1msyA_M343.pdb     -100.334078 kBT
1msyA_M330.pdb     -93.643138 kBT
1msyA_M485.pdb     -117.727071 kBT
1msyA_M65.pdb     -144.376965 kBT
1msyA_M313.pdb     -82.937891 kBT
1msyA_M262.pdb     -111.805056 kBT
1msyA_M282.pdb     -113.251897 kBT
1msyA_M461.pdb     -81.786360 kBT
1msyA_M296.pdb     -87.647217 kBT
1msyA_M398.pdb     -94.217557 kBT
1msyA_M217.pdb     -105.097472 kBT
1msyA_M474.pdb     -108.915329 kBT
1msyA_M436.pdb     -117.392251 kBT
1msyA_M137.pdb     -103.854754 kBT
1msyA_M406.pdb     -82.283009 kBT
1msyA_M486.pdb     -109.184285 kBT
1msyA_M407.pdb     -96.061493 kBT
1msyA_M190.pdb     -128.096112 kBT
1msyA_M186.pdb     -133.095389 kBT
1msyA_M227.pdb     -145.635864 kBT
1msyA_M221.pdb     -105.836429 kBT
1msyA_M453.pdb     -124.450965 kBT
1msyA_M263.pdb     -86.266331 kBT
1msyA_M307.pdb     -99.274801 kBT
1msyA_M153.pdb     -114.800733 kBT
1msyA_M434.pdb     -99.994779 kBT
1msyA_M495.pdb     -112.160919 kBT
1msyA_M323.pdb     -121.660018 kBT
1msyA_M166.pdb     -115.773694 kBT
1msyA_M246.pdb     -103.087522 kBT
1msyA_M432.pdb     -99.246520 kBT
1msyA_M99.pdb     -145.686478 kBT
1msyA_M91.pdb     -119.180086 kBT
1msyA_M355.pdb     -89.082016 kBT
1msyA_M78.pdb     -136.459850 kBT
1msyA_M419.pdb     -92.725805 kBT
1msyA_M40.pdb     -144.273781 kBT
1msyA_M129.pdb     -126.291236 kBT
1msyA_M104.pdb     -106.583034 kBT
1msyA_M85.pdb     -114.993105 kBT
1msyA_M41.pdb     -143.926983 kBT
1msyA_M445.pdb     -95.696570 kBT
1msyA_M33.pdb     -138.443565 kBT
1msyA_M155.pdb     -93.038893 kBT
1msyA_M211.pdb     -90.742105 kBT
1msyA_M303.pdb     -105.646495 kBT
1msyA_M401.pdb     -116.547790 kBT
1msyA_M220.pdb     -94.866477 kBT
1msyA_M48.pdb     -137.081299 kBT
1msyA_M2.pdb     -169.627369 kBT
1msyA_M490.pdb     -101.159483 kBT
1msyA_M320.pdb     -105.618367 kBT
1msyA_M319.pdb     -104.120871 kBT
1msyA_M159.pdb     -77.896299 kBT
1msyA_M95.pdb     -120.250996 kBT
1msyA_M50.pdb     -156.919823 kBT
1msyA_M451.pdb     -89.013126 kBT
1msyA_M272.pdb     -113.584158 kBT
1msyA_M94.pdb     -132.042914 kBT
1msyA_M55.pdb     -121.520417 kBT
1msyA_M194.pdb     -98.360641 kBT
1msyA_M144.pdb     -86.154809 kBT
1msyA_M344.pdb     -107.491228 kBT
1msyA_M342.pdb     -110.391851 kBT
1msyA_M92.pdb     -103.391918 kBT
1msyA_M168.pdb     -85.641689 kBT
1msyA_M152.pdb     -130.913977 kBT
1msyA_M44.pdb     -139.581406 kBT
1msyA_M479.pdb     -81.136161 kBT
1msyA_M143.pdb     -111.106060 kBT
1msyA_M212.pdb     -78.937208 kBT
1msyA_M170.pdb     -106.051935 kBT
1msyA_M428.pdb     -76.514587 kBT
1msyA_M370.pdb     -93.544384 kBT
1msyA_M292.pdb     -116.788257 kBT
1msyA_M261.pdb     -88.283001 kBT
1msyA_M467.pdb     -141.267486 kBT
1msyA_M322.pdb     -90.205963 kBT
1msyA_M115.pdb     -121.345782 kBT
1msyA_M310.pdb     -115.016690 kBT
1msyA_M224.pdb     -78.051179 kBT
1msyA_M111.pdb     -126.826707 kBT
1msyA_M119.pdb     -136.250957 kBT
1msyA_M207.pdb     -103.675737 kBT
1msyA_M87.pdb     -154.107832 kBT
1msyA_M141.pdb     -88.676513 kBT
1msyA_M134.pdb     -89.650550 kBT
1msyA_M367.pdb     -136.370850 kBT
1msyA_M400.pdb     -72.248324 kBT
1msyA_M167.pdb     -108.856701 kBT
1msyA_M390.pdb     -84.344330 kBT
1msyA_M140.pdb     -96.746669 kBT
1msyA_M238.pdb     -112.345599 kBT
1msyA_M84.pdb     -99.453713 kBT
1msyA_M248.pdb     -104.955742 kBT
1msyA_M478.pdb     -113.482069 kBT
1msyA_M142.pdb     -114.358930 kBT
1msyA_M290.pdb     -79.671945 kBT
1msyA_M353.pdb     -99.640915 kBT
1msyA_M239.pdb     -110.981331 kBT
1msyA_M175.pdb     -123.415370 kBT
1msyA_M200.pdb     -116.821303 kBT
1msyA_M23.pdb     -147.256236 kBT
1msyA_M341.pdb     -91.791559 kBT
1msyA_M62.pdb     -131.618143 kBT
1msyA_M468.pdb     -97.525041 kBT
1msyA_M286.pdb     -87.901258 kBT
1msyA_M125.pdb     -112.432745 kBT
1msyA_M305.pdb     -115.955846 kBT
1msyA_M5.pdb     -168.569612 kBT
1msyA_M176.pdb     -117.472696 kBT
1msyA_M173.pdb     -123.792799 kBT
1msyA_M124.pdb     -108.343894 kBT
1msyA_M245.pdb     -109.744425 kBT
1msyA_M285.pdb     -113.114471 kBT
1msyA_M391.pdb     -101.926428 kBT
1msyA_M386.pdb     -124.756172 kBT
1msyA_M223.pdb     -122.972234 kBT
1msyA_M37.pdb     -147.954767 kBT
1msyA_M364.pdb     -105.629419 kBT
1msyA_M52.pdb     -134.839707 kBT
1msyA_M444.pdb     -89.442999 kBT
1msyA_M100.pdb     -108.758029 kBT
1msyA_M156.pdb     -105.383510 kBT
1msyA_M229.pdb     -93.387744 kBT
1msyA_M59.pdb     -139.229393 kBT
1msyA_M426.pdb     -83.058372 kBT
1msyA_M109.pdb     -117.305609 kBT
1msyA_M30.pdb     -151.013103 kBT
1msyA_M441.pdb     -93.773943 kBT
1msyA_M405.pdb     -105.335787 kBT
1msyA_M374.pdb     -114.575047 kBT
1msyA_M21.pdb     -158.369505 kBT
1msyA_M130.pdb     -120.105385 kBT
1msyA_M309.pdb     -144.306210 kBT
1msyA_M338.pdb     -108.673296 kBT
1msyA_M384.pdb     -101.205039 kBT
1msyA_M63.pdb     -106.931623 kBT
1msyA_M264.pdb     -111.275902 kBT
1msyA_M456.pdb     -114.329249 kBT
1msyA_M54.pdb     -139.432790 kBT
1msyA_M98.pdb     -140.894806 kBT
1msyA_M108.pdb     -132.526179 kBT
1msyA_M83.pdb     -130.439451 kBT
1msyA_M96.pdb     -97.309409 kBT
1msyA_M394.pdb     -102.490302 kBT
1msyA_M8.pdb     -159.180644 kBT
1msyA_M475.pdb     -96.985357 kBT
1msyA_M61.pdb     -108.554049 kBT
1msyA_M399.pdb     -114.926824 kBT
1msyA_M80.pdb     -115.852067 kBT
1msyA_M404.pdb     -100.513502 kBT
1msyA_M204.pdb     -91.672209 kBT
1msyA_M500.pdb     -111.634269 kBT
1msyA_M300.pdb     -101.262636 kBT
1msyA_M135.pdb     -127.846255 kBT
1msyA_M42.pdb     -146.201917 kBT
1msyA_M470.pdb     -83.214077 kBT
1msyA_M412.pdb     -107.833143 kBT
1msyA_M334.pdb     -85.257580 kBT
1msyA_M378.pdb     -103.952154 kBT
1msyA_M329.pdb     -134.879357 kBT
1msyA_M346.pdb     -129.956303 kBT
1msyA_M392.pdb     -112.886535 kBT
1msyA_M215.pdb     -113.432442 kBT
1msyA_M110.pdb     -122.283600 kBT
1msyA_M450.pdb     -112.824118 kBT
1msyA_M97.pdb     -122.196253 kBT
1msyA_M380.pdb     -129.145395 kBT
1msyA_M281.pdb     -108.948631 kBT
1msyA_M487.pdb     -108.265060 kBT
1msyA_M241.pdb     -117.176624 kBT
1msyA_M488.pdb     -102.970469 kBT
1msyA_M438.pdb     -106.634582 kBT
1msyA_M354.pdb     -109.964500 kBT
1msyA_M34.pdb     -150.899639 kBT
1msyA_M15.pdb     -139.172630 kBT
1msyA_M178.pdb     -90.240307 kBT
1msyA_M16.pdb     -157.089331 kBT
1msyA_M208.pdb     -127.637102 kBT
1msyA_M325.pdb     -97.367225 kBT
1msyA_M382.pdb     -125.431549 kBT
1msyA_M131.pdb     -131.378868 kBT
1msyA_M101.pdb     -126.733275 kBT
1msyA_M425.pdb     -117.697082 kBT
1msyA_M75.pdb     -126.585808 kBT
1msyA_M18.pdb     -156.587032 kBT
1msyA_M222.pdb     -113.075555 kBT
1msyA_M24.pdb     -158.455475 kBT
1msyA_M473.pdb     -115.895270 kBT
1msyA_M161.pdb     -134.988632 kBT
1msyA_M13.pdb     -159.528259 kBT
1msyA_M289.pdb     -123.478094 kBT
1msyA_M163.pdb     -98.559037 kBT
1msyA_M477.pdb     -95.269769 kBT
1msyA.pdb     -163.444139 kBT
1msyA_M408.pdb     -104.654857 kBT
1msyA_M493.pdb     -97.038228 kBT
1msyA_M396.pdb     -124.189279 kBT
1msyA_M133.pdb     -147.320401 kBT
1msyA_M154.pdb     -87.148734 kBT
1msyA_M480.pdb     -74.034408 kBT
1msyA_M372.pdb     -93.296497 kBT
1msyA_M231.pdb     -121.936521 kBT
1msyA_M237.pdb     -95.517552 kBT
1msyA_M379.pdb     -101.728081 kBT
1msyA_M128.pdb     -119.172201 kBT
1msyA_M88.pdb     -159.014871 kBT
1msyA_M395.pdb     -88.755007 kBT
1msyA_M266.pdb     -103.039091 kBT
1msyA_M51.pdb     -131.247238 kBT
1msyA_M306.pdb     -92.338433 kBT
1msyA_M234.pdb     -109.763568 kBT
1msyA_M416.pdb     -100.421500 kBT
1msyA_M492.pdb     -93.255154 kBT
1msyA_M345.pdb     -86.059012 kBT
1msyA_M258.pdb     -116.179184 kBT
1msyA_M39.pdb     -132.923382 kBT
1msyA_M11.pdb     -154.799322 kBT
1msyA_M260.pdb     -130.783369 kBT
1msyA_M150.pdb     -128.694390 kBT
1msyA_M360.pdb     -97.417772 kBT
1msyA_M458.pdb     -100.002559 kBT
1msyA_M64.pdb     -112.777406 kBT
1msyA_M196.pdb     -116.964448 kBT
1msyA_M352.pdb     -109.603335 kBT
1msyA_M333.pdb     -92.097646 kBT
1msyA_M273.pdb     -103.603974 kBT
1msyA_M340.pdb     -103.769925 kBT
1msyA_M179.pdb     -121.148114 kBT
1msyA_M36.pdb     -140.202345 kBT
1msyA_M324.pdb     -83.472487 kBT
1msyA_M31.pdb     -142.087467 kBT
1msyA_M199.pdb     -89.303433 kBT
1msyA_M459.pdb     -99.730974 kBT
1msyA_M256.pdb     -119.460439 kBT
1msyA_M81.pdb     -147.135467 kBT
1msyA_M466.pdb     -91.748640 kBT
1msyA_M198.pdb     -126.002527 kBT
1msyA_M160.pdb     -112.536272 kBT
1msyA_M482.pdb     -92.652329 kBT
1msyA_M66.pdb     -99.649798 kBT
1msyA_M357.pdb     -101.371529 kBT
1msyA_M297.pdb     -122.505426 kBT
1msyA_M116.pdb     -80.621900 kBT
1msyA_M361.pdb     -121.905082 kBT
1msyA_M409.pdb     -102.671162 kBT
1msyA_M120.pdb     -132.940757 kBT
1msyA_M431.pdb     -100.456061 kBT
1msyA_M349.pdb     -109.443012 kBT
1msyA_M336.pdb     -106.838175 kBT
1msyA_M294.pdb     -126.266376 kBT
1msyA_M82.pdb     -127.047271 kBT
1msyA_M280.pdb     -91.797536 kBT
1msyA_M25.pdb     -164.891647 kBT
1msyA_M279.pdb     -89.144783 kBT
1msyA_M149.pdb     -122.800966 kBT
1msyA_M350.pdb     -123.524937 kBT
1msyA_M284.pdb     -127.522763 kBT
1msyA_M180.pdb     -119.293314 kBT
1msyA_M481.pdb     -131.573138 kBT
1msyA_M103.pdb     -128.100815 kBT
1msyA_M216.pdb     -135.627517 kBT
1msyA_M89.pdb     -123.584188 kBT
1msyA_M132.pdb     -113.835017 kBT
1msyA_M201.pdb     -120.237795 kBT
1msyA_M72.pdb     -130.093509 kBT
1msyA_M455.pdb     -108.037837 kBT
1msyA_M210.pdb     -102.668509 kBT
1msyA_M35.pdb     -153.885570 kBT
1msyA_M484.pdb     -109.480126 kBT
1msyA_M182.pdb     -125.633754 kBT
1msyA_M244.pdb     -124.233640 kBT
1msyA_M28.pdb     -152.988603 kBT
1msyA_M188.pdb     -141.907964 kBT
1msyA_M437.pdb     -119.461279 kBT
1msyA_M113.pdb     -120.307222 kBT
1msyA_M476.pdb     -116.481975 kBT
1msyA_M57.pdb     -132.409565 kBT
1msyA_M60.pdb     -131.716912 kBT
1msyA_M68.pdb     -135.970573 kBT
1msyA_M430.pdb     -107.505900 kBT
1msyA_M464.pdb     -109.533119 kBT
1msyA_M10.pdb     -156.939793 kBT
1msyA_M147.pdb     -125.453813 kBT
1msyA_M240.pdb     -104.834035 kBT
1msyA_M274.pdb     -125.660271 kBT
1msyA_M69.pdb     -137.986996 kBT
1msyA_M236.pdb     -98.457398 kBT
1msyA_M499.pdb     -104.635926 kBT
1msyA_M356.pdb     -60.709377 kBT
1msyA_M433.pdb     -120.973137 kBT
1msyA_M105.pdb     -119.063512 kBT
1msyA_M277.pdb     -115.465313 kBT
1msyA_M465.pdb     -128.040260 kBT
1msyA_M157.pdb     -128.252241 kBT
