1u9sA_M46.pdb     -532.189231 kBT
1u9sA_M413.pdb     -432.276835 kBT
1u9sA_M98.pdb     -530.453351 kBT
1u9sA_M224.pdb     -483.103354 kBT
1u9sA_M138.pdb     -550.486767 kBT
1u9sA_M458.pdb     -432.180322 kBT
1u9sA_M303.pdb     -497.374141 kBT
1u9sA_M321.pdb     -464.367756 kBT
1u9sA_M314.pdb     -439.015861 kBT
1u9sA_M149.pdb     -482.817673 kBT
1u9sA_M451.pdb     -471.804932 kBT
1u9sA_M210.pdb     -462.130797 kBT
1u9sA_M140.pdb     -523.402229 kBT
1u9sA_M111.pdb     -536.221982 kBT
1u9sA_M15.pdb     -641.929168 kBT
1u9sA_M211.pdb     -507.923731 kBT
1u9sA_M302.pdb     -429.373885 kBT
1u9sA_M158.pdb     -503.595001 kBT
1u9sA_M277.pdb     -480.511142 kBT
1u9sA_M305.pdb     -502.231746 kBT
1u9sA_M127.pdb     -546.024324 kBT
1u9sA_M69.pdb     -547.856804 kBT
1u9sA_M461.pdb     -435.919592 kBT
1u9sA_M109.pdb     -507.350660 kBT
1u9sA_M1.pdb     -661.226039 kBT
1u9sA_M439.pdb     -472.776390 kBT
1u9sA_M446.pdb     -398.825127 kBT
1u9sA_M279.pdb     -489.655563 kBT
1u9sA_M259.pdb     -452.541447 kBT
1u9sA_M356.pdb     -446.041998 kBT
1u9sA_M261.pdb     -440.407844 kBT
1u9sA_M146.pdb     -515.440323 kBT
1u9sA_M193.pdb     -440.693137 kBT
1u9sA_M323.pdb     -491.590481 kBT
1u9sA_M344.pdb     -508.828490 kBT
1u9sA_M365.pdb     -444.870321 kBT
1u9sA_M422.pdb     -445.182806 kBT
1u9sA_M424.pdb     -442.027000 kBT
1u9sA_M333.pdb     -488.195238 kBT
1u9sA_M187.pdb     -425.549939 kBT
1u9sA_M304.pdb     -531.392563 kBT
1u9sA_M486.pdb     -446.714896 kBT
1u9sA_M435.pdb     -466.703068 kBT
1u9sA_M352.pdb     -469.909826 kBT
1u9sA_M456.pdb     -503.495082 kBT
1u9sA_M437.pdb     -419.500048 kBT
1u9sA_M123.pdb     -518.952096 kBT
1u9sA_M225.pdb     -441.160448 kBT
1u9sA_M353.pdb     -492.333408 kBT
1u9sA_M205.pdb     -479.181741 kBT
1u9sA_M8.pdb     -660.957982 kBT
1u9sA_M196.pdb     -510.327754 kBT
1u9sA_M293.pdb     -443.840983 kBT
1u9sA_M185.pdb     -494.664562 kBT
1u9sA_M269.pdb     -487.975191 kBT
1u9sA_M289.pdb     -461.325325 kBT
1u9sA_M21.pdb     -628.939779 kBT
1u9sA_M498.pdb     -467.916610 kBT
1u9sA_M72.pdb     -548.865373 kBT
1u9sA_M134.pdb     -506.199271 kBT
1u9sA_M114.pdb     -507.324959 kBT
1u9sA_M194.pdb     -476.557590 kBT
1u9sA_M63.pdb     -594.634238 kBT
1u9sA_M218.pdb     -491.913427 kBT
1u9sA_M266.pdb     -474.750568 kBT
1u9sA_M29.pdb     -622.971540 kBT
1u9sA_M423.pdb     -466.680759 kBT
1u9sA_M226.pdb     -463.532671 kBT
1u9sA_M405.pdb     -471.360086 kBT
1u9sA_M135.pdb     -537.483577 kBT
1u9sA_M192.pdb     -465.473450 kBT
1u9sA_M376.pdb     -415.524627 kBT
1u9sA_M54.pdb     -585.284102 kBT
1u9sA_M249.pdb     -497.617739 kBT
1u9sA_M419.pdb     -494.805611 kBT
1u9sA_M427.pdb     -488.824223 kBT
1u9sA_M159.pdb     -500.802730 kBT
1u9sA_M206.pdb     -499.729311 kBT
1u9sA_M24.pdb     -599.132180 kBT
1u9sA_M474.pdb     -495.104312 kBT
1u9sA_M273.pdb     -447.592851 kBT
1u9sA_M342.pdb     -449.247851 kBT
1u9sA_M107.pdb     -568.731760 kBT
1u9sA_M359.pdb     -459.599769 kBT
1u9sA_M328.pdb     -482.247595 kBT
1u9sA_M462.pdb     -457.481743 kBT
1u9sA_M428.pdb     -417.452349 kBT
1u9sA_M55.pdb     -530.314381 kBT
1u9sA_M327.pdb     -468.500327 kBT
1u9sA_M396.pdb     -484.485171 kBT
1u9sA_M37.pdb     -593.879669 kBT
1u9sA_M411.pdb     -459.290282 kBT
1u9sA_M240.pdb     -500.212236 kBT
1u9sA_M372.pdb     -466.682698 kBT
1u9sA_M256.pdb     -520.040186 kBT
1u9sA_M120.pdb     -545.936628 kBT
1u9sA_M61.pdb     -522.439349 kBT
1u9sA_M414.pdb     -481.093312 kBT
1u9sA_M326.pdb     -447.471319 kBT
1u9sA_M171.pdb     -481.317143 kBT
1u9sA_M494.pdb     -421.134668 kBT
1u9sA_M492.pdb     -438.376698 kBT
1u9sA_M102.pdb     -523.751166 kBT
1u9sA_M317.pdb     -511.844186 kBT
1u9sA_M325.pdb     -463.930815 kBT
1u9sA_M285.pdb     -442.525167 kBT
1u9sA_M421.pdb     -479.528979 kBT
1u9sA_M234.pdb     -503.779572 kBT
1u9sA_M198.pdb     -501.265401 kBT
1u9sA_M36.pdb     -621.104082 kBT
1u9sA_M19.pdb     -633.645634 kBT
1u9sA_M265.pdb     -497.053144 kBT
1u9sA_M125.pdb     -457.826780 kBT
1u9sA_M454.pdb     -447.631146 kBT
1u9sA_M10.pdb     -624.460057 kBT
1u9sA_M294.pdb     -428.798136 kBT
1u9sA_M481.pdb     -480.237447 kBT
1u9sA_M110.pdb     -530.040905 kBT
1u9sA_M482.pdb     -448.272361 kBT
1u9sA_M113.pdb     -525.701915 kBT
1u9sA_M315.pdb     -490.477780 kBT
1u9sA_M42.pdb     -564.375133 kBT
1u9sA_M479.pdb     -517.186484 kBT
1u9sA_M232.pdb     -476.017482 kBT
1u9sA_M337.pdb     -463.619651 kBT
1u9sA_M436.pdb     -450.844028 kBT
1u9sA_M420.pdb     -486.730026 kBT
1u9sA_M432.pdb     -449.491958 kBT
1u9sA_M282.pdb     -458.927338 kBT
1u9sA_M115.pdb     -500.783170 kBT
1u9sA_M358.pdb     -469.939149 kBT
1u9sA_M150.pdb     -503.881245 kBT
1u9sA_M25.pdb     -605.896709 kBT
1u9sA_M179.pdb     -491.623397 kBT
1u9sA_M235.pdb     -455.316191 kBT
1u9sA_M204.pdb     -464.597338 kBT
1u9sA_M117.pdb     -472.321137 kBT
1u9sA_M73.pdb     -551.620204 kBT
1u9sA_M197.pdb     -485.023295 kBT
1u9sA_M95.pdb     -518.386667 kBT
1u9sA_M49.pdb     -560.369751 kBT
1u9sA_M295.pdb     -486.241772 kBT
1u9sA_M316.pdb     -439.162542 kBT
1u9sA_M459.pdb     -443.973671 kBT
1u9sA_M472.pdb     -505.640770 kBT
1u9sA_M438.pdb     -491.658570 kBT
1u9sA_M382.pdb     -448.930186 kBT
1u9sA_M338.pdb     -431.036612 kBT
1u9sA_M417.pdb     -459.094024 kBT
1u9sA_M260.pdb     -484.060028 kBT
1u9sA_M404.pdb     -471.112626 kBT
1u9sA_M312.pdb     -459.222062 kBT
1u9sA_M497.pdb     -439.474266 kBT
1u9sA_M297.pdb     -469.718681 kBT
1u9sA_M28.pdb     -616.271264 kBT
1u9sA_M278.pdb     -495.824246 kBT
1u9sA_M71.pdb     -550.878562 kBT
1u9sA_M207.pdb     -507.974769 kBT
1u9sA_M35.pdb     -571.890797 kBT
1u9sA_M203.pdb     -519.680519 kBT
1u9sA_M56.pdb     -600.784226 kBT
1u9sA_M389.pdb     -463.888096 kBT
1u9sA_M320.pdb     -471.728410 kBT
1u9sA_M447.pdb     -449.335613 kBT
1u9sA_M239.pdb     -517.710900 kBT
1u9sA_M346.pdb     -463.815306 kBT
1u9sA_M77.pdb     -539.454283 kBT
1u9sA_M22.pdb     -589.848775 kBT
1u9sA_M126.pdb     -572.936922 kBT
1u9sA_M184.pdb     -508.670207 kBT
1u9sA_M243.pdb     -480.009268 kBT
1u9sA_M495.pdb     -510.871096 kBT
1u9sA_M449.pdb     -507.052357 kBT
1u9sA_M362.pdb     -478.304393 kBT
1u9sA_M191.pdb     -452.141800 kBT
1u9sA_M39.pdb     -553.144825 kBT
1u9sA_M112.pdb     -523.694278 kBT
1u9sA_M161.pdb     -522.830142 kBT
1u9sA_M183.pdb     -478.248871 kBT
1u9sA_M453.pdb     -457.456956 kBT
1u9sA_M271.pdb     -460.079665 kBT
1u9sA_M141.pdb     -498.633270 kBT
1u9sA_M87.pdb     -540.962910 kBT
1u9sA_M195.pdb     -506.564632 kBT
1u9sA_M228.pdb     -513.203818 kBT
1u9sA_M99.pdb     -483.374891 kBT
1u9sA_M253.pdb     -460.424546 kBT
1u9sA_M154.pdb     -506.324718 kBT
1u9sA_M199.pdb     -555.424655 kBT
1u9sA_M43.pdb     -601.705249 kBT
1u9sA_M485.pdb     -434.274972 kBT
1u9sA_M488.pdb     -438.479540 kBT
1u9sA_M32.pdb     -584.292260 kBT
1u9sA_M381.pdb     -420.791348 kBT
1u9sA_M145.pdb     -561.918404 kBT
1u9sA_M252.pdb     -502.553444 kBT
1u9sA_M387.pdb     -479.092049 kBT
1u9sA_M318.pdb     -499.440731 kBT
1u9sA_M450.pdb     -426.459498 kBT
1u9sA_M18.pdb     -638.993901 kBT
1u9sA_M415.pdb     -481.355699 kBT
1u9sA_M395.pdb     -471.387407 kBT
1u9sA_M101.pdb     -524.162258 kBT
1u9sA_M247.pdb     -429.452171 kBT
1u9sA_M410.pdb     -448.369533 kBT
1u9sA_M88.pdb     -553.263665 kBT
1u9sA_M2.pdb     -663.183030 kBT
1u9sA_M26.pdb     -636.550265 kBT
1u9sA_M268.pdb     -459.462362 kBT
1u9sA_M400.pdb     -449.074571 kBT
1u9sA_M48.pdb     -590.856230 kBT
1u9sA_M91.pdb     -542.611078 kBT
1u9sA_M388.pdb     -466.155018 kBT
1u9sA_M137.pdb     -499.074277 kBT
1u9sA_M223.pdb     -495.249011 kBT
1u9sA_M222.pdb     -521.252304 kBT
1u9sA_M402.pdb     -461.073582 kBT
1u9sA_M319.pdb     -441.619995 kBT
1u9sA_M94.pdb     -552.003518 kBT
1u9sA_M324.pdb     -461.888937 kBT
1u9sA_M463.pdb     -462.678842 kBT
1u9sA_M242.pdb     -450.817555 kBT
1u9sA_M299.pdb     -432.078340 kBT
1u9sA_M307.pdb     -476.320514 kBT
1u9sA_M50.pdb     -558.316236 kBT
1u9sA_M142.pdb     -521.078876 kBT
1u9sA_M489.pdb     -445.253555 kBT
1u9sA_M483.pdb     -428.615406 kBT
1u9sA_M45.pdb     -590.764719 kBT
1u9sA_M460.pdb     -448.827866 kBT
1u9sA_M257.pdb     -481.324582 kBT
1u9sA_M169.pdb     -533.085677 kBT
1u9sA_M81.pdb     -554.241408 kBT
1u9sA_M174.pdb     -535.841202 kBT
1u9sA_M44.pdb     -582.799886 kBT
1u9sA_M186.pdb     -484.480505 kBT
1u9sA_M290.pdb     -476.666467 kBT
1u9sA_M480.pdb     -511.306584 kBT
1u9sA_M68.pdb     -536.591601 kBT
1u9sA_M399.pdb     -462.232282 kBT
1u9sA_M116.pdb     -508.992523 kBT
1u9sA_M412.pdb     -468.402794 kBT
1u9sA_M93.pdb     -476.772413 kBT
1u9sA_M165.pdb     -483.463872 kBT
1u9sA_M367.pdb     -483.247531 kBT
1u9sA_M104.pdb     -546.239764 kBT
1u9sA_M394.pdb     -445.319626 kBT
1u9sA_M80.pdb     -551.606996 kBT
1u9sA_M274.pdb     -474.661356 kBT
1u9sA_M52.pdb     -593.588851 kBT
1u9sA_M370.pdb     -448.253560 kBT
1u9sA_M430.pdb     -440.371867 kBT
1u9sA_M390.pdb     -455.615541 kBT
1u9sA_M283.pdb     -418.245938 kBT
1u9sA_M445.pdb     -410.140393 kBT
1u9sA_M291.pdb     -501.645682 kBT
1u9sA_M355.pdb     -481.745986 kBT
1u9sA_M250.pdb     -484.672066 kBT
1u9sA_M172.pdb     -514.333287 kBT
1u9sA_M65.pdb     -578.632547 kBT
1u9sA_M391.pdb     -440.905633 kBT
1u9sA_M5.pdb     -668.349683 kBT
1u9sA_M364.pdb     -465.103286 kBT
1u9sA_M217.pdb     -458.986919 kBT
1u9sA_M75.pdb     -537.941167 kBT
1u9sA_M128.pdb     -504.140875 kBT
1u9sA_M425.pdb     -461.283454 kBT
1u9sA_M433.pdb     -470.614602 kBT
1u9sA_M190.pdb     -506.320297 kBT
1u9sA_M398.pdb     -453.168684 kBT
1u9sA_M51.pdb     -575.095718 kBT
1u9sA_M298.pdb     -454.638228 kBT
1u9sA_M182.pdb     -508.763958 kBT
1u9sA_M384.pdb     -467.601922 kBT
1u9sA_M369.pdb     -491.305190 kBT
1u9sA_M11.pdb     -656.707477 kBT
1u9sA_M457.pdb     -484.196100 kBT
1u9sA_M60.pdb     -553.003361 kBT
1u9sA_M284.pdb     -466.605413 kBT
1u9sA_M66.pdb     -532.482593 kBT
1u9sA_M378.pdb     -479.263737 kBT
1u9sA_M496.pdb     -475.326989 kBT
1u9sA_M173.pdb     -501.967644 kBT
1u9sA_M281.pdb     -440.866688 kBT
1u9sA_M393.pdb     -428.878895 kBT
1u9sA_M490.pdb     -446.821540 kBT
1u9sA_M270.pdb     -508.408708 kBT
1u9sA_M105.pdb     -561.866637 kBT
1u9sA_M409.pdb     -495.644445 kBT
1u9sA_M347.pdb     -461.976484 kBT
1u9sA_M493.pdb     -482.003942 kBT
1u9sA_M34.pdb     -581.330744 kBT
1u9sA_M70.pdb     -583.355610 kBT
1u9sA_M23.pdb     -576.221504 kBT
1u9sA_M47.pdb     -583.494988 kBT
1u9sA_M136.pdb     -510.456806 kBT
1u9sA_M208.pdb     -478.240876 kBT
1u9sA_M237.pdb     -525.153157 kBT
1u9sA_M408.pdb     -440.447942 kBT
1u9sA_M245.pdb     -462.585561 kBT
1u9sA_M407.pdb     -465.569214 kBT
1u9sA_M106.pdb     -513.992492 kBT
1u9sA_M477.pdb     -480.312654 kBT
1u9sA_M160.pdb     -506.251633 kBT
1u9sA_M157.pdb     -444.850343 kBT
1u9sA_M162.pdb     -540.075061 kBT
1u9sA_M397.pdb     -461.725610 kBT
1u9sA_M59.pdb     -567.306947 kBT
1u9sA_M248.pdb     -465.980655 kBT
1u9sA_M348.pdb     -460.850869 kBT
1u9sA_M440.pdb     -437.429704 kBT
1u9sA_M176.pdb     -523.740547 kBT
1u9sA_M132.pdb     -496.401711 kBT
1u9sA_M491.pdb     -454.842727 kBT
1u9sA_M331.pdb     -426.379734 kBT
1u9sA_M354.pdb     -465.677189 kBT
1u9sA_M434.pdb     -486.619257 kBT
1u9sA_M379.pdb     -483.891147 kBT
1u9sA_M300.pdb     -462.658210 kBT
1u9sA_M309.pdb     -489.474377 kBT
1u9sA_M288.pdb     -487.003468 kBT
1u9sA_M121.pdb     -507.756702 kBT
1u9sA_M167.pdb     -554.282861 kBT
1u9sA_M151.pdb     -515.734274 kBT
1u9sA_M357.pdb     -476.884159 kBT
1u9sA_M4.pdb     -663.890577 kBT
1u9sA_M221.pdb     -469.941171 kBT
1u9sA_M200.pdb     -537.053377 kBT
1u9sA_M230.pdb     -466.449645 kBT
1u9sA_M343.pdb     -485.940947 kBT
1u9sA_M310.pdb     -445.154923 kBT
1u9sA_M341.pdb     -450.908898 kBT
1u9sA_M322.pdb     -455.937186 kBT
1u9sA_M368.pdb     -431.972627 kBT
1u9sA_M152.pdb     -528.089546 kBT
1u9sA_M92.pdb     -504.320444 kBT
1u9sA_M122.pdb     -526.351816 kBT
1u9sA_M386.pdb     -484.305359 kBT
1u9sA_M464.pdb     -476.192066 kBT
1u9sA_M76.pdb     -578.047433 kBT
1u9sA_M202.pdb     -510.193514 kBT
1u9sA_M85.pdb     -541.112421 kBT
1u9sA_M443.pdb     -420.355629 kBT
1u9sA_M466.pdb     -452.743359 kBT
1u9sA_M262.pdb     -455.756577 kBT
1u9sA_M78.pdb     -550.715905 kBT
1u9sA_M499.pdb     -411.330907 kBT
1u9sA_M500.pdb     -482.644895 kBT
1u9sA_M296.pdb     -480.373133 kBT
1u9sA_M251.pdb     -503.607558 kBT
1u9sA_M168.pdb     -469.045743 kBT
1u9sA_M175.pdb     -496.352253 kBT
1u9sA_M429.pdb     -458.817319 kBT
1u9sA_M468.pdb     -474.783615 kBT
1u9sA_M236.pdb     -493.631493 kBT
1u9sA_M470.pdb     -489.011324 kBT
1u9sA_M478.pdb     -454.643635 kBT
1u9sA_M108.pdb     -547.566855 kBT
1u9sA_M97.pdb     -540.877219 kBT
1u9sA_M335.pdb     -496.139905 kBT
1u9sA_M212.pdb     -533.587197 kBT
1u9sA_M90.pdb     -524.060657 kBT
1u9sA_M189.pdb     -480.420883 kBT
1u9sA_M238.pdb     -469.213866 kBT
1u9sA_M180.pdb     -487.665008 kBT
1u9sA_M89.pdb     -539.155092 kBT
1u9sA_M475.pdb     -454.476156 kBT
1u9sA_M329.pdb     -453.257049 kBT
1u9sA_M487.pdb     -434.709840 kBT
1u9sA_M244.pdb     -499.409827 kBT
1u9sA_M62.pdb     -552.193990 kBT
1u9sA_M40.pdb     -609.946295 kBT
1u9sA_M82.pdb     -533.441058 kBT
1u9sA_M330.pdb     -515.405291 kBT
1u9sA.pdb     -707.930979 kBT
1u9sA_M340.pdb     -460.216688 kBT
1u9sA_M181.pdb     -468.097982 kBT
1u9sA_M213.pdb     -555.267103 kBT
1u9sA_M155.pdb     -456.629515 kBT
1u9sA_M345.pdb     -502.117296 kBT
1u9sA_M166.pdb     -453.747988 kBT
1u9sA_M38.pdb     -567.509250 kBT
1u9sA_M255.pdb     -456.413328 kBT
1u9sA_M33.pdb     -589.342473 kBT
1u9sA_M441.pdb     -449.973330 kBT
1u9sA_M215.pdb     -482.273190 kBT
1u9sA_M406.pdb     -451.077590 kBT
1u9sA_M131.pdb     -500.243387 kBT
1u9sA_M246.pdb     -431.714396 kBT
1u9sA_M377.pdb     -475.672192 kBT
1u9sA_M177.pdb     -502.199614 kBT
1u9sA_M452.pdb     -412.585964 kBT
1u9sA_M129.pdb     -541.382702 kBT
1u9sA_M58.pdb     -574.448842 kBT
1u9sA_M214.pdb     -508.102407 kBT
1u9sA_M467.pdb     -432.058289 kBT
1u9sA_M147.pdb     -480.344982 kBT
1u9sA_M334.pdb     -467.526127 kBT
1u9sA_M13.pdb     -648.514304 kBT
1u9sA_M233.pdb     -470.326102 kBT
1u9sA_M188.pdb     -507.954351 kBT
1u9sA_M473.pdb     -435.391426 kBT
1u9sA_M41.pdb     -577.002451 kBT
1u9sA_M374.pdb     -467.913039 kBT
1u9sA_M371.pdb     -499.092442 kBT
1u9sA_M350.pdb     -480.457304 kBT
1u9sA_M130.pdb     -507.886736 kBT
1u9sA_M380.pdb     -459.971791 kBT
1u9sA_M178.pdb     -467.724180 kBT
1u9sA_M229.pdb     -425.970730 kBT
1u9sA_M361.pdb     -482.759109 kBT
1u9sA_M275.pdb     -527.948000 kBT
1u9sA_M332.pdb     -474.437251 kBT
1u9sA_M280.pdb     -449.274958 kBT
1u9sA_M64.pdb     -567.927809 kBT
1u9sA_M124.pdb     -505.312177 kBT
1u9sA_M86.pdb     -577.989504 kBT
1u9sA_M53.pdb     -602.341352 kBT
1u9sA_M9.pdb     -657.503321 kBT
1u9sA_M349.pdb     -433.544464 kBT
1u9sA_M216.pdb     -503.197494 kBT
1u9sA_M308.pdb     -465.111097 kBT
1u9sA_M267.pdb     -458.055913 kBT
1u9sA_M96.pdb     -535.555145 kBT
1u9sA_M133.pdb     -524.722314 kBT
1u9sA_M366.pdb     -519.959603 kBT
1u9sA_M401.pdb     -463.579369 kBT
1u9sA_M164.pdb     -490.134350 kBT
1u9sA_M20.pdb     -623.233826 kBT
1u9sA_M17.pdb     -601.839553 kBT
1u9sA_M12.pdb     -629.204009 kBT
1u9sA_M7.pdb     -642.867220 kBT
1u9sA_M148.pdb     -508.046085 kBT
1u9sA_M14.pdb     -634.688405 kBT
1u9sA_M403.pdb     -460.808876 kBT
1u9sA_M418.pdb     -462.465375 kBT
1u9sA_M311.pdb     -484.209612 kBT
1u9sA_M67.pdb     -532.141658 kBT
1u9sA_M363.pdb     -452.451561 kBT
1u9sA_M336.pdb     -519.235765 kBT
1u9sA_M392.pdb     -421.072890 kBT
1u9sA_M31.pdb     -600.715092 kBT
1u9sA_M469.pdb     -491.405511 kBT
1u9sA_M83.pdb     -546.528157 kBT
1u9sA_M163.pdb     -503.035389 kBT
1u9sA_M254.pdb     -498.053836 kBT
1u9sA_M272.pdb     -456.507586 kBT
1u9sA_M3.pdb     -667.753718 kBT
1u9sA_M258.pdb     -484.863661 kBT
1u9sA_M416.pdb     -428.687535 kBT
1u9sA_M313.pdb     -470.028235 kBT
