3fu4A_M69.pdb     -140.704710 kBT
3fu4A_M92.pdb     -130.778719 kBT
3fu4A_M101.pdb     -132.370408 kBT
3fu4A_M57.pdb     -144.745687 kBT
3fu4A_M252.pdb     -117.556458 kBT
3fu4A_M191.pdb     -127.147505 kBT
3fu4A_M33.pdb     -137.426231 kBT
3fu4A_M273.pdb     -122.491667 kBT
3fu4A_M315.pdb     -131.605222 kBT
3fu4A_M146.pdb     -134.929407 kBT
3fu4A_M40.pdb     -135.030931 kBT
3fu4A_M97.pdb     -129.442883 kBT
3fu4A_M138.pdb     -117.252586 kBT
3fu4A_M274.pdb     -126.567747 kBT
3fu4A_M312.pdb     -115.710791 kBT
3fu4A_M395.pdb     -116.665179 kBT
3fu4A_M464.pdb     -109.943668 kBT
3fu4A_M424.pdb     -128.055910 kBT
3fu4A_M65.pdb     -134.084937 kBT
3fu4A_M148.pdb     -114.446806 kBT
3fu4A_M484.pdb     -112.861601 kBT
3fu4A_M455.pdb     -120.050887 kBT
3fu4A_M208.pdb     -127.640426 kBT
3fu4A_M291.pdb     -118.943421 kBT
3fu4A_M283.pdb     -114.224031 kBT
3fu4A_M225.pdb     -116.998739 kBT
3fu4A_M328.pdb     -123.003636 kBT
3fu4A_M416.pdb     -125.582665 kBT
3fu4A_M300.pdb     -122.688562 kBT
3fu4A_M345.pdb     -120.701483 kBT
3fu4A_M404.pdb     -125.700820 kBT
3fu4A_M81.pdb     -112.545438 kBT
3fu4A_M38.pdb     -130.041121 kBT
3fu4A_M132.pdb     -140.295781 kBT
3fu4A_M27.pdb     -151.369484 kBT
3fu4A_M474.pdb     -117.862125 kBT
3fu4A_M259.pdb     -128.436254 kBT
3fu4A_M456.pdb     -123.192666 kBT
3fu4A_M151.pdb     -121.974481 kBT
3fu4A_M93.pdb     -124.440645 kBT
3fu4A_M296.pdb     -129.501294 kBT
3fu4A_M137.pdb     -132.410879 kBT
3fu4A_M50.pdb     -128.631855 kBT
3fu4A_M218.pdb     -126.409518 kBT
3fu4A_M265.pdb     -141.864859 kBT
3fu4A_M336.pdb     -127.523943 kBT
3fu4A_M8.pdb     -142.999223 kBT
3fu4A_M64.pdb     -110.203125 kBT
3fu4A_M445.pdb     -111.229540 kBT
3fu4A_M210.pdb     -121.383604 kBT
3fu4A_M366.pdb     -121.896844 kBT
3fu4A_M61.pdb     -120.809653 kBT
3fu4A_M320.pdb     -120.487466 kBT
3fu4A_M483.pdb     -129.214664 kBT
3fu4A_M26.pdb     -140.709440 kBT
3fu4A_M425.pdb     -115.558946 kBT
3fu4A_M196.pdb     -116.735511 kBT
3fu4A.pdb     -171.377094 kBT
3fu4A_M159.pdb     -132.233359 kBT
3fu4A_M386.pdb     -117.438768 kBT
3fu4A_M496.pdb     -115.750929 kBT
3fu4A_M184.pdb     -119.598232 kBT
3fu4A_M157.pdb     -121.120002 kBT
3fu4A_M193.pdb     -115.751516 kBT
3fu4A_M398.pdb     -116.132398 kBT
3fu4A_M172.pdb     -128.410394 kBT
3fu4A_M91.pdb     -117.718776 kBT
3fu4A_M469.pdb     -126.507632 kBT
3fu4A_M24.pdb     -133.832994 kBT
3fu4A_M326.pdb     -120.001544 kBT
3fu4A_M116.pdb     -113.814865 kBT
3fu4A_M322.pdb     -127.250984 kBT
3fu4A_M374.pdb     -109.464641 kBT
3fu4A_M239.pdb     -137.428431 kBT
3fu4A_M75.pdb     -134.888739 kBT
3fu4A_M442.pdb     -124.018113 kBT
3fu4A_M152.pdb     -123.564762 kBT
3fu4A_M463.pdb     -121.666414 kBT
3fu4A_M213.pdb     -136.209588 kBT
3fu4A_M340.pdb     -115.058376 kBT
3fu4A_M466.pdb     -133.130253 kBT
3fu4A_M419.pdb     -120.028661 kBT
3fu4A_M292.pdb     -117.657869 kBT
3fu4A_M161.pdb     -122.248921 kBT
3fu4A_M194.pdb     -134.192311 kBT
3fu4A_M179.pdb     -126.551997 kBT
3fu4A_M89.pdb     -127.831899 kBT
3fu4A_M364.pdb     -120.005816 kBT
3fu4A_M86.pdb     -133.721787 kBT
3fu4A_M367.pdb     -134.183228 kBT
3fu4A_M260.pdb     -119.467523 kBT
3fu4A_M128.pdb     -129.564395 kBT
3fu4A_M6.pdb     -151.016917 kBT
3fu4A_M10.pdb     -151.066805 kBT
3fu4A_M303.pdb     -95.222869 kBT
3fu4A_M5.pdb     -142.874860 kBT
3fu4A_M257.pdb     -130.222203 kBT
3fu4A_M53.pdb     -133.454789 kBT
3fu4A_M95.pdb     -135.315983 kBT
3fu4A_M418.pdb     -120.014565 kBT
3fu4A_M171.pdb     -114.651711 kBT
3fu4A_M440.pdb     -129.250097 kBT
3fu4A_M493.pdb     -124.815251 kBT
3fu4A_M271.pdb     -125.522288 kBT
3fu4A_M448.pdb     -117.828417 kBT
3fu4A_M357.pdb     -124.701124 kBT
3fu4A_M262.pdb     -121.849325 kBT
3fu4A_M427.pdb     -125.165144 kBT
3fu4A_M25.pdb     -142.085375 kBT
3fu4A_M426.pdb     -130.622740 kBT
3fu4A_M297.pdb     -128.997575 kBT
3fu4A_M71.pdb     -127.611434 kBT
3fu4A_M62.pdb     -124.674156 kBT
3fu4A_M167.pdb     -152.944994 kBT
3fu4A_M55.pdb     -132.144748 kBT
3fu4A_M44.pdb     -147.435874 kBT
3fu4A_M332.pdb     -121.448901 kBT
3fu4A_M276.pdb     -127.401731 kBT
3fu4A_M369.pdb     -125.047981 kBT
3fu4A_M169.pdb     -118.518646 kBT
3fu4A_M280.pdb     -128.426790 kBT
3fu4A_M430.pdb     -122.670305 kBT
3fu4A_M7.pdb     -154.121322 kBT
3fu4A_M32.pdb     -150.630032 kBT
3fu4A_M140.pdb     -137.600669 kBT
3fu4A_M352.pdb     -125.985536 kBT
3fu4A_M231.pdb     -123.298841 kBT
3fu4A_M453.pdb     -135.675597 kBT
3fu4A_M428.pdb     -130.988993 kBT
3fu4A_M437.pdb     -121.333435 kBT
3fu4A_M358.pdb     -128.461935 kBT
3fu4A_M282.pdb     -128.038943 kBT
3fu4A_M207.pdb     -114.672627 kBT
3fu4A_M82.pdb     -128.243187 kBT
3fu4A_M301.pdb     -120.910011 kBT
3fu4A_M318.pdb     -122.827788 kBT
3fu4A_M286.pdb     -116.605303 kBT
3fu4A_M59.pdb     -130.448949 kBT
3fu4A_M317.pdb     -120.016236 kBT
3fu4A_M392.pdb     -122.873481 kBT
3fu4A_M131.pdb     -130.195534 kBT
3fu4A_M2.pdb     -153.966240 kBT
3fu4A_M73.pdb     -129.217908 kBT
3fu4A_M21.pdb     -140.063983 kBT
3fu4A_M486.pdb     -121.955857 kBT
3fu4A_M334.pdb     -120.198548 kBT
3fu4A_M279.pdb     -128.247875 kBT
3fu4A_M223.pdb     -144.681703 kBT
3fu4A_M381.pdb     -123.420528 kBT
3fu4A_M408.pdb     -134.294397 kBT
3fu4A_M139.pdb     -142.858094 kBT
3fu4A_M177.pdb     -121.714557 kBT
3fu4A_M353.pdb     -121.165892 kBT
3fu4A_M264.pdb     -112.945426 kBT
3fu4A_M347.pdb     -143.587097 kBT
3fu4A_M329.pdb     -125.723133 kBT
3fu4A_M420.pdb     -114.947452 kBT
3fu4A_M461.pdb     -124.475280 kBT
3fu4A_M338.pdb     -125.189546 kBT
3fu4A_M368.pdb     -127.601302 kBT
3fu4A_M67.pdb     -135.393135 kBT
3fu4A_M47.pdb     -135.730382 kBT
3fu4A_M43.pdb     -138.786316 kBT
3fu4A_M11.pdb     -147.190687 kBT
3fu4A_M281.pdb     -125.842806 kBT
3fu4A_M443.pdb     -113.624217 kBT
3fu4A_M343.pdb     -126.985666 kBT
3fu4A_M13.pdb     -142.927458 kBT
3fu4A_M206.pdb     -124.584073 kBT
3fu4A_M354.pdb     -128.653744 kBT
3fu4A_M254.pdb     -126.791502 kBT
3fu4A_M200.pdb     -127.138664 kBT
3fu4A_M405.pdb     -121.519663 kBT
3fu4A_M372.pdb     -126.092643 kBT
3fu4A_M327.pdb     -128.939546 kBT
3fu4A_M183.pdb     -133.517706 kBT
3fu4A_M112.pdb     -142.922325 kBT
3fu4A_M399.pdb     -107.983691 kBT
3fu4A_M394.pdb     -130.471693 kBT
3fu4A_M96.pdb     -135.383953 kBT
3fu4A_M500.pdb     -115.011247 kBT
3fu4A_M122.pdb     -132.552231 kBT
3fu4A_M250.pdb     -129.383384 kBT
3fu4A_M489.pdb     -134.650947 kBT
3fu4A_M324.pdb     -113.000055 kBT
3fu4A_M136.pdb     -134.078664 kBT
3fu4A_M475.pdb     -116.367971 kBT
3fu4A_M470.pdb     -116.947711 kBT
3fu4A_M253.pdb     -122.154889 kBT
3fu4A_M142.pdb     -117.337746 kBT
3fu4A_M294.pdb     -114.465255 kBT
3fu4A_M468.pdb     -118.567314 kBT
3fu4A_M270.pdb     -124.439397 kBT
3fu4A_M355.pdb     -142.467049 kBT
3fu4A_M316.pdb     -123.834263 kBT
3fu4A_M78.pdb     -129.301213 kBT
3fu4A_M441.pdb     -128.462225 kBT
3fu4A_M307.pdb     -131.823597 kBT
3fu4A_M471.pdb     -119.792912 kBT
3fu4A_M230.pdb     -130.428868 kBT
3fu4A_M251.pdb     -122.113540 kBT
3fu4A_M222.pdb     -137.629166 kBT
3fu4A_M378.pdb     -116.256608 kBT
3fu4A_M100.pdb     -139.440122 kBT
3fu4A_M330.pdb     -127.823538 kBT
3fu4A_M219.pdb     -117.123142 kBT
3fu4A_M383.pdb     -127.707471 kBT
3fu4A_M147.pdb     -136.833632 kBT
3fu4A_M263.pdb     -134.664367 kBT
3fu4A_M397.pdb     -134.476163 kBT
3fu4A_M478.pdb     -131.102812 kBT
3fu4A_M359.pdb     -129.785699 kBT
3fu4A_M19.pdb     -139.686116 kBT
3fu4A_M85.pdb     -133.944059 kBT
3fu4A_M22.pdb     -133.872062 kBT
3fu4A_M431.pdb     -101.824637 kBT
3fu4A_M403.pdb     -109.938180 kBT
3fu4A_M54.pdb     -143.119214 kBT
3fu4A_M278.pdb     -126.651851 kBT
3fu4A_M102.pdb     -136.161401 kBT
3fu4A_M321.pdb     -124.535191 kBT
3fu4A_M15.pdb     -156.715498 kBT
3fu4A_M108.pdb     -144.501600 kBT
3fu4A_M134.pdb     -135.550956 kBT
3fu4A_M495.pdb     -116.972309 kBT
3fu4A_M429.pdb     -114.404478 kBT
3fu4A_M94.pdb     -138.574702 kBT
3fu4A_M309.pdb     -121.767907 kBT
3fu4A_M402.pdb     -131.033894 kBT
3fu4A_M14.pdb     -137.463819 kBT
3fu4A_M170.pdb     -109.587063 kBT
3fu4A_M66.pdb     -135.005270 kBT
3fu4A_M88.pdb     -119.652143 kBT
3fu4A_M311.pdb     -127.956608 kBT
3fu4A_M174.pdb     -129.284497 kBT
3fu4A_M182.pdb     -128.331336 kBT
3fu4A_M153.pdb     -142.406202 kBT
3fu4A_M422.pdb     -109.886361 kBT
3fu4A_M119.pdb     -128.358111 kBT
3fu4A_M227.pdb     -130.194489 kBT
3fu4A_M261.pdb     -135.216270 kBT
3fu4A_M256.pdb     -133.660732 kBT
3fu4A_M18.pdb     -144.823516 kBT
3fu4A_M243.pdb     -140.879138 kBT
3fu4A_M109.pdb     -137.754243 kBT
3fu4A_M120.pdb     -112.965745 kBT
3fu4A_M185.pdb     -122.713421 kBT
3fu4A_M234.pdb     -123.505159 kBT
3fu4A_M143.pdb     -138.013468 kBT
3fu4A_M288.pdb     -117.292199 kBT
3fu4A_M9.pdb     -148.534618 kBT
3fu4A_M313.pdb     -119.030774 kBT
3fu4A_M360.pdb     -117.509927 kBT
3fu4A_M103.pdb     -137.969433 kBT
3fu4A_M212.pdb     -128.764540 kBT
3fu4A_M35.pdb     -129.175597 kBT
3fu4A_M269.pdb     -130.599666 kBT
3fu4A_M298.pdb     -116.609550 kBT
3fu4A_M41.pdb     -138.889466 kBT
3fu4A_M457.pdb     -110.515941 kBT
3fu4A_M164.pdb     -125.446537 kBT
3fu4A_M376.pdb     -117.351749 kBT
3fu4A_M127.pdb     -120.297738 kBT
3fu4A_M145.pdb     -133.952133 kBT
3fu4A_M189.pdb     -147.708199 kBT
3fu4A_M198.pdb     -116.716202 kBT
3fu4A_M118.pdb     -141.877949 kBT
3fu4A_M30.pdb     -135.087971 kBT
3fu4A_M70.pdb     -125.371303 kBT
3fu4A_M465.pdb     -125.832079 kBT
3fu4A_M492.pdb     -116.208995 kBT
3fu4A_M433.pdb     -110.986044 kBT
3fu4A_M90.pdb     -131.651755 kBT
3fu4A_M80.pdb     -138.966669 kBT
3fu4A_M216.pdb     -137.243743 kBT
3fu4A_M52.pdb     -143.602177 kBT
3fu4A_M435.pdb     -101.264608 kBT
3fu4A_M412.pdb     -105.285507 kBT
3fu4A_M415.pdb     -108.185838 kBT
3fu4A_M113.pdb     -119.235416 kBT
3fu4A_M388.pdb     -100.690823 kBT
3fu4A_M202.pdb     -130.104243 kBT
3fu4A_M236.pdb     -126.863364 kBT
3fu4A_M117.pdb     -133.608807 kBT
3fu4A_M226.pdb     -116.868469 kBT
3fu4A_M160.pdb     -127.787626 kBT
3fu4A_M248.pdb     -125.912076 kBT
3fu4A_M406.pdb     -131.978632 kBT
3fu4A_M361.pdb     -137.742464 kBT
3fu4A_M45.pdb     -132.395161 kBT
3fu4A_M284.pdb     -123.186368 kBT
3fu4A_M178.pdb     -112.473094 kBT
3fu4A_M268.pdb     -122.392119 kBT
3fu4A_M205.pdb     -121.640649 kBT
3fu4A_M72.pdb     -129.720529 kBT
3fu4A_M190.pdb     -122.096506 kBT
3fu4A_M275.pdb     -129.213909 kBT
3fu4A_M233.pdb     -117.324907 kBT
3fu4A_M181.pdb     -124.563311 kBT
3fu4A_M472.pdb     -123.751227 kBT
3fu4A_M98.pdb     -133.331795 kBT
3fu4A_M34.pdb     -147.345558 kBT
3fu4A_M166.pdb     -122.172899 kBT
3fu4A_M385.pdb     -128.700084 kBT
3fu4A_M337.pdb     -115.821230 kBT
3fu4A_M29.pdb     -137.421180 kBT
3fu4A_M158.pdb     -133.738942 kBT
3fu4A_M310.pdb     -124.231661 kBT
3fu4A_M215.pdb     -133.258415 kBT
3fu4A_M277.pdb     -124.333716 kBT
3fu4A_M37.pdb     -119.086707 kBT
3fu4A_M473.pdb     -119.720988 kBT
3fu4A_M409.pdb     -125.358611 kBT
3fu4A_M186.pdb     -129.848854 kBT
3fu4A_M114.pdb     -140.661055 kBT
3fu4A_M79.pdb     -134.584298 kBT
3fu4A_M339.pdb     -130.249515 kBT
3fu4A_M349.pdb     -127.273356 kBT
3fu4A_M423.pdb     -115.107750 kBT
3fu4A_M314.pdb     -131.518457 kBT
3fu4A_M76.pdb     -128.432001 kBT
3fu4A_M482.pdb     -106.521492 kBT
3fu4A_M362.pdb     -133.626313 kBT
3fu4A_M305.pdb     -135.308050 kBT
3fu4A_M266.pdb     -128.692029 kBT
3fu4A_M156.pdb     -116.005311 kBT
3fu4A_M17.pdb     -159.002363 kBT
3fu4A_M162.pdb     -131.447711 kBT
3fu4A_M204.pdb     -127.489742 kBT
3fu4A_M123.pdb     -138.928534 kBT
3fu4A_M197.pdb     -138.505588 kBT
3fu4A_M60.pdb     -125.133782 kBT
3fu4A_M411.pdb     -135.749267 kBT
3fu4A_M325.pdb     -126.170754 kBT
3fu4A_M350.pdb     -136.718600 kBT
3fu4A_M413.pdb     -124.509453 kBT
3fu4A_M235.pdb     -141.324174 kBT
3fu4A_M1.pdb     -148.368623 kBT
3fu4A_M306.pdb     -113.490968 kBT
3fu4A_M467.pdb     -120.429645 kBT
3fu4A_M77.pdb     -135.859401 kBT
3fu4A_M384.pdb     -86.919942 kBT
3fu4A_M83.pdb     -105.526323 kBT
3fu4A_M39.pdb     -141.848134 kBT
3fu4A_M396.pdb     -106.486679 kBT
3fu4A_M393.pdb     -112.098074 kBT
3fu4A_M290.pdb     -122.456592 kBT
3fu4A_M238.pdb     -142.832732 kBT
3fu4A_M331.pdb     -114.493849 kBT
3fu4A_M141.pdb     -116.321616 kBT
3fu4A_M195.pdb     -128.723962 kBT
3fu4A_M449.pdb     -128.472574 kBT
3fu4A_M356.pdb     -136.804508 kBT
3fu4A_M485.pdb     -113.359384 kBT
3fu4A_M201.pdb     -128.820649 kBT
3fu4A_M121.pdb     -123.682297 kBT
3fu4A_M342.pdb     -126.532517 kBT
3fu4A_M56.pdb     -144.917661 kBT
3fu4A_M380.pdb     -133.799971 kBT
3fu4A_M444.pdb     -116.446404 kBT
3fu4A_M48.pdb     -135.630313 kBT
3fu4A_M272.pdb     -131.303968 kBT
3fu4A_M74.pdb     -145.352400 kBT
3fu4A_M379.pdb     -131.844226 kBT
3fu4A_M479.pdb     -123.870686 kBT
3fu4A_M199.pdb     -132.317853 kBT
3fu4A_M289.pdb     -138.740958 kBT
3fu4A_M382.pdb     -119.538614 kBT
3fu4A_M481.pdb     -108.124299 kBT
3fu4A_M244.pdb     -114.418005 kBT
3fu4A_M267.pdb     -127.306135 kBT
3fu4A_M209.pdb     -120.485634 kBT
3fu4A_M36.pdb     -145.284997 kBT
3fu4A_M450.pdb     -121.965755 kBT
3fu4A_M452.pdb     -112.115775 kBT
3fu4A_M389.pdb     -104.785711 kBT
3fu4A_M304.pdb     -125.378953 kBT
3fu4A_M299.pdb     -115.870668 kBT
3fu4A_M46.pdb     -126.406300 kBT
3fu4A_M308.pdb     -123.224434 kBT
3fu4A_M447.pdb     -119.360606 kBT
3fu4A_M499.pdb     -131.165015 kBT
3fu4A_M58.pdb     -137.046397 kBT
3fu4A_M228.pdb     -115.422399 kBT
3fu4A_M192.pdb     -128.012345 kBT
3fu4A_M110.pdb     -132.096144 kBT
3fu4A_M176.pdb     -136.171289 kBT
3fu4A_M391.pdb     -129.713433 kBT
3fu4A_M149.pdb     -127.903282 kBT
3fu4A_M133.pdb     -139.817687 kBT
3fu4A_M107.pdb     -102.444830 kBT
3fu4A_M476.pdb     -114.079516 kBT
3fu4A_M477.pdb     -120.156696 kBT
3fu4A_M341.pdb     -148.175455 kBT
3fu4A_M240.pdb     -122.510212 kBT
3fu4A_M302.pdb     -125.594386 kBT
3fu4A_M188.pdb     -146.539730 kBT
3fu4A_M370.pdb     -139.508675 kBT
3fu4A_M439.pdb     -126.695461 kBT
3fu4A_M417.pdb     -120.530667 kBT
3fu4A_M104.pdb     -130.353806 kBT
3fu4A_M400.pdb     -123.993855 kBT
3fu4A_M335.pdb     -108.846211 kBT
3fu4A_M180.pdb     -135.957037 kBT
3fu4A_M458.pdb     -124.544264 kBT
3fu4A_M241.pdb     -126.890426 kBT
3fu4A_M371.pdb     -114.399877 kBT
3fu4A_M487.pdb     -117.592093 kBT
3fu4A_M285.pdb     -136.693676 kBT
3fu4A_M111.pdb     -100.251043 kBT
3fu4A_M125.pdb     -140.887227 kBT
3fu4A_M105.pdb     -129.764953 kBT
3fu4A_M217.pdb     -138.397808 kBT
3fu4A_M229.pdb     -129.393075 kBT
3fu4A_M344.pdb     -116.518529 kBT
3fu4A_M175.pdb     -105.883010 kBT
3fu4A_M348.pdb     -126.223259 kBT
3fu4A_M421.pdb     -133.729694 kBT
3fu4A_M165.pdb     -131.423600 kBT
3fu4A_M498.pdb     -132.653130 kBT
3fu4A_M454.pdb     -136.921810 kBT
3fu4A_M168.pdb     -137.108027 kBT
3fu4A_M494.pdb     -132.583641 kBT
3fu4A_M295.pdb     -124.986898 kBT
3fu4A_M3.pdb     -152.534839 kBT
3fu4A_M242.pdb     -121.108673 kBT
3fu4A_M377.pdb     -113.198054 kBT
3fu4A_M497.pdb     -128.745033 kBT
3fu4A_M319.pdb     -131.124587 kBT
3fu4A_M28.pdb     -138.841973 kBT
3fu4A_M163.pdb     -140.058160 kBT
3fu4A_M387.pdb     -128.152368 kBT
3fu4A_M173.pdb     -127.190744 kBT
3fu4A_M99.pdb     -137.110869 kBT
3fu4A_M51.pdb     -133.373620 kBT
3fu4A_M490.pdb     -121.255424 kBT
3fu4A_M211.pdb     -106.375063 kBT
3fu4A_M16.pdb     -145.731255 kBT
3fu4A_M42.pdb     -138.650985 kBT
3fu4A_M23.pdb     -139.947488 kBT
3fu4A_M31.pdb     -149.544409 kBT
3fu4A_M414.pdb     -118.960610 kBT
3fu4A_M237.pdb     -106.194499 kBT
3fu4A_M144.pdb     -121.180919 kBT
3fu4A_M410.pdb     -112.462953 kBT
3fu4A_M480.pdb     -105.741939 kBT
3fu4A_M150.pdb     -116.115044 kBT
3fu4A_M130.pdb     -117.430132 kBT
3fu4A_M293.pdb     -122.635343 kBT
