3eogA_M64.pdb     -1274.987362 kBT
3eogA_M253.pdb     -1167.083555 kBT
3eogA_M168.pdb     -1181.599728 kBT
3eogA_M12.pdb     -1384.959553 kBT
3eogA_M361.pdb     -1174.827455 kBT
3eogA_M204.pdb     -1195.262390 kBT
3eogA_M160.pdb     -1223.077790 kBT
3eogA_M132.pdb     -1244.887224 kBT
3eogA_M289.pdb     -1180.952858 kBT
3eogA_M363.pdb     -1143.873877 kBT
3eogA_M449.pdb     -1164.554527 kBT
3eogA_M49.pdb     -1361.821756 kBT
3eogA_M424.pdb     -1129.149043 kBT
3eogA_M452.pdb     -1180.559096 kBT
3eogA_M406.pdb     -1154.935556 kBT
3eogA_M332.pdb     -1134.082088 kBT
3eogA_M138.pdb     -1131.584013 kBT
3eogA_M163.pdb     -1202.234810 kBT
3eogA_M374.pdb     -1164.003467 kBT
3eogA_M478.pdb     -1144.988341 kBT
3eogA_M466.pdb     -1116.391991 kBT
3eogA_M436.pdb     -1146.128899 kBT
3eogA_M251.pdb     -1149.292452 kBT
3eogA_M55.pdb     -1314.520396 kBT
3eogA_M333.pdb     -1141.777654 kBT
3eogA_M257.pdb     -1121.674814 kBT
3eogA_M10.pdb     -1403.480814 kBT
3eogA_M383.pdb     -1143.629196 kBT
3eogA_M190.pdb     -1241.610791 kBT
3eogA_M238.pdb     -1206.999559 kBT
3eogA_M234.pdb     -1180.583203 kBT
3eogA_M476.pdb     -1105.862258 kBT
3eogA_M130.pdb     -1273.414090 kBT
3eogA_M143.pdb     -1228.243293 kBT
3eogA_M309.pdb     -1161.437831 kBT
3eogA_M117.pdb     -1219.269364 kBT
3eogA_M105.pdb     -1218.652172 kBT
3eogA_M152.pdb     -1241.116821 kBT
3eogA_M175.pdb     -1165.293097 kBT
3eogA_M387.pdb     -1159.514676 kBT
3eogA_M334.pdb     -1208.383668 kBT
3eogA_M401.pdb     -1152.807878 kBT
3eogA_M85.pdb     -1268.524578 kBT
3eogA_M315.pdb     -1136.858682 kBT
3eogA_M402.pdb     -1178.960570 kBT
3eogA_M177.pdb     -1222.126012 kBT
3eogA_M346.pdb     -1203.792466 kBT
3eogA_M495.pdb     -1134.296993 kBT
3eogA_M395.pdb     -1130.472567 kBT
3eogA_M133.pdb     -1209.985686 kBT
3eogA_M33.pdb     -1281.428202 kBT
3eogA_M224.pdb     -1190.251543 kBT
3eogA_M316.pdb     -1159.503327 kBT
3eogA_M73.pdb     -1294.158449 kBT
3eogA_M244.pdb     -1130.783729 kBT
3eogA_M155.pdb     -1243.779675 kBT
3eogA_M239.pdb     -1213.589134 kBT
3eogA_M353.pdb     -1169.034725 kBT
3eogA_M409.pdb     -1120.351806 kBT
3eogA_M354.pdb     -1187.247804 kBT
3eogA_M488.pdb     -1147.549514 kBT
3eogA_M221.pdb     -1176.743393 kBT
3eogA_M57.pdb     -1328.314822 kBT
3eogA_M86.pdb     -1315.765979 kBT
3eogA_M317.pdb     -1210.303544 kBT
3eogA_M23.pdb     -1400.526615 kBT
3eogA_M266.pdb     -1215.331453 kBT
3eogA_M90.pdb     -1272.381560 kBT
3eogA_M1.pdb     -1429.390933 kBT
3eogA_M314.pdb     -1139.294651 kBT
3eogA_M408.pdb     -1220.875634 kBT
3eogA_M63.pdb     -1303.613780 kBT
3eogA_M140.pdb     -1191.981073 kBT
3eogA_M188.pdb     -1180.767178 kBT
3eogA_M485.pdb     -1181.033701 kBT
3eogA_M454.pdb     -1141.467258 kBT
3eogA_M414.pdb     -1150.971385 kBT
3eogA_M178.pdb     -1216.393746 kBT
3eogA_M302.pdb     -1133.062865 kBT
3eogA_M343.pdb     -1168.201986 kBT
3eogA_M18.pdb     -1405.308865 kBT
3eogA_M482.pdb     -1103.181246 kBT
3eogA_M348.pdb     -1153.360408 kBT
3eogA_M205.pdb     -1173.832922 kBT
3eogA_M351.pdb     -1102.195936 kBT
3eogA_M435.pdb     -1213.692859 kBT
3eogA_M16.pdb     -1369.474338 kBT
3eogA_M31.pdb     -1325.411808 kBT
3eogA_M419.pdb     -1176.502922 kBT
3eogA_M93.pdb     -1265.444745 kBT
3eogA_M299.pdb     -1186.639186 kBT
3eogA_M127.pdb     -1241.326962 kBT
3eogA_M166.pdb     -1206.370498 kBT
3eogA_M129.pdb     -1257.468458 kBT
3eogA_M156.pdb     -1243.174559 kBT
3eogA_M67.pdb     -1312.127800 kBT
3eogA_M418.pdb     -1061.283160 kBT
3eogA_M290.pdb     -1093.178143 kBT
3eogA_M28.pdb     -1369.855912 kBT
3eogA_M331.pdb     -1151.426987 kBT
3eogA_M311.pdb     -1134.042950 kBT
3eogA_M4.pdb     -1427.881277 kBT
3eogA_M281.pdb     -1063.530368 kBT
3eogA_M94.pdb     -1258.570801 kBT
3eogA_M128.pdb     -1274.364411 kBT
3eogA_M169.pdb     -1145.335318 kBT
3eogA_M445.pdb     -1161.723142 kBT
3eogA_M203.pdb     -1188.272766 kBT
3eogA_M15.pdb     -1387.476223 kBT
3eogA_M444.pdb     -1150.769621 kBT
3eogA_M134.pdb     -1221.452160 kBT
3eogA_M275.pdb     -1180.775051 kBT
3eogA_M25.pdb     -1381.442058 kBT
3eogA_M213.pdb     -1211.509000 kBT
3eogA_M327.pdb     -1197.812366 kBT
3eogA_M492.pdb     -1083.936942 kBT
3eogA_M370.pdb     -1160.885252 kBT
3eogA_M283.pdb     -1166.805729 kBT
3eogA_M146.pdb     -1222.706561 kBT
3eogA_M360.pdb     -1166.150820 kBT
3eogA_M14.pdb     -1401.753995 kBT
3eogA_M29.pdb     -1326.157139 kBT
3eogA_M180.pdb     -1189.252122 kBT
3eogA_M80.pdb     -1261.027118 kBT
3eogA_M256.pdb     -1178.419722 kBT
3eogA_M498.pdb     -1120.166388 kBT
3eogA_M322.pdb     -1151.849996 kBT
3eogA_M368.pdb     -1160.073970 kBT
3eogA_M126.pdb     -1220.186662 kBT
3eogA_M192.pdb     -1221.923316 kBT
3eogA_M161.pdb     -1257.812559 kBT
3eogA_M278.pdb     -1216.508430 kBT
3eogA_M96.pdb     -1235.420972 kBT
3eogA_M229.pdb     -1214.042507 kBT
3eogA_M243.pdb     -1179.193203 kBT
3eogA_M248.pdb     -1228.952794 kBT
3eogA_M300.pdb     -1141.462022 kBT
3eogA_M119.pdb     -1254.255710 kBT
3eogA_M65.pdb     -1312.863741 kBT
3eogA_M187.pdb     -1222.686296 kBT
3eogA_M442.pdb     -1190.983382 kBT
3eogA_M462.pdb     -1126.250832 kBT
3eogA_M412.pdb     -1118.388007 kBT
3eogA_M154.pdb     -1273.677108 kBT
3eogA_M313.pdb     -1189.197699 kBT
3eogA_M45.pdb     -1361.102513 kBT
3eogA_M212.pdb     -1182.095133 kBT
3eogA_M392.pdb     -1116.425248 kBT
3eogA_M189.pdb     -1192.575949 kBT
3eogA_M258.pdb     -1217.609986 kBT
3eogA_M405.pdb     -1130.599232 kBT
3eogA_M367.pdb     -1138.699387 kBT
3eogA_M91.pdb     -1251.371266 kBT
3eogA_M121.pdb     -1299.559250 kBT
3eogA_M411.pdb     -1146.807236 kBT
3eogA_M122.pdb     -1251.771642 kBT
3eogA_M164.pdb     -1210.747060 kBT
3eogA_M432.pdb     -1149.545113 kBT
3eogA_M151.pdb     -1222.898367 kBT
3eogA_M365.pdb     -1148.775645 kBT
3eogA_M225.pdb     -1135.913020 kBT
3eogA_M206.pdb     -1150.688605 kBT
3eogA_M102.pdb     -1288.866908 kBT
3eogA_M101.pdb     -1296.492318 kBT
3eogA_M339.pdb     -1193.671985 kBT
3eogA_M145.pdb     -1258.784914 kBT
3eogA_M293.pdb     -1157.315698 kBT
3eogA_M71.pdb     -1334.121904 kBT
3eogA_M246.pdb     -1198.601247 kBT
3eogA_M393.pdb     -1154.602834 kBT
3eogA_M378.pdb     -1185.780103 kBT
3eogA_M447.pdb     -1193.664494 kBT
3eogA_M489.pdb     -1080.403360 kBT
3eogA_M294.pdb     -1172.812110 kBT
3eogA_M349.pdb     -1145.865865 kBT
3eogA_M196.pdb     -1181.101950 kBT
3eogA_M265.pdb     -1201.904618 kBT
3eogA_M69.pdb     -1240.223592 kBT
3eogA_M364.pdb     -1212.759353 kBT
3eogA_M347.pdb     -1132.164647 kBT
3eogA_M481.pdb     -1159.455961 kBT
3eogA_M439.pdb     -1090.669098 kBT
3eogA_M301.pdb     -1188.891368 kBT
3eogA_M358.pdb     -1185.762225 kBT
3eogA_M3.pdb     -1431.546501 kBT
3eogA_M254.pdb     -1223.457242 kBT
3eogA_M306.pdb     -1125.436320 kBT
3eogA_M250.pdb     -1095.457865 kBT
3eogA_M461.pdb     -1153.111496 kBT
3eogA_M76.pdb     -1282.058039 kBT
3eogA.pdb     -1428.038938 kBT
3eogA_M215.pdb     -1182.211096 kBT
3eogA_M40.pdb     -1344.784112 kBT
3eogA_M496.pdb     -1127.177676 kBT
3eogA_M56.pdb     -1313.066208 kBT
3eogA_M280.pdb     -1148.186124 kBT
3eogA_M82.pdb     -1281.596855 kBT
3eogA_M410.pdb     -1135.827415 kBT
3eogA_M159.pdb     -1270.840897 kBT
3eogA_M473.pdb     -1142.358443 kBT
3eogA_M11.pdb     -1416.348444 kBT
3eogA_M388.pdb     -1147.881925 kBT
3eogA_M103.pdb     -1220.286577 kBT
3eogA_M362.pdb     -1179.238998 kBT
3eogA_M453.pdb     -1136.546668 kBT
3eogA_M17.pdb     -1367.835953 kBT
3eogA_M330.pdb     -1168.073427 kBT
3eogA_M325.pdb     -1174.285967 kBT
3eogA_M326.pdb     -1133.945670 kBT
3eogA_M421.pdb     -1165.390841 kBT
3eogA_M37.pdb     -1303.749989 kBT
3eogA_M464.pdb     -1096.188229 kBT
3eogA_M446.pdb     -1151.152055 kBT
3eogA_M497.pdb     -1097.331227 kBT
3eogA_M284.pdb     -1188.503274 kBT
3eogA_M7.pdb     -1435.251898 kBT
3eogA_M107.pdb     -1274.614332 kBT
3eogA_M437.pdb     -1147.110837 kBT
3eogA_M262.pdb     -1176.371071 kBT
3eogA_M423.pdb     -1136.872276 kBT
3eogA_M167.pdb     -1245.856241 kBT
3eogA_M287.pdb     -1222.550683 kBT
3eogA_M279.pdb     -1174.747277 kBT
3eogA_M235.pdb     -1193.800299 kBT
3eogA_M226.pdb     -1200.710894 kBT
3eogA_M272.pdb     -1143.245245 kBT
3eogA_M260.pdb     -1214.569402 kBT
3eogA_M21.pdb     -1405.824017 kBT
3eogA_M6.pdb     -1417.266970 kBT
3eogA_M120.pdb     -1255.535389 kBT
3eogA_M124.pdb     -1226.112444 kBT
3eogA_M20.pdb     -1373.746792 kBT
3eogA_M61.pdb     -1242.052619 kBT
3eogA_M312.pdb     -1099.642177 kBT
3eogA_M463.pdb     -1071.335993 kBT
3eogA_M396.pdb     -1169.367051 kBT
3eogA_M200.pdb     -1214.293270 kBT
3eogA_M460.pdb     -1118.194256 kBT
3eogA_M249.pdb     -1168.935392 kBT
3eogA_M451.pdb     -1125.942235 kBT
3eogA_M36.pdb     -1312.604165 kBT
3eogA_M305.pdb     -1134.740108 kBT
3eogA_M357.pdb     -1196.520831 kBT
3eogA_M241.pdb     -1163.911404 kBT
3eogA_M318.pdb     -1178.860632 kBT
3eogA_M181.pdb     -1210.016930 kBT
3eogA_M115.pdb     -1236.690226 kBT
3eogA_M397.pdb     -1162.179807 kBT
3eogA_M286.pdb     -1121.956569 kBT
3eogA_M148.pdb     -1253.056775 kBT
3eogA_M276.pdb     -1209.419021 kBT
3eogA_M72.pdb     -1320.956060 kBT
3eogA_M109.pdb     -1261.466017 kBT
3eogA_M75.pdb     -1265.766521 kBT
3eogA_M267.pdb     -1190.408825 kBT
3eogA_M415.pdb     -1143.065358 kBT
3eogA_M99.pdb     -1286.124493 kBT
3eogA_M162.pdb     -1180.707504 kBT
3eogA_M113.pdb     -1297.401710 kBT
3eogA_M484.pdb     -1145.412529 kBT
3eogA_M84.pdb     -1272.090226 kBT
3eogA_M70.pdb     -1236.523175 kBT
3eogA_M158.pdb     -1222.522207 kBT
3eogA_M195.pdb     -1190.901880 kBT
3eogA_M68.pdb     -1317.417125 kBT
3eogA_M407.pdb     -1076.909110 kBT
3eogA_M303.pdb     -1163.770148 kBT
3eogA_M58.pdb     -1280.194342 kBT
3eogA_M459.pdb     -1171.082503 kBT
3eogA_M111.pdb     -1256.317092 kBT
3eogA_M304.pdb     -1172.660184 kBT
3eogA_M261.pdb     -1197.623528 kBT
3eogA_M499.pdb     -1140.123683 kBT
3eogA_M470.pdb     -1137.502702 kBT
3eogA_M390.pdb     -1110.330308 kBT
3eogA_M399.pdb     -1121.596682 kBT
3eogA_M19.pdb     -1376.049059 kBT
3eogA_M480.pdb     -1200.178257 kBT
3eogA_M350.pdb     -1116.432291 kBT
3eogA_M34.pdb     -1310.534039 kBT
3eogA_M174.pdb     -1196.584406 kBT
3eogA_M201.pdb     -1204.355392 kBT
3eogA_M26.pdb     -1398.152901 kBT
3eogA_M223.pdb     -1200.096003 kBT
3eogA_M22.pdb     -1377.426444 kBT
3eogA_M431.pdb     -1121.655201 kBT
3eogA_M233.pdb     -1191.045194 kBT
3eogA_M359.pdb     -1185.861644 kBT
3eogA_M8.pdb     -1404.899145 kBT
3eogA_M394.pdb     -1151.924275 kBT
3eogA_M38.pdb     -1346.388583 kBT
3eogA_M110.pdb     -1224.656962 kBT
3eogA_M62.pdb     -1274.242819 kBT
3eogA_M13.pdb     -1394.063448 kBT
3eogA_M199.pdb     -1145.479458 kBT
3eogA_M228.pdb     -1146.957203 kBT
3eogA_M384.pdb     -1137.657202 kBT
3eogA_M176.pdb     -1206.180317 kBT
3eogA_M106.pdb     -1236.934058 kBT
3eogA_M427.pdb     -1184.062498 kBT
3eogA_M83.pdb     -1305.962160 kBT
3eogA_M438.pdb     -1243.239956 kBT
3eogA_M142.pdb     -1210.262082 kBT
3eogA_M51.pdb     -1350.029393 kBT
3eogA_M308.pdb     -1212.350174 kBT
3eogA_M379.pdb     -1124.453078 kBT
3eogA_M27.pdb     -1335.310078 kBT
3eogA_M491.pdb     -1089.238768 kBT
3eogA_M232.pdb     -1175.829899 kBT
3eogA_M455.pdb     -1147.720048 kBT
3eogA_M118.pdb     -1260.258200 kBT
3eogA_M373.pdb     -1106.601610 kBT
3eogA_M153.pdb     -1243.581064 kBT
3eogA_M263.pdb     -1155.927114 kBT
3eogA_M465.pdb     -1095.798172 kBT
3eogA_M35.pdb     -1371.256033 kBT
3eogA_M292.pdb     -1146.040284 kBT
3eogA_M182.pdb     -1189.283099 kBT
3eogA_M490.pdb     -1189.416114 kBT
3eogA_M420.pdb     -1156.633541 kBT
3eogA_M386.pdb     -1135.013307 kBT
3eogA_M296.pdb     -1144.655564 kBT
3eogA_M426.pdb     -1139.661701 kBT
3eogA_M112.pdb     -1212.810282 kBT
3eogA_M416.pdb     -1127.240879 kBT
3eogA_M144.pdb     -1189.174015 kBT
3eogA_M9.pdb     -1433.185511 kBT
3eogA_M429.pdb     -1180.975859 kBT
3eogA_M389.pdb     -1137.965576 kBT
3eogA_M149.pdb     -1229.445343 kBT
3eogA_M483.pdb     -1136.052344 kBT
3eogA_M230.pdb     -1176.533332 kBT
3eogA_M487.pdb     -1168.579338 kBT
3eogA_M468.pdb     -1168.363163 kBT
3eogA_M87.pdb     -1277.836622 kBT
3eogA_M377.pdb     -1185.867216 kBT
3eogA_M371.pdb     -1158.516352 kBT
3eogA_M277.pdb     -1142.914652 kBT
3eogA_M24.pdb     -1362.327125 kBT
3eogA_M391.pdb     -1154.760662 kBT
3eogA_M95.pdb     -1276.946257 kBT
3eogA_M404.pdb     -1163.754979 kBT
3eogA_M59.pdb     -1322.391972 kBT
3eogA_M417.pdb     -1172.348639 kBT
3eogA_M335.pdb     -1109.385835 kBT
3eogA_M376.pdb     -1124.476344 kBT
3eogA_M381.pdb     -1137.462819 kBT
3eogA_M139.pdb     -1255.559527 kBT
3eogA_M398.pdb     -1165.914500 kBT
3eogA_M382.pdb     -1120.124966 kBT
3eogA_M456.pdb     -1182.394396 kBT
3eogA_M191.pdb     -1219.100686 kBT
3eogA_M194.pdb     -1193.184685 kBT
3eogA_M141.pdb     -1206.741362 kBT
3eogA_M400.pdb     -1121.382560 kBT
3eogA_M310.pdb     -1142.582284 kBT
3eogA_M222.pdb     -1223.849531 kBT
3eogA_M165.pdb     -1242.921395 kBT
3eogA_M469.pdb     -1120.444211 kBT
3eogA_M329.pdb     -1148.101011 kBT
3eogA_M385.pdb     -1198.896760 kBT
3eogA_M5.pdb     -1433.999823 kBT
3eogA_M288.pdb     -1149.510345 kBT
3eogA_M89.pdb     -1256.525008 kBT
3eogA_M173.pdb     -1191.343653 kBT
3eogA_M53.pdb     -1277.241514 kBT
3eogA_M471.pdb     -1156.401430 kBT
3eogA_M342.pdb     -1205.474745 kBT
3eogA_M479.pdb     -1105.571237 kBT
3eogA_M450.pdb     -1122.954254 kBT
3eogA_M413.pdb     -1072.510603 kBT
3eogA_M477.pdb     -1140.042925 kBT
3eogA_M273.pdb     -1201.112378 kBT
3eogA_M372.pdb     -1156.079155 kBT
3eogA_M52.pdb     -1366.217721 kBT
3eogA_M474.pdb     -1159.335683 kBT
3eogA_M98.pdb     -1306.961256 kBT
3eogA_M135.pdb     -1225.165103 kBT
3eogA_M422.pdb     -1097.061809 kBT
3eogA_M291.pdb     -1197.695355 kBT
3eogA_M46.pdb     -1299.512478 kBT
3eogA_M79.pdb     -1282.304061 kBT
3eogA_M430.pdb     -1122.227750 kBT
3eogA_M66.pdb     -1286.386891 kBT
3eogA_M217.pdb     -1198.320997 kBT
3eogA_M321.pdb     -1160.045920 kBT
3eogA_M77.pdb     -1300.532169 kBT
3eogA_M247.pdb     -1252.771245 kBT
3eogA_M150.pdb     -1207.031799 kBT
3eogA_M202.pdb     -1243.238916 kBT
3eogA_M336.pdb     -1141.158085 kBT
3eogA_M341.pdb     -1202.155988 kBT
3eogA_M472.pdb     -1125.353627 kBT
3eogA_M345.pdb     -1155.418648 kBT
3eogA_M214.pdb     -1290.567154 kBT
3eogA_M227.pdb     -1235.558034 kBT
3eogA_M236.pdb     -1163.825316 kBT
3eogA_M198.pdb     -1185.048821 kBT
3eogA_M104.pdb     -1227.173712 kBT
3eogA_M475.pdb     -1112.322874 kBT
3eogA_M42.pdb     -1299.901576 kBT
3eogA_M356.pdb     -1171.152919 kBT
3eogA_M2.pdb     -1421.059934 kBT
3eogA_M328.pdb     -1157.701979 kBT
3eogA_M285.pdb     -1103.765074 kBT
3eogA_M494.pdb     -1158.351725 kBT
3eogA_M39.pdb     -1346.123123 kBT
3eogA_M500.pdb     -1057.177277 kBT
3eogA_M259.pdb     -1174.705167 kBT
3eogA_M179.pdb     -1236.914643 kBT
3eogA_M186.pdb     -1200.248433 kBT
3eogA_M458.pdb     -1165.613639 kBT
3eogA_M170.pdb     -1155.032703 kBT
3eogA_M355.pdb     -1164.473907 kBT
3eogA_M125.pdb     -1221.347673 kBT
3eogA_M116.pdb     -1227.847889 kBT
3eogA_M486.pdb     -1071.195086 kBT
3eogA_M114.pdb     -1270.849822 kBT
3eogA_M375.pdb     -1152.105601 kBT
3eogA_M30.pdb     -1353.996788 kBT
3eogA_M41.pdb     -1357.840383 kBT
3eogA_M231.pdb     -1207.028697 kBT
3eogA_M242.pdb     -1198.178910 kBT
3eogA_M240.pdb     -1205.056548 kBT
3eogA_M218.pdb     -1166.540575 kBT
3eogA_M183.pdb     -1190.371249 kBT
3eogA_M209.pdb     -1222.837828 kBT
3eogA_M344.pdb     -1178.669695 kBT
3eogA_M352.pdb     -1193.085148 kBT
3eogA_M340.pdb     -1176.134845 kBT
3eogA_M282.pdb     -1213.830200 kBT
3eogA_M448.pdb     -1142.046774 kBT
3eogA_M274.pdb     -1186.619281 kBT
3eogA_M220.pdb     -1252.796909 kBT
3eogA_M137.pdb     -1234.195743 kBT
3eogA_M157.pdb     -1211.406284 kBT
3eogA_M271.pdb     -1171.075899 kBT
3eogA_M32.pdb     -1352.522335 kBT
3eogA_M323.pdb     -1185.273802 kBT
3eogA_M81.pdb     -1284.482193 kBT
3eogA_M443.pdb     -1132.806395 kBT
3eogA_M493.pdb     -1147.814590 kBT
3eogA_M47.pdb     -1305.434478 kBT
3eogA_M269.pdb     -1169.310781 kBT
3eogA_M185.pdb     -1199.794331 kBT
