2nz4S_M265.pdb     -364.150028 kBT
2nz4S_M251.pdb     -381.285437 kBT
2nz4S_M422.pdb     -308.869912 kBT
2nz4S_M2.pdb     -475.388343 kBT
2nz4S_M442.pdb     -365.165114 kBT
2nz4S_M53.pdb     -421.735436 kBT
2nz4S_M182.pdb     -408.130727 kBT
2nz4S_M78.pdb     -405.490199 kBT
2nz4S_M47.pdb     -434.060385 kBT
2nz4S_M109.pdb     -394.837796 kBT
2nz4S_M273.pdb     -371.095829 kBT
2nz4S_M321.pdb     -360.602363 kBT
2nz4S_M177.pdb     -395.954721 kBT
2nz4S_M437.pdb     -346.659677 kBT
2nz4S_M148.pdb     -370.196437 kBT
2nz4S_M316.pdb     -358.202113 kBT
2nz4S_M289.pdb     -340.723464 kBT
2nz4S_M309.pdb     -356.617195 kBT
2nz4S_M1.pdb     -478.865284 kBT
2nz4S_M307.pdb     -362.990022 kBT
2nz4S_M256.pdb     -337.651181 kBT
2nz4S_M341.pdb     -334.503249 kBT
2nz4S_M169.pdb     -372.942380 kBT
2nz4S_M200.pdb     -346.076887 kBT
2nz4S_M218.pdb     -370.231292 kBT
2nz4S_M87.pdb     -414.648974 kBT
2nz4S_M133.pdb     -347.863877 kBT
2nz4S_M494.pdb     -365.534231 kBT
2nz4S_M331.pdb     -345.619012 kBT
2nz4S_M212.pdb     -383.399807 kBT
2nz4S_M165.pdb     -389.159383 kBT
2nz4S_M139.pdb     -345.328568 kBT
2nz4S_M49.pdb     -418.756941 kBT
2nz4S_M153.pdb     -381.263617 kBT
2nz4S_M352.pdb     -337.017256 kBT
2nz4S_M456.pdb     -301.179719 kBT
2nz4S_M204.pdb     -369.949630 kBT
2nz4S_M168.pdb     -377.750069 kBT
2nz4S_M41.pdb     -460.078774 kBT
2nz4S_M281.pdb     -351.541787 kBT
2nz4S_M465.pdb     -324.562494 kBT
2nz4S_M292.pdb     -362.646218 kBT
2nz4S_M418.pdb     -340.032776 kBT
2nz4S_M170.pdb     -356.761324 kBT
2nz4S_M483.pdb     -322.774891 kBT
2nz4S_M210.pdb     -356.145584 kBT
2nz4S_M241.pdb     -339.448090 kBT
2nz4S_M336.pdb     -366.271964 kBT
2nz4S_M54.pdb     -404.827493 kBT
2nz4S_M152.pdb     -394.500424 kBT
2nz4S_M247.pdb     -336.906464 kBT
2nz4S_M244.pdb     -328.454005 kBT
2nz4S_M67.pdb     -408.757678 kBT
2nz4S_M121.pdb     -401.944727 kBT
2nz4S_M167.pdb     -383.601962 kBT
2nz4S_M141.pdb     -378.750546 kBT
2nz4S_M480.pdb     -337.514671 kBT
2nz4S_M248.pdb     -372.556894 kBT
2nz4S_M58.pdb     -387.247890 kBT
2nz4S_M429.pdb     -347.203277 kBT
2nz4S_M30.pdb     -437.353553 kBT
2nz4S_M198.pdb     -361.736570 kBT
2nz4S_M440.pdb     -340.751578 kBT
2nz4S_M197.pdb     -364.272744 kBT
2nz4S_M71.pdb     -420.171597 kBT
2nz4S_M365.pdb     -313.406313 kBT
2nz4S_M416.pdb     -348.343301 kBT
2nz4S_M354.pdb     -303.273748 kBT
2nz4S_M363.pdb     -325.289297 kBT
2nz4S_M291.pdb     -393.439777 kBT
2nz4S_M489.pdb     -355.160488 kBT
2nz4S_M75.pdb     -410.442479 kBT
2nz4S_M271.pdb     -364.700351 kBT
2nz4S_M219.pdb     -389.080388 kBT
2nz4S_M287.pdb     -355.192654 kBT
2nz4S_M283.pdb     -364.803937 kBT
2nz4S_M201.pdb     -365.868093 kBT
2nz4S_M178.pdb     -381.478819 kBT
2nz4S_M294.pdb     -332.573454 kBT
2nz4S_M68.pdb     -417.665596 kBT
2nz4S_M474.pdb     -334.448769 kBT
2nz4S_M477.pdb     -325.634284 kBT
2nz4S_M145.pdb     -388.132565 kBT
2nz4S_M438.pdb     -349.880393 kBT
2nz4S_M130.pdb     -407.772950 kBT
2nz4S_M374.pdb     -349.990760 kBT
2nz4S_M80.pdb     -395.342842 kBT
2nz4S_M233.pdb     -378.867935 kBT
2nz4S_M455.pdb     -298.477438 kBT
2nz4S_M240.pdb     -346.923619 kBT
2nz4S_M390.pdb     -318.190892 kBT
2nz4S_M16.pdb     -458.240418 kBT
2nz4S_M277.pdb     -333.105887 kBT
2nz4S_M282.pdb     -356.998596 kBT
2nz4S_M403.pdb     -359.631438 kBT
2nz4S_M128.pdb     -365.963146 kBT
2nz4S_M32.pdb     -442.016449 kBT
2nz4S_M349.pdb     -336.779375 kBT
2nz4S_M443.pdb     -319.590837 kBT
2nz4S_M140.pdb     -390.477179 kBT
2nz4S_M361.pdb     -361.987839 kBT
2nz4S_M344.pdb     -331.115816 kBT
2nz4S_M104.pdb     -408.403795 kBT
2nz4S_M161.pdb     -386.413722 kBT
2nz4S_M370.pdb     -327.569603 kBT
2nz4S_M386.pdb     -356.278699 kBT
2nz4S_M176.pdb     -346.959380 kBT
2nz4S_M114.pdb     -420.533909 kBT
2nz4S_M106.pdb     -395.176189 kBT
2nz4S_M254.pdb     -346.737562 kBT
2nz4S_M417.pdb     -324.492923 kBT
2nz4S_M458.pdb     -362.684987 kBT
2nz4S_M116.pdb     -377.396376 kBT
2nz4S_M225.pdb     -368.599661 kBT
2nz4S_M358.pdb     -350.112685 kBT
2nz4S_M384.pdb     -337.042995 kBT
2nz4S_M60.pdb     -399.176393 kBT
2nz4S_M334.pdb     -344.700063 kBT
2nz4S_M249.pdb     -396.360735 kBT
2nz4S_M356.pdb     -336.387583 kBT
2nz4S_M35.pdb     -444.234636 kBT
2nz4S_M46.pdb     -414.791379 kBT
2nz4S_M15.pdb     -464.087369 kBT
2nz4S_M134.pdb     -391.477247 kBT
2nz4S_M469.pdb     -319.623180 kBT
2nz4S_M138.pdb     -411.359852 kBT
2nz4S_M296.pdb     -332.026665 kBT
2nz4S_M419.pdb     -323.442931 kBT
2nz4S_M239.pdb     -367.442322 kBT
2nz4S_M79.pdb     -415.237776 kBT
2nz4S_M481.pdb     -374.132081 kBT
2nz4S_M119.pdb     -390.122797 kBT
2nz4S_M430.pdb     -305.090047 kBT
2nz4S_M395.pdb     -317.480733 kBT
2nz4S_M34.pdb     -428.608624 kBT
2nz4S_M326.pdb     -332.998592 kBT
2nz4S_M159.pdb     -386.739582 kBT
2nz4S_M409.pdb     -340.710419 kBT
2nz4S_M402.pdb     -301.827757 kBT
2nz4S_M228.pdb     -357.697104 kBT
2nz4S_M84.pdb     -401.565599 kBT
2nz4S_M102.pdb     -429.268712 kBT
2nz4S_M243.pdb     -366.894630 kBT
2nz4S_M371.pdb     -317.772693 kBT
2nz4S_M368.pdb     -323.561254 kBT
2nz4S_M166.pdb     -394.085807 kBT
2nz4S_M8.pdb     -468.703811 kBT
2nz4S_M220.pdb     -338.144318 kBT
2nz4S_M427.pdb     -325.312992 kBT
2nz4S_M118.pdb     -386.122678 kBT
2nz4S_M97.pdb     -371.828807 kBT
2nz4S_M21.pdb     -448.163293 kBT
2nz4S_M444.pdb     -318.749125 kBT
2nz4S_M487.pdb     -313.872364 kBT
2nz4S_M96.pdb     -426.412820 kBT
2nz4S_M323.pdb     -343.865126 kBT
2nz4S_M127.pdb     -364.976887 kBT
2nz4S_M345.pdb     -323.370931 kBT
2nz4S_M317.pdb     -326.910357 kBT
2nz4S_M57.pdb     -407.543484 kBT
2nz4S_M272.pdb     -331.279324 kBT
2nz4S_M428.pdb     -385.362448 kBT
2nz4S_M252.pdb     -377.408135 kBT
2nz4S_M433.pdb     -358.116925 kBT
2nz4S_M411.pdb     -317.648918 kBT
2nz4S_M420.pdb     -327.849219 kBT
2nz4S_M226.pdb     -377.019165 kBT
2nz4S_M482.pdb     -365.309360 kBT
2nz4S_M450.pdb     -351.988358 kBT
2nz4S_M143.pdb     -360.802947 kBT
2nz4S_M303.pdb     -334.796264 kBT
2nz4S_M261.pdb     -362.803071 kBT
2nz4S_M94.pdb     -411.749173 kBT
2nz4S_M181.pdb     -351.746875 kBT
2nz4S_M230.pdb     -323.807854 kBT
2nz4S_M339.pdb     -350.897522 kBT
2nz4S_M149.pdb     -378.638162 kBT
2nz4S_M157.pdb     -368.870885 kBT
2nz4S_M43.pdb     -436.242371 kBT
2nz4S_M216.pdb     -345.494677 kBT
2nz4S_M262.pdb     -370.965878 kBT
2nz4S_M229.pdb     -377.011379 kBT
2nz4S_M227.pdb     -352.896532 kBT
2nz4S_M397.pdb     -328.046798 kBT
2nz4S_M325.pdb     -370.398026 kBT
2nz4S_M304.pdb     -340.486401 kBT
2nz4S_M495.pdb     -311.935725 kBT
2nz4S_M301.pdb     -383.121661 kBT
2nz4S_M137.pdb     -408.755815 kBT
2nz4S_M382.pdb     -341.094420 kBT
2nz4S_M115.pdb     -415.041208 kBT
2nz4S_M353.pdb     -335.225373 kBT
2nz4S_M36.pdb     -436.544574 kBT
2nz4S_M385.pdb     -341.089499 kBT
2nz4S_M359.pdb     -314.904041 kBT
2nz4S_M406.pdb     -300.571877 kBT
2nz4S_M299.pdb     -335.722433 kBT
2nz4S_M424.pdb     -332.604991 kBT
2nz4S_M302.pdb     -356.855341 kBT
2nz4S_M189.pdb     -421.434930 kBT
2nz4S_M315.pdb     -336.617664 kBT
2nz4S_M346.pdb     -340.884934 kBT
2nz4S_M42.pdb     -417.240667 kBT
2nz4S_M125.pdb     -396.594301 kBT
2nz4S_M191.pdb     -389.681369 kBT
2nz4S_M51.pdb     -411.974552 kBT
2nz4S_M338.pdb     -347.818591 kBT
2nz4S_M154.pdb     -375.860653 kBT
2nz4S_M179.pdb     -375.720758 kBT
2nz4S_M426.pdb     -361.955374 kBT
2nz4S_M263.pdb     -346.454516 kBT
2nz4S_M410.pdb     -317.827873 kBT
2nz4S_M100.pdb     -390.132406 kBT
2nz4S_M131.pdb     -398.838134 kBT
2nz4S_M29.pdb     -434.032421 kBT
2nz4S_M400.pdb     -349.046677 kBT
2nz4S_M180.pdb     -394.817153 kBT
2nz4S_M297.pdb     -373.025444 kBT
2nz4S_M387.pdb     -367.007132 kBT
2nz4S_M105.pdb     -397.431049 kBT
2nz4S_M10.pdb     -458.771038 kBT
2nz4S_M275.pdb     -354.373179 kBT
2nz4S_M329.pdb     -340.219120 kBT
2nz4S_M372.pdb     -328.477609 kBT
2nz4S_M144.pdb     -383.716131 kBT
2nz4S_M373.pdb     -345.462149 kBT
2nz4S_M414.pdb     -349.910015 kBT
2nz4S_M475.pdb     -334.541013 kBT
2nz4S_M156.pdb     -376.981045 kBT
2nz4S_M322.pdb     -329.094545 kBT
2nz4S_M405.pdb     -322.441128 kBT
2nz4S_M123.pdb     -393.311158 kBT
2nz4S_M196.pdb     -391.412346 kBT
2nz4S_M488.pdb     -339.181263 kBT
2nz4S_M270.pdb     -372.666261 kBT
2nz4S_M367.pdb     -299.432425 kBT
2nz4S_M66.pdb     -429.960164 kBT
2nz4S_M396.pdb     -372.481394 kBT
2nz4S_M232.pdb     -398.816007 kBT
2nz4S_M279.pdb     -386.653659 kBT
2nz4S_M375.pdb     -350.014412 kBT
2nz4S_M209.pdb     -379.753972 kBT
2nz4S_M286.pdb     -351.163484 kBT
2nz4S_M267.pdb     -358.067523 kBT
2nz4S_M378.pdb     -355.292418 kBT
2nz4S_M280.pdb     -327.078638 kBT
2nz4S_M217.pdb     -388.260810 kBT
2nz4S_M93.pdb     -381.547541 kBT
2nz4S_M351.pdb     -350.822235 kBT
2nz4S_M401.pdb     -354.507920 kBT
2nz4S_M425.pdb     -343.699442 kBT
2nz4S_M172.pdb     -325.894560 kBT
2nz4S_M274.pdb     -367.686486 kBT
2nz4S_M27.pdb     -439.075410 kBT
2nz4S_M81.pdb     -402.609083 kBT
2nz4S_M202.pdb     -357.200663 kBT
2nz4S_M324.pdb     -313.508078 kBT
2nz4S_M366.pdb     -361.215697 kBT
2nz4S_M500.pdb     -336.584737 kBT
2nz4S_M490.pdb     -333.706964 kBT
2nz4S_M485.pdb     -336.030555 kBT
2nz4S_M298.pdb     -371.869606 kBT
2nz4S_M313.pdb     -355.837072 kBT
2nz4S_M332.pdb     -321.909568 kBT
2nz4S_M328.pdb     -375.561120 kBT
2nz4S_M362.pdb     -361.477660 kBT
2nz4S_M175.pdb     -387.448691 kBT
2nz4S_M203.pdb     -363.082341 kBT
2nz4S_M376.pdb     -341.001907 kBT
2nz4S_M171.pdb     -371.159914 kBT
2nz4S_M449.pdb     -364.515140 kBT
2nz4S_M3.pdb     -474.726354 kBT
2nz4S_M25.pdb     -428.929006 kBT
2nz4S_M492.pdb     -354.621549 kBT
2nz4S_M22.pdb     -437.447389 kBT
2nz4S_M320.pdb     -385.530594 kBT
2nz4S_M132.pdb     -380.775921 kBT
2nz4S_M238.pdb     -394.285654 kBT
2nz4S_M190.pdb     -355.680478 kBT
2nz4S_M381.pdb     -365.102085 kBT
2nz4S_M389.pdb     -355.074081 kBT
2nz4S_M113.pdb     -425.631322 kBT
2nz4S_M462.pdb     -329.606339 kBT
2nz4S_M460.pdb     -323.423448 kBT
2nz4S_M434.pdb     -342.865313 kBT
2nz4S_M44.pdb     -426.779708 kBT
2nz4S_M28.pdb     -435.725174 kBT
2nz4S_M135.pdb     -390.636378 kBT
2nz4S_M120.pdb     -421.979759 kBT
2nz4S_M107.pdb     -425.075872 kBT
2nz4S_M222.pdb     -351.132618 kBT
2nz4S_M290.pdb     -332.452511 kBT
2nz4S_M5.pdb     -465.853546 kBT
2nz4S_M59.pdb     -390.013002 kBT
2nz4S_M86.pdb     -419.242155 kBT
2nz4S_M257.pdb     -349.178984 kBT
2nz4S.pdb     -464.677787 kBT
2nz4S_M194.pdb     -389.976927 kBT
2nz4S_M453.pdb     -344.740075 kBT
2nz4S_M70.pdb     -408.287524 kBT
2nz4S_M446.pdb     -348.093853 kBT
2nz4S_M383.pdb     -352.390364 kBT
2nz4S_M318.pdb     -376.977702 kBT
2nz4S_M392.pdb     -304.608215 kBT
2nz4S_M39.pdb     -413.568808 kBT
2nz4S_M308.pdb     -346.920069 kBT
2nz4S_M491.pdb     -363.877838 kBT
2nz4S_M55.pdb     -404.824741 kBT
2nz4S_M11.pdb     -467.269777 kBT
2nz4S_M50.pdb     -417.684550 kBT
2nz4S_M12.pdb     -452.378585 kBT
2nz4S_M284.pdb     -348.540446 kBT
2nz4S_M61.pdb     -392.781382 kBT
2nz4S_M347.pdb     -332.627383 kBT
2nz4S_M150.pdb     -387.552118 kBT
2nz4S_M164.pdb     -348.303911 kBT
2nz4S_M470.pdb     -329.293016 kBT
2nz4S_M293.pdb     -354.412046 kBT
2nz4S_M72.pdb     -380.734607 kBT
2nz4S_M432.pdb     -358.949255 kBT
2nz4S_M4.pdb     -474.397586 kBT
2nz4S_M126.pdb     -338.294585 kBT
2nz4S_M473.pdb     -336.315739 kBT
2nz4S_M193.pdb     -384.803939 kBT
2nz4S_M48.pdb     -420.295284 kBT
2nz4S_M497.pdb     -351.599179 kBT
2nz4S_M124.pdb     -393.701643 kBT
2nz4S_M260.pdb     -369.875973 kBT
2nz4S_M163.pdb     -368.368772 kBT
2nz4S_M300.pdb     -352.071800 kBT
2nz4S_M91.pdb     -421.710835 kBT
2nz4S_M421.pdb     -324.401852 kBT
2nz4S_M38.pdb     -414.059752 kBT
2nz4S_M242.pdb     -335.190983 kBT
2nz4S_M151.pdb     -399.716084 kBT
2nz4S_M82.pdb     -414.816650 kBT
2nz4S_M484.pdb     -348.263921 kBT
2nz4S_M407.pdb     -352.595643 kBT
2nz4S_M448.pdb     -343.693467 kBT
2nz4S_M158.pdb     -391.365247 kBT
2nz4S_M52.pdb     -405.142115 kBT
2nz4S_M26.pdb     -435.133389 kBT
2nz4S_M17.pdb     -474.186036 kBT
2nz4S_M285.pdb     -369.432430 kBT
2nz4S_M235.pdb     -357.504752 kBT
2nz4S_M255.pdb     -359.536563 kBT
2nz4S_M467.pdb     -310.792505 kBT
2nz4S_M33.pdb     -424.194747 kBT
2nz4S_M223.pdb     -408.361201 kBT
2nz4S_M7.pdb     -462.318681 kBT
2nz4S_M98.pdb     -391.483444 kBT
2nz4S_M404.pdb     -356.676258 kBT
2nz4S_M250.pdb     -358.958279 kBT
2nz4S_M89.pdb     -390.865658 kBT
2nz4S_M342.pdb     -352.185753 kBT
2nz4S_M45.pdb     -424.283944 kBT
2nz4S_M245.pdb     -371.936498 kBT
2nz4S_M99.pdb     -409.542746 kBT
2nz4S_M461.pdb     -320.989666 kBT
2nz4S_M306.pdb     -368.899845 kBT
2nz4S_M268.pdb     -377.391333 kBT
2nz4S_M20.pdb     -456.594792 kBT
2nz4S_M195.pdb     -377.479737 kBT
2nz4S_M412.pdb     -304.329860 kBT
2nz4S_M327.pdb     -345.778557 kBT
2nz4S_M391.pdb     -340.576421 kBT
2nz4S_M408.pdb     -353.454204 kBT
2nz4S_M211.pdb     -356.083072 kBT
2nz4S_M13.pdb     -462.226060 kBT
2nz4S_M493.pdb     -342.440977 kBT
2nz4S_M343.pdb     -359.531029 kBT
2nz4S_M379.pdb     -334.048798 kBT
2nz4S_M305.pdb     -352.027991 kBT
2nz4S_M357.pdb     -351.463740 kBT
2nz4S_M340.pdb     -355.903461 kBT
2nz4S_M452.pdb     -343.758347 kBT
2nz4S_M464.pdb     -353.798511 kBT
2nz4S_M206.pdb     -393.022037 kBT
2nz4S_M264.pdb     -377.256588 kBT
2nz4S_M205.pdb     -332.822325 kBT
2nz4S_M56.pdb     -435.861669 kBT
2nz4S_M360.pdb     -340.331607 kBT
2nz4S_M269.pdb     -338.695388 kBT
2nz4S_M74.pdb     -416.400688 kBT
2nz4S_M187.pdb     -369.091254 kBT
2nz4S_M288.pdb     -362.825614 kBT
2nz4S_M111.pdb     -404.678234 kBT
2nz4S_M85.pdb     -429.316863 kBT
2nz4S_M266.pdb     -347.908745 kBT
2nz4S_M147.pdb     -389.219349 kBT
2nz4S_M350.pdb     -319.367411 kBT
2nz4S_M380.pdb     -354.952858 kBT
2nz4S_M314.pdb     -387.879839 kBT
2nz4S_M258.pdb     -357.368216 kBT
2nz4S_M310.pdb     -371.130011 kBT
2nz4S_M253.pdb     -386.395801 kBT
2nz4S_M112.pdb     -408.496724 kBT
2nz4S_M364.pdb     -343.796113 kBT
2nz4S_M65.pdb     -410.003535 kBT
2nz4S_M83.pdb     -420.498038 kBT
2nz4S_M377.pdb     -361.040107 kBT
2nz4S_M73.pdb     -437.598812 kBT
2nz4S_M498.pdb     -331.878496 kBT
2nz4S_M234.pdb     -354.883174 kBT
2nz4S_M208.pdb     -347.809634 kBT
2nz4S_M18.pdb     -454.775063 kBT
2nz4S_M129.pdb     -378.205466 kBT
2nz4S_M463.pdb     -301.311522 kBT
2nz4S_M423.pdb     -345.240875 kBT
2nz4S_M369.pdb     -351.342391 kBT
2nz4S_M398.pdb     -355.955176 kBT
2nz4S_M276.pdb     -344.745926 kBT
2nz4S_M199.pdb     -363.342810 kBT
2nz4S_M236.pdb     -349.340046 kBT
2nz4S_M77.pdb     -387.967084 kBT
2nz4S_M337.pdb     -350.277030 kBT
2nz4S_M146.pdb     -384.442947 kBT
2nz4S_M311.pdb     -362.214261 kBT
2nz4S_M486.pdb     -324.853346 kBT
2nz4S_M479.pdb     -373.572723 kBT
2nz4S_M183.pdb     -389.741250 kBT
2nz4S_M319.pdb     -382.720359 kBT
2nz4S_M393.pdb     -329.337436 kBT
2nz4S_M63.pdb     -443.598534 kBT
2nz4S_M95.pdb     -392.466237 kBT
2nz4S_M24.pdb     -433.882404 kBT
2nz4S_M214.pdb     -316.166290 kBT
2nz4S_M173.pdb     -379.294600 kBT
2nz4S_M333.pdb     -347.898899 kBT
2nz4S_M454.pdb     -314.104585 kBT
2nz4S_M108.pdb     -402.647352 kBT
2nz4S_M330.pdb     -347.383304 kBT
2nz4S_M231.pdb     -372.893879 kBT
2nz4S_M122.pdb     -421.113800 kBT
2nz4S_M431.pdb     -368.487632 kBT
2nz4S_M413.pdb     -319.100812 kBT
2nz4S_M466.pdb     -350.452256 kBT
2nz4S_M6.pdb     -472.696870 kBT
2nz4S_M295.pdb     -379.126821 kBT
2nz4S_M447.pdb     -342.479840 kBT
2nz4S_M499.pdb     -327.975703 kBT
2nz4S_M155.pdb     -391.643677 kBT
2nz4S_M92.pdb     -421.316284 kBT
2nz4S_M90.pdb     -416.315671 kBT
2nz4S_M213.pdb     -357.888144 kBT
2nz4S_M472.pdb     -309.321314 kBT
2nz4S_M160.pdb     -376.566340 kBT
2nz4S_M69.pdb     -378.383910 kBT
2nz4S_M476.pdb     -339.551625 kBT
2nz4S_M259.pdb     -369.320961 kBT
2nz4S_M496.pdb     -329.509071 kBT
2nz4S_M435.pdb     -321.672498 kBT
2nz4S_M221.pdb     -364.072601 kBT
2nz4S_M136.pdb     -409.228312 kBT
