1fg0A_M208.pdb     -938.631836 kBT
1fg0A_M107.pdb     -901.170861 kBT
1fg0A_M422.pdb     -862.959798 kBT
1fg0A_M170.pdb     -980.855118 kBT
1fg0A_M427.pdb     -916.252598 kBT
1fg0A_M199.pdb     -903.901564 kBT
1fg0A_M112.pdb     -925.152607 kBT
1fg0A_M483.pdb     -895.491372 kBT
1fg0A_M66.pdb     -974.544593 kBT
1fg0A_M197.pdb     -918.781026 kBT
1fg0A_M351.pdb     -920.131459 kBT
1fg0A_M364.pdb     -892.366352 kBT
1fg0A_M240.pdb     -866.040933 kBT
1fg0A_M54.pdb     -1005.626591 kBT
1fg0A_M230.pdb     -904.531704 kBT
1fg0A_M89.pdb     -925.843560 kBT
1fg0A_M320.pdb     -954.328402 kBT
1fg0A_M405.pdb     -944.024932 kBT
1fg0A_M394.pdb     -979.269237 kBT
1fg0A_M63.pdb     -977.882109 kBT
1fg0A_M349.pdb     -941.429322 kBT
1fg0A_M49.pdb     -1004.462481 kBT
1fg0A_M57.pdb     -977.390521 kBT
1fg0A_M258.pdb     -942.712292 kBT
1fg0A_M381.pdb     -916.535414 kBT
1fg0A_M241.pdb     -935.373059 kBT
1fg0A_M184.pdb     -928.588318 kBT
1fg0A_M441.pdb     -899.592753 kBT
1fg0A_M154.pdb     -941.890940 kBT
1fg0A_M174.pdb     -942.587691 kBT
1fg0A_M452.pdb     -927.233967 kBT
1fg0A_M48.pdb     -953.587354 kBT
1fg0A_M409.pdb     -948.975438 kBT
1fg0A_M260.pdb     -927.890957 kBT
1fg0A_M249.pdb     -918.883090 kBT
1fg0A_M497.pdb     -929.407395 kBT
1fg0A_M213.pdb     -919.914024 kBT
1fg0A_M498.pdb     -878.736240 kBT
1fg0A_M129.pdb     -1009.127521 kBT
1fg0A_M372.pdb     -980.974797 kBT
1fg0A_M228.pdb     -940.995823 kBT
1fg0A_M485.pdb     -934.290087 kBT
1fg0A_M352.pdb     -997.415639 kBT
1fg0A_M142.pdb     -923.051448 kBT
1fg0A_M390.pdb     -899.220212 kBT
1fg0A_M191.pdb     -888.326653 kBT
1fg0A_M469.pdb     -916.722092 kBT
1fg0A_M215.pdb     -956.291614 kBT
1fg0A_M433.pdb     -905.560769 kBT
1fg0A_M137.pdb     -956.368025 kBT
1fg0A_M33.pdb     -1059.444370 kBT
1fg0A_M143.pdb     -949.084081 kBT
1fg0A_M14.pdb     -1089.508679 kBT
1fg0A_M389.pdb     -962.497719 kBT
1fg0A_M94.pdb     -923.053593 kBT
1fg0A_M152.pdb     -963.118100 kBT
1fg0A_M120.pdb     -947.562818 kBT
1fg0A_M432.pdb     -907.831744 kBT
1fg0A_M366.pdb     -857.525734 kBT
1fg0A_M259.pdb     -943.994704 kBT
1fg0A_M163.pdb     -925.972349 kBT
1fg0A_M210.pdb     -952.887736 kBT
1fg0A_M82.pdb     -1013.348600 kBT
1fg0A_M350.pdb     -910.040281 kBT
1fg0A_M499.pdb     -950.964801 kBT
1fg0A_M292.pdb     -953.516733 kBT
1fg0A_M217.pdb     -926.059531 kBT
1fg0A_M400.pdb     -906.320342 kBT
1fg0A_M284.pdb     -974.259905 kBT
1fg0A_M401.pdb     -850.877470 kBT
1fg0A_M420.pdb     -950.881345 kBT
1fg0A_M285.pdb     -929.811159 kBT
1fg0A_M341.pdb     -894.643207 kBT
1fg0A_M108.pdb     -972.890272 kBT
1fg0A_M73.pdb     -997.400798 kBT
1fg0A_M446.pdb     -941.944919 kBT
1fg0A_M460.pdb     -886.464328 kBT
1fg0A_M363.pdb     -846.143749 kBT
1fg0A_M99.pdb     -966.386913 kBT
1fg0A_M430.pdb     -905.962917 kBT
1fg0A_M59.pdb     -904.792457 kBT
1fg0A_M367.pdb     -929.455687 kBT
1fg0A_M270.pdb     -945.499661 kBT
1fg0A_M164.pdb     -927.090777 kBT
1fg0A_M396.pdb     -903.596854 kBT
1fg0A_M65.pdb     -962.114263 kBT
1fg0A_M445.pdb     -866.623059 kBT
1fg0A_M124.pdb     -974.393859 kBT
1fg0A_M175.pdb     -921.659833 kBT
1fg0A_M484.pdb     -910.237549 kBT
1fg0A_M468.pdb     -884.123074 kBT
1fg0A_M360.pdb     -953.687084 kBT
1fg0A_M486.pdb     -900.359441 kBT
1fg0A_M500.pdb     -884.846282 kBT
1fg0A_M64.pdb     -915.807032 kBT
1fg0A_M288.pdb     -938.200968 kBT
1fg0A_M165.pdb     -943.819854 kBT
1fg0A_M157.pdb     -958.674397 kBT
1fg0A_M324.pdb     -883.573509 kBT
1fg0A_M92.pdb     -971.233448 kBT
1fg0A_M262.pdb     -949.915634 kBT
1fg0A_M254.pdb     -835.114750 kBT
1fg0A_M277.pdb     -961.593017 kBT
1fg0A_M80.pdb     -998.195648 kBT
1fg0A_M250.pdb     -912.826020 kBT
1fg0A_M428.pdb     -964.158896 kBT
1fg0A_M3.pdb     -1069.458133 kBT
1fg0A_M311.pdb     -852.408859 kBT
1fg0A_M386.pdb     -883.857643 kBT
1fg0A_M302.pdb     -894.088329 kBT
1fg0A_M146.pdb     -945.772131 kBT
1fg0A_M496.pdb     -901.716754 kBT
1fg0A_M219.pdb     -932.463465 kBT
1fg0A_M424.pdb     -893.003942 kBT
1fg0A_M455.pdb     -928.906814 kBT
1fg0A_M361.pdb     -893.480922 kBT
1fg0A_M459.pdb     -944.864528 kBT
1fg0A_M328.pdb     -911.026022 kBT
1fg0A_M423.pdb     -887.923645 kBT
1fg0A_M487.pdb     -900.868889 kBT
1fg0A_M144.pdb     -930.163353 kBT
1fg0A_M276.pdb     -959.237975 kBT
1fg0A_M87.pdb     -977.517565 kBT
1fg0A_M368.pdb     -922.852242 kBT
1fg0A_M265.pdb     -861.144733 kBT
1fg0A_M41.pdb     -985.286842 kBT
1fg0A_M239.pdb     -979.139585 kBT
1fg0A_M283.pdb     -1007.690715 kBT
1fg0A_M443.pdb     -848.452231 kBT
1fg0A_M193.pdb     -923.680565 kBT
1fg0A_M431.pdb     -934.686170 kBT
1fg0A_M269.pdb     -819.416848 kBT
1fg0A.pdb     -1489.788968 kBT
1fg0A_M275.pdb     -924.173711 kBT
1fg0A_M294.pdb     -905.636315 kBT
1fg0A_M56.pdb     -945.750472 kBT
1fg0A_M100.pdb     -1001.546888 kBT
1fg0A_M412.pdb     -969.159639 kBT
1fg0A_M393.pdb     -920.426705 kBT
1fg0A_M340.pdb     -937.392363 kBT
1fg0A_M10.pdb     -1090.533695 kBT
1fg0A_M298.pdb     -931.818840 kBT
1fg0A_M280.pdb     -1000.380134 kBT
1fg0A_M398.pdb     -862.750479 kBT
1fg0A_M436.pdb     -862.861295 kBT
1fg0A_M169.pdb     -924.030861 kBT
1fg0A_M495.pdb     -887.498918 kBT
1fg0A_M83.pdb     -951.035201 kBT
1fg0A_M442.pdb     -895.868901 kBT
1fg0A_M233.pdb     -869.768679 kBT
1fg0A_M448.pdb     -931.443986 kBT
1fg0A_M357.pdb     -897.664769 kBT
1fg0A_M247.pdb     -921.768606 kBT
1fg0A_M476.pdb     -920.884043 kBT
1fg0A_M244.pdb     -912.205522 kBT
1fg0A_M354.pdb     -900.224168 kBT
1fg0A_M309.pdb     -900.632551 kBT
1fg0A_M252.pdb     -963.187276 kBT
1fg0A_M338.pdb     -967.015219 kBT
1fg0A_M475.pdb     -946.228993 kBT
1fg0A_M203.pdb     -1005.181538 kBT
1fg0A_M235.pdb     -952.671609 kBT
1fg0A_M51.pdb     -959.086690 kBT
1fg0A_M415.pdb     -884.363838 kBT
1fg0A_M188.pdb     -922.074623 kBT
1fg0A_M491.pdb     -910.366130 kBT
1fg0A_M472.pdb     -989.392085 kBT
1fg0A_M435.pdb     -935.631276 kBT
1fg0A_M304.pdb     -945.439141 kBT
1fg0A_M15.pdb     -1060.248256 kBT
1fg0A_M181.pdb     -927.501329 kBT
1fg0A_M75.pdb     -963.086877 kBT
1fg0A_M253.pdb     -902.240917 kBT
1fg0A_M109.pdb     -960.715789 kBT
1fg0A_M220.pdb     -874.040327 kBT
1fg0A_M331.pdb     -912.461068 kBT
1fg0A_M358.pdb     -1007.776122 kBT
1fg0A_M46.pdb     -986.005543 kBT
1fg0A_M407.pdb     -938.376771 kBT
1fg0A_M103.pdb     -945.045947 kBT
1fg0A_M159.pdb     -1020.780541 kBT
1fg0A_M204.pdb     -964.641526 kBT
1fg0A_M347.pdb     -890.573516 kBT
1fg0A_M395.pdb     -946.544846 kBT
1fg0A_M70.pdb     -984.396919 kBT
1fg0A_M196.pdb     -920.407118 kBT
1fg0A_M38.pdb     -1003.510934 kBT
1fg0A_M149.pdb     -964.657229 kBT
1fg0A_M26.pdb     -1058.411345 kBT
1fg0A_M55.pdb     -1023.510674 kBT
1fg0A_M300.pdb     -876.451967 kBT
1fg0A_M414.pdb     -935.718725 kBT
1fg0A_M365.pdb     -906.989669 kBT
1fg0A_M246.pdb     -912.709649 kBT
1fg0A_M391.pdb     -876.680626 kBT
1fg0A_M128.pdb     -978.875488 kBT
1fg0A_M74.pdb     -933.065463 kBT
1fg0A_M96.pdb     -901.939603 kBT
1fg0A_M22.pdb     -1099.174825 kBT
1fg0A_M2.pdb     -1078.979266 kBT
1fg0A_M221.pdb     -867.517533 kBT
1fg0A_M53.pdb     -1029.539895 kBT
1fg0A_M172.pdb     -953.019188 kBT
1fg0A_M24.pdb     -1035.438800 kBT
1fg0A_M437.pdb     -921.375779 kBT
1fg0A_M429.pdb     -852.630432 kBT
1fg0A_M462.pdb     -919.122698 kBT
1fg0A_M182.pdb     -1005.675014 kBT
1fg0A_M19.pdb     -1046.437695 kBT
1fg0A_M71.pdb     -915.390523 kBT
1fg0A_M248.pdb     -931.356467 kBT
1fg0A_M325.pdb     -863.634053 kBT
1fg0A_M362.pdb     -861.528934 kBT
1fg0A_M299.pdb     -895.994458 kBT
1fg0A_M84.pdb     -994.577792 kBT
1fg0A_M287.pdb     -1008.512272 kBT
1fg0A_M47.pdb     -938.441490 kBT
1fg0A_M489.pdb     -891.706508 kBT
1fg0A_M237.pdb     -891.715887 kBT
1fg0A_M125.pdb     -1003.241449 kBT
1fg0A_M336.pdb     -821.926685 kBT
1fg0A_M402.pdb     -968.235508 kBT
1fg0A_M480.pdb     -938.274176 kBT
1fg0A_M266.pdb     -931.798591 kBT
1fg0A_M180.pdb     -934.666392 kBT
1fg0A_M382.pdb     -981.133458 kBT
1fg0A_M370.pdb     -876.094874 kBT
1fg0A_M272.pdb     -955.072805 kBT
1fg0A_M102.pdb     -949.549536 kBT
1fg0A_M458.pdb     -902.615401 kBT
1fg0A_M37.pdb     -1041.080895 kBT
1fg0A_M322.pdb     -937.879904 kBT
1fg0A_M160.pdb     -930.121846 kBT
1fg0A_M42.pdb     -993.542872 kBT
1fg0A_M482.pdb     -816.051104 kBT
1fg0A_M29.pdb     -1002.062800 kBT
1fg0A_M440.pdb     -853.528772 kBT
1fg0A_M223.pdb     -966.407757 kBT
1fg0A_M9.pdb     -1091.537204 kBT
1fg0A_M16.pdb     -1052.213155 kBT
1fg0A_M173.pdb     -948.677125 kBT
1fg0A_M333.pdb     -928.000203 kBT
1fg0A_M473.pdb     -899.856525 kBT
1fg0A_M305.pdb     -906.894949 kBT
1fg0A_M5.pdb     -1075.999100 kBT
1fg0A_M36.pdb     -1047.529938 kBT
1fg0A_M321.pdb     -904.297914 kBT
1fg0A_M195.pdb     -976.522925 kBT
1fg0A_M467.pdb     -906.612518 kBT
1fg0A_M122.pdb     -961.268896 kBT
1fg0A_M439.pdb     -898.009679 kBT
1fg0A_M67.pdb     -984.175209 kBT
1fg0A_M27.pdb     -1028.274574 kBT
1fg0A_M453.pdb     -964.905343 kBT
1fg0A_M323.pdb     -903.271424 kBT
1fg0A_M45.pdb     -978.028308 kBT
1fg0A_M85.pdb     -939.606577 kBT
1fg0A_M186.pdb     -929.135145 kBT
1fg0A_M134.pdb     -991.687624 kBT
1fg0A_M316.pdb     -940.477234 kBT
1fg0A_M291.pdb     -966.885635 kBT
1fg0A_M81.pdb     -982.551839 kBT
1fg0A_M111.pdb     -973.898771 kBT
1fg0A_M403.pdb     -930.746622 kBT
1fg0A_M150.pdb     -930.078845 kBT
1fg0A_M318.pdb     -958.898053 kBT
1fg0A_M488.pdb     -899.651599 kBT
1fg0A_M457.pdb     -880.831333 kBT
1fg0A_M308.pdb     -938.692506 kBT
1fg0A_M101.pdb     -984.382875 kBT
1fg0A_M17.pdb     -1040.668882 kBT
1fg0A_M406.pdb     -951.611610 kBT
1fg0A_M339.pdb     -910.899940 kBT
1fg0A_M39.pdb     -996.977813 kBT
1fg0A_M201.pdb     -900.497985 kBT
1fg0A_M293.pdb     -951.491989 kBT
1fg0A_M212.pdb     -911.467517 kBT
1fg0A_M178.pdb     -943.504343 kBT
1fg0A_M307.pdb     -985.747523 kBT
1fg0A_M256.pdb     -972.492059 kBT
1fg0A_M43.pdb     -1002.959135 kBT
1fg0A_M25.pdb     -1044.781800 kBT
1fg0A_M315.pdb     -883.300414 kBT
1fg0A_M332.pdb     -872.675977 kBT
1fg0A_M319.pdb     -949.154349 kBT
1fg0A_M303.pdb     -1028.334915 kBT
1fg0A_M477.pdb     -921.725981 kBT
1fg0A_M153.pdb     -932.512535 kBT
1fg0A_M11.pdb     -1106.887166 kBT
1fg0A_M385.pdb     -928.637769 kBT
1fg0A_M335.pdb     -954.540202 kBT
1fg0A_M114.pdb     -953.738292 kBT
1fg0A_M418.pdb     -870.503624 kBT
1fg0A_M470.pdb     -913.676118 kBT
1fg0A_M32.pdb     -1029.683120 kBT
1fg0A_M214.pdb     -980.379319 kBT
1fg0A_M289.pdb     -947.594371 kBT
1fg0A_M465.pdb     -830.376669 kBT
1fg0A_M151.pdb     -965.546251 kBT
1fg0A_M60.pdb     -1006.603124 kBT
1fg0A_M464.pdb     -924.467055 kBT
1fg0A_M116.pdb     -926.927542 kBT
1fg0A_M105.pdb     -922.275395 kBT
1fg0A_M88.pdb     -983.625665 kBT
1fg0A_M313.pdb     -929.407725 kBT
1fg0A_M185.pdb     -977.897462 kBT
1fg0A_M383.pdb     -911.540924 kBT
1fg0A_M205.pdb     -930.333371 kBT
1fg0A_M207.pdb     -959.442312 kBT
1fg0A_M310.pdb     -936.332205 kBT
1fg0A_M417.pdb     -897.308977 kBT
1fg0A_M136.pdb     -881.941788 kBT
1fg0A_M176.pdb     -937.888779 kBT
1fg0A_M356.pdb     -878.414811 kBT
1fg0A_M58.pdb     -961.977375 kBT
1fg0A_M243.pdb     -879.917396 kBT
1fg0A_M296.pdb     -926.155137 kBT
1fg0A_M234.pdb     -945.329238 kBT
1fg0A_M77.pdb     -960.068657 kBT
1fg0A_M251.pdb     -993.347157 kBT
1fg0A_M141.pdb     -878.589988 kBT
1fg0A_M147.pdb     -985.387222 kBT
1fg0A_M329.pdb     -882.531606 kBT
1fg0A_M206.pdb     -973.979780 kBT
1fg0A_M419.pdb     -953.105045 kBT
1fg0A_M278.pdb     -915.455973 kBT
1fg0A_M369.pdb     -833.395837 kBT
1fg0A_M21.pdb     -1065.234520 kBT
1fg0A_M263.pdb     -934.168273 kBT
1fg0A_M106.pdb     -918.211557 kBT
1fg0A_M274.pdb     -992.070806 kBT
1fg0A_M267.pdb     -938.466887 kBT
1fg0A_M222.pdb     -955.918625 kBT
1fg0A_M371.pdb     -874.297492 kBT
1fg0A_M127.pdb     -933.323172 kBT
1fg0A_M35.pdb     -1010.936917 kBT
1fg0A_M399.pdb     -961.032925 kBT
1fg0A_M86.pdb     -950.748299 kBT
1fg0A_M454.pdb     -904.855706 kBT
1fg0A_M330.pdb     -924.307481 kBT
1fg0A_M378.pdb     -933.979741 kBT
1fg0A_M306.pdb     -909.028587 kBT
1fg0A_M494.pdb     -899.725031 kBT
1fg0A_M18.pdb     -1049.520428 kBT
1fg0A_M479.pdb     -920.239824 kBT
1fg0A_M474.pdb     -876.067817 kBT
1fg0A_M481.pdb     -874.277510 kBT
1fg0A_M264.pdb     -919.883019 kBT
1fg0A_M6.pdb     -1097.701929 kBT
1fg0A_M179.pdb     -958.421916 kBT
1fg0A_M466.pdb     -872.821919 kBT
1fg0A_M346.pdb     -918.540150 kBT
1fg0A_M23.pdb     -1000.825222 kBT
1fg0A_M121.pdb     -966.981798 kBT
1fg0A_M40.pdb     -1005.562822 kBT
1fg0A_M478.pdb     -862.132765 kBT
1fg0A_M229.pdb     -928.929472 kBT
1fg0A_M379.pdb     -932.066792 kBT
1fg0A_M110.pdb     -987.660657 kBT
1fg0A_M456.pdb     -868.674864 kBT
1fg0A_M79.pdb     -1010.646655 kBT
1fg0A_M290.pdb     -913.073285 kBT
1fg0A_M132.pdb     -935.456636 kBT
1fg0A_M416.pdb     -895.938567 kBT
1fg0A_M218.pdb     -916.962716 kBT
1fg0A_M118.pdb     -950.765117 kBT
1fg0A_M30.pdb     -1004.532479 kBT
1fg0A_M93.pdb     -999.771596 kBT
1fg0A_M135.pdb     -929.637489 kBT
1fg0A_M271.pdb     -954.944552 kBT
1fg0A_M312.pdb     -948.758800 kBT
1fg0A_M317.pdb     -907.733174 kBT
1fg0A_M148.pdb     -917.715350 kBT
1fg0A_M225.pdb     -930.288486 kBT
1fg0A_M72.pdb     -1026.302987 kBT
1fg0A_M90.pdb     -974.272499 kBT
1fg0A_M130.pdb     -900.505659 kBT
1fg0A_M411.pdb     -908.513067 kBT
1fg0A_M232.pdb     -936.195681 kBT
1fg0A_M345.pdb     -881.471369 kBT
1fg0A_M334.pdb     -923.928622 kBT
1fg0A_M166.pdb     -883.493772 kBT
1fg0A_M78.pdb     -955.083316 kBT
1fg0A_M490.pdb     -916.212806 kBT
1fg0A_M387.pdb     -914.834989 kBT
1fg0A_M286.pdb     -851.378949 kBT
1fg0A_M155.pdb     -938.415711 kBT
1fg0A_M384.pdb     -930.670512 kBT
1fg0A_M376.pdb     -882.925283 kBT
1fg0A_M344.pdb     -847.372806 kBT
1fg0A_M449.pdb     -928.285105 kBT
1fg0A_M62.pdb     -997.411838 kBT
1fg0A_M374.pdb     -918.462833 kBT
1fg0A_M273.pdb     -941.399196 kBT
1fg0A_M327.pdb     -944.691851 kBT
1fg0A_M177.pdb     -964.942617 kBT
1fg0A_M91.pdb     -937.114836 kBT
1fg0A_M314.pdb     -932.007973 kBT
1fg0A_M202.pdb     -951.054639 kBT
1fg0A_M161.pdb     -880.846161 kBT
1fg0A_M451.pdb     -901.919799 kBT
1fg0A_M171.pdb     -935.503008 kBT
1fg0A_M301.pdb     -925.662409 kBT
1fg0A_M68.pdb     -1035.279384 kBT
1fg0A_M119.pdb     -987.556814 kBT
1fg0A_M238.pdb     -943.166383 kBT
1fg0A_M123.pdb     -895.059550 kBT
1fg0A_M20.pdb     -1050.975663 kBT
1fg0A_M200.pdb     -927.797513 kBT
1fg0A_M295.pdb     -969.188888 kBT
1fg0A_M404.pdb     -914.691557 kBT
1fg0A_M76.pdb     -957.309477 kBT
1fg0A_M447.pdb     -931.771373 kBT
1fg0A_M231.pdb     -903.947514 kBT
1fg0A_M211.pdb     -891.568302 kBT
1fg0A_M297.pdb     -909.809957 kBT
1fg0A_M97.pdb     -950.891344 kBT
1fg0A_M95.pdb     -980.692032 kBT
1fg0A_M133.pdb     -987.786725 kBT
1fg0A_M388.pdb     -891.440370 kBT
1fg0A_M353.pdb     -953.555232 kBT
1fg0A_M392.pdb     -932.426168 kBT
1fg0A_M342.pdb     -874.374579 kBT
1fg0A_M140.pdb     -963.493770 kBT
1fg0A_M28.pdb     -1037.550782 kBT
1fg0A_M421.pdb     -920.313219 kBT
1fg0A_M158.pdb     -875.011667 kBT
1fg0A_M493.pdb     -946.978502 kBT
