2zniD_M471.pdb     -226.032022 kBT
2zniD_M233.pdb     -225.151763 kBT
2zniD_M326.pdb     -219.442367 kBT
2zniD_M429.pdb     -214.526466 kBT
2zniD_M340.pdb     -210.133437 kBT
2zniD_M29.pdb     -260.532095 kBT
2zniD_M394.pdb     -234.991729 kBT
2zniD_M48.pdb     -260.743819 kBT
2zniD_M474.pdb     -220.362617 kBT
2zniD_M16.pdb     -272.447534 kBT
2zniD_M383.pdb     -238.227092 kBT
2zniD_M96.pdb     -207.043041 kBT
2zniD_M216.pdb     -234.652173 kBT
2zniD_M81.pdb     -254.722987 kBT
2zniD_M90.pdb     -260.731190 kBT
2zniD_M330.pdb     -223.077265 kBT
2zniD_M72.pdb     -257.156612 kBT
2zniD_M3.pdb     -281.765223 kBT
2zniD_M244.pdb     -203.223607 kBT
2zniD_M225.pdb     -219.828113 kBT
2zniD_M491.pdb     -208.192545 kBT
2zniD_M158.pdb     -230.952055 kBT
2zniD_M385.pdb     -220.603573 kBT
2zniD_M477.pdb     -199.046875 kBT
2zniD_M262.pdb     -212.219267 kBT
2zniD_M339.pdb     -238.231164 kBT
2zniD_M485.pdb     -218.261119 kBT
2zniD_M431.pdb     -202.189622 kBT
2zniD_M380.pdb     -214.015580 kBT
2zniD_M208.pdb     -199.282557 kBT
2zniD_M364.pdb     -200.725059 kBT
2zniD_M456.pdb     -221.560926 kBT
2zniD_M204.pdb     -241.475221 kBT
2zniD_M9.pdb     -282.275792 kBT
2zniD_M45.pdb     -252.451551 kBT
2zniD_M378.pdb     -235.091506 kBT
2zniD_M156.pdb     -234.495387 kBT
2zniD_M190.pdb     -232.460948 kBT
2zniD_M461.pdb     -233.168152 kBT
2zniD_M220.pdb     -227.979300 kBT
2zniD_M353.pdb     -200.838848 kBT
2zniD_M402.pdb     -198.066327 kBT
2zniD_M465.pdb     -215.196314 kBT
2zniD_M11.pdb     -273.961232 kBT
2zniD_M375.pdb     -229.388259 kBT
2zniD_M260.pdb     -220.982726 kBT
2zniD_M26.pdb     -282.353865 kBT
2zniD_M372.pdb     -227.291649 kBT
2zniD_M319.pdb     -231.365769 kBT
2zniD_M14.pdb     -272.949322 kBT
2zniD_M421.pdb     -221.015342 kBT
2zniD_M101.pdb     -240.552618 kBT
2zniD_M334.pdb     -201.064774 kBT
2zniD_M425.pdb     -238.556622 kBT
2zniD_M466.pdb     -233.963580 kBT
2zniD_M292.pdb     -205.142904 kBT
2zniD_M446.pdb     -214.905010 kBT
2zniD_M120.pdb     -239.043315 kBT
2zniD_M241.pdb     -232.679936 kBT
2zniD_M272.pdb     -237.824355 kBT
2zniD_M288.pdb     -193.423140 kBT
2zniD_M377.pdb     -229.993156 kBT
2zniD_M153.pdb     -245.600587 kBT
2zniD_M197.pdb     -247.293819 kBT
2zniD_M310.pdb     -238.872819 kBT
2zniD_M283.pdb     -190.210859 kBT
2zniD_M307.pdb     -245.201568 kBT
2zniD_M284.pdb     -188.467667 kBT
2zniD_M206.pdb     -231.204140 kBT
2zniD_M212.pdb     -229.072893 kBT
2zniD_M331.pdb     -187.997449 kBT
2zniD_M7.pdb     -283.990775 kBT
2zniD_M397.pdb     -216.844006 kBT
2zniD_M205.pdb     -233.513432 kBT
2zniD_M226.pdb     -218.487127 kBT
2zniD_M404.pdb     -210.818439 kBT
2zniD_M309.pdb     -239.743995 kBT
2zniD_M297.pdb     -225.058577 kBT
2zniD_M252.pdb     -206.353519 kBT
2zniD_M102.pdb     -268.710750 kBT
2zniD_M407.pdb     -240.549737 kBT
2zniD_M370.pdb     -228.027455 kBT
2zniD_M100.pdb     -251.032619 kBT
2zniD_M25.pdb     -279.559128 kBT
2zniD_M218.pdb     -241.987894 kBT
2zniD_M150.pdb     -244.427185 kBT
2zniD_M95.pdb     -233.119856 kBT
2zniD_M170.pdb     -234.236612 kBT
2zniD_M382.pdb     -250.683530 kBT
2zniD_M107.pdb     -234.762064 kBT
2zniD_M411.pdb     -213.265358 kBT
2zniD_M41.pdb     -270.048333 kBT
2zniD_M119.pdb     -235.524066 kBT
2zniD_M124.pdb     -237.784298 kBT
2zniD_M475.pdb     -205.377080 kBT
2zniD_M261.pdb     -233.211741 kBT
2zniD_M345.pdb     -244.395767 kBT
2zniD_M50.pdb     -244.477803 kBT
2zniD_M18.pdb     -267.331372 kBT
2zniD_M31.pdb     -271.345083 kBT
2zniD_M254.pdb     -207.608137 kBT
2zniD_M155.pdb     -213.882513 kBT
2zniD_M449.pdb     -223.687369 kBT
2zniD_M117.pdb     -258.159725 kBT
2zniD_M249.pdb     -224.054683 kBT
2zniD_M56.pdb     -252.377232 kBT
2zniD_M384.pdb     -241.838658 kBT
2zniD_M74.pdb     -259.371998 kBT
2zniD_M387.pdb     -218.900826 kBT
2zniD_M203.pdb     -222.974998 kBT
2zniD_M121.pdb     -218.755755 kBT
2zniD_M248.pdb     -193.669438 kBT
2zniD_M44.pdb     -253.634624 kBT
2zniD_M388.pdb     -247.114881 kBT
2zniD_M469.pdb     -228.436145 kBT
2zniD_M476.pdb     -256.610259 kBT
2zniD_M198.pdb     -265.687661 kBT
2zniD_M113.pdb     -256.102935 kBT
2zniD_M400.pdb     -216.671812 kBT
2zniD_M245.pdb     -235.652024 kBT
2zniD_M215.pdb     -213.213341 kBT
2zniD_M484.pdb     -219.724549 kBT
2zniD_M299.pdb     -221.853201 kBT
2zniD_M160.pdb     -246.907444 kBT
2zniD_M462.pdb     -229.858585 kBT
2zniD_M185.pdb     -223.557952 kBT
2zniD_M35.pdb     -270.111507 kBT
2zniD_M389.pdb     -209.495600 kBT
2zniD_M22.pdb     -266.566741 kBT
2zniD_M126.pdb     -235.782479 kBT
2zniD_M222.pdb     -229.726410 kBT
2zniD_M165.pdb     -204.230395 kBT
2zniD_M412.pdb     -229.828996 kBT
2zniD_M229.pdb     -232.034290 kBT
2zniD_M143.pdb     -240.179164 kBT
2zniD_M151.pdb     -235.567307 kBT
2zniD_M293.pdb     -230.369368 kBT
2zniD_M483.pdb     -194.668620 kBT
2zniD_M295.pdb     -248.574058 kBT
2zniD_M94.pdb     -250.089814 kBT
2zniD_M486.pdb     -224.008103 kBT
2zniD_M452.pdb     -225.141533 kBT
2zniD_M489.pdb     -237.264811 kBT
2zniD_M210.pdb     -237.994085 kBT
2zniD_M142.pdb     -240.815000 kBT
2zniD_M19.pdb     -262.285316 kBT
2zniD_M123.pdb     -201.338541 kBT
2zniD_M2.pdb     -277.760425 kBT
2zniD_M443.pdb     -212.213050 kBT
2zniD_M294.pdb     -200.529445 kBT
2zniD_M418.pdb     -201.537853 kBT
2zniD_M376.pdb     -215.416773 kBT
2zniD_M57.pdb     -260.749692 kBT
2zniD_M99.pdb     -271.465064 kBT
2zniD_M415.pdb     -178.172060 kBT
2zniD_M230.pdb     -232.219934 kBT
2zniD_M145.pdb     -261.938236 kBT
2zniD_M12.pdb     -270.909541 kBT
2zniD_M399.pdb     -224.338690 kBT
2zniD_M253.pdb     -214.138224 kBT
2zniD_M492.pdb     -190.456310 kBT
