1ooaD_M413.pdb     -50.946343 kBT
1ooaD_M284.pdb     -85.326614 kBT
1ooaD_M264.pdb     -57.980251 kBT
1ooaD_M173.pdb     -74.417534 kBT
1ooaD_M248.pdb     -60.881177 kBT
1ooaD_M76.pdb     -72.067883 kBT
1ooaD_M467.pdb     -50.751156 kBT
1ooaD_M372.pdb     -38.539171 kBT
1ooaD_M426.pdb     -36.925247 kBT
1ooaD_M344.pdb     -49.592123 kBT
1ooaD_M105.pdb     -52.135738 kBT
1ooaD_M245.pdb     -43.306252 kBT
1ooaD_M407.pdb     -40.631275 kBT
1ooaD_M237.pdb     -60.739977 kBT
1ooaD_M141.pdb     -62.817684 kBT
1ooaD_M93.pdb     -59.908223 kBT
1ooaD_M391.pdb     -74.643430 kBT
1ooaD_M365.pdb     -58.103392 kBT
1ooaD_M11.pdb     -98.864188 kBT
1ooaD_M2.pdb     -109.379980 kBT
1ooaD_M32.pdb     -77.322557 kBT
1ooaD_M412.pdb     -31.536685 kBT
1ooaD_M178.pdb     -46.259010 kBT
1ooaD_M118.pdb     -45.348000 kBT
1ooaD_M261.pdb     -69.300725 kBT
1ooaD_M12.pdb     -58.353135 kBT
1ooaD_M145.pdb     -54.899430 kBT
1ooaD_M410.pdb     -54.564213 kBT
1ooaD_M403.pdb     -53.360912 kBT
1ooaD_M244.pdb     -50.186108 kBT
1ooaD_M330.pdb     -39.128155 kBT
1ooaD_M474.pdb     -76.607301 kBT
1ooaD_M293.pdb     -24.580395 kBT
1ooaD_M14.pdb     -79.170549 kBT
1ooaD_M254.pdb     -43.001212 kBT
1ooaD_M490.pdb     -72.711107 kBT
1ooaD_M386.pdb     -41.220459 kBT
1ooaD_M482.pdb     -55.378594 kBT
1ooaD_M335.pdb     -77.515972 kBT
1ooaD_M353.pdb     -41.614884 kBT
1ooaD_M42.pdb     -78.103245 kBT
1ooaD_M164.pdb     -70.128934 kBT
1ooaD_M400.pdb     -43.587222 kBT
1ooaD_M255.pdb     -58.316838 kBT
1ooaD_M20.pdb     -80.421702 kBT
1ooaD_M266.pdb     -33.244370 kBT
1ooaD_M436.pdb     -65.638930 kBT
1ooaD_M323.pdb     -25.267969 kBT
1ooaD_M317.pdb     -25.658937 kBT
1ooaD_M88.pdb     -53.089502 kBT
1ooaD_M142.pdb     -72.339266 kBT
1ooaD_M453.pdb     -38.086228 kBT
1ooaD_M438.pdb     -44.352396 kBT
1ooaD_M134.pdb     -75.127128 kBT
1ooaD_M306.pdb     -46.504647 kBT
1ooaD_M80.pdb     -77.505796 kBT
1ooaD_M47.pdb     -75.318420 kBT
1ooaD_M485.pdb     -64.099020 kBT
1ooaD_M117.pdb     -61.683741 kBT
1ooaD_M392.pdb     -71.092265 kBT
1ooaD_M338.pdb     -46.039741 kBT
1ooaD_M153.pdb     -65.900910 kBT
1ooaD_M50.pdb     -48.693850 kBT
1ooaD_M182.pdb     -52.459648 kBT
1ooaD_M120.pdb     -55.140119 kBT
1ooaD_M238.pdb     -77.125965 kBT
1ooaD_M425.pdb     -50.772420 kBT
1ooaD_M82.pdb     -78.464362 kBT
1ooaD_M69.pdb     -66.027612 kBT
1ooaD_M275.pdb     -37.393288 kBT
1ooaD_M495.pdb     -30.294141 kBT
1ooaD_M53.pdb     -99.305170 kBT
1ooaD_M363.pdb     -34.585487 kBT
1ooaD_M112.pdb     -67.438142 kBT
1ooaD_M28.pdb     -98.250243 kBT
1ooaD_M263.pdb     -29.990675 kBT
1ooaD_M496.pdb     -68.335484 kBT
1ooaD_M140.pdb     -46.083258 kBT
1ooaD_M345.pdb     -45.183584 kBT
1ooaD_M416.pdb     -46.942646 kBT
1ooaD_M429.pdb     -41.607694 kBT
1ooaD_M260.pdb     -57.768420 kBT
1ooaD_M360.pdb     -50.594385 kBT
1ooaD_M25.pdb     -78.292509 kBT
1ooaD_M131.pdb     -81.927046 kBT
1ooaD_M106.pdb     -34.165042 kBT
1ooaD_M455.pdb     -31.403510 kBT
1ooaD_M494.pdb     -62.174194 kBT
1ooaD_M152.pdb     -82.952652 kBT
1ooaD_M464.pdb     -50.496273 kBT
1ooaD_M186.pdb     -53.591934 kBT
1ooaD_M382.pdb     -37.355284 kBT
1ooaD_M217.pdb     -50.438019 kBT
1ooaD_M87.pdb     -44.161469 kBT
1ooaD_M476.pdb     -43.520874 kBT
1ooaD_M220.pdb     -69.333393 kBT
1ooaD_M295.pdb     -33.574014 kBT
1ooaD_M491.pdb     -43.546885 kBT
1ooaD_M231.pdb     -60.469734 kBT
1ooaD_M216.pdb     -56.524833 kBT
1ooaD_M489.pdb     -62.871111 kBT
1ooaD_M203.pdb     -57.215443 kBT
1ooaD_M137.pdb     -37.361477 kBT
1ooaD_M232.pdb     -45.206404 kBT
1ooaD_M291.pdb     -47.764318 kBT
1ooaD_M435.pdb     -54.125279 kBT
1ooaD_M371.pdb     -39.908062 kBT
1ooaD_M230.pdb     -48.595069 kBT
1ooaD_M364.pdb     -56.733651 kBT
1ooaD_M127.pdb     -63.288554 kBT
1ooaD_M427.pdb     -27.118971 kBT
1ooaD_M97.pdb     -60.674766 kBT
1ooaD_M72.pdb     -49.192787 kBT
1ooaD_M150.pdb     -44.127795 kBT
1ooaD_M198.pdb     -54.159447 kBT
1ooaD_M210.pdb     -28.943099 kBT
1ooaD_M480.pdb     -33.735922 kBT
1ooaD_M8.pdb     -80.539605 kBT
1ooaD_M213.pdb     -55.882173 kBT
1ooaD_M443.pdb     -57.817352 kBT
1ooaD.pdb     -106.130387 kBT
1ooaD_M469.pdb     -55.993297 kBT
1ooaD_M354.pdb     -34.744807 kBT
1ooaD_M448.pdb     -57.697955 kBT
1ooaD_M497.pdb     -44.646424 kBT
1ooaD_M33.pdb     -84.464912 kBT
1ooaD_M280.pdb     -59.340686 kBT
1ooaD_M57.pdb     -51.691277 kBT
1ooaD_M396.pdb     -56.312462 kBT
1ooaD_M108.pdb     -82.322921 kBT
1ooaD_M192.pdb     -66.514045 kBT
1ooaD_M156.pdb     -44.936280 kBT
1ooaD_M24.pdb     -97.711241 kBT
1ooaD_M229.pdb     -58.178585 kBT
1ooaD_M274.pdb     -61.394782 kBT
1ooaD_M296.pdb     -54.646314 kBT
1ooaD_M462.pdb     -72.380922 kBT
1ooaD_M27.pdb     -98.900484 kBT
1ooaD_M318.pdb     -40.497696 kBT
1ooaD_M434.pdb     -42.600005 kBT
1ooaD_M310.pdb     -73.007700 kBT
1ooaD_M227.pdb     -73.541018 kBT
1ooaD_M423.pdb     -56.206418 kBT
1ooaD_M327.pdb     -68.762708 kBT
1ooaD_M62.pdb     -60.144971 kBT
1ooaD_M5.pdb     -104.095389 kBT
1ooaD_M138.pdb     -78.524653 kBT
1ooaD_M487.pdb     -70.602414 kBT
1ooaD_M405.pdb     -66.167959 kBT
1ooaD_M4.pdb     -107.759764 kBT
1ooaD_M276.pdb     -46.071410 kBT
1ooaD_M326.pdb     -55.059245 kBT
1ooaD_M454.pdb     -62.213986 kBT
1ooaD_M355.pdb     -35.477835 kBT
1ooaD_M180.pdb     -72.446510 kBT
1ooaD_M471.pdb     -45.437917 kBT
1ooaD_M128.pdb     -72.766338 kBT
1ooaD_M103.pdb     -90.033027 kBT
1ooaD_M171.pdb     -57.316256 kBT
1ooaD_M55.pdb     -66.561712 kBT
1ooaD_M41.pdb     -87.841425 kBT
1ooaD_M463.pdb     -46.221665 kBT
1ooaD_M379.pdb     -45.826452 kBT
1ooaD_M79.pdb     -73.553426 kBT
1ooaD_M148.pdb     -36.502400 kBT
1ooaD_M23.pdb     -101.544640 kBT
1ooaD_M402.pdb     -32.579989 kBT
1ooaD_M269.pdb     -43.662833 kBT
1ooaD_M346.pdb     -53.820756 kBT
1ooaD_M390.pdb     -53.015361 kBT
1ooaD_M428.pdb     -57.928579 kBT
1ooaD_M334.pdb     -57.600516 kBT
1ooaD_M205.pdb     -75.004708 kBT
1ooaD_M301.pdb     -49.408969 kBT
1ooaD_M91.pdb     -64.267513 kBT
1ooaD_M219.pdb     -36.464698 kBT
1ooaD_M457.pdb     -44.781837 kBT
1ooaD_M67.pdb     -65.016244 kBT
1ooaD_M56.pdb     -52.450326 kBT
1ooaD_M146.pdb     -57.219748 kBT
1ooaD_M468.pdb     -31.469703 kBT
1ooaD_M316.pdb     -38.864367 kBT
1ooaD_M444.pdb     -30.649383 kBT
1ooaD_M221.pdb     -23.083518 kBT
1ooaD_M166.pdb     -56.187387 kBT
1ooaD_M207.pdb     -56.248482 kBT
1ooaD_M270.pdb     -38.519935 kBT
1ooaD_M102.pdb     -53.088671 kBT
1ooaD_M383.pdb     -65.305482 kBT
1ooaD_M314.pdb     -70.858557 kBT
1ooaD_M90.pdb     -75.460870 kBT
1ooaD_M99.pdb     -45.183836 kBT
1ooaD_M430.pdb     -44.946101 kBT
1ooaD_M357.pdb     -40.967540 kBT
1ooaD_M101.pdb     -66.056424 kBT
1ooaD_M401.pdb     -41.610202 kBT
1ooaD_M68.pdb     -85.637029 kBT
1ooaD_M389.pdb     -49.511142 kBT
1ooaD_M375.pdb     -42.083770 kBT
1ooaD_M242.pdb     -39.372877 kBT
1ooaD_M157.pdb     -56.170653 kBT
1ooaD_M333.pdb     -41.336801 kBT
1ooaD_M135.pdb     -63.179641 kBT
1ooaD_M209.pdb     -44.166637 kBT
1ooaD_M228.pdb     -57.807338 kBT
1ooaD_M133.pdb     -46.265788 kBT
1ooaD_M151.pdb     -77.426347 kBT
1ooaD_M243.pdb     -68.117819 kBT
1ooaD_M9.pdb     -101.025815 kBT
1ooaD_M253.pdb     -40.463750 kBT
1ooaD_M329.pdb     -68.102968 kBT
1ooaD_M104.pdb     -57.320652 kBT
1ooaD_M194.pdb     -47.044252 kBT
1ooaD_M48.pdb     -76.996125 kBT
1ooaD_M481.pdb     -53.901652 kBT
1ooaD_M307.pdb     -30.206756 kBT
1ooaD_M123.pdb     -71.153267 kBT
1ooaD_M65.pdb     -62.490108 kBT
1ooaD_M122.pdb     -35.269860 kBT
1ooaD_M285.pdb     -44.064302 kBT
1ooaD_M49.pdb     -103.181286 kBT
1ooaD_M303.pdb     -59.675191 kBT
1ooaD_M328.pdb     -39.114883 kBT
1ooaD_M406.pdb     -58.116169 kBT
1ooaD_M124.pdb     -62.403036 kBT
1ooaD_M439.pdb     -75.114853 kBT
1ooaD_M283.pdb     -45.810284 kBT
1ooaD_M337.pdb     -49.492471 kBT
1ooaD_M196.pdb     -51.114366 kBT
1ooaD_M86.pdb     -55.116514 kBT
1ooaD_M324.pdb     -61.287954 kBT
1ooaD_M226.pdb     -68.161825 kBT
1ooaD_M236.pdb     -54.093656 kBT
1ooaD_M126.pdb     -62.333461 kBT
1ooaD_M418.pdb     -48.968280 kBT
1ooaD_M373.pdb     -54.456382 kBT
1ooaD_M366.pdb     -50.808165 kBT
1ooaD_M26.pdb     -84.868064 kBT
1ooaD_M350.pdb     -64.327313 kBT
1ooaD_M16.pdb     -104.367942 kBT
1ooaD_M44.pdb     -83.877728 kBT
1ooaD_M445.pdb     -31.839458 kBT
1ooaD_M309.pdb     -53.746331 kBT
1ooaD_M452.pdb     -64.091545 kBT
1ooaD_M107.pdb     -56.535211 kBT
1ooaD_M376.pdb     -27.046917 kBT
1ooaD_M175.pdb     -54.142089 kBT
1ooaD_M160.pdb     -19.850501 kBT
1ooaD_M417.pdb     -40.812821 kBT
1ooaD_M162.pdb     -42.827288 kBT
1ooaD_M19.pdb     -71.471555 kBT
1ooaD_M369.pdb     -56.229463 kBT
1ooaD_M77.pdb     -76.998329 kBT
1ooaD_M188.pdb     -70.278574 kBT
1ooaD_M393.pdb     -75.425266 kBT
1ooaD_M256.pdb     -24.814738 kBT
1ooaD_M359.pdb     -48.164451 kBT
1ooaD_M181.pdb     -70.005660 kBT
1ooaD_M277.pdb     -38.355214 kBT
1ooaD_M358.pdb     -30.326060 kBT
1ooaD_M465.pdb     -48.923684 kBT
1ooaD_M204.pdb     -32.889349 kBT
1ooaD_M75.pdb     -54.601634 kBT
1ooaD_M420.pdb     -22.454611 kBT
1ooaD_M368.pdb     -25.381039 kBT
1ooaD_M446.pdb     -35.767357 kBT
1ooaD_M472.pdb     -60.650617 kBT
1ooaD_M206.pdb     -61.363668 kBT
1ooaD_M78.pdb     -73.776672 kBT
1ooaD_M199.pdb     -70.387352 kBT
1ooaD_M282.pdb     -38.140292 kBT
1ooaD_M17.pdb     -87.793326 kBT
1ooaD_M40.pdb     -69.672933 kBT
1ooaD_M7.pdb     -79.227417 kBT
1ooaD_M114.pdb     -66.495615 kBT
1ooaD_M286.pdb     -39.496320 kBT
1ooaD_M177.pdb     -35.154835 kBT
1ooaD_M458.pdb     -35.045095 kBT
1ooaD_M36.pdb     -104.386709 kBT
1ooaD_M279.pdb     -62.793890 kBT
1ooaD_M63.pdb     -91.763235 kBT
1ooaD_M96.pdb     -76.668070 kBT
1ooaD_M81.pdb     -59.251606 kBT
1ooaD_M442.pdb     -59.468971 kBT
1ooaD_M460.pdb     -71.013873 kBT
1ooaD_M37.pdb     -77.370676 kBT
1ooaD_M43.pdb     -88.580556 kBT
1ooaD_M168.pdb     -76.468259 kBT
1ooaD_M298.pdb     -57.057912 kBT
1ooaD_M384.pdb     -61.896211 kBT
1ooaD_M21.pdb     -102.678031 kBT
1ooaD_M451.pdb     -46.141648 kBT
1ooaD_M300.pdb     -42.576889 kBT
1ooaD_M387.pdb     -73.657521 kBT
1ooaD_M247.pdb     -57.406218 kBT
1ooaD_M377.pdb     -40.172280 kBT
1ooaD_M95.pdb     -69.441054 kBT
1ooaD_M129.pdb     -17.315233 kBT
1ooaD_M322.pdb     -41.024371 kBT
1ooaD_M202.pdb     -40.454248 kBT
1ooaD_M399.pdb     -50.322646 kBT
1ooaD_M89.pdb     -54.711917 kBT
1ooaD_M35.pdb     -80.556445 kBT
1ooaD_M94.pdb     -43.484172 kBT
1ooaD_M332.pdb     -58.978536 kBT
1ooaD_M470.pdb     -44.297750 kBT
1ooaD_M348.pdb     -48.276224 kBT
1ooaD_M398.pdb     -34.996954 kBT
1ooaD_M488.pdb     -32.078940 kBT
1ooaD_M13.pdb     -102.254635 kBT
1ooaD_M500.pdb     -63.074247 kBT
1ooaD_M414.pdb     -49.060528 kBT
1ooaD_M361.pdb     -48.139814 kBT
1ooaD_M336.pdb     -37.150151 kBT
1ooaD_M215.pdb     -57.665403 kBT
1ooaD_M73.pdb     -84.749944 kBT
1ooaD_M34.pdb     -83.263492 kBT
1ooaD_M289.pdb     -40.379335 kBT
1ooaD_M100.pdb     -80.874144 kBT
1ooaD_M193.pdb     -71.865467 kBT
1ooaD_M64.pdb     -50.093003 kBT
1ooaD_M339.pdb     -56.451886 kBT
1ooaD_M163.pdb     -59.377077 kBT
1ooaD_M331.pdb     -55.879236 kBT
1ooaD_M477.pdb     -62.774063 kBT
1ooaD_M273.pdb     -59.950016 kBT
1ooaD_M74.pdb     -89.933593 kBT
1ooaD_M294.pdb     -34.369792 kBT
1ooaD_M305.pdb     -74.326996 kBT
1ooaD_M15.pdb     -105.918484 kBT
