1mjiD_M86.pdb     -111.002800 kBT
1mjiD_M417.pdb     -77.883972 kBT
1mjiD_M83.pdb     -110.268358 kBT
1mjiD_M31.pdb     -121.855062 kBT
1mjiD_M495.pdb     -81.786556 kBT
1mjiD_M260.pdb     -93.102686 kBT
1mjiD_M71.pdb     -120.415209 kBT
1mjiD_M168.pdb     -102.808645 kBT
1mjiD_M54.pdb     -111.320052 kBT
1mjiD_M329.pdb     -94.455367 kBT
1mjiD_M413.pdb     -71.802914 kBT
1mjiD_M166.pdb     -120.047265 kBT
1mjiD_M156.pdb     -109.954358 kBT
1mjiD_M279.pdb     -75.770692 kBT
1mjiD_M465.pdb     -104.516590 kBT
1mjiD_M318.pdb     -109.627863 kBT
1mjiD_M222.pdb     -103.721671 kBT
1mjiD_M394.pdb     -88.528237 kBT
1mjiD_M437.pdb     -96.503871 kBT
1mjiD_M103.pdb     -117.728539 kBT
1mjiD_M10.pdb     -128.399097 kBT
1mjiD_M3.pdb     -124.960349 kBT
1mjiD_M92.pdb     -117.457457 kBT
1mjiD_M362.pdb     -101.675453 kBT
1mjiD_M120.pdb     -103.628819 kBT
1mjiD_M280.pdb     -120.711042 kBT
1mjiD_M421.pdb     -90.174058 kBT
1mjiD_M140.pdb     -104.737791 kBT
1mjiD_M151.pdb     -120.050160 kBT
1mjiD_M467.pdb     -82.772751 kBT
1mjiD_M73.pdb     -101.800561 kBT
1mjiD_M27.pdb     -112.609909 kBT
1mjiD_M128.pdb     -86.913450 kBT
1mjiD_M72.pdb     -127.591822 kBT
1mjiD_M225.pdb     -86.218998 kBT
1mjiD_M281.pdb     -113.077355 kBT
1mjiD_M143.pdb     -92.853924 kBT
1mjiD_M43.pdb     -133.115201 kBT
1mjiD_M201.pdb     -90.204156 kBT
1mjiD_M470.pdb     -89.528795 kBT
1mjiD_M336.pdb     -102.866059 kBT
1mjiD_M35.pdb     -113.657073 kBT
1mjiD_M184.pdb     -131.639750 kBT
1mjiD_M39.pdb     -116.489259 kBT
1mjiD_M107.pdb     -107.679754 kBT
1mjiD_M404.pdb     -109.652417 kBT
1mjiD_M84.pdb     -97.380130 kBT
1mjiD_M129.pdb     -88.022559 kBT
1mjiD_M192.pdb     -100.903403 kBT
1mjiD_M306.pdb     -111.132658 kBT
1mjiD_M230.pdb     -88.048615 kBT
1mjiD_M249.pdb     -86.374509 kBT
1mjiD_M373.pdb     -93.975942 kBT
1mjiD_M89.pdb     -104.661880 kBT
1mjiD_M19.pdb     -122.616698 kBT
1mjiD_M223.pdb     -108.410824 kBT
1mjiD_M367.pdb     -92.567958 kBT
1mjiD_M415.pdb     -105.928334 kBT
1mjiD_M182.pdb     -98.506637 kBT
1mjiD_M238.pdb     -87.863567 kBT
1mjiD_M210.pdb     -89.266962 kBT
1mjiD_M104.pdb     -98.395336 kBT
1mjiD_M125.pdb     -104.960507 kBT
1mjiD_M439.pdb     -104.868557 kBT
1mjiD_M408.pdb     -85.239365 kBT
1mjiD_M206.pdb     -98.048268 kBT
1mjiD_M316.pdb     -68.777228 kBT
1mjiD_M165.pdb     -101.774810 kBT
1mjiD_M422.pdb     -88.990662 kBT
1mjiD_M303.pdb     -93.106891 kBT
1mjiD_M446.pdb     -91.655486 kBT
1mjiD_M190.pdb     -108.800345 kBT
1mjiD_M18.pdb     -124.620819 kBT
1mjiD_M228.pdb     -93.274473 kBT
1mjiD_M475.pdb     -77.543903 kBT
1mjiD_M315.pdb     -91.703709 kBT
1mjiD_M372.pdb     -100.725087 kBT
1mjiD_M174.pdb     -106.189870 kBT
1mjiD_M141.pdb     -115.551200 kBT
1mjiD_M430.pdb     -93.494524 kBT
1mjiD_M444.pdb     -85.157117 kBT
1mjiD_M387.pdb     -87.509227 kBT
1mjiD_M382.pdb     -106.988053 kBT
1mjiD_M124.pdb     -77.826738 kBT
1mjiD_M46.pdb     -119.211473 kBT
1mjiD_M391.pdb     -132.680778 kBT
1mjiD_M499.pdb     -79.424510 kBT
1mjiD_M381.pdb     -110.456369 kBT
1mjiD_M207.pdb     -119.320320 kBT
1mjiD_M478.pdb     -90.098167 kBT
1mjiD_M30.pdb     -109.814300 kBT
1mjiD_M226.pdb     -93.401352 kBT
1mjiD_M440.pdb     -90.275930 kBT
1mjiD_M256.pdb     -95.703903 kBT
1mjiD_M11.pdb     -128.942171 kBT
1mjiD_M443.pdb     -104.545891 kBT
1mjiD_M442.pdb     -108.345175 kBT
1mjiD_M22.pdb     -131.177343 kBT
1mjiD_M429.pdb     -105.212428 kBT
1mjiD_M76.pdb     -104.066822 kBT
1mjiD_M359.pdb     -95.118705 kBT
1mjiD_M451.pdb     -88.530938 kBT
1mjiD_M110.pdb     -108.743031 kBT
1mjiD_M99.pdb     -113.023286 kBT
1mjiD_M269.pdb     -95.451830 kBT
1mjiD_M177.pdb     -107.823254 kBT
1mjiD_M278.pdb     -99.359510 kBT
1mjiD_M15.pdb     -120.591527 kBT
1mjiD_M41.pdb     -105.497380 kBT
1mjiD_M259.pdb     -112.228276 kBT
1mjiD_M461.pdb     -95.807741 kBT
1mjiD_M44.pdb     -120.809482 kBT
1mjiD_M388.pdb     -103.954836 kBT
1mjiD_M196.pdb     -100.955779 kBT
1mjiD_M193.pdb     -109.865989 kBT
1mjiD_M88.pdb     -99.934700 kBT
1mjiD_M40.pdb     -110.667118 kBT
1mjiD_M266.pdb     -80.729962 kBT
1mjiD_M183.pdb     -95.410001 kBT
1mjiD_M106.pdb     -124.453993 kBT
1mjiD_M366.pdb     -81.012085 kBT
1mjiD_M243.pdb     -101.503501 kBT
1mjiD_M485.pdb     -96.414089 kBT
1mjiD_M308.pdb     -91.726895 kBT
1mjiD_M403.pdb     -107.400688 kBT
1mjiD_M484.pdb     -99.636996 kBT
1mjiD_M424.pdb     -105.444617 kBT
1mjiD_M343.pdb     -93.190077 kBT
1mjiD_M493.pdb     -86.552847 kBT
1mjiD_M146.pdb     -96.584439 kBT
1mjiD_M248.pdb     -116.325259 kBT
1mjiD_M56.pdb     -100.306383 kBT
1mjiD_M374.pdb     -104.205395 kBT
1mjiD_M312.pdb     -75.279234 kBT
1mjiD_M342.pdb     -86.327783 kBT
1mjiD_M200.pdb     -90.827391 kBT
1mjiD_M145.pdb     -118.704712 kBT
1mjiD_M270.pdb     -87.478696 kBT
1mjiD_M118.pdb     -106.999207 kBT
1mjiD_M147.pdb     -106.025766 kBT
1mjiD_M149.pdb     -105.416238 kBT
1mjiD_M36.pdb     -115.176073 kBT
1mjiD_M91.pdb     -102.849401 kBT
1mjiD_M400.pdb     -119.444648 kBT
1mjiD_M401.pdb     -117.520965 kBT
1mjiD_M244.pdb     -89.033508 kBT
1mjiD_M489.pdb     -92.428052 kBT
1mjiD_M211.pdb     -122.056712 kBT
1mjiD_M487.pdb     -106.340023 kBT
1mjiD_M157.pdb     -112.006074 kBT
1mjiD_M213.pdb     -100.030406 kBT
1mjiD_M289.pdb     -118.882718 kBT
1mjiD_M94.pdb     -110.098515 kBT
1mjiD_M64.pdb     -129.118011 kBT
1mjiD_M237.pdb     -92.635129 kBT
1mjiD_M434.pdb     -111.333793 kBT
1mjiD_M344.pdb     -73.307931 kBT
1mjiD_M221.pdb     -93.280024 kBT
1mjiD_M261.pdb     -89.841081 kBT
1mjiD_M477.pdb     -87.960207 kBT
1mjiD_M204.pdb     -107.638865 kBT
1mjiD_M68.pdb     -110.459159 kBT
1mjiD_M464.pdb     -107.511006 kBT
1mjiD_M328.pdb     -104.577454 kBT
1mjiD_M240.pdb     -109.367862 kBT
1mjiD_M450.pdb     -94.425454 kBT
1mjiD_M384.pdb     -89.146866 kBT
1mjiD_M254.pdb     -79.846273 kBT
1mjiD_M162.pdb     -83.828459 kBT
1mjiD_M323.pdb     -116.312886 kBT
1mjiD_M136.pdb     -87.940382 kBT
1mjiD_M224.pdb     -107.100947 kBT
1mjiD_M38.pdb     -110.886167 kBT
1mjiD_M45.pdb     -101.108369 kBT
1mjiD_M255.pdb     -102.363382 kBT
1mjiD_M271.pdb     -107.956762 kBT
1mjiD_M123.pdb     -105.905140 kBT
1mjiD_M62.pdb     -111.950077 kBT
1mjiD_M7.pdb     -125.510105 kBT
1mjiD_M460.pdb     -115.422851 kBT
1mjiD_M32.pdb     -103.342270 kBT
1mjiD_M160.pdb     -109.345601 kBT
1mjiD_M2.pdb     -126.665439 kBT
1mjiD_M498.pdb     -99.299939 kBT
1mjiD_M65.pdb     -107.195699 kBT
1mjiD_M397.pdb     -111.698024 kBT
1mjiD_M432.pdb     -103.453955 kBT
1mjiD_M188.pdb     -104.715453 kBT
1mjiD_M360.pdb     -94.329738 kBT
1mjiD_M181.pdb     -88.251123 kBT
1mjiD_M295.pdb     -76.590634 kBT
1mjiD_M333.pdb     -118.383718 kBT
1mjiD_M274.pdb     -105.630730 kBT
1mjiD_M267.pdb     -97.745449 kBT
1mjiD_M236.pdb     -97.919671 kBT
1mjiD_M471.pdb     -98.849048 kBT
1mjiD_M80.pdb     -118.601896 kBT
1mjiD_M399.pdb     -90.539654 kBT
1mjiD_M353.pdb     -110.341280 kBT
1mjiD_M482.pdb     -88.113941 kBT
1mjiD_M409.pdb     -101.716054 kBT
1mjiD_M264.pdb     -118.570705 kBT
1mjiD_M42.pdb     -116.716181 kBT
1mjiD_M4.pdb     -130.000167 kBT
1mjiD_M392.pdb     -96.076309 kBT
1mjiD_M117.pdb     -107.896588 kBT
1mjiD_M290.pdb     -95.687039 kBT
1mjiD_M317.pdb     -95.992241 kBT
1mjiD_M152.pdb     -120.817307 kBT
1mjiD_M134.pdb     -124.508192 kBT
1mjiD_M452.pdb     -82.767220 kBT
1mjiD_M500.pdb     -102.396646 kBT
1mjiD_M469.pdb     -96.416403 kBT
1mjiD_M231.pdb     -94.705890 kBT
1mjiD_M159.pdb     -100.000787 kBT
1mjiD_M447.pdb     -109.701160 kBT
1mjiD_M310.pdb     -122.526082 kBT
1mjiD_M492.pdb     -100.205518 kBT
1mjiD_M298.pdb     -104.910839 kBT
1mjiD_M78.pdb     -113.873379 kBT
1mjiD_M113.pdb     -100.848543 kBT
1mjiD_M377.pdb     -90.213792 kBT
1mjiD_M332.pdb     -79.073143 kBT
1mjiD_M250.pdb     -91.529698 kBT
1mjiD_M305.pdb     -111.275253 kBT
1mjiD_M100.pdb     -94.596596 kBT
1mjiD_M186.pdb     -96.510753 kBT
1mjiD_M379.pdb     -110.429523 kBT
1mjiD_M219.pdb     -100.265908 kBT
1mjiD_M476.pdb     -92.084265 kBT
1mjiD_M37.pdb     -134.931895 kBT
1mjiD_M158.pdb     -91.710642 kBT
1mjiD_M491.pdb     -83.723518 kBT
1mjiD_M175.pdb     -117.124446 kBT
1mjiD_M70.pdb     -122.164825 kBT
1mjiD_M216.pdb     -84.480479 kBT
1mjiD_M341.pdb     -99.927157 kBT
1mjiD_M426.pdb     -100.598529 kBT
1mjiD_M327.pdb     -100.744344 kBT
1mjiD_M51.pdb     -111.211853 kBT
1mjiD_M233.pdb     -105.895817 kBT
1mjiD_M427.pdb     -78.317444 kBT
1mjiD_M199.pdb     -93.639656 kBT
1mjiD_M435.pdb     -94.466375 kBT
1mjiD_M98.pdb     -96.744294 kBT
1mjiD_M494.pdb     -90.893241 kBT
1mjiD_M187.pdb     -118.492194 kBT
1mjiD_M5.pdb     -124.564427 kBT
1mjiD_M293.pdb     -117.659556 kBT
1mjiD_M241.pdb     -78.645125 kBT
1mjiD_M198.pdb     -90.350729 kBT
1mjiD_M53.pdb     -111.274221 kBT
1mjiD_M47.pdb     -116.436273 kBT
1mjiD_M325.pdb     -84.143970 kBT
1mjiD_M59.pdb     -87.577867 kBT
1mjiD_M354.pdb     -115.839114 kBT
1mjiD_M340.pdb     -111.163753 kBT
1mjiD_M330.pdb     -82.381704 kBT
1mjiD_M194.pdb     -91.672896 kBT
1mjiD_M299.pdb     -104.869202 kBT
1mjiD_M386.pdb     -123.726435 kBT
1mjiD_M294.pdb     -110.869244 kBT
1mjiD_M454.pdb     -116.157050 kBT
1mjiD_M33.pdb     -101.679406 kBT
1mjiD_M170.pdb     -81.643327 kBT
1mjiD_M301.pdb     -111.534860 kBT
1mjiD_M195.pdb     -118.042388 kBT
1mjiD_M411.pdb     -111.120225 kBT
1mjiD_M314.pdb     -92.796895 kBT
1mjiD_M405.pdb     -93.122598 kBT
1mjiD_M55.pdb     -115.155670 kBT
1mjiD_M173.pdb     -110.933547 kBT
1mjiD_M375.pdb     -107.761340 kBT
1mjiD_M287.pdb     -82.911061 kBT
1mjiD_M137.pdb     -101.314292 kBT
1mjiD_M150.pdb     -102.034178 kBT
1mjiD_M292.pdb     -90.661687 kBT
1mjiD_M358.pdb     -115.403158 kBT
1mjiD_M321.pdb     -95.581682 kBT
1mjiD_M49.pdb     -116.929812 kBT
1mjiD_M324.pdb     -102.238335 kBT
1mjiD_M385.pdb     -97.108213 kBT
1mjiD_M346.pdb     -82.891264 kBT
1mjiD_M133.pdb     -111.130907 kBT
1mjiD_M139.pdb     -102.637902 kBT
1mjiD_M265.pdb     -93.189228 kBT
1mjiD_M282.pdb     -107.546161 kBT
1mjiD_M67.pdb     -115.627085 kBT
1mjiD_M87.pdb     -114.694597 kBT
1mjiD_M480.pdb     -95.565241 kBT
1mjiD_M234.pdb     -95.369610 kBT
1mjiD_M185.pdb     -83.173753 kBT
1mjiD_M167.pdb     -116.384392 kBT
1mjiD_M154.pdb     -90.314608 kBT
1mjiD_M322.pdb     -94.480692 kBT
1mjiD_M205.pdb     -105.394158 kBT
1mjiD_M351.pdb     -94.527139 kBT
1mjiD_M180.pdb     -109.567056 kBT
1mjiD_M61.pdb     -118.637671 kBT
1mjiD_M302.pdb     -81.538514 kBT
1mjiD_M105.pdb     -100.727460 kBT
1mjiD_M202.pdb     -96.277587 kBT
1mjiD_M69.pdb     -107.404466 kBT
1mjiD_M268.pdb     -114.335309 kBT
1mjiD_M433.pdb     -90.538630 kBT
1mjiD_M246.pdb     -104.847304 kBT
1mjiD_M97.pdb     -98.384254 kBT
1mjiD_M21.pdb     -119.914553 kBT
1mjiD_M253.pdb     -92.562918 kBT
1mjiD_M77.pdb     -110.001092 kBT
1mjiD_M420.pdb     -86.049146 kBT
1mjiD_M209.pdb     -124.745559 kBT
1mjiD_M257.pdb     -110.556438 kBT
1mjiD_M466.pdb     -98.224790 kBT
1mjiD_M252.pdb     -100.540466 kBT
1mjiD_M370.pdb     -76.834834 kBT
1mjiD_M14.pdb     -119.879213 kBT
1mjiD_M296.pdb     -92.049243 kBT
1mjiD_M345.pdb     -108.921207 kBT
1mjiD_M112.pdb     -89.740351 kBT
1mjiD_M445.pdb     -93.967258 kBT
1mjiD_M368.pdb     -108.913756 kBT
1mjiD_M1.pdb     -128.238407 kBT
1mjiD_M455.pdb     -103.882140 kBT
1mjiD_M101.pdb     -114.128886 kBT
1mjiD_M347.pdb     -85.556095 kBT
1mjiD_M57.pdb     -86.582422 kBT
1mjiD_M6.pdb     -126.061135 kBT
1mjiD_M319.pdb     -102.400196 kBT
1mjiD_M363.pdb     -101.658920 kBT
1mjiD_M402.pdb     -101.581512 kBT
1mjiD_M251.pdb     -80.075512 kBT
1mjiD_M272.pdb     -122.719873 kBT
1mjiD_M263.pdb     -89.282886 kBT
1mjiD_M66.pdb     -103.932421 kBT
1mjiD_M479.pdb     -94.904863 kBT
1mjiD_M438.pdb     -95.172072 kBT
1mjiD_M93.pdb     -114.696028 kBT
1mjiD_M418.pdb     -97.453022 kBT
1mjiD_M79.pdb     -116.305392 kBT
1mjiD_M320.pdb     -88.145427 kBT
1mjiD_M60.pdb     -116.417948 kBT
1mjiD.pdb     -124.712271 kBT
1mjiD_M262.pdb     -94.680903 kBT
1mjiD_M380.pdb     -84.790096 kBT
1mjiD_M142.pdb     -101.378285 kBT
1mjiD_M148.pdb     -82.914569 kBT
1mjiD_M456.pdb     -84.691614 kBT
1mjiD_M462.pdb     -123.971470 kBT
1mjiD_M428.pdb     -94.543778 kBT
1mjiD_M334.pdb     -110.348793 kBT
1mjiD_M395.pdb     -98.063298 kBT
1mjiD_M116.pdb     -90.071490 kBT
1mjiD_M191.pdb     -122.559666 kBT
1mjiD_M371.pdb     -89.108581 kBT
1mjiD_M291.pdb     -83.390699 kBT
1mjiD_M227.pdb     -102.434821 kBT
1mjiD_M102.pdb     -135.673919 kBT
1mjiD_M276.pdb     -91.638726 kBT
1mjiD_M288.pdb     -116.255166 kBT
1mjiD_M48.pdb     -122.930821 kBT
1mjiD_M357.pdb     -103.602507 kBT
1mjiD_M350.pdb     -103.720451 kBT
1mjiD_M410.pdb     -101.814473 kBT
1mjiD_M81.pdb     -108.835554 kBT
1mjiD_M488.pdb     -88.898124 kBT
1mjiD_M389.pdb     -88.496827 kBT
1mjiD_M459.pdb     -105.216795 kBT
1mjiD_M215.pdb     -118.322921 kBT
1mjiD_M115.pdb     -107.021923 kBT
1mjiD_M307.pdb     -86.890834 kBT
1mjiD_M111.pdb     -97.877225 kBT
1mjiD_M119.pdb     -112.041236 kBT
1mjiD_M383.pdb     -109.645890 kBT
1mjiD_M423.pdb     -99.636714 kBT
1mjiD_M431.pdb     -79.245565 kBT
1mjiD_M203.pdb     -107.952359 kBT
1mjiD_M326.pdb     -112.756155 kBT
1mjiD_M126.pdb     -122.228370 kBT
1mjiD_M130.pdb     -116.634705 kBT
1mjiD_M463.pdb     -94.303432 kBT
1mjiD_M339.pdb     -108.946499 kBT
1mjiD_M169.pdb     -87.867688 kBT
1mjiD_M490.pdb     -93.005068 kBT
1mjiD_M277.pdb     -96.757515 kBT
1mjiD_M247.pdb     -103.860583 kBT
1mjiD_M26.pdb     -116.948909 kBT
1mjiD_M497.pdb     -89.916823 kBT
1mjiD_M132.pdb     -97.605852 kBT
1mjiD_M304.pdb     -86.926060 kBT
1mjiD_M275.pdb     -74.904771 kBT
1mjiD_M90.pdb     -114.330374 kBT
1mjiD_M406.pdb     -131.126329 kBT
1mjiD_M178.pdb     -97.387139 kBT
1mjiD_M197.pdb     -102.740176 kBT
1mjiD_M378.pdb     -90.060086 kBT
