1jbrD_M190.pdb     -122.161224 kBT
1jbrD_M83.pdb     -118.975679 kBT
1jbrD_M220.pdb     -122.277161 kBT
1jbrD_M9.pdb     -142.625582 kBT
1jbrD_M470.pdb     -88.466369 kBT
1jbrD_M3.pdb     -150.813399 kBT
1jbrD_M235.pdb     -107.417348 kBT
1jbrD_M350.pdb     -68.470818 kBT
1jbrD_M271.pdb     -109.837233 kBT
1jbrD_M199.pdb     -119.105514 kBT
1jbrD_M153.pdb     -114.510606 kBT
1jbrD_M329.pdb     -92.742856 kBT
1jbrD_M198.pdb     -106.748924 kBT
1jbrD_M58.pdb     -131.241818 kBT
1jbrD_M494.pdb     -91.871827 kBT
1jbrD_M189.pdb     -91.254310 kBT
1jbrD_M499.pdb     -101.394479 kBT
1jbrD_M138.pdb     -130.787762 kBT
1jbrD_M322.pdb     -111.030817 kBT
1jbrD_M21.pdb     -150.837985 kBT
1jbrD_M146.pdb     -104.722826 kBT
1jbrD_M492.pdb     -105.763501 kBT
1jbrD_M216.pdb     -80.568047 kBT
1jbrD_M481.pdb     -97.535497 kBT
1jbrD_M264.pdb     -109.906405 kBT
1jbrD_M246.pdb     -104.283818 kBT
1jbrD_M449.pdb     -88.259272 kBT
1jbrD_M229.pdb     -86.455801 kBT
1jbrD_M252.pdb     -66.756131 kBT
1jbrD_M478.pdb     -84.651425 kBT
1jbrD_M166.pdb     -94.782243 kBT
1jbrD_M208.pdb     -102.077632 kBT
1jbrD_M234.pdb     -115.303983 kBT
1jbrD_M265.pdb     -95.708039 kBT
1jbrD_M129.pdb     -121.055748 kBT
1jbrD_M72.pdb     -114.891370 kBT
1jbrD_M192.pdb     -114.780912 kBT
1jbrD_M377.pdb     -91.973772 kBT
1jbrD_M116.pdb     -89.943847 kBT
1jbrD_M47.pdb     -120.165775 kBT
1jbrD_M165.pdb     -102.229138 kBT
1jbrD_M100.pdb     -103.445215 kBT
1jbrD_M339.pdb     -112.396060 kBT
1jbrD_M193.pdb     -87.050315 kBT
1jbrD_M105.pdb     -123.358486 kBT
1jbrD_M318.pdb     -93.755701 kBT
1jbrD_M173.pdb     -104.246277 kBT
1jbrD_M42.pdb     -123.339723 kBT
1jbrD_M250.pdb     -92.675907 kBT
1jbrD_M144.pdb     -74.073906 kBT
1jbrD_M207.pdb     -80.172161 kBT
1jbrD_M464.pdb     -94.506775 kBT
1jbrD_M154.pdb     -140.254267 kBT
1jbrD_M281.pdb     -104.151125 kBT
1jbrD_M433.pdb     -99.534342 kBT
1jbrD_M400.pdb     -116.909715 kBT
1jbrD_M238.pdb     -99.022708 kBT
1jbrD_M485.pdb     -117.359740 kBT
1jbrD_M244.pdb     -113.902831 kBT
1jbrD_M254.pdb     -102.884114 kBT
1jbrD_M68.pdb     -137.505146 kBT
1jbrD_M443.pdb     -96.346337 kBT
1jbrD_M119.pdb     -127.044145 kBT
1jbrD_M107.pdb     -122.947443 kBT
1jbrD_M99.pdb     -135.999579 kBT
1jbrD_M488.pdb     -82.241517 kBT
1jbrD_M194.pdb     -115.249198 kBT
1jbrD_M331.pdb     -78.402248 kBT
1jbrD_M288.pdb     -87.423584 kBT
1jbrD_M332.pdb     -93.682378 kBT
1jbrD_M237.pdb     -102.192386 kBT
1jbrD_M36.pdb     -112.048523 kBT
1jbrD_M466.pdb     -121.642371 kBT
1jbrD_M181.pdb     -108.661577 kBT
1jbrD_M104.pdb     -123.626961 kBT
1jbrD_M374.pdb     -106.134941 kBT
1jbrD_M482.pdb     -122.531407 kBT
1jbrD_M202.pdb     -99.971907 kBT
1jbrD_M398.pdb     -113.944480 kBT
1jbrD_M79.pdb     -109.740599 kBT
1jbrD_M459.pdb     -125.759436 kBT
1jbrD_M389.pdb     -86.149609 kBT
1jbrD_M5.pdb     -145.506992 kBT
1jbrD_M247.pdb     -89.884820 kBT
1jbrD_M132.pdb     -110.857543 kBT
1jbrD_M304.pdb     -63.780976 kBT
1jbrD_M59.pdb     -113.990277 kBT
1jbrD_M101.pdb     -107.947817 kBT
1jbrD_M308.pdb     -112.189766 kBT
1jbrD_M223.pdb     -112.981816 kBT
1jbrD_M43.pdb     -107.744374 kBT
1jbrD_M23.pdb     -141.773020 kBT
1jbrD_M204.pdb     -114.160995 kBT
1jbrD_M149.pdb     -122.696597 kBT
1jbrD_M128.pdb     -119.547365 kBT
1jbrD_M120.pdb     -89.586671 kBT
1jbrD_M472.pdb     -97.576921 kBT
1jbrD_M299.pdb     -110.079008 kBT
1jbrD_M393.pdb     -117.722201 kBT
1jbrD_M405.pdb     -93.819450 kBT
1jbrD_M155.pdb     -93.211815 kBT
1jbrD_M239.pdb     -94.588650 kBT
1jbrD_M162.pdb     -90.613512 kBT
1jbrD_M363.pdb     -97.014675 kBT
1jbrD_M91.pdb     -89.468029 kBT
1jbrD_M460.pdb     -103.908768 kBT
1jbrD_M479.pdb     -134.006862 kBT
1jbrD_M324.pdb     -119.311621 kBT
1jbrD_M414.pdb     -132.308923 kBT
1jbrD_M147.pdb     -126.086919 kBT
1jbrD_M211.pdb     -118.255757 kBT
1jbrD_M168.pdb     -91.068755 kBT
1jbrD_M171.pdb     -117.528342 kBT
1jbrD_M312.pdb     -111.431257 kBT
1jbrD_M233.pdb     -99.799960 kBT
1jbrD_M267.pdb     -85.947130 kBT
1jbrD_M445.pdb     -87.815388 kBT
1jbrD_M422.pdb     -96.910875 kBT
1jbrD_M169.pdb     -91.536116 kBT
1jbrD_M89.pdb     -111.770875 kBT
1jbrD_M92.pdb     -100.321475 kBT
1jbrD_M294.pdb     -97.761082 kBT
1jbrD_M8.pdb     -165.041531 kBT
1jbrD_M200.pdb     -107.260101 kBT
1jbrD_M196.pdb     -92.700893 kBT
1jbrD_M357.pdb     -116.511001 kBT
1jbrD_M306.pdb     -140.554662 kBT
1jbrD_M296.pdb     -98.102307 kBT
1jbrD_M185.pdb     -94.024039 kBT
1jbrD_M82.pdb     -116.245802 kBT
1jbrD_M392.pdb     -102.685402 kBT
1jbrD_M349.pdb     -120.668498 kBT
1jbrD_M453.pdb     -107.250547 kBT
1jbrD_M362.pdb     -117.857430 kBT
1jbrD_M163.pdb     -110.105115 kBT
1jbrD_M63.pdb     -113.131812 kBT
1jbrD_M15.pdb     -118.736759 kBT
1jbrD_M408.pdb     -108.008321 kBT
1jbrD_M150.pdb     -108.628876 kBT
1jbrD_M137.pdb     -100.958411 kBT
1jbrD_M291.pdb     -98.489354 kBT
1jbrD_M409.pdb     -128.261366 kBT
1jbrD_M73.pdb     -87.074379 kBT
1jbrD_M97.pdb     -76.164321 kBT
1jbrD_M341.pdb     -101.307625 kBT
1jbrD_M126.pdb     -106.435010 kBT
1jbrD_M313.pdb     -124.168311 kBT
1jbrD_M390.pdb     -90.691159 kBT
1jbrD_M396.pdb     -76.320058 kBT
1jbrD_M447.pdb     -90.144277 kBT
1jbrD_M48.pdb     -130.953844 kBT
1jbrD_M266.pdb     -140.758469 kBT
1jbrD_M307.pdb     -109.422102 kBT
1jbrD_M18.pdb     -120.715031 kBT
1jbrD_M177.pdb     -115.291741 kBT
1jbrD_M197.pdb     -106.321323 kBT
1jbrD_M156.pdb     -107.800783 kBT
1jbrD_M219.pdb     -108.912337 kBT
1jbrD_M346.pdb     -128.433277 kBT
1jbrD_M417.pdb     -105.963724 kBT
1jbrD_M269.pdb     -133.207751 kBT
1jbrD_M380.pdb     -126.091899 kBT
1jbrD_M315.pdb     -97.729996 kBT
1jbrD_M290.pdb     -107.831955 kBT
1jbrD_M319.pdb     -106.617029 kBT
1jbrD_M184.pdb     -94.200115 kBT
1jbrD_M161.pdb     -114.459491 kBT
1jbrD_M410.pdb     -70.916582 kBT
1jbrD_M182.pdb     -106.928363 kBT
1jbrD_M298.pdb     -94.846531 kBT
1jbrD_M471.pdb     -106.277736 kBT
1jbrD_M431.pdb     -80.846156 kBT
1jbrD_M142.pdb     -123.279149 kBT
1jbrD_M117.pdb     -118.812720 kBT
1jbrD_M279.pdb     -106.513796 kBT
1jbrD_M34.pdb     -126.169178 kBT
1jbrD_M418.pdb     -100.942278 kBT
1jbrD_M46.pdb     -110.789028 kBT
1jbrD_M328.pdb     -108.351206 kBT
1jbrD_M66.pdb     -107.247107 kBT
1jbrD_M56.pdb     -135.091783 kBT
1jbrD_M430.pdb     -96.163967 kBT
1jbrD_M268.pdb     -101.377761 kBT
1jbrD_M305.pdb     -89.767761 kBT
1jbrD_M454.pdb     -126.559821 kBT
1jbrD_M78.pdb     -124.671234 kBT
1jbrD_M432.pdb     -89.816802 kBT
1jbrD_M158.pdb     -103.718564 kBT
1jbrD_M60.pdb     -152.165660 kBT
1jbrD_M475.pdb     -82.933359 kBT
1jbrD_M262.pdb     -100.493623 kBT
1jbrD_M314.pdb     -125.914923 kBT
1jbrD_M93.pdb     -125.920755 kBT
1jbrD_M213.pdb     -141.005205 kBT
1jbrD_M293.pdb     -107.346273 kBT
1jbrD_M444.pdb     -118.171235 kBT
1jbrD_M176.pdb     -100.278034 kBT
1jbrD_M70.pdb     -120.304964 kBT
1jbrD_M35.pdb     -125.012159 kBT
1jbrD_M477.pdb     -84.593519 kBT
1jbrD_M125.pdb     -99.330643 kBT
1jbrD_M242.pdb     -123.859443 kBT
1jbrD_M327.pdb     -125.058697 kBT
1jbrD_M474.pdb     -101.533342 kBT
1jbrD_M333.pdb     -108.184107 kBT
1jbrD_M385.pdb     -92.294266 kBT
1jbrD_M442.pdb     -99.975992 kBT
1jbrD_M274.pdb     -69.142570 kBT
1jbrD_M226.pdb     -122.877268 kBT
1jbrD_M95.pdb     -114.072433 kBT
1jbrD_M201.pdb     -102.174844 kBT
1jbrD_M178.pdb     -106.702050 kBT
1jbrD_M140.pdb     -110.245894 kBT
1jbrD_M84.pdb     -100.739693 kBT
1jbrD_M52.pdb     -131.518003 kBT
1jbrD_M258.pdb     -93.590708 kBT
1jbrD_M463.pdb     -70.882326 kBT
1jbrD_M441.pdb     -89.026045 kBT
1jbrD_M355.pdb     -124.086926 kBT
1jbrD_M115.pdb     -117.041054 kBT
1jbrD_M326.pdb     -105.957425 kBT
1jbrD_M94.pdb     -94.476017 kBT
1jbrD_M309.pdb     -94.018451 kBT
1jbrD_M365.pdb     -121.366671 kBT
1jbrD_M210.pdb     -81.593390 kBT
1jbrD_M358.pdb     -78.489612 kBT
1jbrD_M12.pdb     -139.062648 kBT
1jbrD_M347.pdb     -125.250991 kBT
1jbrD_M67.pdb     -103.660530 kBT
1jbrD_M179.pdb     -112.224310 kBT
1jbrD_M251.pdb     -109.578797 kBT
1jbrD_M302.pdb     -90.431618 kBT
1jbrD_M273.pdb     -96.804208 kBT
1jbrD_M487.pdb     -113.738490 kBT
1jbrD_M381.pdb     -113.180102 kBT
1jbrD_M164.pdb     -120.222807 kBT
1jbrD_M427.pdb     -107.813036 kBT
1jbrD_M236.pdb     -95.270313 kBT
1jbrD_M62.pdb     -116.290994 kBT
1jbrD_M426.pdb     -94.497160 kBT
1jbrD_M496.pdb     -106.346299 kBT
1jbrD_M353.pdb     -121.620549 kBT
1jbrD_M461.pdb     -103.480763 kBT
1jbrD_M383.pdb     -81.850316 kBT
1jbrD_M118.pdb     -97.052127 kBT
1jbrD_M261.pdb     -117.971874 kBT
1jbrD_M476.pdb     -105.458635 kBT
1jbrD_M212.pdb     -110.337571 kBT
1jbrD_M404.pdb     -109.327374 kBT
1jbrD_M406.pdb     -123.277504 kBT
1jbrD_M255.pdb     -96.265421 kBT
1jbrD_M228.pdb     -100.461679 kBT
1jbrD_M480.pdb     -99.138494 kBT
1jbrD_M114.pdb     -117.631284 kBT
1jbrD_M490.pdb     -96.943098 kBT
1jbrD_M334.pdb     -106.366774 kBT
1jbrD_M276.pdb     -89.479215 kBT
1jbrD_M55.pdb     -128.476056 kBT
1jbrD_M32.pdb     -135.791895 kBT
1jbrD_M277.pdb     -135.952887 kBT
1jbrD_M493.pdb     -109.519438 kBT
1jbrD_M450.pdb     -122.128210 kBT
1jbrD_M231.pdb     -107.324006 kBT
1jbrD_M335.pdb     -91.231247 kBT
1jbrD_M297.pdb     -118.421869 kBT
1jbrD_M71.pdb     -122.074165 kBT
1jbrD_M344.pdb     -105.473207 kBT
1jbrD_M221.pdb     -116.395561 kBT
1jbrD_M172.pdb     -108.330219 kBT
1jbrD_M416.pdb     -83.099426 kBT
1jbrD_M98.pdb     -100.957402 kBT
1jbrD_M195.pdb     -106.582878 kBT
1jbrD_M491.pdb     -101.460011 kBT
1jbrD_M16.pdb     -137.898127 kBT
1jbrD_M40.pdb     -119.728774 kBT
1jbrD_M468.pdb     -93.943113 kBT
1jbrD_M361.pdb     -116.114646 kBT
1jbrD_M88.pdb     -104.847114 kBT
1jbrD_M124.pdb     -133.903572 kBT
1jbrD_M391.pdb     -105.241446 kBT
1jbrD.pdb     -144.393205 kBT
1jbrD_M191.pdb     -142.278779 kBT
1jbrD_M440.pdb     -81.248837 kBT
1jbrD_M303.pdb     -101.687153 kBT
1jbrD_M260.pdb     -95.683196 kBT
1jbrD_M4.pdb     -146.662110 kBT
1jbrD_M438.pdb     -115.858184 kBT
1jbrD_M123.pdb     -96.678886 kBT
1jbrD_M489.pdb     -73.695825 kBT
1jbrD_M369.pdb     -79.069329 kBT
1jbrD_M232.pdb     -133.404632 kBT
1jbrD_M109.pdb     -109.742662 kBT
1jbrD_M295.pdb     -90.330503 kBT
1jbrD_M486.pdb     -124.318871 kBT
1jbrD_M186.pdb     -91.650583 kBT
1jbrD_M354.pdb     -105.370521 kBT
1jbrD_M343.pdb     -80.737423 kBT
1jbrD_M24.pdb     -169.144048 kBT
1jbrD_M425.pdb     -145.763765 kBT
1jbrD_M338.pdb     -115.282708 kBT
1jbrD_M337.pdb     -91.026829 kBT
1jbrD_M25.pdb     -125.310338 kBT
1jbrD_M421.pdb     -93.343701 kBT
1jbrD_M215.pdb     -105.911178 kBT
1jbrD_M187.pdb     -128.742609 kBT
1jbrD_M39.pdb     -140.508728 kBT
1jbrD_M10.pdb     -145.796833 kBT
1jbrD_M41.pdb     -149.503285 kBT
1jbrD_M434.pdb     -96.608291 kBT
1jbrD_M33.pdb     -149.749745 kBT
1jbrD_M282.pdb     -116.317202 kBT
1jbrD_M6.pdb     -156.382652 kBT
1jbrD_M14.pdb     -153.313210 kBT
1jbrD_M27.pdb     -140.927538 kBT
1jbrD_M209.pdb     -95.276040 kBT
1jbrD_M81.pdb     -109.030275 kBT
1jbrD_M325.pdb     -133.088440 kBT
1jbrD_M127.pdb     -99.519262 kBT
1jbrD_M230.pdb     -92.954455 kBT
1jbrD_M289.pdb     -86.181303 kBT
1jbrD_M45.pdb     -115.953497 kBT
1jbrD_M53.pdb     -119.722909 kBT
1jbrD_M423.pdb     -89.847893 kBT
1jbrD_M77.pdb     -133.631216 kBT
1jbrD_M366.pdb     -98.294153 kBT
1jbrD_M452.pdb     -96.071663 kBT
1jbrD_M38.pdb     -133.471409 kBT
1jbrD_M245.pdb     -78.615841 kBT
1jbrD_M143.pdb     -98.574248 kBT
1jbrD_M37.pdb     -90.490876 kBT
1jbrD_M263.pdb     -115.892348 kBT
1jbrD_M148.pdb     -117.639672 kBT
1jbrD_M397.pdb     -126.590128 kBT
1jbrD_M352.pdb     -98.150312 kBT
1jbrD_M278.pdb     -99.710758 kBT
1jbrD_M375.pdb     -120.046751 kBT
1jbrD_M90.pdb     -92.264429 kBT
1jbrD_M301.pdb     -116.238375 kBT
1jbrD_M218.pdb     -94.836507 kBT
1jbrD_M287.pdb     -109.770174 kBT
1jbrD_M495.pdb     -106.610192 kBT
1jbrD_M497.pdb     -53.371313 kBT
1jbrD_M336.pdb     -102.198460 kBT
1jbrD_M87.pdb     -129.193951 kBT
1jbrD_M321.pdb     -121.574522 kBT
1jbrD_M57.pdb     -100.326800 kBT
1jbrD_M323.pdb     -97.062699 kBT
1jbrD_M259.pdb     -109.890957 kBT
1jbrD_M20.pdb     -130.127777 kBT
1jbrD_M462.pdb     -106.837580 kBT
1jbrD_M1.pdb     -145.303536 kBT
1jbrD_M30.pdb     -143.293476 kBT
1jbrD_M436.pdb     -118.970225 kBT
1jbrD_M51.pdb     -146.813603 kBT
1jbrD_M351.pdb     -105.136537 kBT
1jbrD_M498.pdb     -105.312826 kBT
1jbrD_M19.pdb     -151.752983 kBT
1jbrD_M401.pdb     -129.561061 kBT
1jbrD_M108.pdb     -94.503654 kBT
1jbrD_M435.pdb     -109.361153 kBT
1jbrD_M340.pdb     -94.258289 kBT
1jbrD_M61.pdb     -133.872474 kBT
1jbrD_M134.pdb     -103.010357 kBT
1jbrD_M130.pdb     -113.442286 kBT
1jbrD_M135.pdb     -96.127770 kBT
1jbrD_M388.pdb     -87.422266 kBT
1jbrD_M473.pdb     -103.358862 kBT
1jbrD_M75.pdb     -94.459565 kBT
1jbrD_M131.pdb     -80.950821 kBT
1jbrD_M50.pdb     -110.510296 kBT
1jbrD_M382.pdb     -77.073153 kBT
1jbrD_M248.pdb     -105.499312 kBT
1jbrD_M85.pdb     -106.466220 kBT
1jbrD_M370.pdb     -85.985340 kBT
1jbrD_M224.pdb     -99.617371 kBT
1jbrD_M283.pdb     -112.365684 kBT
1jbrD_M415.pdb     -94.855043 kBT
1jbrD_M286.pdb     -108.617658 kBT
1jbrD_M384.pdb     -96.893766 kBT
1jbrD_M106.pdb     -117.529893 kBT
1jbrD_M141.pdb     -112.651626 kBT
1jbrD_M448.pdb     -101.792002 kBT
1jbrD_M145.pdb     -106.442140 kBT
1jbrD_M469.pdb     -90.790652 kBT
1jbrD_M113.pdb     -139.538147 kBT
1jbrD_M152.pdb     -73.297341 kBT
1jbrD_M183.pdb     -107.681268 kBT
1jbrD_M225.pdb     -111.080503 kBT
1jbrD_M451.pdb     -81.716147 kBT
1jbrD_M86.pdb     -115.115782 kBT
1jbrD_M31.pdb     -110.183748 kBT
1jbrD_M403.pdb     -113.853082 kBT
1jbrD_M386.pdb     -98.795948 kBT
1jbrD_M44.pdb     -154.145258 kBT
1jbrD_M292.pdb     -86.035310 kBT
1jbrD_M102.pdb     -116.245863 kBT
1jbrD_M345.pdb     -107.181816 kBT
1jbrD_M7.pdb     -146.984716 kBT
1jbrD_M484.pdb     -122.480218 kBT
1jbrD_M240.pdb     -101.697328 kBT
1jbrD_M428.pdb     -74.200262 kBT
1jbrD_M159.pdb     -87.637045 kBT
1jbrD_M74.pdb     -137.741845 kBT
1jbrD_M376.pdb     -97.466425 kBT
1jbrD_M29.pdb     -126.845726 kBT
1jbrD_M96.pdb     -119.004286 kBT
1jbrD_M222.pdb     -114.683360 kBT
1jbrD_M11.pdb     -143.374852 kBT
1jbrD_M407.pdb     -104.008896 kBT
1jbrD_M275.pdb     -120.884637 kBT
1jbrD_M437.pdb     -102.232152 kBT
1jbrD_M111.pdb     -99.963323 kBT
1jbrD_M446.pdb     -88.911955 kBT
1jbrD_M284.pdb     -86.909885 kBT
1jbrD_M65.pdb     -129.092096 kBT
1jbrD_M413.pdb     -105.435893 kBT
1jbrD_M411.pdb     -91.700528 kBT
1jbrD_M429.pdb     -126.453572 kBT
1jbrD_M368.pdb     -82.470832 kBT
1jbrD_M367.pdb     -116.896789 kBT
1jbrD_M103.pdb     -147.332189 kBT
1jbrD_M379.pdb     -93.234075 kBT
1jbrD_M399.pdb     -100.029305 kBT
1jbrD_M249.pdb     -120.074628 kBT
1jbrD_M214.pdb     -86.190296 kBT
1jbrD_M356.pdb     -84.792868 kBT
1jbrD_M76.pdb     -101.805352 kBT
1jbrD_M394.pdb     -119.399295 kBT
1jbrD_M69.pdb     -109.564970 kBT
1jbrD_M151.pdb     -103.731570 kBT
1jbrD_M424.pdb     -99.066910 kBT
1jbrD_M500.pdb     -77.283049 kBT
1jbrD_M272.pdb     -117.598824 kBT
1jbrD_M439.pdb     -85.357765 kBT
1jbrD_M175.pdb     -91.008503 kBT
1jbrD_M49.pdb     -138.757589 kBT
1jbrD_M342.pdb     -101.750861 kBT
1jbrD_M372.pdb     -130.718768 kBT
1jbrD_M54.pdb     -145.817053 kBT
1jbrD_M257.pdb     -128.136079 kBT
1jbrD_M205.pdb     -133.470918 kBT
1jbrD_M160.pdb     -96.629453 kBT
1jbrD_M457.pdb     -96.486347 kBT
