1zbhF_M368.pdb     -57.384966 kBT
1zbhF_M217.pdb     -59.046408 kBT
1zbhF_M54.pdb     -94.126755 kBT
1zbhF_M32.pdb     -99.612366 kBT
1zbhF_M206.pdb     -75.798044 kBT
1zbhF_M8.pdb     -112.333904 kBT
1zbhF_M192.pdb     -71.271370 kBT
1zbhF_M250.pdb     -79.376027 kBT
1zbhF_M316.pdb     -81.762118 kBT
1zbhF_M439.pdb     -53.820347 kBT
1zbhF_M313.pdb     -52.480143 kBT
1zbhF_M392.pdb     -60.377279 kBT
1zbhF_M395.pdb     -50.984601 kBT
1zbhF_M274.pdb     -93.373577 kBT
1zbhF_M133.pdb     -67.573772 kBT
1zbhF_M497.pdb     -61.844478 kBT
1zbhF_M478.pdb     -64.002261 kBT
1zbhF_M400.pdb     -56.454964 kBT
1zbhF_M67.pdb     -89.596670 kBT
1zbhF_M421.pdb     -59.424848 kBT
1zbhF_M120.pdb     -80.813030 kBT
1zbhF_M346.pdb     -55.412381 kBT
1zbhF_M168.pdb     -86.160736 kBT
1zbhF_M80.pdb     -63.266217 kBT
1zbhF_M472.pdb     -78.444603 kBT
1zbhF_M498.pdb     -66.795791 kBT
1zbhF_M413.pdb     -78.085789 kBT
1zbhF_M377.pdb     -67.762312 kBT
1zbhF_M169.pdb     -66.346196 kBT
1zbhF_M337.pdb     -65.097459 kBT
1zbhF_M144.pdb     -79.051316 kBT
1zbhF_M362.pdb     -61.263313 kBT
1zbhF_M494.pdb     -63.568981 kBT
1zbhF_M116.pdb     -89.233728 kBT
1zbhF_M29.pdb     -101.190779 kBT
1zbhF_M442.pdb     -40.320143 kBT
1zbhF_M149.pdb     -58.958692 kBT
1zbhF_M4.pdb     -104.182243 kBT
1zbhF_M469.pdb     -63.678547 kBT
1zbhF_M424.pdb     -49.590533 kBT
1zbhF_M36.pdb     -115.991620 kBT
1zbhF_M261.pdb     -79.471858 kBT
1zbhF_M25.pdb     -94.825378 kBT
1zbhF_M285.pdb     -56.592571 kBT
1zbhF_M269.pdb     -51.185694 kBT
1zbhF_M145.pdb     -97.569358 kBT
1zbhF_M301.pdb     -55.569783 kBT
1zbhF_M282.pdb     -76.147321 kBT
1zbhF_M305.pdb     -71.439059 kBT
1zbhF_M493.pdb     -65.710364 kBT
1zbhF_M17.pdb     -105.849384 kBT
1zbhF_M182.pdb     -58.737470 kBT
1zbhF_M357.pdb     -77.009192 kBT
1zbhF_M128.pdb     -65.223201 kBT
1zbhF_M151.pdb     -72.347582 kBT
1zbhF_M295.pdb     -64.164158 kBT
1zbhF_M205.pdb     -73.990858 kBT
1zbhF_M277.pdb     -74.730721 kBT
1zbhF_M292.pdb     -70.244329 kBT
1zbhF_M416.pdb     -62.005356 kBT
1zbhF_M172.pdb     -59.989557 kBT
1zbhF_M370.pdb     -68.359847 kBT
1zbhF_M28.pdb     -100.151979 kBT
1zbhF_M132.pdb     -84.056294 kBT
1zbhF_M68.pdb     -93.493121 kBT
1zbhF_M196.pdb     -78.462300 kBT
1zbhF_M100.pdb     -98.139723 kBT
1zbhF_M66.pdb     -87.574208 kBT
1zbhF_M319.pdb     -75.858391 kBT
1zbhF_M124.pdb     -102.413310 kBT
1zbhF_M207.pdb     -68.522217 kBT
1zbhF_M360.pdb     -70.334802 kBT
1zbhF_M312.pdb     -67.447505 kBT
1zbhF_M320.pdb     -61.991794 kBT
1zbhF_M38.pdb     -104.321009 kBT
1zbhF_M92.pdb     -101.399682 kBT
1zbhF_M122.pdb     -100.754916 kBT
1zbhF_M438.pdb     -55.941705 kBT
1zbhF_M105.pdb     -78.339292 kBT
1zbhF_M245.pdb     -85.059808 kBT
1zbhF_M167.pdb     -68.958572 kBT
1zbhF_M37.pdb     -94.734593 kBT
1zbhF_M226.pdb     -67.084934 kBT
1zbhF_M432.pdb     -63.366926 kBT
1zbhF_M417.pdb     -69.174058 kBT
1zbhF_M190.pdb     -72.072221 kBT
1zbhF_M471.pdb     -81.636401 kBT
1zbhF_M130.pdb     -79.022539 kBT
1zbhF_M298.pdb     -70.844630 kBT
1zbhF_M410.pdb     -74.664879 kBT
1zbhF_M474.pdb     -64.187270 kBT
1zbhF_M328.pdb     -69.447625 kBT
1zbhF_M163.pdb     -57.857471 kBT
1zbhF_M455.pdb     -56.780089 kBT
1zbhF_M44.pdb     -90.601447 kBT
1zbhF_M62.pdb     -112.554242 kBT
1zbhF_M380.pdb     -73.125013 kBT
1zbhF_M152.pdb     -91.703735 kBT
1zbhF_M104.pdb     -94.808805 kBT
1zbhF_M382.pdb     -68.509386 kBT
1zbhF_M391.pdb     -89.984502 kBT
1zbhF_M176.pdb     -58.439482 kBT
1zbhF_M286.pdb     -68.469464 kBT
1zbhF_M26.pdb     -102.566605 kBT
1zbhF_M13.pdb     -104.694989 kBT
1zbhF_M403.pdb     -77.056672 kBT
1zbhF_M181.pdb     -71.268940 kBT
1zbhF_M115.pdb     -76.281016 kBT
1zbhF_M208.pdb     -83.583383 kBT
1zbhF_M22.pdb     -103.391668 kBT
1zbhF_M211.pdb     -87.525695 kBT
1zbhF_M325.pdb     -65.758491 kBT
1zbhF_M49.pdb     -96.269783 kBT
1zbhF_M315.pdb     -76.502710 kBT
1zbhF_M262.pdb     -57.841911 kBT
1zbhF_M378.pdb     -49.428875 kBT
1zbhF_M458.pdb     -63.695962 kBT
1zbhF_M398.pdb     -63.596997 kBT
1zbhF_M372.pdb     -70.215329 kBT
1zbhF_M338.pdb     -52.109574 kBT
1zbhF_M53.pdb     -103.619135 kBT
1zbhF_M284.pdb     -56.633244 kBT
1zbhF_M351.pdb     -66.954817 kBT
1zbhF_M21.pdb     -109.932193 kBT
1zbhF_M426.pdb     -65.553606 kBT
1zbhF_M118.pdb     -78.118844 kBT
1zbhF_M48.pdb     -88.636264 kBT
1zbhF_M487.pdb     -54.914994 kBT
1zbhF_M74.pdb     -76.207994 kBT
1zbhF_M481.pdb     -78.847256 kBT
1zbhF_M170.pdb     -78.844372 kBT
1zbhF_M488.pdb     -61.850802 kBT
1zbhF_M27.pdb     -97.904925 kBT
1zbhF_M86.pdb     -70.195364 kBT
1zbhF_M271.pdb     -78.688436 kBT
1zbhF_M154.pdb     -82.776584 kBT
1zbhF_M76.pdb     -108.432466 kBT
1zbhF_M383.pdb     -76.323465 kBT
1zbhF_M1.pdb     -118.868597 kBT
1zbhF_M232.pdb     -69.085315 kBT
1zbhF_M281.pdb     -69.000321 kBT
1zbhF_M164.pdb     -66.104606 kBT
1zbhF_M453.pdb     -64.616143 kBT
1zbhF_M231.pdb     -86.631145 kBT
1zbhF_M188.pdb     -65.055111 kBT
1zbhF_M477.pdb     -66.396905 kBT
1zbhF_M345.pdb     -85.430482 kBT
1zbhF_M256.pdb     -77.272396 kBT
1zbhF_M264.pdb     -66.914894 kBT
1zbhF_M326.pdb     -72.596793 kBT
1zbhF_M198.pdb     -69.031701 kBT
1zbhF_M2.pdb     -117.756622 kBT
1zbhF_M106.pdb     -84.254144 kBT
1zbhF_M356.pdb     -87.476228 kBT
1zbhF_M289.pdb     -65.518513 kBT
1zbhF_M41.pdb     -90.043289 kBT
1zbhF_M246.pdb     -91.849535 kBT
1zbhF_M201.pdb     -53.602143 kBT
1zbhF_M257.pdb     -62.797478 kBT
1zbhF_M223.pdb     -68.426028 kBT
1zbhF_M138.pdb     -79.454533 kBT
1zbhF_M459.pdb     -79.228690 kBT
1zbhF_M485.pdb     -49.974543 kBT
1zbhF_M334.pdb     -57.596077 kBT
1zbhF_M162.pdb     -71.732971 kBT
1zbhF_M72.pdb     -85.053886 kBT
1zbhF_M159.pdb     -97.201762 kBT
1zbhF_M136.pdb     -87.124621 kBT
1zbhF_M430.pdb     -59.998057 kBT
1zbhF_M473.pdb     -77.689073 kBT
1zbhF.pdb     -116.334415 kBT
1zbhF_M447.pdb     -79.109548 kBT
1zbhF_M194.pdb     -74.043165 kBT
1zbhF_M330.pdb     -82.143610 kBT
1zbhF_M142.pdb     -90.868816 kBT
1zbhF_M150.pdb     -70.281677 kBT
1zbhF_M215.pdb     -50.681667 kBT
1zbhF_M384.pdb     -79.612347 kBT
1zbhF_M112.pdb     -96.124725 kBT
1zbhF_M287.pdb     -67.253285 kBT
1zbhF_M131.pdb     -72.337877 kBT
1zbhF_M236.pdb     -67.888504 kBT
1zbhF_M381.pdb     -74.039341 kBT
1zbhF_M64.pdb     -73.028109 kBT
1zbhF_M75.pdb     -86.245213 kBT
1zbhF_M418.pdb     -55.237847 kBT
1zbhF_M175.pdb     -72.558687 kBT
1zbhF_M121.pdb     -90.007893 kBT
1zbhF_M414.pdb     -58.245950 kBT
1zbhF_M278.pdb     -61.587232 kBT
1zbhF_M143.pdb     -75.972309 kBT
1zbhF_M376.pdb     -46.491478 kBT
1zbhF_M293.pdb     -57.731141 kBT
1zbhF_M379.pdb     -69.577662 kBT
1zbhF_M34.pdb     -94.260564 kBT
1zbhF_M273.pdb     -66.700711 kBT
1zbhF_M484.pdb     -66.435734 kBT
1zbhF_M157.pdb     -66.770896 kBT
1zbhF_M304.pdb     -67.802117 kBT
1zbhF_M329.pdb     -52.453430 kBT
1zbhF_M480.pdb     -78.476508 kBT
1zbhF_M335.pdb     -47.557236 kBT
1zbhF_M238.pdb     -91.094145 kBT
1zbhF_M47.pdb     -78.505191 kBT
1zbhF_M460.pdb     -77.018124 kBT
1zbhF_M321.pdb     -76.932418 kBT
1zbhF_M19.pdb     -98.182151 kBT
1zbhF_M483.pdb     -74.857975 kBT
1zbhF_M57.pdb     -91.089720 kBT
1zbhF_M307.pdb     -74.733188 kBT
1zbhF_M195.pdb     -77.701145 kBT
1zbhF_M491.pdb     -58.423762 kBT
1zbhF_M463.pdb     -54.048262 kBT
1zbhF_M46.pdb     -79.258641 kBT
1zbhF_M364.pdb     -60.180143 kBT
1zbhF_M99.pdb     -95.591249 kBT
1zbhF_M489.pdb     -66.960268 kBT
1zbhF_M411.pdb     -54.942416 kBT
1zbhF_M344.pdb     -68.857420 kBT
1zbhF_M409.pdb     -67.859235 kBT
1zbhF_M300.pdb     -75.967436 kBT
1zbhF_M73.pdb     -92.810276 kBT
1zbhF_M244.pdb     -62.114906 kBT
1zbhF_M126.pdb     -73.747814 kBT
1zbhF_M178.pdb     -95.809320 kBT
1zbhF_M24.pdb     -106.325806 kBT
1zbhF_M486.pdb     -62.918026 kBT
1zbhF_M15.pdb     -114.476498 kBT
1zbhF_M233.pdb     -74.098750 kBT
1zbhF_M302.pdb     -63.636748 kBT
1zbhF_M336.pdb     -59.360231 kBT
1zbhF_M470.pdb     -74.722079 kBT
1zbhF_M147.pdb     -71.875427 kBT
1zbhF_M433.pdb     -69.043730 kBT
1zbhF_M294.pdb     -62.386677 kBT
1zbhF_M253.pdb     -91.235372 kBT
1zbhF_M11.pdb     -120.166783 kBT
1zbhF_M3.pdb     -111.455702 kBT
1zbhF_M255.pdb     -73.807877 kBT
1zbhF_M241.pdb     -72.212158 kBT
1zbhF_M324.pdb     -59.185592 kBT
1zbhF_M464.pdb     -59.262283 kBT
1zbhF_M81.pdb     -92.338089 kBT
1zbhF_M475.pdb     -63.117276 kBT
1zbhF_M193.pdb     -73.772750 kBT
1zbhF_M43.pdb     -99.831750 kBT
1zbhF_M309.pdb     -65.698330 kBT
1zbhF_M445.pdb     -61.511612 kBT
1zbhF_M429.pdb     -58.654847 kBT
1zbhF_M323.pdb     -72.686130 kBT
1zbhF_M179.pdb     -82.861668 kBT
1zbhF_M173.pdb     -79.131945 kBT
1zbhF_M174.pdb     -76.112041 kBT
1zbhF_M457.pdb     -71.782698 kBT
1zbhF_M227.pdb     -68.004566 kBT
1zbhF_M189.pdb     -80.117146 kBT
1zbhF_M468.pdb     -69.535059 kBT
1zbhF_M387.pdb     -97.550629 kBT
1zbhF_M180.pdb     -75.938043 kBT
1zbhF_M31.pdb     -106.569239 kBT
1zbhF_M239.pdb     -62.057151 kBT
1zbhF_M204.pdb     -89.596521 kBT
1zbhF_M14.pdb     -98.361683 kBT
1zbhF_M39.pdb     -100.126675 kBT
1zbhF_M258.pdb     -76.951103 kBT
1zbhF_M452.pdb     -69.219084 kBT
1zbhF_M71.pdb     -94.035498 kBT
1zbhF_M9.pdb     -111.943307 kBT
1zbhF_M448.pdb     -51.491669 kBT
1zbhF_M221.pdb     -69.291989 kBT
1zbhF_M373.pdb     -56.963291 kBT
1zbhF_M78.pdb     -90.889709 kBT
1zbhF_M353.pdb     -96.555264 kBT
1zbhF_M405.pdb     -73.280154 kBT
1zbhF_M467.pdb     -84.527567 kBT
1zbhF_M161.pdb     -74.345108 kBT
1zbhF_M310.pdb     -78.997943 kBT
1zbhF_M87.pdb     -84.076658 kBT
1zbhF_M30.pdb     -111.884920 kBT
1zbhF_M187.pdb     -69.623700 kBT
1zbhF_M166.pdb     -70.466702 kBT
1zbhF_M127.pdb     -80.911936 kBT
1zbhF_M386.pdb     -84.298930 kBT
1zbhF_M462.pdb     -50.971221 kBT
1zbhF_M406.pdb     -56.178730 kBT
1zbhF_M500.pdb     -57.213332 kBT
1zbhF_M354.pdb     -65.567585 kBT
1zbhF_M465.pdb     -66.762523 kBT
1zbhF_M259.pdb     -51.482125 kBT
1zbhF_M444.pdb     -61.086909 kBT
1zbhF_M55.pdb     -84.103589 kBT
1zbhF_M199.pdb     -80.834252 kBT
1zbhF_M401.pdb     -64.208740 kBT
1zbhF_M69.pdb     -82.658192 kBT
1zbhF_M404.pdb     -63.291788 kBT
1zbhF_M139.pdb     -73.688092 kBT
1zbhF_M440.pdb     -56.432729 kBT
1zbhF_M82.pdb     -84.549222 kBT
1zbhF_M374.pdb     -80.655018 kBT
1zbhF_M148.pdb     -83.149101 kBT
1zbhF_M283.pdb     -55.796371 kBT
1zbhF_M461.pdb     -62.144390 kBT
1zbhF_M45.pdb     -82.572761 kBT
1zbhF_M70.pdb     -87.070614 kBT
1zbhF_M375.pdb     -79.005226 kBT
1zbhF_M363.pdb     -77.715424 kBT
1zbhF_M394.pdb     -71.885578 kBT
1zbhF_M390.pdb     -68.123027 kBT
1zbhF_M94.pdb     -103.621889 kBT
1zbhF_M107.pdb     -84.686690 kBT
1zbhF_M243.pdb     -58.533325 kBT
1zbhF_M263.pdb     -80.445719 kBT
1zbhF_M247.pdb     -67.541248 kBT
1zbhF_M7.pdb     -112.952570 kBT
1zbhF_M365.pdb     -86.141347 kBT
1zbhF_M466.pdb     -70.985901 kBT
1zbhF_M218.pdb     -49.098954 kBT
1zbhF_M125.pdb     -80.242690 kBT
1zbhF_M303.pdb     -64.858538 kBT
1zbhF_M110.pdb     -80.105314 kBT
1zbhF_M479.pdb     -64.793237 kBT
1zbhF_M35.pdb     -98.757545 kBT
1zbhF_M140.pdb     -80.294587 kBT
1zbhF_M388.pdb     -60.407234 kBT
1zbhF_M95.pdb     -73.991018 kBT
1zbhF_M158.pdb     -75.898890 kBT
1zbhF_M290.pdb     -74.895349 kBT
1zbhF_M109.pdb     -90.778170 kBT
1zbhF_M396.pdb     -58.276989 kBT
1zbhF_M242.pdb     -62.763291 kBT
1zbhF_M96.pdb     -86.978164 kBT
1zbhF_M499.pdb     -69.887757 kBT
1zbhF_M423.pdb     -67.096185 kBT
1zbhF_M203.pdb     -78.758122 kBT
1zbhF_M428.pdb     -65.004369 kBT
1zbhF_M50.pdb     -97.731246 kBT
1zbhF_M42.pdb     -84.607043 kBT
1zbhF_M119.pdb     -79.159270 kBT
1zbhF_M419.pdb     -69.666383 kBT
1zbhF_M279.pdb     -91.417954 kBT
1zbhF_M160.pdb     -64.542147 kBT
1zbhF_M318.pdb     -68.809319 kBT
1zbhF_M58.pdb     -96.742733 kBT
1zbhF_M235.pdb     -78.956191 kBT
1zbhF_M90.pdb     -76.060932 kBT
1zbhF_M341.pdb     -65.303446 kBT
1zbhF_M369.pdb     -79.670568 kBT
1zbhF_M331.pdb     -71.714197 kBT
1zbhF_M191.pdb     -52.171984 kBT
1zbhF_M402.pdb     -73.191738 kBT
1zbhF_M56.pdb     -80.182327 kBT
1zbhF_M51.pdb     -104.512164 kBT
1zbhF_M212.pdb     -79.372936 kBT
1zbhF_M16.pdb     -109.629709 kBT
1zbhF_M234.pdb     -80.742865 kBT
1zbhF_M296.pdb     -92.307303 kBT
1zbhF_M129.pdb     -104.424857 kBT
1zbhF_M311.pdb     -65.357751 kBT
1zbhF_M52.pdb     -90.256896 kBT
1zbhF_M240.pdb     -76.353451 kBT
1zbhF_M327.pdb     -46.465680 kBT
1zbhF_M184.pdb     -79.544983 kBT
1zbhF_M137.pdb     -70.076592 kBT
1zbhF_M135.pdb     -80.498839 kBT
1zbhF_M111.pdb     -81.649449 kBT
1zbhF_M332.pdb     -40.062394 kBT
1zbhF_M89.pdb     -85.299800 kBT
1zbhF_M79.pdb     -97.866280 kBT
1zbhF_M342.pdb     -76.235520 kBT
1zbhF_M359.pdb     -74.259390 kBT
1zbhF_M83.pdb     -102.623067 kBT
1zbhF_M314.pdb     -69.359675 kBT
1zbhF_M322.pdb     -76.826407 kBT
1zbhF_M40.pdb     -102.065452 kBT
1zbhF_M495.pdb     -69.108459 kBT
1zbhF_M349.pdb     -68.704433 kBT
1zbhF_M408.pdb     -79.202592 kBT
1zbhF_M108.pdb     -70.891948 kBT
1zbhF_M10.pdb     -113.950948 kBT
1zbhF_M220.pdb     -88.854588 kBT
1zbhF_M456.pdb     -67.923564 kBT
1zbhF_M431.pdb     -72.044912 kBT
1zbhF_M209.pdb     -83.634164 kBT
1zbhF_M476.pdb     -57.599276 kBT
1zbhF_M366.pdb     -70.244393 kBT
1zbhF_M276.pdb     -74.906133 kBT
1zbhF_M441.pdb     -70.418545 kBT
1zbhF_M77.pdb     -85.060604 kBT
1zbhF_M146.pdb     -79.781013 kBT
1zbhF_M385.pdb     -66.788372 kBT
1zbhF_M427.pdb     -61.656614 kBT
1zbhF_M407.pdb     -70.155424 kBT
1zbhF_M123.pdb     -87.985357 kBT
1zbhF_M308.pdb     -60.708922 kBT
1zbhF_M20.pdb     -106.327696 kBT
1zbhF_M97.pdb     -75.537800 kBT
1zbhF_M183.pdb     -51.964044 kBT
1zbhF_M367.pdb     -62.955264 kBT
1zbhF_M490.pdb     -56.171104 kBT
1zbhF_M415.pdb     -90.544457 kBT
1zbhF_M397.pdb     -59.631321 kBT
1zbhF_M254.pdb     -74.065458 kBT
1zbhF_M443.pdb     -78.853719 kBT
1zbhF_M225.pdb     -68.368734 kBT
1zbhF_M437.pdb     -67.944447 kBT
1zbhF_M299.pdb     -67.702537 kBT
1zbhF_M249.pdb     -79.062184 kBT
1zbhF_M297.pdb     -67.679024 kBT
1zbhF_M156.pdb     -65.141737 kBT
1zbhF_M155.pdb     -61.898659 kBT
1zbhF_M420.pdb     -67.421019 kBT
1zbhF_M389.pdb     -68.302417 kBT
1zbhF_M60.pdb     -109.853217 kBT
1zbhF_M165.pdb     -64.596117 kBT
1zbhF_M434.pdb     -64.220054 kBT
1zbhF_M355.pdb     -63.043826 kBT
1zbhF_M361.pdb     -68.166083 kBT
1zbhF_M12.pdb     -104.925893 kBT
1zbhF_M422.pdb     -60.578722 kBT
1zbhF_M141.pdb     -93.011417 kBT
1zbhF_M339.pdb     -78.397264 kBT
1zbhF_M371.pdb     -81.920786 kBT
1zbhF_M347.pdb     -62.922935 kBT
1zbhF_M134.pdb     -92.337029 kBT
1zbhF_M482.pdb     -73.428163 kBT
1zbhF_M91.pdb     -91.064552 kBT
1zbhF_M171.pdb     -68.581742 kBT
1zbhF_M272.pdb     -68.022096 kBT
1zbhF_M449.pdb     -65.029208 kBT
1zbhF_M333.pdb     -56.194470 kBT
1zbhF_M200.pdb     -72.924031 kBT
1zbhF_M425.pdb     -68.200342 kBT
1zbhF_M216.pdb     -69.495982 kBT
1zbhF_M202.pdb     -74.092269 kBT
1zbhF_M280.pdb     -81.023760 kBT
1zbhF_M435.pdb     -57.754332 kBT
1zbhF_M214.pdb     -66.558930 kBT
1zbhF_M93.pdb     -87.182298 kBT
1zbhF_M252.pdb     -68.131729 kBT
1zbhF_M270.pdb     -74.410822 kBT
1zbhF_M266.pdb     -66.897423 kBT
1zbhF_M399.pdb     -62.752188 kBT
1zbhF_M317.pdb     -71.184231 kBT
1zbhF_M18.pdb     -103.066493 kBT
1zbhF_M213.pdb     -56.339593 kBT
1zbhF_M267.pdb     -49.686216 kBT
1zbhF_M265.pdb     -64.950327 kBT
1zbhF_M98.pdb     -113.089935 kBT
1zbhF_M340.pdb     -77.463097 kBT
1zbhF_M451.pdb     -74.198878 kBT
