2drbB_M335.pdb     -122.424085 kBT
2drbB_M500.pdb     -87.792989 kBT
2drbB_M35.pdb     -166.286329 kBT
2drbB_M370.pdb     -132.773528 kBT
2drbB_M165.pdb     -151.908020 kBT
2drbB_M242.pdb     -150.009598 kBT
2drbB_M330.pdb     -111.536676 kBT
2drbB_M69.pdb     -161.313593 kBT
2drbB_M484.pdb     -107.951832 kBT
2drbB_M250.pdb     -147.155710 kBT
2drbB_M195.pdb     -142.388877 kBT
2drbB_M62.pdb     -147.177948 kBT
2drbB_M8.pdb     -173.940628 kBT
2drbB_M336.pdb     -137.473566 kBT
2drbB_M450.pdb     -124.982698 kBT
2drbB_M223.pdb     -149.560844 kBT
2drbB_M392.pdb     -127.565286 kBT
2drbB_M390.pdb     -102.903525 kBT
2drbB_M51.pdb     -128.574192 kBT
2drbB_M272.pdb     -126.479853 kBT
2drbB_M12.pdb     -169.833445 kBT
2drbB_M148.pdb     -147.222253 kBT
2drbB_M254.pdb     -135.173148 kBT
2drbB_M428.pdb     -100.521918 kBT
2drbB_M38.pdb     -150.789209 kBT
2drbB_M66.pdb     -168.469405 kBT
2drbB_M292.pdb     -151.417219 kBT
2drbB_M467.pdb     -104.004704 kBT
2drbB_M283.pdb     -114.925219 kBT
2drbB_M337.pdb     -133.100757 kBT
2drbB_M102.pdb     -158.379802 kBT
2drbB_M418.pdb     -127.845753 kBT
2drbB_M435.pdb     -125.025130 kBT
2drbB_M3.pdb     -174.775298 kBT
2drbB_M4.pdb     -177.881360 kBT
2drbB_M99.pdb     -145.077213 kBT
2drbB_M391.pdb     -97.223544 kBT
2drbB_M158.pdb     -142.629141 kBT
2drbB_M198.pdb     -142.048088 kBT
2drbB_M386.pdb     -95.358653 kBT
2drbB_M144.pdb     -158.328208 kBT
2drbB_M145.pdb     -120.860174 kBT
2drbB_M211.pdb     -141.332686 kBT
2drbB_M87.pdb     -134.090203 kBT
2drbB_M433.pdb     -102.303550 kBT
2drbB_M133.pdb     -141.896686 kBT
2drbB_M75.pdb     -151.971278 kBT
2drbB_M106.pdb     -156.244569 kBT
2drbB_M485.pdb     -105.966351 kBT
2drbB_M28.pdb     -171.023226 kBT
2drbB_M186.pdb     -135.038854 kBT
2drbB_M415.pdb     -99.980175 kBT
2drbB_M494.pdb     -101.540557 kBT
2drbB_M248.pdb     -131.575183 kBT
2drbB_M400.pdb     -144.603438 kBT
2drbB_M58.pdb     -156.750098 kBT
2drbB_M209.pdb     -128.396690 kBT
2drbB_M164.pdb     -103.335870 kBT
2drbB_M98.pdb     -118.462017 kBT
2drbB_M142.pdb     -127.538233 kBT
2drbB_M29.pdb     -159.220263 kBT
2drbB_M259.pdb     -120.410276 kBT
2drbB_M369.pdb     -116.966641 kBT
2drbB_M55.pdb     -148.980332 kBT
2drbB_M377.pdb     -115.015836 kBT
2drbB_M112.pdb     -137.108742 kBT
2drbB_M78.pdb     -131.186427 kBT
2drbB_M389.pdb     -124.881570 kBT
2drbB_M350.pdb     -127.294674 kBT
2drbB_M119.pdb     -138.893223 kBT
2drbB_M37.pdb     -160.875035 kBT
2drbB_M293.pdb     -121.198804 kBT
2drbB_M328.pdb     -141.410833 kBT
2drbB_M367.pdb     -100.650287 kBT
2drbB_M137.pdb     -138.982489 kBT
2drbB_M382.pdb     -99.583642 kBT
2drbB_M395.pdb     -121.912529 kBT
2drbB_M451.pdb     -120.770031 kBT
2drbB_M277.pdb     -137.904389 kBT
2drbB_M67.pdb     -153.459967 kBT
2drbB_M322.pdb     -115.766663 kBT
2drbB_M288.pdb     -127.623411 kBT
2drbB_M7.pdb     -177.142437 kBT
2drbB_M275.pdb     -122.852183 kBT
2drbB_M168.pdb     -132.447054 kBT
2drbB_M468.pdb     -139.169032 kBT
2drbB_M18.pdb     -181.379657 kBT
2drbB_M193.pdb     -133.618260 kBT
2drbB_M365.pdb     -147.331099 kBT
2drbB_M30.pdb     -164.690047 kBT
2drbB_M359.pdb     -125.220560 kBT
2drbB_M320.pdb     -145.160312 kBT
2drbB_M1.pdb     -182.506345 kBT
2drbB_M151.pdb     -136.910720 kBT
2drbB_M95.pdb     -139.467717 kBT
2drbB_M438.pdb     -123.049580 kBT
2drbB_M64.pdb     -146.459160 kBT
2drbB_M138.pdb     -150.389290 kBT
2drbB_M373.pdb     -135.247952 kBT
2drbB_M20.pdb     -167.487868 kBT
2drbB_M326.pdb     -136.032122 kBT
2drbB_M32.pdb     -152.293862 kBT
2drbB_M453.pdb     -117.168454 kBT
2drbB_M398.pdb     -108.809184 kBT
2drbB_M355.pdb     -142.854831 kBT
2drbB_M354.pdb     -119.956407 kBT
2drbB_M134.pdb     -158.427755 kBT
2drbB_M305.pdb     -111.657436 kBT
2drbB_M394.pdb     -116.469822 kBT
2drbB_M187.pdb     -121.590539 kBT
2drbB_M94.pdb     -134.662727 kBT
2drbB_M419.pdb     -114.167541 kBT
2drbB_M113.pdb     -157.364487 kBT
2drbB_M47.pdb     -169.480583 kBT
2drbB_M10.pdb     -182.111690 kBT
2drbB_M22.pdb     -169.198803 kBT
2drbB_M253.pdb     -113.820084 kBT
2drbB_M258.pdb     -111.069246 kBT
2drbB_M347.pdb     -133.157185 kBT
2drbB_M437.pdb     -90.468376 kBT
2drbB_M380.pdb     -119.158113 kBT
2drbB_M388.pdb     -141.973942 kBT
2drbB_M434.pdb     -112.078549 kBT
2drbB_M201.pdb     -139.200773 kBT
2drbB_M316.pdb     -132.798542 kBT
2drbB_M129.pdb     -136.279615 kBT
2drbB_M489.pdb     -110.893223 kBT
2drbB_M384.pdb     -119.642753 kBT
2drbB_M266.pdb     -129.734059 kBT
2drbB_M203.pdb     -115.853698 kBT
2drbB_M271.pdb     -137.341989 kBT
2drbB_M334.pdb     -111.978654 kBT
2drbB_M472.pdb     -100.930138 kBT
2drbB_M456.pdb     -111.377124 kBT
2drbB_M404.pdb     -145.922541 kBT
2drbB_M19.pdb     -168.462030 kBT
2drbB_M72.pdb     -139.554712 kBT
2drbB_M6.pdb     -184.217901 kBT
2drbB_M351.pdb     -126.084386 kBT
2drbB_M101.pdb     -152.996764 kBT
2drbB_M36.pdb     -157.989309 kBT
2drbB_M207.pdb     -141.550782 kBT
2drbB_M234.pdb     -133.100576 kBT
2drbB_M176.pdb     -121.606967 kBT
2drbB_M424.pdb     -116.706926 kBT
2drbB_M141.pdb     -133.475982 kBT
2drbB_M48.pdb     -163.138889 kBT
2drbB_M74.pdb     -144.502720 kBT
2drbB_M127.pdb     -152.178535 kBT
2drbB_M325.pdb     -106.566284 kBT
2drbB_M33.pdb     -160.393162 kBT
2drbB_M410.pdb     -95.241607 kBT
2drbB_M110.pdb     -170.862799 kBT
2drbB_M178.pdb     -138.093859 kBT
2drbB_M154.pdb     -147.682896 kBT
2drbB_M170.pdb     -123.858814 kBT
