1s03B_M257.pdb     -148.602206 kBT
1s03B_M25.pdb     -216.539377 kBT
1s03B_M278.pdb     -165.082928 kBT
1s03B_M137.pdb     -181.777842 kBT
1s03B_M81.pdb     -196.499718 kBT
1s03B_M430.pdb     -152.776265 kBT
1s03B_M311.pdb     -151.755455 kBT
1s03B_M335.pdb     -173.155104 kBT
1s03B_M66.pdb     -180.837913 kBT
1s03B_M260.pdb     -162.671371 kBT
1s03B_M360.pdb     -124.887915 kBT
1s03B_M264.pdb     -149.879306 kBT
1s03B_M256.pdb     -164.304834 kBT
1s03B_M363.pdb     -154.088828 kBT
1s03B_M220.pdb     -159.428826 kBT
1s03B_M27.pdb     -205.436509 kBT
1s03B_M272.pdb     -169.593467 kBT
1s03B_M224.pdb     -147.686123 kBT
1s03B_M263.pdb     -144.194897 kBT
1s03B_M477.pdb     -137.135034 kBT
1s03B_M54.pdb     -184.100946 kBT
1s03B_M209.pdb     -151.594758 kBT
1s03B_M403.pdb     -146.628404 kBT
1s03B_M136.pdb     -171.164467 kBT
1s03B_M200.pdb     -160.935896 kBT
1s03B_M452.pdb     -115.013720 kBT
1s03B_M26.pdb     -209.596727 kBT
1s03B_M462.pdb     -127.398992 kBT
1s03B_M380.pdb     -149.284665 kBT
1s03B_M249.pdb     -181.153510 kBT
1s03B_M361.pdb     -155.488900 kBT
1s03B_M415.pdb     -124.608056 kBT
1s03B_M394.pdb     -138.742780 kBT
1s03B_M221.pdb     -171.362509 kBT
1s03B_M97.pdb     -161.510814 kBT
1s03B_M391.pdb     -139.200103 kBT
1s03B_M99.pdb     -162.580004 kBT
1s03B_M302.pdb     -155.031410 kBT
1s03B_M195.pdb     -168.251312 kBT
1s03B_M128.pdb     -169.080835 kBT
1s03B_M492.pdb     -136.549885 kBT
1s03B_M393.pdb     -152.658289 kBT
1s03B_M422.pdb     -149.075457 kBT
1s03B_M250.pdb     -178.069291 kBT
1s03B_M255.pdb     -153.017909 kBT
1s03B_M444.pdb     -160.457453 kBT
1s03B_M88.pdb     -190.976321 kBT
1s03B_M216.pdb     -143.886370 kBT
1s03B_M115.pdb     -168.562147 kBT
1s03B_M104.pdb     -171.157869 kBT
1s03B_M283.pdb     -154.516142 kBT
1s03B_M304.pdb     -135.601775 kBT
1s03B_M479.pdb     -139.170381 kBT
1s03B_M147.pdb     -169.205076 kBT
1s03B_M31.pdb     -206.813567 kBT
1s03B_M84.pdb     -189.758214 kBT
1s03B_M138.pdb     -167.820522 kBT
1s03B_M408.pdb     -140.276941 kBT
1s03B_M154.pdb     -164.361658 kBT
1s03B_M411.pdb     -137.961912 kBT
1s03B_M169.pdb     -142.295621 kBT
1s03B_M118.pdb     -182.347845 kBT
1s03B_M185.pdb     -181.198753 kBT
1s03B_M4.pdb     -207.257031 kBT
1s03B_M318.pdb     -162.649273 kBT
1s03B_M37.pdb     -229.425202 kBT
1s03B_M295.pdb     -169.329189 kBT
1s03B_M83.pdb     -182.026200 kBT
1s03B_M207.pdb     -151.818009 kBT
1s03B_M362.pdb     -132.164873 kBT
1s03B_M497.pdb     -138.039150 kBT
1s03B_M69.pdb     -197.817249 kBT
1s03B_M2.pdb     -219.369875 kBT
1s03B_M442.pdb     -110.095563 kBT
1s03B_M354.pdb     -149.637568 kBT
1s03B_M483.pdb     -171.627022 kBT
1s03B_M466.pdb     -173.491415 kBT
1s03B_M365.pdb     -157.632219 kBT
1s03B_M468.pdb     -172.902603 kBT
1s03B_M265.pdb     -154.603707 kBT
1s03B_M76.pdb     -177.467753 kBT
1s03B_M242.pdb     -157.707524 kBT
1s03B_M225.pdb     -140.687115 kBT
1s03B_M297.pdb     -167.994116 kBT
1s03B_M56.pdb     -190.349254 kBT
1s03B_M77.pdb     -182.194062 kBT
1s03B_M98.pdb     -170.911384 kBT
1s03B_M96.pdb     -202.370067 kBT
1s03B_M152.pdb     -186.326097 kBT
1s03B_M130.pdb     -161.730151 kBT
1s03B_M6.pdb     -221.457767 kBT
1s03B_M306.pdb     -147.960473 kBT
1s03B_M384.pdb     -155.333539 kBT
1s03B_M108.pdb     -174.088525 kBT
1s03B_M357.pdb     -131.016697 kBT
1s03B_M482.pdb     -146.639044 kBT
1s03B_M303.pdb     -145.609707 kBT
1s03B_M215.pdb     -163.884452 kBT
1s03B_M87.pdb     -173.872904 kBT
1s03B_M73.pdb     -193.413472 kBT
1s03B_M467.pdb     -129.843648 kBT
1s03B_M355.pdb     -127.142439 kBT
1s03B_M202.pdb     -147.070058 kBT
1s03B_M296.pdb     -163.356066 kBT
1s03B_M135.pdb     -160.022627 kBT
1s03B_M111.pdb     -167.693411 kBT
1s03B_M276.pdb     -168.897843 kBT
1s03B_M10.pdb     -226.136397 kBT
1s03B_M131.pdb     -158.633846 kBT
1s03B_M445.pdb     -148.927786 kBT
1s03B_M290.pdb     -184.665884 kBT
1s03B_M142.pdb     -163.416052 kBT
1s03B_M230.pdb     -180.486699 kBT
1s03B_M61.pdb     -186.716665 kBT
1s03B_M153.pdb     -162.052682 kBT
1s03B_M416.pdb     -156.065996 kBT
1s03B_M434.pdb     -149.398107 kBT
1s03B_M70.pdb     -180.811487 kBT
1s03B_M151.pdb     -155.570424 kBT
1s03B_M167.pdb     -156.122665 kBT
1s03B_M168.pdb     -163.522898 kBT
1s03B_M406.pdb     -168.321663 kBT
1s03B_M121.pdb     -182.353824 kBT
1s03B_M245.pdb     -153.682723 kBT
1s03B_M199.pdb     -162.944674 kBT
1s03B_M420.pdb     -165.138617 kBT
1s03B_M46.pdb     -208.374676 kBT
1s03B_M284.pdb     -163.406919 kBT
1s03B_M166.pdb     -162.345818 kBT
1s03B_M50.pdb     -205.911099 kBT
1s03B_M475.pdb     -141.582309 kBT
1s03B_M123.pdb     -174.730989 kBT
1s03B_M280.pdb     -156.731433 kBT
1s03B_M487.pdb     -132.273657 kBT
1s03B_M206.pdb     -183.421919 kBT
1s03B_M322.pdb     -147.763359 kBT
1s03B_M402.pdb     -159.932560 kBT
1s03B_M122.pdb     -159.725627 kBT
1s03B_M94.pdb     -193.731257 kBT
1s03B_M60.pdb     -195.796035 kBT
1s03B_M239.pdb     -143.938682 kBT
1s03B_M270.pdb     -158.888396 kBT
1s03B_M114.pdb     -172.245661 kBT
1s03B_M241.pdb     -162.678125 kBT
1s03B_M39.pdb     -176.505506 kBT
1s03B_M158.pdb     -173.078634 kBT
1s03B_M40.pdb     -203.678468 kBT
1s03B_M291.pdb     -149.371197 kBT
1s03B_M407.pdb     -118.073379 kBT
1s03B_M211.pdb     -154.858448 kBT
1s03B_M43.pdb     -203.199919 kBT
1s03B_M300.pdb     -174.043417 kBT
1s03B_M181.pdb     -171.383244 kBT
1s03B_M93.pdb     -176.646174 kBT
1s03B_M344.pdb     -142.851062 kBT
1s03B_M17.pdb     -216.607799 kBT
1s03B_M229.pdb     -162.647428 kBT
1s03B_M171.pdb     -170.377339 kBT
1s03B_M413.pdb     -133.577189 kBT
1s03B_M373.pdb     -142.723831 kBT
1s03B_M204.pdb     -175.922740 kBT
1s03B_M233.pdb     -157.240865 kBT
1s03B_M160.pdb     -164.491163 kBT
1s03B_M377.pdb     -175.043804 kBT
1s03B_M251.pdb     -150.076205 kBT
1s03B_M465.pdb     -143.569128 kBT
1s03B_M463.pdb     -167.425252 kBT
1s03B_M57.pdb     -187.843147 kBT
1s03B_M35.pdb     -196.088663 kBT
1s03B_M95.pdb     -170.678710 kBT
1s03B_M253.pdb     -147.642162 kBT
1s03B_M333.pdb     -139.403263 kBT
1s03B_M193.pdb     -161.728678 kBT
1s03B_M470.pdb     -136.155924 kBT
1s03B_M499.pdb     -140.318139 kBT
1s03B_M346.pdb     -150.344879 kBT
1s03B_M124.pdb     -179.980757 kBT
1s03B_M227.pdb     -156.267418 kBT
1s03B_M11.pdb     -225.439848 kBT
1s03B_M125.pdb     -161.839518 kBT
1s03B_M267.pdb     -166.385883 kBT
1s03B_M90.pdb     -190.242952 kBT
1s03B_M368.pdb     -154.231409 kBT
1s03B_M409.pdb     -160.699527 kBT
1s03B_M431.pdb     -153.027071 kBT
1s03B_M196.pdb     -170.424912 kBT
1s03B_M103.pdb     -192.563784 kBT
1s03B_M238.pdb     -153.684917 kBT
1s03B_M55.pdb     -195.736632 kBT
1s03B_M156.pdb     -180.159838 kBT
1s03B_M187.pdb     -176.930095 kBT
1s03B_M163.pdb     -173.806860 kBT
1s03B_M82.pdb     -192.038614 kBT
1s03B_M219.pdb     -151.241380 kBT
1s03B_M441.pdb     -142.311801 kBT
1s03B_M178.pdb     -193.554963 kBT
1s03B_M446.pdb     -142.927670 kBT
1s03B_M307.pdb     -163.681256 kBT
1s03B_M71.pdb     -180.172462 kBT
1s03B_M387.pdb     -156.501888 kBT
1s03B_M331.pdb     -128.692954 kBT
1s03B_M392.pdb     -151.213329 kBT
1s03B_M42.pdb     -206.409807 kBT
1s03B_M412.pdb     -147.890240 kBT
1s03B_M75.pdb     -180.753089 kBT
1s03B_M102.pdb     -191.880973 kBT
1s03B_M13.pdb     -213.457705 kBT
1s03B_M328.pdb     -118.375901 kBT
1s03B_M248.pdb     -156.018601 kBT
1s03B_M459.pdb     -173.934465 kBT
1s03B_M453.pdb     -148.017160 kBT
1s03B_M110.pdb     -165.894249 kBT
1s03B_M356.pdb     -160.918850 kBT
1s03B_M299.pdb     -151.952615 kBT
1s03B_M378.pdb     -141.815655 kBT
1s03B_M63.pdb     -187.878202 kBT
1s03B_M313.pdb     -169.912463 kBT
1s03B_M435.pdb     -141.426760 kBT
1s03B_M337.pdb     -141.841217 kBT
1s03B_M38.pdb     -211.665149 kBT
1s03B_M464.pdb     -145.033855 kBT
1s03B_M414.pdb     -161.060784 kBT
1s03B_M417.pdb     -147.770433 kBT
1s03B_M203.pdb     -159.194903 kBT
1s03B_M145.pdb     -156.813517 kBT
1s03B_M58.pdb     -202.652682 kBT
1s03B_M374.pdb     -159.381032 kBT
1s03B_M388.pdb     -123.977337 kBT
1s03B_M495.pdb     -137.612207 kBT
1s03B_M198.pdb     -172.499502 kBT
1s03B_M155.pdb     -177.040492 kBT
1s03B_M418.pdb     -161.910144 kBT
1s03B_M259.pdb     -177.593673 kBT
1s03B_M106.pdb     -200.773833 kBT
1s03B_M236.pdb     -146.386431 kBT
1s03B_M320.pdb     -170.541371 kBT
1s03B_M364.pdb     -154.764602 kBT
1s03B_M213.pdb     -168.214049 kBT
1s03B_M285.pdb     -144.367355 kBT
1s03B_M352.pdb     -155.717479 kBT
1s03B_M223.pdb     -170.680809 kBT
1s03B_M410.pdb     -134.518100 kBT
1s03B_M9.pdb     -218.019171 kBT
1s03B_M451.pdb     -105.935693 kBT
1s03B_M173.pdb     -148.610960 kBT
1s03B_M490.pdb     -165.478289 kBT
1s03B_M67.pdb     -161.005280 kBT
1s03B_M150.pdb     -167.315021 kBT
1s03B_M126.pdb     -195.141546 kBT
1s03B_M398.pdb     -134.180445 kBT
1s03B_M423.pdb     -138.026684 kBT
1s03B_M174.pdb     -140.808297 kBT
1s03B_M324.pdb     -155.613747 kBT
1s03B_M319.pdb     -161.693774 kBT
1s03B_M401.pdb     -182.195733 kBT
1s03B_M179.pdb     -168.600613 kBT
1s03B_M186.pdb     -175.737033 kBT
1s03B_M3.pdb     -223.163116 kBT
1s03B_M454.pdb     -137.207944 kBT
1s03B_M425.pdb     -141.082803 kBT
1s03B_M286.pdb     -163.056773 kBT
1s03B_M133.pdb     -157.000749 kBT
1s03B_M372.pdb     -157.343660 kBT
1s03B_M24.pdb     -205.708895 kBT
1s03B_M234.pdb     -144.934637 kBT
1s03B_M330.pdb     -132.988229 kBT
1s03B_M194.pdb     -177.833649 kBT
1s03B_M34.pdb     -217.404725 kBT
1s03B_M48.pdb     -202.013481 kBT
1s03B_M45.pdb     -202.851513 kBT
1s03B_M341.pdb     -137.812478 kBT
1s03B_M271.pdb     -156.288164 kBT
1s03B_M473.pdb     -118.704122 kBT
1s03B_M390.pdb     -164.590737 kBT
1s03B_M381.pdb     -154.687563 kBT
1s03B_M432.pdb     -149.442266 kBT
1s03B_M222.pdb     -178.296807 kBT
1s03B_M266.pdb     -183.223383 kBT
1s03B_M159.pdb     -181.747715 kBT
1s03B_M461.pdb     -161.435074 kBT
1s03B_M298.pdb     -148.893234 kBT
1s03B_M471.pdb     -133.885476 kBT
1s03B_M269.pdb     -183.742086 kBT
1s03B_M129.pdb     -187.063258 kBT
1s03B_M85.pdb     -173.244530 kBT
1s03B_M491.pdb     -159.975345 kBT
1s03B_M323.pdb     -158.178508 kBT
1s03B_M450.pdb     -179.200997 kBT
1s03B_M192.pdb     -179.685519 kBT
1s03B_M217.pdb     -149.657019 kBT
1s03B_M421.pdb     -129.703345 kBT
1s03B_M191.pdb     -175.395900 kBT
1s03B_M252.pdb     -157.624335 kBT
1s03B_M29.pdb     -211.564702 kBT
1s03B_M433.pdb     -176.981273 kBT
1s03B_M72.pdb     -167.625999 kBT
1s03B_M59.pdb     -195.637534 kBT
1s03B_M120.pdb     -178.291948 kBT
1s03B_M424.pdb     -163.867501 kBT
1s03B_M16.pdb     -210.694552 kBT
1s03B_M5.pdb     -229.189031 kBT
1s03B_M65.pdb     -188.797700 kBT
1s03B_M447.pdb     -145.960863 kBT
1s03B_M44.pdb     -205.156944 kBT
1s03B_M214.pdb     -173.503929 kBT
1s03B_M258.pdb     -175.852818 kBT
1s03B_M292.pdb     -168.788656 kBT
1s03B_M496.pdb     -134.401741 kBT
1s03B_M397.pdb     -148.453874 kBT
1s03B_M379.pdb     -166.193350 kBT
1s03B_M247.pdb     -153.056140 kBT
1s03B_M494.pdb     -149.198493 kBT
1s03B_M309.pdb     -167.646349 kBT
1s03B_M274.pdb     -174.774541 kBT
1s03B_M183.pdb     -183.211326 kBT
1s03B_M426.pdb     -178.857545 kBT
1s03B_M91.pdb     -157.182311 kBT
1s03B_M389.pdb     -140.785321 kBT
1s03B_M210.pdb     -177.449364 kBT
1s03B_M36.pdb     -218.012334 kBT
1s03B_M232.pdb     -136.666073 kBT
1s03B_M310.pdb     -151.855609 kBT
1s03B_M144.pdb     -166.524514 kBT
1s03B_M109.pdb     -178.133295 kBT
1s03B_M436.pdb     -152.105803 kBT
1s03B_M469.pdb     -141.051047 kBT
1s03B_M342.pdb     -141.441454 kBT
1s03B_M182.pdb     -165.433221 kBT
1s03B_M321.pdb     -156.392200 kBT
1s03B_M439.pdb     -144.358447 kBT
1s03B_M419.pdb     -176.181540 kBT
1s03B_M62.pdb     -220.970175 kBT
1s03B_M139.pdb     -178.698347 kBT
1s03B_M30.pdb     -205.536830 kBT
1s03B_M226.pdb     -152.658464 kBT
1s03B_M366.pdb     -153.411882 kBT
1s03B_M78.pdb     -156.684861 kBT
1s03B_M282.pdb     -161.088695 kBT
1s03B_M212.pdb     -175.442277 kBT
1s03B_M19.pdb     -223.548539 kBT
1s03B_M427.pdb     -139.963257 kBT
1s03B_M481.pdb     -165.477843 kBT
1s03B_M326.pdb     -149.086264 kBT
1s03B_M472.pdb     -148.169958 kBT
1s03B_M385.pdb     -169.631674 kBT
1s03B_M327.pdb     -117.515659 kBT
1s03B_M289.pdb     -181.044444 kBT
1s03B_M175.pdb     -175.721187 kBT
1s03B_M348.pdb     -155.086520 kBT
1s03B_M146.pdb     -149.799461 kBT
1s03B_M119.pdb     -183.380907 kBT
1s03B_M288.pdb     -153.492901 kBT
1s03B_M332.pdb     -155.841300 kBT
1s03B_M383.pdb     -170.173442 kBT
1s03B_M162.pdb     -147.553824 kBT
1s03B_M240.pdb     -174.546285 kBT
1s03B_M22.pdb     -216.907013 kBT
1s03B_M184.pdb     -162.753535 kBT
1s03B_M176.pdb     -140.743247 kBT
1s03B_M367.pdb     -167.307336 kBT
1s03B_M429.pdb     -147.564124 kBT
1s03B_M235.pdb     -165.911966 kBT
1s03B_M369.pdb     -168.571236 kBT
1s03B_M350.pdb     -146.588434 kBT
1s03B_M399.pdb     -157.299613 kBT
1s03B_M246.pdb     -165.588524 kBT
1s03B_M189.pdb     -162.569296 kBT
1s03B_M458.pdb     -104.016363 kBT
1s03B_M312.pdb     -182.758879 kBT
1s03B_M53.pdb     -212.691733 kBT
1s03B_M21.pdb     -205.149724 kBT
1s03B_M375.pdb     -157.419586 kBT
1s03B_M20.pdb     -225.875450 kBT
1s03B_M279.pdb     -177.864494 kBT
1s03B_M370.pdb     -159.149242 kBT
1s03B_M68.pdb     -199.573369 kBT
1s03B_M359.pdb     -153.640951 kBT
1s03B_M485.pdb     -124.407899 kBT
1s03B_M395.pdb     -134.106000 kBT
1s03B_M405.pdb     -140.073996 kBT
1s03B_M293.pdb     -153.650339 kBT
1s03B_M498.pdb     -163.233602 kBT
1s03B_M349.pdb     -157.906074 kBT
1s03B_M340.pdb     -139.914326 kBT
1s03B_M80.pdb     -167.894126 kBT
1s03B_M347.pdb     -135.468123 kBT
1s03B_M51.pdb     -184.273266 kBT
1s03B_M338.pdb     -158.714864 kBT
1s03B_M141.pdb     -178.063530 kBT
1s03B_M489.pdb     -152.541608 kBT
1s03B_M15.pdb     -215.694818 kBT
1s03B_M79.pdb     -160.120553 kBT
1s03B_M488.pdb     -104.303799 kBT
1s03B_M345.pdb     -175.822389 kBT
1s03B_M243.pdb     -170.002170 kBT
1s03B_M456.pdb     -158.503784 kBT
1s03B_M329.pdb     -152.320962 kBT
1s03B_M314.pdb     -168.291368 kBT
1s03B_M170.pdb     -161.850627 kBT
1s03B_M86.pdb     -180.818101 kBT
1s03B_M478.pdb     -141.977521 kBT
1s03B_M92.pdb     -156.749788 kBT
1s03B_M165.pdb     -159.730112 kBT
1s03B_M449.pdb     -112.514200 kBT
1s03B_M325.pdb     -144.056582 kBT
1s03B_M205.pdb     -181.459443 kBT
1s03B_M143.pdb     -179.062624 kBT
1s03B_M262.pdb     -147.024591 kBT
1s03B_M164.pdb     -186.916999 kBT
1s03B_M351.pdb     -127.045224 kBT
1s03B_M376.pdb     -159.702841 kBT
1s03B_M457.pdb     -171.391096 kBT
1s03B_M41.pdb     -180.939999 kBT
1s03B_M261.pdb     -148.517868 kBT
1s03B_M47.pdb     -203.014989 kBT
