3f30X_M33.pdb     -456.159882 kBT
3f30X_M446.pdb     -410.594214 kBT
3f30X_M228.pdb     -394.945116 kBT
3f30X_M183.pdb     -465.685873 kBT
3f30X_M350.pdb     -424.185535 kBT
3f30X_M488.pdb     -423.905597 kBT
3f30X_M170.pdb     -387.865202 kBT
3f30X_M40.pdb     -468.455706 kBT
3f30X_M140.pdb     -432.427154 kBT
3f30X_M252.pdb     -398.160738 kBT
3f30X_M192.pdb     -439.713712 kBT
3f30X_M491.pdb     -402.116922 kBT
3f30X_M101.pdb     -410.164338 kBT
3f30X_M88.pdb     -411.632357 kBT
3f30X_M387.pdb     -388.521661 kBT
3f30X_M337.pdb     -386.521581 kBT
3f30X_M297.pdb     -392.201142 kBT
3f30X_M132.pdb     -468.252767 kBT
3f30X_M156.pdb     -416.195091 kBT
3f30X_M487.pdb     -406.809233 kBT
3f30X_M107.pdb     -397.243631 kBT
3f30X_M306.pdb     -392.143905 kBT
3f30X_M60.pdb     -417.593518 kBT
3f30X_M153.pdb     -444.586191 kBT
3f30X_M52.pdb     -458.042737 kBT
3f30X_M235.pdb     -422.807290 kBT
3f30X_M62.pdb     -453.981524 kBT
3f30X_M214.pdb     -440.694372 kBT
3f30X_M68.pdb     -411.989614 kBT
3f30X_M329.pdb     -408.926471 kBT
3f30X_M78.pdb     -433.236109 kBT
3f30X_M277.pdb     -405.568012 kBT
3f30X_M294.pdb     -398.272472 kBT
3f30X_M50.pdb     -458.002294 kBT
3f30X_M422.pdb     -419.812267 kBT
3f30X_M305.pdb     -427.951722 kBT
3f30X_M440.pdb     -411.741198 kBT
3f30X_M327.pdb     -379.391216 kBT
3f30X_M425.pdb     -440.038847 kBT
3f30X_M415.pdb     -407.388498 kBT
3f30X_M43.pdb     -483.349797 kBT
3f30X_M86.pdb     -446.121520 kBT
3f30X_M291.pdb     -401.587260 kBT
3f30X_M279.pdb     -424.469417 kBT
3f30X_M28.pdb     -483.903441 kBT
3f30X_M313.pdb     -426.388008 kBT
3f30X_M308.pdb     -411.027181 kBT
3f30X_M317.pdb     -406.144228 kBT
3f30X_M356.pdb     -392.473887 kBT
3f30X_M444.pdb     -419.060328 kBT
3f30X_M21.pdb     -486.995281 kBT
3f30X_M299.pdb     -433.613203 kBT
3f30X_M171.pdb     -461.200393 kBT
3f30X_M359.pdb     -412.816175 kBT
3f30X_M455.pdb     -432.180788 kBT
3f30X_M158.pdb     -406.217478 kBT
3f30X_M25.pdb     -475.701628 kBT
3f30X_M245.pdb     -433.998583 kBT
3f30X_M420.pdb     -420.875534 kBT
3f30X_M220.pdb     -427.170448 kBT
3f30X_M106.pdb     -444.020527 kBT
3f30X_M223.pdb     -411.819481 kBT
3f30X_M253.pdb     -403.490310 kBT
3f30X_M343.pdb     -417.774890 kBT
3f30X_M16.pdb     -487.342489 kBT
3f30X_M473.pdb     -427.759434 kBT
3f30X_M263.pdb     -455.398231 kBT
3f30X_M442.pdb     -408.059195 kBT
3f30X_M180.pdb     -426.037046 kBT
3f30X_M426.pdb     -402.013622 kBT
3f30X_M494.pdb     -398.690807 kBT
3f30X_M131.pdb     -436.578513 kBT
3f30X_M141.pdb     -444.074940 kBT
3f30X_M177.pdb     -456.275941 kBT
3f30X_M449.pdb     -392.918634 kBT
3f30X_M174.pdb     -435.403029 kBT
3f30X_M376.pdb     -393.067815 kBT
3f30X_M145.pdb     -414.014949 kBT
3f30X_M479.pdb     -405.503334 kBT
3f30X_M351.pdb     -421.321906 kBT
3f30X_M276.pdb     -399.936484 kBT
3f30X_M443.pdb     -399.265801 kBT
3f30X_M213.pdb     -456.056487 kBT
3f30X_M358.pdb     -386.426561 kBT
3f30X_M447.pdb     -385.163648 kBT
3f30X_M96.pdb     -427.374992 kBT
3f30X_M148.pdb     -424.755409 kBT
3f30X_M492.pdb     -414.714675 kBT
3f30X_M123.pdb     -430.789809 kBT
3f30X_M195.pdb     -405.070216 kBT
3f30X_M375.pdb     -413.290586 kBT
3f30X_M475.pdb     -415.179084 kBT
3f30X_M115.pdb     -396.391090 kBT
3f30X_M79.pdb     -458.968249 kBT
3f30X_M477.pdb     -386.804980 kBT
3f30X_M173.pdb     -413.583764 kBT
3f30X_M211.pdb     -425.063027 kBT
3f30X_M127.pdb     -416.682037 kBT
3f30X_M495.pdb     -403.313231 kBT
3f30X_M5.pdb     -486.091770 kBT
3f30X_M91.pdb     -436.016988 kBT
3f30X_M199.pdb     -403.095246 kBT
3f30X_M467.pdb     -397.585670 kBT
3f30X_M193.pdb     -426.506074 kBT
3f30X_M29.pdb     -493.195115 kBT
3f30X_M416.pdb     -395.882660 kBT
3f30X_M216.pdb     -439.237710 kBT
3f30X_M405.pdb     -383.403992 kBT
3f30X_M264.pdb     -406.448856 kBT
3f30X_M217.pdb     -402.772458 kBT
3f30X_M128.pdb     -444.802964 kBT
3f30X_M168.pdb     -430.041823 kBT
3f30X_M176.pdb     -432.433795 kBT
3f30X_M118.pdb     -428.068353 kBT
3f30X_M24.pdb     -480.988105 kBT
3f30X_M290.pdb     -359.633077 kBT
3f30X_M362.pdb     -406.833152 kBT
3f30X_M450.pdb     -404.501675 kBT
3f30X_M486.pdb     -410.642399 kBT
3f30X_M286.pdb     -385.019374 kBT
3f30X_M298.pdb     -364.625066 kBT
3f30X_M408.pdb     -391.787931 kBT
3f30X_M218.pdb     -433.904741 kBT
3f30X_M201.pdb     -380.000961 kBT
3f30X_M281.pdb     -460.822299 kBT
3f30X_M206.pdb     -380.766764 kBT
3f30X_M154.pdb     -423.156588 kBT
3f30X_M269.pdb     -443.072863 kBT
3f30X_M380.pdb     -419.327843 kBT
3f30X_M338.pdb     -373.423583 kBT
3f30X_M204.pdb     -399.375840 kBT
3f30X_M82.pdb     -448.644783 kBT
3f30X_M451.pdb     -402.008563 kBT
3f30X_M483.pdb     -394.704308 kBT
3f30X_M289.pdb     -406.014319 kBT
3f30X_M160.pdb     -409.190928 kBT
3f30X_M134.pdb     -451.122407 kBT
3f30X_M354.pdb     -430.841610 kBT
3f30X_M37.pdb     -464.257962 kBT
3f30X_M238.pdb     -429.942894 kBT
3f30X_M248.pdb     -435.543073 kBT
3f30X_M242.pdb     -442.315994 kBT
3f30X_M95.pdb     -427.079557 kBT
3f30X_M57.pdb     -424.680602 kBT
3f30X_M99.pdb     -444.809069 kBT
3f30X_M49.pdb     -435.205777 kBT
3f30X_M59.pdb     -450.702382 kBT
3f30X_M437.pdb     -413.252268 kBT
3f30X_M47.pdb     -446.291111 kBT
3f30X_M124.pdb     -426.417509 kBT
3f30X_M56.pdb     -463.140498 kBT
3f30X_M283.pdb     -382.774187 kBT
3f30X_M378.pdb     -385.858372 kBT
3f30X_M419.pdb     -430.904138 kBT
3f30X_M120.pdb     -429.113611 kBT
3f30X_M423.pdb     -409.214718 kBT
3f30X_M481.pdb     -395.625933 kBT
3f30X_M169.pdb     -373.348189 kBT
3f30X_M316.pdb     -423.930421 kBT
3f30X_M295.pdb     -455.213635 kBT
3f30X_M353.pdb     -425.841937 kBT
3f30X_M249.pdb     -407.510832 kBT
3f30X_M390.pdb     -412.153326 kBT
3f30X_M441.pdb     -425.378879 kBT
3f30X_M436.pdb     -378.411032 kBT
3f30X_M448.pdb     -412.280948 kBT
3f30X_M490.pdb     -403.522209 kBT
3f30X_M112.pdb     -396.876689 kBT
3f30X_M278.pdb     -406.738022 kBT
3f30X_M97.pdb     -420.593652 kBT
3f30X_M457.pdb     -402.406205 kBT
3f30X_M6.pdb     -487.653651 kBT
3f30X_M322.pdb     -380.095606 kBT
3f30X_M225.pdb     -408.723306 kBT
3f30X_M23.pdb     -498.144178 kBT
3f30X_M243.pdb     -398.446963 kBT
3f30X_M472.pdb     -416.094486 kBT
3f30X_M326.pdb     -374.068108 kBT
3f30X_M152.pdb     -450.479852 kBT
3f30X_M75.pdb     -429.055390 kBT
3f30X_M395.pdb     -383.991922 kBT
3f30X_M484.pdb     -424.949741 kBT
3f30X_M346.pdb     -405.518464 kBT
3f30X_M364.pdb     -387.162091 kBT
3f30X_M383.pdb     -404.736356 kBT
3f30X_M113.pdb     -444.131708 kBT
3f30X_M476.pdb     -413.498811 kBT
3f30X_M344.pdb     -388.447026 kBT
3f30X_M468.pdb     -400.557026 kBT
3f30X_M397.pdb     -397.783516 kBT
3f30X_M147.pdb     -401.904186 kBT
3f30X_M385.pdb     -439.725858 kBT
3f30X_M136.pdb     -464.300818 kBT
3f30X_M58.pdb     -474.550489 kBT
3f30X_M198.pdb     -436.225843 kBT
3f30X_M143.pdb     -434.540215 kBT
3f30X_M270.pdb     -381.310679 kBT
3f30X_M175.pdb     -412.316300 kBT
3f30X_M439.pdb     -409.119207 kBT
3f30X_M30.pdb     -471.551495 kBT
3f30X_M51.pdb     -437.335178 kBT
3f30X_M159.pdb     -446.815859 kBT
3f30X_M8.pdb     -491.207216 kBT
3f30X_M7.pdb     -487.494788 kBT
3f30X_M178.pdb     -430.990063 kBT
3f30X_M379.pdb     -420.260425 kBT
3f30X_M254.pdb     -394.613148 kBT
3f30X_M413.pdb     -406.461151 kBT
3f30X_M36.pdb     -458.420146 kBT
3f30X_M14.pdb     -492.551187 kBT
3f30X_M462.pdb     -391.444811 kBT
3f30X_M464.pdb     -470.979029 kBT
3f30X_M392.pdb     -395.276616 kBT
3f30X_M17.pdb     -480.495678 kBT
3f30X_M80.pdb     -442.909569 kBT
3f30X_M241.pdb     -415.620913 kBT
3f30X_M103.pdb     -423.189809 kBT
3f30X_M65.pdb     -440.017547 kBT
3f30X_M365.pdb     -416.606528 kBT
3f30X_M398.pdb     -403.987148 kBT
3f30X_M54.pdb     -442.935676 kBT
3f30X_M466.pdb     -424.458839 kBT
3f30X_M352.pdb     -426.866224 kBT
3f30X_M400.pdb     -418.300708 kBT
3f30X_M471.pdb     -401.179249 kBT
3f30X_M381.pdb     -438.459303 kBT
3f30X_M9.pdb     -487.985488 kBT
3f30X_M155.pdb     -413.168896 kBT
3f30X_M261.pdb     -420.710283 kBT
3f30X_M434.pdb     -443.204600 kBT
3f30X_M370.pdb     -426.523495 kBT
3f30X_M104.pdb     -408.127818 kBT
3f30X_M341.pdb     -419.563100 kBT
3f30X_M236.pdb     -441.749552 kBT
3f30X_M165.pdb     -387.018430 kBT
3f30X_M438.pdb     -414.851858 kBT
3f30X_M459.pdb     -423.940634 kBT
3f30X_M498.pdb     -402.311160 kBT
3f30X_M167.pdb     -423.601257 kBT
3f30X_M187.pdb     -410.043453 kBT
3f30X_M149.pdb     -443.591246 kBT
3f30X_M259.pdb     -380.110068 kBT
3f30X_M81.pdb     -456.943740 kBT
3f30X_M84.pdb     -448.339277 kBT
3f30X_M219.pdb     -437.089507 kBT
3f30X_M182.pdb     -394.424970 kBT
3f30X_M391.pdb     -426.317754 kBT
3f30X_M310.pdb     -394.203693 kBT
3f30X_M233.pdb     -412.838925 kBT
3f30X_M210.pdb     -434.035156 kBT
3f30X_M335.pdb     -410.208539 kBT
3f30X_M229.pdb     -408.721549 kBT
3f30X_M227.pdb     -390.411535 kBT
3f30X_M222.pdb     -446.103039 kBT
3f30X_M139.pdb     -458.729367 kBT
3f30X_M429.pdb     -424.294056 kBT
3f30X_M404.pdb     -415.719626 kBT
3f30X_M26.pdb     -451.971479 kBT
3f30X_M121.pdb     -450.370888 kBT
3f30X_M363.pdb     -422.850046 kBT
3f30X_M137.pdb     -434.609036 kBT
3f30X_M67.pdb     -460.640877 kBT
3f30X_M85.pdb     -438.931235 kBT
3f30X_M377.pdb     -437.511908 kBT
3f30X_M333.pdb     -355.670883 kBT
3f30X_M493.pdb     -396.619083 kBT
3f30X_M250.pdb     -417.874150 kBT
3f30X_M207.pdb     -418.656723 kBT
3f30X_M70.pdb     -435.815437 kBT
3f30X_M2.pdb     -478.385840 kBT
3f30X_M179.pdb     -389.361078 kBT
3f30X_M271.pdb     -376.933051 kBT
3f30X_M403.pdb     -423.816772 kBT
3f30X_M321.pdb     -400.237708 kBT
3f30X_M73.pdb     -450.280360 kBT
3f30X_M427.pdb     -407.081074 kBT
3f30X_M311.pdb     -412.754586 kBT
3f30X_M373.pdb     -393.336932 kBT
3f30X_M135.pdb     -411.995794 kBT
3f30X_M172.pdb     -409.579541 kBT
3f30X_M93.pdb     -403.650841 kBT
3f30X_M55.pdb     -430.511179 kBT
