1rlgD_M374.pdb     -100.527904 kBT
1rlgD_M283.pdb     -67.222196 kBT
1rlgD_M450.pdb     -87.866750 kBT
1rlgD_M245.pdb     -71.693924 kBT
1rlgD_M343.pdb     -63.838185 kBT
1rlgD_M280.pdb     -86.914972 kBT
1rlgD_M170.pdb     -79.157929 kBT
1rlgD_M29.pdb     -103.624936 kBT
1rlgD_M102.pdb     -85.725709 kBT
1rlgD_M357.pdb     -76.857519 kBT
1rlgD_M265.pdb     -76.007999 kBT
1rlgD_M437.pdb     -78.440678 kBT
1rlgD_M198.pdb     -96.597310 kBT
1rlgD_M392.pdb     -74.788334 kBT
1rlgD_M371.pdb     -79.474123 kBT
1rlgD_M462.pdb     -35.696495 kBT
1rlgD_M408.pdb     -80.881421 kBT
1rlgD_M476.pdb     -90.199671 kBT
1rlgD_M452.pdb     -63.877507 kBT
1rlgD_M4.pdb     -106.589456 kBT
1rlgD_M411.pdb     -72.337963 kBT
1rlgD_M109.pdb     -89.775407 kBT
1rlgD_M234.pdb     -69.542033 kBT
1rlgD_M431.pdb     -88.920069 kBT
1rlgD_M421.pdb     -89.277228 kBT
1rlgD_M100.pdb     -71.716416 kBT
1rlgD_M46.pdb     -100.232512 kBT
1rlgD_M10.pdb     -112.728557 kBT
1rlgD_M166.pdb     -79.626092 kBT
1rlgD_M332.pdb     -66.990331 kBT
1rlgD_M86.pdb     -108.454040 kBT
1rlgD_M5.pdb     -106.361284 kBT
1rlgD_M369.pdb     -64.562833 kBT
1rlgD_M180.pdb     -101.963561 kBT
1rlgD_M99.pdb     -66.441474 kBT
1rlgD_M394.pdb     -71.207287 kBT
1rlgD_M155.pdb     -76.482388 kBT
1rlgD_M262.pdb     -82.435902 kBT
1rlgD_M464.pdb     -83.241682 kBT
1rlgD_M406.pdb     -73.754349 kBT
1rlgD_M337.pdb     -74.037723 kBT
1rlgD_M226.pdb     -76.578203 kBT
1rlgD_M483.pdb     -65.976888 kBT
1rlgD_M97.pdb     -92.896521 kBT
1rlgD_M230.pdb     -81.261907 kBT
1rlgD_M373.pdb     -95.461648 kBT
1rlgD_M475.pdb     -78.911226 kBT
1rlgD_M72.pdb     -93.927759 kBT
1rlgD_M453.pdb     -70.511680 kBT
1rlgD_M377.pdb     -83.585075 kBT
1rlgD_M24.pdb     -104.620340 kBT
1rlgD_M228.pdb     -97.967966 kBT
1rlgD_M438.pdb     -55.779253 kBT
1rlgD_M144.pdb     -75.656844 kBT
1rlgD_M422.pdb     -88.451382 kBT
1rlgD_M191.pdb     -95.199069 kBT
1rlgD_M137.pdb     -68.200017 kBT
1rlgD_M409.pdb     -79.307571 kBT
1rlgD_M90.pdb     -81.660781 kBT
1rlgD_M133.pdb     -62.956491 kBT
1rlgD_M305.pdb     -82.850672 kBT
1rlgD_M398.pdb     -83.135723 kBT
1rlgD_M370.pdb     -62.512593 kBT
1rlgD_M212.pdb     -67.615366 kBT
1rlgD_M477.pdb     -69.756409 kBT
1rlgD_M177.pdb     -91.065778 kBT
1rlgD_M244.pdb     -59.013853 kBT
1rlgD_M91.pdb     -84.466715 kBT
1rlgD_M61.pdb     -81.221239 kBT
1rlgD_M430.pdb     -42.717065 kBT
1rlgD_M13.pdb     -114.945146 kBT
1rlgD_M243.pdb     -77.093189 kBT
1rlgD_M313.pdb     -73.869878 kBT
1rlgD_M288.pdb     -72.690658 kBT
1rlgD_M443.pdb     -88.870708 kBT
1rlgD_M351.pdb     -98.440979 kBT
1rlgD_M79.pdb     -105.300849 kBT
1rlgD_M308.pdb     -74.696755 kBT
1rlgD_M456.pdb     -61.749539 kBT
1rlgD_M113.pdb     -90.376763 kBT
1rlgD_M400.pdb     -98.156918 kBT
1rlgD_M389.pdb     -81.975162 kBT
1rlgD_M287.pdb     -71.857534 kBT
1rlgD_M110.pdb     -90.833395 kBT
1rlgD_M492.pdb     -69.447433 kBT
1rlgD_M236.pdb     -83.732407 kBT
1rlgD_M167.pdb     -69.382108 kBT
1rlgD_M358.pdb     -53.344086 kBT
1rlgD_M271.pdb     -77.476776 kBT
1rlgD_M210.pdb     -80.331025 kBT
1rlgD_M76.pdb     -85.582838 kBT
1rlgD_M50.pdb     -97.121963 kBT
1rlgD_M44.pdb     -101.071882 kBT
1rlgD_M123.pdb     -81.997155 kBT
1rlgD_M31.pdb     -94.386149 kBT
1rlgD_M293.pdb     -49.845413 kBT
1rlgD_M303.pdb     -59.234989 kBT
1rlgD_M140.pdb     -76.519538 kBT
1rlgD_M367.pdb     -80.576017 kBT
1rlgD_M393.pdb     -83.545387 kBT
1rlgD_M15.pdb     -110.520295 kBT
1rlgD_M387.pdb     -89.383753 kBT
1rlgD_M12.pdb     -108.124997 kBT
1rlgD_M38.pdb     -103.358566 kBT
1rlgD_M346.pdb     -56.812980 kBT
1rlgD_M489.pdb     -93.920640 kBT
1rlgD_M209.pdb     -67.437303 kBT
1rlgD_M500.pdb     -70.631104 kBT
1rlgD_M322.pdb     -78.164972 kBT
1rlgD_M87.pdb     -80.337778 kBT
1rlgD_M259.pdb     -87.231253 kBT
1rlgD_M104.pdb     -80.540822 kBT
1rlgD_M84.pdb     -91.464008 kBT
1rlgD_M149.pdb     -96.004565 kBT
1rlgD_M356.pdb     -75.340273 kBT
1rlgD_M117.pdb     -85.120193 kBT
1rlgD_M208.pdb     -84.882300 kBT
1rlgD_M115.pdb     -88.326031 kBT
1rlgD_M312.pdb     -57.196734 kBT
1rlgD_M364.pdb     -67.436368 kBT
1rlgD_M107.pdb     -83.689442 kBT
1rlgD_M224.pdb     -98.217561 kBT
1rlgD_M57.pdb     -69.343536 kBT
1rlgD_M141.pdb     -78.918957 kBT
1rlgD_M479.pdb     -102.429160 kBT
1rlgD_M158.pdb     -98.067541 kBT
1rlgD_M63.pdb     -92.648761 kBT
1rlgD_M274.pdb     -82.099478 kBT
1rlgD_M92.pdb     -71.422783 kBT
1rlgD_M188.pdb     -86.400364 kBT
1rlgD_M419.pdb     -65.205479 kBT
1rlgD_M261.pdb     -98.403787 kBT
1rlgD_M263.pdb     -68.666695 kBT
1rlgD_M473.pdb     -58.070034 kBT
1rlgD_M314.pdb     -69.730736 kBT
1rlgD_M249.pdb     -56.922697 kBT
1rlgD_M135.pdb     -77.162244 kBT
1rlgD_M317.pdb     -62.217196 kBT
1rlgD_M11.pdb     -115.307358 kBT
1rlgD_M428.pdb     -36.867200 kBT
1rlgD_M27.pdb     -90.830771 kBT
1rlgD_M164.pdb     -69.860813 kBT
1rlgD_M328.pdb     -66.059679 kBT
1rlgD_M77.pdb     -75.747064 kBT
1rlgD_M345.pdb     -61.925506 kBT
1rlgD_M169.pdb     -81.953079 kBT
1rlgD_M81.pdb     -59.755428 kBT
1rlgD_M130.pdb     -88.219364 kBT
1rlgD_M474.pdb     -94.908822 kBT
1rlgD_M41.pdb     -75.775552 kBT
1rlgD_M457.pdb     -72.605300 kBT
1rlgD_M147.pdb     -68.764758 kBT
1rlgD_M18.pdb     -105.999338 kBT
1rlgD_M264.pdb     -74.843640 kBT
1rlgD_M258.pdb     -73.537172 kBT
1rlgD_M490.pdb     -95.306664 kBT
1rlgD_M442.pdb     -56.006443 kBT
1rlgD_M461.pdb     -60.232920 kBT
1rlgD_M253.pdb     -74.225707 kBT
1rlgD_M368.pdb     -67.269153 kBT
1rlgD_M66.pdb     -89.840852 kBT
1rlgD_M378.pdb     -63.254987 kBT
1rlgD_M381.pdb     -84.178583 kBT
1rlgD_M451.pdb     -87.438221 kBT
1rlgD_M214.pdb     -92.027960 kBT
1rlgD_M300.pdb     -72.456355 kBT
1rlgD_M366.pdb     -85.194324 kBT
1rlgD_M242.pdb     -80.185539 kBT
1rlgD_M447.pdb     -91.275474 kBT
1rlgD_M143.pdb     -74.060714 kBT
1rlgD_M432.pdb     -91.324999 kBT
1rlgD_M213.pdb     -86.106509 kBT
1rlgD_M497.pdb     -67.935551 kBT
1rlgD_M125.pdb     -86.990871 kBT
1rlgD_M376.pdb     -85.309883 kBT
1rlgD_M156.pdb     -90.343545 kBT
1rlgD_M278.pdb     -89.268733 kBT
1rlgD_M47.pdb     -104.822721 kBT
1rlgD_M455.pdb     -67.763785 kBT
1rlgD_M384.pdb     -50.921914 kBT
1rlgD_M1.pdb     -107.856447 kBT
1rlgD_M390.pdb     -92.773456 kBT
1rlgD_M142.pdb     -84.682632 kBT
1rlgD_M405.pdb     -85.738785 kBT
1rlgD_M291.pdb     -84.337264 kBT
1rlgD_M412.pdb     -82.234752 kBT
1rlgD_M465.pdb     -89.516730 kBT
1rlgD_M354.pdb     -71.864082 kBT
1rlgD_M6.pdb     -104.497633 kBT
1rlgD_M196.pdb     -72.157827 kBT
1rlgD_M491.pdb     -71.063306 kBT
1rlgD_M222.pdb     -73.572543 kBT
1rlgD_M52.pdb     -98.590703 kBT
1rlgD_M391.pdb     -74.409619 kBT
1rlgD_M197.pdb     -99.150073 kBT
1rlgD_M193.pdb     -95.633882 kBT
1rlgD_M295.pdb     -71.112699 kBT
1rlgD_M150.pdb     -58.748267 kBT
1rlgD_M385.pdb     -72.592472 kBT
1rlgD_M64.pdb     -83.884996 kBT
1rlgD_M486.pdb     -62.511488 kBT
1rlgD_M352.pdb     -80.227161 kBT
1rlgD_M281.pdb     -70.739071 kBT
1rlgD_M101.pdb     -84.459606 kBT
1rlgD_M424.pdb     -88.364840 kBT
1rlgD_M449.pdb     -86.454171 kBT
1rlgD_M468.pdb     -83.433397 kBT
1rlgD_M146.pdb     -77.833725 kBT
1rlgD_M298.pdb     -89.449459 kBT
1rlgD_M388.pdb     -75.793894 kBT
1rlgD_M186.pdb     -75.612357 kBT
1rlgD_M413.pdb     -74.896018 kBT
1rlgD_M415.pdb     -89.169820 kBT
1rlgD_M28.pdb     -97.113407 kBT
1rlgD_M348.pdb     -71.741536 kBT
1rlgD_M285.pdb     -79.135858 kBT
1rlgD_M201.pdb     -104.860373 kBT
1rlgD_M70.pdb     -73.737532 kBT
1rlgD_M429.pdb     -84.845418 kBT
1rlgD_M441.pdb     -66.565227 kBT
1rlgD_M480.pdb     -94.400369 kBT
1rlgD_M239.pdb     -56.043345 kBT
1rlgD_M174.pdb     -68.910147 kBT
1rlgD_M350.pdb     -80.808653 kBT
1rlgD_M56.pdb     -90.286342 kBT
1rlgD_M260.pdb     -68.519845 kBT
1rlgD_M399.pdb     -5.050021 kBT
1rlgD_M302.pdb     -76.077455 kBT
1rlgD_M297.pdb     -93.567010 kBT
1rlgD_M218.pdb     -60.853863 kBT
1rlgD_M349.pdb     -70.441981 kBT
1rlgD_M30.pdb     -113.295738 kBT
1rlgD_M251.pdb     -78.716679 kBT
1rlgD_M82.pdb     -67.262490 kBT
1rlgD_M116.pdb     -97.166864 kBT
1rlgD_M192.pdb     -73.414249 kBT
1rlgD_M470.pdb     -84.513683 kBT
1rlgD_M16.pdb     -108.004023 kBT
1rlgD_M436.pdb     -80.145890 kBT
1rlgD_M9.pdb     -101.221872 kBT
1rlgD_M175.pdb     -61.764230 kBT
1rlgD_M315.pdb     -95.116721 kBT
1rlgD_M423.pdb     -54.710089 kBT
1rlgD_M252.pdb     -55.680247 kBT
1rlgD_M183.pdb     -97.124823 kBT
1rlgD_M319.pdb     -55.094202 kBT
1rlgD_M279.pdb     -68.161212 kBT
1rlgD_M241.pdb     -73.989437 kBT
1rlgD_M386.pdb     -60.184276 kBT
1rlgD_M469.pdb     -75.709188 kBT
1rlgD_M310.pdb     -76.654982 kBT
1rlgD_M95.pdb     -79.300182 kBT
1rlgD_M403.pdb     -59.328455 kBT
1rlgD_M160.pdb     -88.543733 kBT
1rlgD_M404.pdb     -59.005679 kBT
1rlgD_M2.pdb     -104.424043 kBT
1rlgD_M359.pdb     -61.259727 kBT
1rlgD_M216.pdb     -71.580972 kBT
1rlgD_M165.pdb     -65.188005 kBT
1rlgD_M446.pdb     -58.094688 kBT
1rlgD_M493.pdb     -82.816043 kBT
1rlgD_M311.pdb     -67.068930 kBT
1rlgD_M238.pdb     -67.772166 kBT
1rlgD_M277.pdb     -82.167669 kBT
1rlgD_M342.pdb     -90.562049 kBT
1rlgD_M103.pdb     -73.147388 kBT
1rlgD_M48.pdb     -80.834384 kBT
1rlgD_M128.pdb     -94.619865 kBT
1rlgD_M220.pdb     -85.113565 kBT
1rlgD_M120.pdb     -89.423399 kBT
1rlgD_M286.pdb     -82.232173 kBT
1rlgD_M321.pdb     -79.422800 kBT
1rlgD_M217.pdb     -74.881640 kBT
1rlgD_M129.pdb     -79.663219 kBT
1rlgD_M353.pdb     -92.565573 kBT
1rlgD_M119.pdb     -77.786870 kBT
1rlgD_M88.pdb     -80.731748 kBT
1rlgD_M335.pdb     -42.301132 kBT
1rlgD_M40.pdb     -97.519055 kBT
1rlgD_M331.pdb     -80.993024 kBT
1rlgD_M19.pdb     -82.425265 kBT
1rlgD_M363.pdb     -70.580940 kBT
1rlgD_M323.pdb     -88.619224 kBT
1rlgD_M199.pdb     -69.761448 kBT
1rlgD_M360.pdb     -78.999121 kBT
1rlgD_M171.pdb     -75.270514 kBT
1rlgD_M362.pdb     -72.440624 kBT
1rlgD_M94.pdb     -88.547704 kBT
1rlgD_M78.pdb     -79.499823 kBT
1rlgD_M163.pdb     -63.447890 kBT
1rlgD_M111.pdb     -92.293733 kBT
1rlgD_M269.pdb     -76.756189 kBT
1rlgD_M205.pdb     -91.051476 kBT
1rlgD_M45.pdb     -66.637690 kBT
1rlgD_M132.pdb     -77.863979 kBT
1rlgD_M333.pdb     -101.388315 kBT
1rlgD_M35.pdb     -99.096674 kBT
1rlgD_M344.pdb     -87.418893 kBT
1rlgD_M248.pdb     -83.127358 kBT
1rlgD_M247.pdb     -60.053365 kBT
1rlgD_M460.pdb     -72.036519 kBT
1rlgD_M114.pdb     -75.271823 kBT
1rlgD_M207.pdb     -83.560383 kBT
1rlgD_M426.pdb     -73.401928 kBT
1rlgD_M372.pdb     -98.631455 kBT
1rlgD_M55.pdb     -75.237940 kBT
1rlgD_M139.pdb     -69.449919 kBT
1rlgD_M471.pdb     -86.363469 kBT
1rlgD_M154.pdb     -83.575772 kBT
1rlgD_M189.pdb     -86.593472 kBT
1rlgD_M254.pdb     -95.219717 kBT
1rlgD_M229.pdb     -79.719693 kBT
1rlgD_M83.pdb     -87.564498 kBT
1rlgD_M488.pdb     -64.315698 kBT
1rlgD_M256.pdb     -75.955938 kBT
1rlgD_M69.pdb     -112.166199 kBT
1rlgD_M272.pdb     -64.858679 kBT
1rlgD_M168.pdb     -98.401160 kBT
1rlgD_M60.pdb     -86.316130 kBT
1rlgD_M59.pdb     -101.401638 kBT
1rlgD_M380.pdb     -96.851060 kBT
1rlgD_M58.pdb     -93.051591 kBT
1rlgD_M176.pdb     -77.202483 kBT
1rlgD_M435.pdb     -97.170582 kBT
1rlgD_M42.pdb     -88.904302 kBT
1rlgD_M138.pdb     -64.003381 kBT
1rlgD_M309.pdb     -92.354026 kBT
1rlgD_M250.pdb     -40.619747 kBT
1rlgD_M89.pdb     -89.051979 kBT
1rlgD_M17.pdb     -100.100933 kBT
1rlgD_M233.pdb     -40.200073 kBT
1rlgD_M307.pdb     -72.063773 kBT
1rlgD_M227.pdb     -76.729148 kBT
1rlgD_M172.pdb     -81.870105 kBT
1rlgD_M268.pdb     -66.772137 kBT
1rlgD_M458.pdb     -81.499541 kBT
1rlgD_M402.pdb     -59.428341 kBT
1rlgD_M355.pdb     -55.472480 kBT
1rlgD_M445.pdb     -73.350183 kBT
1rlgD_M284.pdb     -38.749150 kBT
1rlgD_M53.pdb     -94.224804 kBT
1rlgD_M71.pdb     -87.696648 kBT
1rlgD_M324.pdb     -93.091729 kBT
1rlgD_M39.pdb     -92.114640 kBT
1rlgD_M282.pdb     -64.786714 kBT
1rlgD_M124.pdb     -63.637671 kBT
1rlgD_M434.pdb     -80.006121 kBT
1rlgD_M93.pdb     -81.049100 kBT
1rlgD_M454.pdb     -80.112035 kBT
1rlgD_M194.pdb     -66.496684 kBT
1rlgD_M65.pdb     -107.692203 kBT
1rlgD_M336.pdb     -92.606608 kBT
1rlgD_M225.pdb     -79.620559 kBT
1rlgD_M145.pdb     -105.195185 kBT
1rlgD_M301.pdb     -91.292284 kBT
1rlgD_M417.pdb     -71.828941 kBT
1rlgD_M108.pdb     -94.724731 kBT
1rlgD_M51.pdb     -76.263166 kBT
1rlgD_M361.pdb     -100.310543 kBT
1rlgD_M299.pdb     -71.996149 kBT
1rlgD_M7.pdb     -103.409709 kBT
1rlgD_M85.pdb     -103.368479 kBT
1rlgD_M459.pdb     -64.623890 kBT
1rlgD_M296.pdb     -68.304550 kBT
1rlgD_M159.pdb     -77.287445 kBT
1rlgD_M401.pdb     -72.726478 kBT
1rlgD_M499.pdb     -60.768357 kBT
1rlgD_M444.pdb     -83.006077 kBT
1rlgD_M330.pdb     -69.361810 kBT
1rlgD_M395.pdb     -69.248793 kBT
1rlgD_M8.pdb     -107.272454 kBT
1rlgD_M20.pdb     -109.823715 kBT
1rlgD_M289.pdb     -83.201889 kBT
