1mfqA_M446.pdb     -350.214489 kBT
1mfqA_M215.pdb     -366.755730 kBT
1mfqA_M251.pdb     -334.200508 kBT
1mfqA_M453.pdb     -366.697359 kBT
1mfqA_M427.pdb     -319.155624 kBT
1mfqA_M464.pdb     -338.481496 kBT
1mfqA_M8.pdb     -453.770494 kBT
1mfqA_M294.pdb     -390.699376 kBT
1mfqA_M36.pdb     -421.106821 kBT
1mfqA_M125.pdb     -410.857972 kBT
1mfqA_M207.pdb     -356.634351 kBT
1mfqA_M59.pdb     -414.192496 kBT
1mfqA_M454.pdb     -306.860701 kBT
1mfqA_M426.pdb     -357.677341 kBT
1mfqA_M405.pdb     -354.423702 kBT
1mfqA_M10.pdb     -461.378205 kBT
1mfqA_M322.pdb     -347.606612 kBT
1mfqA_M341.pdb     -296.854376 kBT
1mfqA_M279.pdb     -371.494782 kBT
1mfqA_M458.pdb     -329.706866 kBT
1mfqA_M4.pdb     -462.543058 kBT
1mfqA_M122.pdb     -385.292331 kBT
1mfqA_M70.pdb     -348.857789 kBT
1mfqA_M108.pdb     -391.417626 kBT
1mfqA_M280.pdb     -362.753385 kBT
1mfqA_M133.pdb     -387.710912 kBT
1mfqA_M194.pdb     -379.567491 kBT
1mfqA_M346.pdb     -353.947612 kBT
1mfqA_M365.pdb     -330.761477 kBT
1mfqA_M21.pdb     -445.555572 kBT
1mfqA_M401.pdb     -375.845052 kBT
1mfqA_M432.pdb     -328.520870 kBT
1mfqA_M303.pdb     -330.738065 kBT
1mfqA_M494.pdb     -329.661596 kBT
1mfqA_M76.pdb     -413.361234 kBT
1mfqA_M186.pdb     -376.227727 kBT
1mfqA_M460.pdb     -330.667444 kBT
1mfqA_M487.pdb     -346.788365 kBT
1mfqA_M184.pdb     -372.388232 kBT
1mfqA_M419.pdb     -324.380762 kBT
1mfqA_M282.pdb     -370.382257 kBT
1mfqA_M78.pdb     -396.360404 kBT
1mfqA_M229.pdb     -336.945408 kBT
1mfqA_M101.pdb     -331.548190 kBT
1mfqA_M404.pdb     -341.962721 kBT
1mfqA_M436.pdb     -357.281453 kBT
1mfqA_M123.pdb     -396.341611 kBT
1mfqA_M439.pdb     -354.017841 kBT
1mfqA_M80.pdb     -423.737362 kBT
1mfqA_M219.pdb     -374.562480 kBT
1mfqA_M309.pdb     -337.006636 kBT
1mfqA_M130.pdb     -379.753335 kBT
1mfqA_M455.pdb     -340.495207 kBT
1mfqA_M281.pdb     -337.639663 kBT
1mfqA_M153.pdb     -385.959061 kBT
1mfqA_M313.pdb     -359.925590 kBT
1mfqA_M475.pdb     -337.572652 kBT
1mfqA_M333.pdb     -359.966760 kBT
1mfqA_M272.pdb     -358.828458 kBT
1mfqA_M466.pdb     -348.233539 kBT
1mfqA_M381.pdb     -355.240769 kBT
1mfqA_M307.pdb     -353.105811 kBT
1mfqA_M488.pdb     -346.658423 kBT
1mfqA_M379.pdb     -367.628563 kBT
1mfqA_M395.pdb     -312.841486 kBT
1mfqA_M302.pdb     -359.341757 kBT
1mfqA_M355.pdb     -313.790727 kBT
1mfqA_M413.pdb     -339.776270 kBT
1mfqA_M115.pdb     -375.525284 kBT
1mfqA_M199.pdb     -363.316798 kBT
1mfqA_M5.pdb     -452.921490 kBT
1mfqA_M188.pdb     -360.243444 kBT
1mfqA_M196.pdb     -382.497302 kBT
1mfqA_M243.pdb     -364.102127 kBT
1mfqA_M25.pdb     -441.058138 kBT
1mfqA_M64.pdb     -420.758833 kBT
1mfqA_M144.pdb     -365.668595 kBT
1mfqA_M495.pdb     -306.188364 kBT
1mfqA_M154.pdb     -373.663336 kBT
1mfqA_M156.pdb     -354.962556 kBT
1mfqA_M6.pdb     -455.948665 kBT
1mfqA_M185.pdb     -370.180019 kBT
1mfqA_M9.pdb     -453.641676 kBT
1mfqA_M82.pdb     -394.718327 kBT
1mfqA_M30.pdb     -438.168947 kBT
1mfqA_M116.pdb     -393.166096 kBT
1mfqA_M441.pdb     -360.896330 kBT
1mfqA_M106.pdb     -396.046780 kBT
1mfqA_M138.pdb     -406.551379 kBT
1mfqA_M220.pdb     -331.447288 kBT
1mfqA_M286.pdb     -355.517461 kBT
1mfqA_M332.pdb     -339.505825 kBT
1mfqA_M235.pdb     -365.286937 kBT
1mfqA_M418.pdb     -349.517749 kBT
1mfqA_M83.pdb     -417.680261 kBT
1mfqA_M118.pdb     -375.194053 kBT
1mfqA_M291.pdb     -370.761097 kBT
1mfqA_M145.pdb     -397.722207 kBT
1mfqA_M51.pdb     -417.708762 kBT
1mfqA_M160.pdb     -396.650562 kBT
1mfqA_M326.pdb     -343.530844 kBT
1mfqA_M374.pdb     -376.059097 kBT
1mfqA_M74.pdb     -408.888284 kBT
1mfqA_M249.pdb     -348.829387 kBT
1mfqA_M150.pdb     -374.127587 kBT
1mfqA_M54.pdb     -413.433822 kBT
1mfqA_M370.pdb     -311.543248 kBT
1mfqA_M434.pdb     -334.809207 kBT
1mfqA_M163.pdb     -373.557897 kBT
1mfqA_M129.pdb     -401.341926 kBT
1mfqA_M330.pdb     -352.067977 kBT
1mfqA_M425.pdb     -352.163611 kBT
1mfqA_M477.pdb     -336.296692 kBT
1mfqA_M402.pdb     -338.358573 kBT
1mfqA_M499.pdb     -310.348182 kBT
1mfqA_M246.pdb     -329.098687 kBT
1mfqA_M386.pdb     -336.982090 kBT
1mfqA_M278.pdb     -361.226180 kBT
1mfqA_M407.pdb     -348.325452 kBT
1mfqA_M461.pdb     -362.639268 kBT
1mfqA_M366.pdb     -344.599607 kBT
1mfqA_M67.pdb     -385.466936 kBT
1mfqA_M312.pdb     -382.409447 kBT
1mfqA_M66.pdb     -412.601940 kBT
1mfqA_M208.pdb     -332.386168 kBT
1mfqA_M318.pdb     -348.655464 kBT
1mfqA_M449.pdb     -344.846189 kBT
1mfqA_M58.pdb     -394.774590 kBT
1mfqA_M358.pdb     -342.256632 kBT
1mfqA_M239.pdb     -371.639803 kBT
1mfqA_M471.pdb     -363.825213 kBT
1mfqA_M397.pdb     -349.372985 kBT
1mfqA_M90.pdb     -386.931405 kBT
1mfqA_M385.pdb     -354.081015 kBT
1mfqA_M245.pdb     -363.762937 kBT
1mfqA_M72.pdb     -403.398438 kBT
1mfqA_M209.pdb     -383.588473 kBT
1mfqA_M171.pdb     -355.173432 kBT
1mfqA_M489.pdb     -338.078957 kBT
1mfqA_M180.pdb     -355.518317 kBT
1mfqA_M316.pdb     -344.234504 kBT
1mfqA_M152.pdb     -396.820517 kBT
1mfqA_M240.pdb     -347.595485 kBT
1mfqA_M305.pdb     -369.160267 kBT
1mfqA_M86.pdb     -373.168621 kBT
1mfqA_M1.pdb     -461.450013 kBT
1mfqA_M169.pdb     -366.698065 kBT
1mfqA_M293.pdb     -345.138447 kBT
1mfqA_M143.pdb     -377.283605 kBT
1mfqA_M414.pdb     -347.242019 kBT
1mfqA_M406.pdb     -327.837432 kBT
1mfqA_M462.pdb     -356.334819 kBT
1mfqA_M233.pdb     -355.727432 kBT
1mfqA_M440.pdb     -330.979000 kBT
1mfqA_M198.pdb     -368.981832 kBT
1mfqA_M65.pdb     -419.134084 kBT
1mfqA_M203.pdb     -369.264512 kBT
1mfqA_M3.pdb     -455.106232 kBT
1mfqA_M237.pdb     -365.014572 kBT
1mfqA_M39.pdb     -423.932682 kBT
1mfqA_M485.pdb     -336.963668 kBT
1mfqA_M264.pdb     -333.619106 kBT
1mfqA.pdb     -466.906652 kBT
1mfqA_M351.pdb     -308.545756 kBT
1mfqA_M300.pdb     -363.978917 kBT
1mfqA_M493.pdb     -316.484047 kBT
1mfqA_M284.pdb     -361.303541 kBT
1mfqA_M292.pdb     -322.960182 kBT
1mfqA_M448.pdb     -332.827302 kBT
1mfqA_M46.pdb     -399.826905 kBT
1mfqA_M236.pdb     -363.685503 kBT
1mfqA_M103.pdb     -383.227451 kBT
1mfqA_M391.pdb     -336.536252 kBT
1mfqA_M105.pdb     -375.158567 kBT
1mfqA_M119.pdb     -363.039180 kBT
1mfqA_M334.pdb     -373.283904 kBT
1mfqA_M430.pdb     -333.308174 kBT
1mfqA_M482.pdb     -334.980227 kBT
1mfqA_M141.pdb     -391.925470 kBT
1mfqA_M492.pdb     -316.137005 kBT
1mfqA_M226.pdb     -361.814963 kBT
1mfqA_M155.pdb     -404.698524 kBT
1mfqA_M224.pdb     -297.396424 kBT
1mfqA_M314.pdb     -370.777837 kBT
1mfqA_M317.pdb     -372.536987 kBT
1mfqA_M147.pdb     -370.866489 kBT
1mfqA_M486.pdb     -297.335612 kBT
1mfqA_M225.pdb     -357.452899 kBT
1mfqA_M197.pdb     -372.906352 kBT
1mfqA_M256.pdb     -338.435695 kBT
1mfqA_M297.pdb     -339.089758 kBT
1mfqA_M14.pdb     -455.207517 kBT
1mfqA_M474.pdb     -324.773000 kBT
1mfqA_M176.pdb     -371.880426 kBT
1mfqA_M31.pdb     -423.438320 kBT
1mfqA_M438.pdb     -314.573819 kBT
1mfqA_M218.pdb     -388.614378 kBT
1mfqA_M373.pdb     -339.561307 kBT
1mfqA_M363.pdb     -386.362645 kBT
1mfqA_M15.pdb     -447.122759 kBT
1mfqA_M428.pdb     -346.452295 kBT
1mfqA_M295.pdb     -352.793868 kBT
1mfqA_M383.pdb     -324.196041 kBT
1mfqA_M170.pdb     -361.257186 kBT
1mfqA_M331.pdb     -354.366744 kBT
1mfqA_M329.pdb     -370.988200 kBT
1mfqA_M210.pdb     -390.772851 kBT
1mfqA_M42.pdb     -411.878507 kBT
1mfqA_M214.pdb     -367.433826 kBT
1mfqA_M324.pdb     -337.401720 kBT
1mfqA_M47.pdb     -415.365666 kBT
1mfqA_M18.pdb     -442.979380 kBT
1mfqA_M433.pdb     -349.572331 kBT
1mfqA_M146.pdb     -377.879857 kBT
1mfqA_M423.pdb     -344.803667 kBT
1mfqA_M252.pdb     -361.141656 kBT
1mfqA_M131.pdb     -408.163733 kBT
1mfqA_M259.pdb     -365.232590 kBT
1mfqA_M287.pdb     -363.320135 kBT
1mfqA_M217.pdb     -354.353417 kBT
1mfqA_M81.pdb     -396.924473 kBT
1mfqA_M343.pdb     -319.367565 kBT
1mfqA_M29.pdb     -409.537238 kBT
1mfqA_M126.pdb     -381.008600 kBT
1mfqA_M450.pdb     -366.609034 kBT
1mfqA_M483.pdb     -335.781730 kBT
1mfqA_M55.pdb     -419.570169 kBT
1mfqA_M212.pdb     -372.362157 kBT
1mfqA_M250.pdb     -352.859165 kBT
1mfqA_M191.pdb     -363.061875 kBT
1mfqA_M166.pdb     -379.830602 kBT
1mfqA_M344.pdb     -363.589199 kBT
1mfqA_M17.pdb     -455.004975 kBT
1mfqA_M173.pdb     -381.170943 kBT
1mfqA_M289.pdb     -385.330258 kBT
1mfqA_M447.pdb     -357.389823 kBT
1mfqA_M336.pdb     -332.494223 kBT
1mfqA_M338.pdb     -345.810425 kBT
1mfqA_M32.pdb     -419.995812 kBT
1mfqA_M409.pdb     -335.724455 kBT
1mfqA_M50.pdb     -404.516941 kBT
1mfqA_M88.pdb     -377.101427 kBT
1mfqA_M120.pdb     -391.858592 kBT
1mfqA_M496.pdb     -293.351019 kBT
1mfqA_M429.pdb     -364.549697 kBT
1mfqA_M270.pdb     -378.665253 kBT
1mfqA_M498.pdb     -365.686598 kBT
1mfqA_M61.pdb     -393.906166 kBT
1mfqA_M352.pdb     -343.712902 kBT
1mfqA_M360.pdb     -322.995101 kBT
1mfqA_M480.pdb     -315.096654 kBT
1mfqA_M168.pdb     -379.404759 kBT
1mfqA_M301.pdb     -349.454095 kBT
1mfqA_M135.pdb     -384.714970 kBT
1mfqA_M230.pdb     -343.619917 kBT
1mfqA_M206.pdb     -359.700958 kBT
1mfqA_M172.pdb     -373.803488 kBT
1mfqA_M472.pdb     -354.124724 kBT
1mfqA_M228.pdb     -372.197042 kBT
1mfqA_M463.pdb     -331.850713 kBT
1mfqA_M114.pdb     -359.452617 kBT
1mfqA_M151.pdb     -381.638180 kBT
1mfqA_M77.pdb     -380.103544 kBT
1mfqA_M481.pdb     -291.706253 kBT
1mfqA_M444.pdb     -331.274063 kBT
1mfqA_M33.pdb     -413.196401 kBT
1mfqA_M75.pdb     -376.011582 kBT
1mfqA_M22.pdb     -424.359391 kBT
1mfqA_M179.pdb     -357.893057 kBT
1mfqA_M13.pdb     -454.337088 kBT
1mfqA_M468.pdb     -354.828452 kBT
1mfqA_M121.pdb     -410.811543 kBT
1mfqA_M452.pdb     -351.284728 kBT
1mfqA_M232.pdb     -358.588530 kBT
1mfqA_M456.pdb     -317.340888 kBT
1mfqA_M378.pdb     -291.515366 kBT
1mfqA_M161.pdb     -390.791440 kBT
1mfqA_M288.pdb     -349.806259 kBT
1mfqA_M399.pdb     -392.714155 kBT
1mfqA_M53.pdb     -407.663652 kBT
1mfqA_M140.pdb     -382.721230 kBT
1mfqA_M285.pdb     -334.968441 kBT
1mfqA_M361.pdb     -334.712144 kBT
1mfqA_M213.pdb     -340.287844 kBT
1mfqA_M159.pdb     -380.904245 kBT
1mfqA_M424.pdb     -299.839154 kBT
1mfqA_M164.pdb     -371.954413 kBT
1mfqA_M380.pdb     -317.936578 kBT
1mfqA_M350.pdb     -341.530439 kBT
1mfqA_M396.pdb     -313.115105 kBT
1mfqA_M339.pdb     -318.932390 kBT
1mfqA_M99.pdb     -405.246396 kBT
1mfqA_M177.pdb     -375.180605 kBT
1mfqA_M124.pdb     -374.189324 kBT
1mfqA_M195.pdb     -325.242691 kBT
1mfqA_M451.pdb     -340.999644 kBT
1mfqA_M349.pdb     -367.381055 kBT
1mfqA_M24.pdb     -434.091832 kBT
1mfqA_M11.pdb     -469.112372 kBT
1mfqA_M71.pdb     -416.127026 kBT
1mfqA_M12.pdb     -463.849966 kBT
1mfqA_M319.pdb     -337.277328 kBT
1mfqA_M348.pdb     -349.819281 kBT
1mfqA_M257.pdb     -346.700177 kBT
1mfqA_M467.pdb     -330.920627 kBT
1mfqA_M345.pdb     -335.665096 kBT
1mfqA_M174.pdb     -388.540668 kBT
1mfqA_M84.pdb     -395.425020 kBT
1mfqA_M389.pdb     -365.172639 kBT
1mfqA_M175.pdb     -405.699492 kBT
1mfqA_M306.pdb     -373.131534 kBT
1mfqA_M271.pdb     -337.268415 kBT
1mfqA_M193.pdb     -344.537780 kBT
1mfqA_M364.pdb     -342.778825 kBT
1mfqA_M323.pdb     -364.626680 kBT
1mfqA_M465.pdb     -344.255885 kBT
1mfqA_M222.pdb     -377.600218 kBT
1mfqA_M167.pdb     -350.605072 kBT
1mfqA_M371.pdb     -335.436295 kBT
1mfqA_M223.pdb     -315.676722 kBT
1mfqA_M277.pdb     -344.950797 kBT
1mfqA_M337.pdb     -355.716267 kBT
1mfqA_M273.pdb     -312.155766 kBT
1mfqA_M476.pdb     -345.006009 kBT
1mfqA_M470.pdb     -299.090759 kBT
1mfqA_M268.pdb     -354.056661 kBT
1mfqA_M335.pdb     -324.890563 kBT
1mfqA_M85.pdb     -383.678534 kBT
1mfqA_M132.pdb     -367.258235 kBT
1mfqA_M112.pdb     -375.838379 kBT
1mfqA_M45.pdb     -423.134574 kBT
1mfqA_M457.pdb     -367.147186 kBT
1mfqA_M403.pdb     -349.540839 kBT
1mfqA_M139.pdb     -387.691898 kBT
1mfqA_M298.pdb     -342.750977 kBT
1mfqA_M308.pdb     -328.664193 kBT
1mfqA_M231.pdb     -363.263350 kBT
1mfqA_M500.pdb     -325.132014 kBT
1mfqA_M328.pdb     -372.277582 kBT
1mfqA_M347.pdb     -331.864135 kBT
1mfqA_M92.pdb     -402.110166 kBT
1mfqA_M201.pdb     -350.075810 kBT
1mfqA_M95.pdb     -395.501927 kBT
1mfqA_M157.pdb     -351.759997 kBT
1mfqA_M97.pdb     -379.683325 kBT
1mfqA_M26.pdb     -423.692692 kBT
1mfqA_M241.pdb     -343.541094 kBT
1mfqA_M353.pdb     -308.792523 kBT
1mfqA_M19.pdb     -425.684477 kBT
1mfqA_M469.pdb     -317.603787 kBT
1mfqA_M267.pdb     -354.219054 kBT
1mfqA_M134.pdb     -375.899333 kBT
1mfqA_M110.pdb     -386.185339 kBT
1mfqA_M204.pdb     -348.507944 kBT
1mfqA_M28.pdb     -419.273219 kBT
1mfqA_M238.pdb     -361.326832 kBT
1mfqA_M421.pdb     -291.243789 kBT
1mfqA_M325.pdb     -330.642144 kBT
1mfqA_M190.pdb     -355.811781 kBT
1mfqA_M227.pdb     -360.684733 kBT
1mfqA_M202.pdb     -367.002553 kBT
1mfqA_M117.pdb     -367.074512 kBT
1mfqA_M40.pdb     -407.244782 kBT
1mfqA_M266.pdb     -355.134621 kBT
1mfqA_M261.pdb     -368.024399 kBT
1mfqA_M315.pdb     -377.031264 kBT
1mfqA_M491.pdb     -352.227476 kBT
1mfqA_M93.pdb     -379.565561 kBT
1mfqA_M247.pdb     -290.525885 kBT
1mfqA_M393.pdb     -334.357709 kBT
1mfqA_M484.pdb     -345.369164 kBT
1mfqA_M7.pdb     -463.479236 kBT
1mfqA_M416.pdb     -345.520491 kBT
1mfqA_M417.pdb     -349.243485 kBT
1mfqA_M60.pdb     -421.094475 kBT
1mfqA_M137.pdb     -348.180738 kBT
1mfqA_M63.pdb     -413.994111 kBT
1mfqA_M187.pdb     -386.470519 kBT
1mfqA_M372.pdb     -306.377825 kBT
1mfqA_M242.pdb     -388.414757 kBT
1mfqA_M254.pdb     -393.788399 kBT
1mfqA_M437.pdb     -366.318950 kBT
1mfqA_M478.pdb     -326.229993 kBT
1mfqA_M275.pdb     -352.678618 kBT
1mfqA_M189.pdb     -349.996790 kBT
1mfqA_M62.pdb     -428.018262 kBT
1mfqA_M412.pdb     -323.588831 kBT
1mfqA_M43.pdb     -416.070011 kBT
1mfqA_M165.pdb     -370.076467 kBT
1mfqA_M192.pdb     -346.003833 kBT
1mfqA_M181.pdb     -336.911089 kBT
1mfqA_M142.pdb     -388.282969 kBT
1mfqA_M362.pdb     -388.733007 kBT
1mfqA_M310.pdb     -346.517104 kBT
1mfqA_M375.pdb     -351.612814 kBT
1mfqA_M41.pdb     -416.913885 kBT
1mfqA_M91.pdb     -385.647551 kBT
1mfqA_M2.pdb     -463.060170 kBT
1mfqA_M408.pdb     -329.996945 kBT
1mfqA_M368.pdb     -334.417734 kBT
1mfqA_M89.pdb     -393.464568 kBT
1mfqA_M283.pdb     -341.008637 kBT
1mfqA_M27.pdb     -411.089891 kBT
1mfqA_M23.pdb     -426.786625 kBT
1mfqA_M56.pdb     -440.666740 kBT
1mfqA_M327.pdb     -369.895345 kBT
1mfqA_M255.pdb     -348.587369 kBT
1mfqA_M158.pdb     -364.550998 kBT
1mfqA_M38.pdb     -411.406239 kBT
1mfqA_M497.pdb     -289.506540 kBT
1mfqA_M260.pdb     -335.074590 kBT
1mfqA_M274.pdb     -357.503216 kBT
1mfqA_M382.pdb     -369.448901 kBT
1mfqA_M48.pdb     -409.351000 kBT
1mfqA_M445.pdb     -329.614924 kBT
1mfqA_M34.pdb     -416.075900 kBT
1mfqA_M392.pdb     -372.947451 kBT
1mfqA_M354.pdb     -354.924336 kBT
1mfqA_M410.pdb     -357.132882 kBT
1mfqA_M376.pdb     -375.383115 kBT
1mfqA_M182.pdb     -379.188016 kBT
1mfqA_M394.pdb     -298.042969 kBT
1mfqA_M44.pdb     -425.818012 kBT
1mfqA_M411.pdb     -354.867621 kBT
