1jidB_M410.pdb     -73.335276 kBT
1jidB_M113.pdb     -93.210956 kBT
1jidB_M37.pdb     -113.436453 kBT
1jidB_M350.pdb     -83.130531 kBT
1jidB_M401.pdb     -68.486250 kBT
1jidB_M493.pdb     -80.856204 kBT
1jidB_M128.pdb     -96.158923 kBT
1jidB_M441.pdb     -77.029131 kBT
1jidB_M10.pdb     -124.340656 kBT
1jidB_M125.pdb     -100.427063 kBT
1jidB_M268.pdb     -68.849031 kBT
1jidB_M490.pdb     -69.771221 kBT
1jidB_M160.pdb     -75.142762 kBT
1jidB_M207.pdb     -63.400265 kBT
1jidB_M330.pdb     -74.815662 kBT
1jidB_M383.pdb     -74.739802 kBT
1jidB_M293.pdb     -38.586831 kBT
1jidB_M16.pdb     -113.632108 kBT
1jidB_M278.pdb     -78.555205 kBT
1jidB_M8.pdb     -127.825353 kBT
1jidB_M403.pdb     -78.542580 kBT
1jidB_M7.pdb     -126.616915 kBT
1jidB_M142.pdb     -94.657822 kBT
1jidB_M74.pdb     -92.361572 kBT
1jidB_M446.pdb     -58.484687 kBT
1jidB_M210.pdb     -93.504709 kBT
1jidB_M99.pdb     -122.976369 kBT
1jidB_M141.pdb     -72.998820 kBT
1jidB_M329.pdb     -54.460395 kBT
1jidB_M204.pdb     -75.047735 kBT
1jidB_M413.pdb     -78.608840 kBT
1jidB_M266.pdb     -64.575050 kBT
1jidB_M309.pdb     -82.429126 kBT
1jidB_M393.pdb     -83.216665 kBT
1jidB_M233.pdb     -78.610684 kBT
1jidB_M276.pdb     -85.366386 kBT
1jidB_M93.pdb     -87.757724 kBT
1jidB_M470.pdb     -84.417870 kBT
1jidB_M427.pdb     -74.499241 kBT
1jidB_M94.pdb     -103.569394 kBT
1jidB_M188.pdb     -73.861187 kBT
1jidB_M200.pdb     -62.219213 kBT
1jidB_M230.pdb     -79.716627 kBT
1jidB_M170.pdb     -80.255276 kBT
1jidB_M223.pdb     -87.677145 kBT
1jidB_M463.pdb     -78.155701 kBT
1jidB_M129.pdb     -81.688477 kBT
1jidB_M429.pdb     -62.945929 kBT
1jidB_M157.pdb     -101.457929 kBT
1jidB_M368.pdb     -80.000486 kBT
1jidB_M224.pdb     -61.780502 kBT
1jidB_M119.pdb     -81.878498 kBT
1jidB_M474.pdb     -75.146514 kBT
1jidB_M400.pdb     -72.575527 kBT
1jidB_M180.pdb     -79.501735 kBT
1jidB_M214.pdb     -87.727551 kBT
1jidB_M422.pdb     -71.229538 kBT
1jidB_M98.pdb     -86.865210 kBT
1jidB_M433.pdb     -71.274564 kBT
1jidB_M239.pdb     -104.612759 kBT
1jidB_M49.pdb     -115.871409 kBT
1jidB_M96.pdb     -88.290136 kBT
1jidB_M357.pdb     -81.475495 kBT
1jidB_M338.pdb     -71.160032 kBT
1jidB_M489.pdb     -75.449626 kBT
1jidB_M21.pdb     -114.571805 kBT
1jidB_M477.pdb     -54.521299 kBT
1jidB_M291.pdb     -103.065171 kBT
1jidB_M364.pdb     -66.623048 kBT
1jidB_M332.pdb     -77.661017 kBT
1jidB_M151.pdb     -80.331993 kBT
1jidB_M231.pdb     -68.415299 kBT
1jidB_M114.pdb     -99.422949 kBT
1jidB_M211.pdb     -94.129396 kBT
1jidB_M43.pdb     -117.725627 kBT
1jidB_M442.pdb     -62.299890 kBT
1jidB_M220.pdb     -118.220102 kBT
1jidB_M192.pdb     -89.067960 kBT
1jidB_M212.pdb     -69.484524 kBT
1jidB_M374.pdb     -101.533542 kBT
1jidB_M112.pdb     -99.613181 kBT
1jidB_M353.pdb     -68.585320 kBT
1jidB_M414.pdb     -71.076551 kBT
1jidB_M9.pdb     -124.400504 kBT
1jidB_M226.pdb     -73.758352 kBT
1jidB_M367.pdb     -84.849213 kBT
1jidB_M159.pdb     -84.104119 kBT
1jidB_M176.pdb     -78.714133 kBT
1jidB_M385.pdb     -79.852564 kBT
1jidB_M392.pdb     -85.446532 kBT
1jidB_M48.pdb     -110.393433 kBT
1jidB_M274.pdb     -68.852364 kBT
1jidB_M135.pdb     -91.558906 kBT
1jidB_M494.pdb     -56.789757 kBT
1jidB_M171.pdb     -85.382901 kBT
1jidB_M418.pdb     -63.217473 kBT
1jidB_M346.pdb     -70.744903 kBT
1jidB_M45.pdb     -114.154353 kBT
1jidB_M118.pdb     -73.205418 kBT
1jidB_M390.pdb     -65.730430 kBT
1jidB_M222.pdb     -62.976754 kBT
1jidB_M250.pdb     -63.021393 kBT
1jidB_M252.pdb     -88.155725 kBT
1jidB_M321.pdb     -81.957917 kBT
1jidB_M322.pdb     -78.401412 kBT
1jidB_M341.pdb     -90.079146 kBT
1jidB_M264.pdb     -83.193344 kBT
1jidB_M202.pdb     -90.697160 kBT
1jidB.pdb     -142.018317 kBT
1jidB_M56.pdb     -117.422599 kBT
1jidB_M124.pdb     -80.551777 kBT
1jidB_M428.pdb     -67.795414 kBT
1jidB_M55.pdb     -86.038498 kBT
1jidB_M360.pdb     -67.574425 kBT
1jidB_M412.pdb     -73.302022 kBT
1jidB_M308.pdb     -91.401031 kBT
1jidB_M436.pdb     -81.000341 kBT
1jidB_M108.pdb     -101.581831 kBT
1jidB_M362.pdb     -58.435533 kBT
1jidB_M234.pdb     -87.389240 kBT
1jidB_M106.pdb     -83.955101 kBT
1jidB_M39.pdb     -110.481385 kBT
1jidB_M408.pdb     -77.640400 kBT
1jidB_M79.pdb     -100.942548 kBT
1jidB_M102.pdb     -87.980771 kBT
1jidB_M305.pdb     -73.692917 kBT
1jidB_M275.pdb     -62.792475 kBT
1jidB_M153.pdb     -84.941184 kBT
1jidB_M215.pdb     -93.860898 kBT
1jidB_M191.pdb     -76.367357 kBT
1jidB_M199.pdb     -65.080320 kBT
1jidB_M198.pdb     -79.145917 kBT
1jidB_M347.pdb     -57.449127 kBT
1jidB_M80.pdb     -84.432161 kBT
1jidB_M237.pdb     -74.493635 kBT
1jidB_M300.pdb     -72.274057 kBT
1jidB_M460.pdb     -64.354853 kBT
1jidB_M482.pdb     -63.190495 kBT
1jidB_M361.pdb     -53.678350 kBT
1jidB_M328.pdb     -62.969569 kBT
1jidB_M478.pdb     -56.713321 kBT
1jidB_M196.pdb     -89.653073 kBT
1jidB_M149.pdb     -108.824078 kBT
1jidB_M499.pdb     -69.055404 kBT
1jidB_M340.pdb     -80.223230 kBT
1jidB_M466.pdb     -69.628471 kBT
1jidB_M50.pdb     -105.140322 kBT
1jidB_M60.pdb     -96.522267 kBT
1jidB_M70.pdb     -100.232966 kBT
1jidB_M206.pdb     -71.036162 kBT
1jidB_M193.pdb     -88.509720 kBT
1jidB_M426.pdb     -53.628592 kBT
1jidB_M342.pdb     -57.506880 kBT
1jidB_M468.pdb     -77.536207 kBT
1jidB_M190.pdb     -79.373138 kBT
1jidB_M297.pdb     -76.479824 kBT
1jidB_M391.pdb     -76.402535 kBT
1jidB_M348.pdb     -94.088834 kBT
1jidB_M179.pdb     -91.054287 kBT
1jidB_M267.pdb     -75.343766 kBT
1jidB_M3.pdb     -121.541394 kBT
1jidB_M137.pdb     -108.918882 kBT
1jidB_M83.pdb     -111.669396 kBT
1jidB_M299.pdb     -71.622139 kBT
1jidB_M58.pdb     -104.869865 kBT
1jidB_M386.pdb     -67.328616 kBT
1jidB_M69.pdb     -90.950190 kBT
1jidB_M271.pdb     -82.540333 kBT
1jidB_M376.pdb     -81.545038 kBT
1jidB_M438.pdb     -71.199640 kBT
1jidB_M217.pdb     -82.416074 kBT
1jidB_M263.pdb     -107.524191 kBT
1jidB_M110.pdb     -92.962957 kBT
1jidB_M459.pdb     -55.956500 kBT
1jidB_M420.pdb     -70.621617 kBT
1jidB_M425.pdb     -67.568136 kBT
1jidB_M457.pdb     -56.550905 kBT
1jidB_M437.pdb     -69.965352 kBT
1jidB_M467.pdb     -72.872503 kBT
1jidB_M443.pdb     -70.735556 kBT
1jidB_M450.pdb     -107.517236 kBT
1jidB_M356.pdb     -66.778967 kBT
1jidB_M349.pdb     -79.935458 kBT
1jidB_M134.pdb     -92.627245 kBT
1jidB_M366.pdb     -81.334949 kBT
1jidB_M355.pdb     -64.885592 kBT
1jidB_M123.pdb     -95.324961 kBT
1jidB_M398.pdb     -50.263202 kBT
1jidB_M67.pdb     -100.578705 kBT
1jidB_M77.pdb     -100.817271 kBT
1jidB_M183.pdb     -96.165248 kBT
1jidB_M483.pdb     -70.681666 kBT
1jidB_M445.pdb     -80.503179 kBT
1jidB_M6.pdb     -126.243726 kBT
1jidB_M262.pdb     -54.905172 kBT
1jidB_M417.pdb     -74.640555 kBT
1jidB_M265.pdb     -102.489020 kBT
1jidB_M2.pdb     -120.611341 kBT
1jidB_M72.pdb     -95.674052 kBT
1jidB_M324.pdb     -78.120985 kBT
1jidB_M475.pdb     -67.710655 kBT
1jidB_M133.pdb     -93.412068 kBT
1jidB_M51.pdb     -112.752853 kBT
1jidB_M282.pdb     -78.371047 kBT
1jidB_M486.pdb     -70.388566 kBT
1jidB_M115.pdb     -87.485035 kBT
1jidB_M62.pdb     -98.035749 kBT
1jidB_M1.pdb     -123.226123 kBT
1jidB_M377.pdb     -71.573472 kBT
1jidB_M242.pdb     -80.059045 kBT
1jidB_M465.pdb     -61.527188 kBT
1jidB_M91.pdb     -84.965793 kBT
1jidB_M122.pdb     -90.973820 kBT
1jidB_M352.pdb     -71.552816 kBT
1jidB_M144.pdb     -79.368226 kBT
1jidB_M480.pdb     -56.479932 kBT
1jidB_M344.pdb     -68.814226 kBT
1jidB_M277.pdb     -48.373621 kBT
1jidB_M423.pdb     -55.151483 kBT
1jidB_M116.pdb     -102.012735 kBT
1jidB_M399.pdb     -71.896282 kBT
1jidB_M488.pdb     -54.573071 kBT
1jidB_M431.pdb     -79.926422 kBT
1jidB_M286.pdb     -74.874530 kBT
1jidB_M44.pdb     -100.033709 kBT
1jidB_M359.pdb     -82.070169 kBT
1jidB_M235.pdb     -76.996483 kBT
1jidB_M479.pdb     -70.218089 kBT
1jidB_M52.pdb     -114.696806 kBT
1jidB_M491.pdb     -104.289832 kBT
1jidB_M238.pdb     -81.483751 kBT
1jidB_M95.pdb     -97.272107 kBT
1jidB_M185.pdb     -95.440662 kBT
1jidB_M152.pdb     -122.911966 kBT
1jidB_M454.pdb     -82.658914 kBT
1jidB_M370.pdb     -80.015822 kBT
1jidB_M40.pdb     -106.152264 kBT
1jidB_M46.pdb     -110.504889 kBT
1jidB_M241.pdb     -72.496909 kBT
1jidB_M312.pdb     -98.214313 kBT
1jidB_M256.pdb     -85.679519 kBT
1jidB_M345.pdb     -69.766949 kBT
1jidB_M38.pdb     -99.271599 kBT
1jidB_M86.pdb     -109.088069 kBT
1jidB_M213.pdb     -79.772627 kBT
1jidB_M23.pdb     -121.678886 kBT
1jidB_M31.pdb     -97.851133 kBT
1jidB_M363.pdb     -89.364010 kBT
1jidB_M288.pdb     -92.395261 kBT
1jidB_M240.pdb     -87.742409 kBT
1jidB_M451.pdb     -75.012349 kBT
1jidB_M100.pdb     -97.821604 kBT
1jidB_M189.pdb     -91.569739 kBT
1jidB_M471.pdb     -62.761427 kBT
1jidB_M440.pdb     -79.190121 kBT
1jidB_M315.pdb     -84.402117 kBT
1jidB_M145.pdb     -96.706902 kBT
1jidB_M68.pdb     -105.065028 kBT
1jidB_M314.pdb     -65.594913 kBT
1jidB_M487.pdb     -57.066680 kBT
1jidB_M158.pdb     -80.731901 kBT
1jidB_M373.pdb     -69.803235 kBT
1jidB_M64.pdb     -90.627985 kBT
1jidB_M165.pdb     -69.705098 kBT
1jidB_M105.pdb     -92.386816 kBT
1jidB_M292.pdb     -70.223749 kBT
1jidB_M455.pdb     -72.534247 kBT
1jidB_M395.pdb     -66.923285 kBT
1jidB_M65.pdb     -89.688953 kBT
1jidB_M120.pdb     -96.430676 kBT
1jidB_M249.pdb     -113.670083 kBT
1jidB_M167.pdb     -76.544181 kBT
1jidB_M452.pdb     -61.437443 kBT
1jidB_M209.pdb     -72.191077 kBT
1jidB_M424.pdb     -83.908176 kBT
1jidB_M25.pdb     -109.559263 kBT
1jidB_M84.pdb     -85.196591 kBT
1jidB_M334.pdb     -88.185409 kBT
1jidB_M109.pdb     -91.902406 kBT
1jidB_M227.pdb     -66.342021 kBT
1jidB_M218.pdb     -90.330849 kBT
1jidB_M197.pdb     -68.804544 kBT
1jidB_M472.pdb     -86.687149 kBT
1jidB_M270.pdb     -74.774219 kBT
1jidB_M248.pdb     -76.948430 kBT
1jidB_M27.pdb     -99.181722 kBT
1jidB_M464.pdb     -88.843416 kBT
1jidB_M92.pdb     -110.695040 kBT
1jidB_M187.pdb     -79.842393 kBT
1jidB_M444.pdb     -71.493857 kBT
1jidB_M126.pdb     -83.391264 kBT
1jidB_M221.pdb     -84.999065 kBT
1jidB_M301.pdb     -73.556736 kBT
1jidB_M279.pdb     -55.815976 kBT
1jidB_M306.pdb     -104.705642 kBT
1jidB_M382.pdb     -78.727116 kBT
1jidB_M259.pdb     -66.476334 kBT
1jidB_M232.pdb     -85.052650 kBT
1jidB_M168.pdb     -83.210789 kBT
1jidB_M304.pdb     -64.352808 kBT
1jidB_M35.pdb     -117.935411 kBT
1jidB_M127.pdb     -106.745265 kBT
1jidB_M261.pdb     -90.554757 kBT
1jidB_M384.pdb     -54.498547 kBT
1jidB_M132.pdb     -85.817593 kBT
1jidB_M164.pdb     -90.315550 kBT
1jidB_M335.pdb     -79.334648 kBT
1jidB_M449.pdb     -31.073140 kBT
1jidB_M411.pdb     -92.263483 kBT
1jidB_M161.pdb     -64.358883 kBT
1jidB_M435.pdb     -82.652593 kBT
1jidB_M496.pdb     -71.828726 kBT
1jidB_M63.pdb     -91.343013 kBT
1jidB_M154.pdb     -82.295655 kBT
1jidB_M416.pdb     -79.552613 kBT
1jidB_M229.pdb     -85.460620 kBT
1jidB_M310.pdb     -86.930460 kBT
1jidB_M381.pdb     -58.550345 kBT
1jidB_M320.pdb     -76.820834 kBT
1jidB_M36.pdb     -104.855639 kBT
1jidB_M236.pdb     -90.765926 kBT
1jidB_M379.pdb     -81.761407 kBT
1jidB_M4.pdb     -121.759113 kBT
1jidB_M409.pdb     -54.026041 kBT
1jidB_M358.pdb     -76.334244 kBT
1jidB_M169.pdb     -83.922121 kBT
1jidB_M394.pdb     -69.218022 kBT
1jidB_M447.pdb     -54.835243 kBT
1jidB_M280.pdb     -91.833637 kBT
1jidB_M473.pdb     -51.229681 kBT
1jidB_M130.pdb     -85.126204 kBT
1jidB_M336.pdb     -92.313911 kBT
1jidB_M203.pdb     -106.140044 kBT
1jidB_M15.pdb     -125.276921 kBT
1jidB_M140.pdb     -91.499784 kBT
1jidB_M61.pdb     -107.004835 kBT
1jidB_M107.pdb     -91.676250 kBT
1jidB_M307.pdb     -78.167718 kBT
1jidB_M284.pdb     -99.285479 kBT
1jidB_M30.pdb     -111.626160 kBT
1jidB_M88.pdb     -104.597295 kBT
1jidB_M148.pdb     -112.619082 kBT
1jidB_M421.pdb     -62.229055 kBT
1jidB_M313.pdb     -61.158818 kBT
1jidB_M205.pdb     -80.368286 kBT
1jidB_M415.pdb     -69.312873 kBT
1jidB_M166.pdb     -93.024885 kBT
1jidB_M325.pdb     -70.954710 kBT
1jidB_M53.pdb     -110.057493 kBT
1jidB_M302.pdb     -81.265317 kBT
1jidB_M143.pdb     -95.766458 kBT
1jidB_M272.pdb     -72.730775 kBT
1jidB_M104.pdb     -80.220784 kBT
1jidB_M13.pdb     -129.662288 kBT
1jidB_M103.pdb     -86.172307 kBT
1jidB_M257.pdb     -65.231968 kBT
1jidB_M458.pdb     -52.822985 kBT
1jidB_M89.pdb     -99.771956 kBT
1jidB_M481.pdb     -62.157947 kBT
1jidB_M121.pdb     -102.854215 kBT
1jidB_M146.pdb     -93.152472 kBT
1jidB_M225.pdb     -113.069538 kBT
1jidB_M407.pdb     -61.485427 kBT
1jidB_M375.pdb     -80.794915 kBT
1jidB_M281.pdb     -92.683832 kBT
1jidB_M484.pdb     -70.964658 kBT
1jidB_M498.pdb     -71.243687 kBT
1jidB_M287.pdb     -97.953694 kBT
1jidB_M273.pdb     -60.722748 kBT
1jidB_M285.pdb     -87.911600 kBT
1jidB_M19.pdb     -100.795622 kBT
1jidB_M22.pdb     -129.223051 kBT
1jidB_M247.pdb     -63.839145 kBT
1jidB_M42.pdb     -109.641293 kBT
1jidB_M260.pdb     -68.984719 kBT
1jidB_M255.pdb     -59.854376 kBT
1jidB_M219.pdb     -77.774814 kBT
1jidB_M372.pdb     -99.018403 kBT
1jidB_M41.pdb     -102.843138 kBT
1jidB_M303.pdb     -76.492444 kBT
1jidB_M163.pdb     -90.844667 kBT
1jidB_M174.pdb     -85.032213 kBT
1jidB_M18.pdb     -132.377856 kBT
1jidB_M34.pdb     -107.656050 kBT
1jidB_M388.pdb     -77.489901 kBT
1jidB_M380.pdb     -96.283465 kBT
1jidB_M26.pdb     -113.800937 kBT
1jidB_M117.pdb     -104.904103 kBT
1jidB_M194.pdb     -79.586108 kBT
1jidB_M327.pdb     -73.599806 kBT
1jidB_M369.pdb     -80.039039 kBT
1jidB_M354.pdb     -79.017356 kBT
1jidB_M439.pdb     -52.401163 kBT
1jidB_M258.pdb     -63.632059 kBT
1jidB_M434.pdb     -67.377169 kBT
1jidB_M29.pdb     -108.950984 kBT
1jidB_M73.pdb     -88.517094 kBT
1jidB_M17.pdb     -116.328060 kBT
1jidB_M216.pdb     -68.166025 kBT
1jidB_M254.pdb     -81.950381 kBT
1jidB_M59.pdb     -97.923906 kBT
1jidB_M294.pdb     -98.529059 kBT
1jidB_M462.pdb     -89.309861 kBT
1jidB_M339.pdb     -70.031703 kBT
1jidB_M139.pdb     -86.512667 kBT
1jidB_M331.pdb     -66.138091 kBT
1jidB_M430.pdb     -54.624098 kBT
1jidB_M290.pdb     -80.644557 kBT
1jidB_M448.pdb     -59.336822 kBT
1jidB_M317.pdb     -67.766776 kBT
1jidB_M453.pdb     -62.807073 kBT
1jidB_M90.pdb     -101.595098 kBT
1jidB_M500.pdb     -78.985956 kBT
1jidB_M476.pdb     -54.096844 kBT
1jidB_M497.pdb     -55.664637 kBT
1jidB_M85.pdb     -91.578292 kBT
1jidB_M404.pdb     -58.844958 kBT
1jidB_M311.pdb     -76.638493 kBT
1jidB_M71.pdb     -127.416597 kBT
1jidB_M28.pdb     -116.604451 kBT
1jidB_M397.pdb     -61.503341 kBT
1jidB_M201.pdb     -101.355312 kBT
1jidB_M461.pdb     -67.591575 kBT
1jidB_M495.pdb     -64.204349 kBT
1jidB_M97.pdb     -82.307506 kBT
1jidB_M402.pdb     -63.119092 kBT
1jidB_M316.pdb     -89.798725 kBT
1jidB_M246.pdb     -110.148814 kBT
1jidB_M323.pdb     -98.606276 kBT
1jidB_M343.pdb     -71.777196 kBT
1jidB_M371.pdb     -77.197196 kBT
1jidB_M283.pdb     -46.579424 kBT
1jidB_M333.pdb     -67.347182 kBT
1jidB_M75.pdb     -117.289079 kBT
1jidB_M11.pdb     -122.784149 kBT
1jidB_M111.pdb     -105.273936 kBT
1jidB_M405.pdb     -61.373208 kBT
1jidB_M5.pdb     -123.572278 kBT
1jidB_M156.pdb     -82.034444 kBT
1jidB_M228.pdb     -65.449483 kBT
1jidB_M32.pdb     -116.139646 kBT
1jidB_M184.pdb     -82.735572 kBT
1jidB_M136.pdb     -89.635526 kBT
1jidB_M208.pdb     -74.748980 kBT
1jidB_M175.pdb     -70.562561 kBT
1jidB_M81.pdb     -82.117344 kBT
1jidB_M87.pdb     -108.025832 kBT
1jidB_M47.pdb     -108.309793 kBT
1jidB_M76.pdb     -99.928885 kBT
1jidB_M155.pdb     -84.643428 kBT
1jidB_M172.pdb     -100.001050 kBT
1jidB_M14.pdb     -114.961210 kBT
1jidB_M295.pdb     -82.377289 kBT
1jidB_M396.pdb     -74.020652 kBT
1jidB_M298.pdb     -94.094170 kBT
