1et4E_M280.pdb     -119.168623 kBT
1et4E_M180.pdb     -116.856575 kBT
1et4E_M435.pdb     -96.808241 kBT
1et4E_M332.pdb     -120.999821 kBT
1et4E_M194.pdb     -124.771717 kBT
1et4E_M123.pdb     -118.118697 kBT
1et4E_M20.pdb     -98.282025 kBT
1et4E_M492.pdb     -87.585639 kBT
1et4E_M112.pdb     -98.545430 kBT
1et4E_M84.pdb     -129.903867 kBT
1et4E_M373.pdb     -113.089203 kBT
1et4E_M372.pdb     -126.345958 kBT
1et4E_M485.pdb     -124.847789 kBT
1et4E_M241.pdb     -111.530295 kBT
1et4E_M201.pdb     -113.706580 kBT
1et4E_M363.pdb     -119.297935 kBT
1et4E_M464.pdb     -140.042613 kBT
1et4E_M396.pdb     -80.505333 kBT
1et4E_M480.pdb     -134.625515 kBT
1et4E_M362.pdb     -77.994785 kBT
1et4E_M292.pdb     -114.117973 kBT
1et4E_M171.pdb     -126.758754 kBT
1et4E_M169.pdb     -130.553394 kBT
1et4E_M75.pdb     -133.123138 kBT
1et4E_M119.pdb     -96.911457 kBT
1et4E_M370.pdb     -118.472414 kBT
1et4E_M64.pdb     -122.695221 kBT
1et4E_M345.pdb     -114.485513 kBT
1et4E_M338.pdb     -114.297233 kBT
1et4E_M420.pdb     -106.214825 kBT
1et4E_M205.pdb     -105.131634 kBT
1et4E_M299.pdb     -104.876756 kBT
1et4E_M323.pdb     -109.581197 kBT
1et4E_M285.pdb     -99.045263 kBT
1et4E_M76.pdb     -132.074411 kBT
1et4E_M306.pdb     -126.899724 kBT
1et4E_M436.pdb     -99.101422 kBT
1et4E_M151.pdb     -117.105296 kBT
1et4E_M476.pdb     -116.857264 kBT
1et4E_M297.pdb     -107.139855 kBT
1et4E_M34.pdb     -131.516213 kBT
1et4E_M74.pdb     -131.701027 kBT
1et4E_M317.pdb     -107.736294 kBT
1et4E_M313.pdb     -98.391022 kBT
1et4E_M30.pdb     -118.186538 kBT
1et4E_M120.pdb     -107.828613 kBT
1et4E_M267.pdb     -107.362570 kBT
1et4E_M403.pdb     -114.991013 kBT
1et4E_M400.pdb     -104.900924 kBT
1et4E_M330.pdb     -88.935078 kBT
1et4E_M50.pdb     -134.371384 kBT
1et4E_M26.pdb     -127.944025 kBT
1et4E_M17.pdb     -126.623317 kBT
1et4E_M300.pdb     -110.788462 kBT
1et4E_M352.pdb     -114.058623 kBT
1et4E_M113.pdb     -109.508248 kBT
1et4E_M289.pdb     -112.483170 kBT
1et4E_M41.pdb     -112.418485 kBT
1et4E_M157.pdb     -116.655470 kBT
1et4E_M200.pdb     -102.415852 kBT
1et4E_M214.pdb     -117.757804 kBT
1et4E_M137.pdb     -137.430529 kBT
1et4E_M27.pdb     -123.382794 kBT
1et4E_M95.pdb     -114.506106 kBT
1et4E.pdb     -143.568742 kBT
1et4E_M468.pdb     -96.487648 kBT
1et4E_M235.pdb     -125.547613 kBT
1et4E_M359.pdb     -119.052901 kBT
1et4E_M490.pdb     -118.809352 kBT
1et4E_M127.pdb     -123.045409 kBT
1et4E_M421.pdb     -92.098266 kBT
1et4E_M484.pdb     -135.699470 kBT
1et4E_M265.pdb     -91.758770 kBT
1et4E_M243.pdb     -130.459627 kBT
1et4E_M320.pdb     -110.003409 kBT
1et4E_M392.pdb     -133.007289 kBT
1et4E_M21.pdb     -115.827770 kBT
1et4E_M449.pdb     -118.663717 kBT
1et4E_M121.pdb     -108.189752 kBT
1et4E_M416.pdb     -128.232017 kBT
1et4E_M69.pdb     -87.114429 kBT
1et4E_M87.pdb     -107.758053 kBT
1et4E_M269.pdb     -117.059041 kBT
1et4E_M225.pdb     -116.601750 kBT
1et4E_M96.pdb     -108.936249 kBT
1et4E_M335.pdb     -91.382429 kBT
1et4E_M488.pdb     -97.086804 kBT
1et4E_M393.pdb     -116.927959 kBT
1et4E_M470.pdb     -116.830059 kBT
1et4E_M18.pdb     -128.155352 kBT
1et4E_M462.pdb     -106.530615 kBT
1et4E_M77.pdb     -107.000965 kBT
1et4E_M379.pdb     -84.393602 kBT
1et4E_M371.pdb     -126.890798 kBT
1et4E_M247.pdb     -117.553506 kBT
1et4E_M413.pdb     -129.767138 kBT
1et4E_M47.pdb     -128.621921 kBT
1et4E_M3.pdb     -139.881338 kBT
1et4E_M248.pdb     -127.717395 kBT
1et4E_M319.pdb     -120.028850 kBT
1et4E_M79.pdb     -121.845261 kBT
1et4E_M427.pdb     -131.293702 kBT
1et4E_M99.pdb     -109.533680 kBT
1et4E_M405.pdb     -116.034294 kBT
1et4E_M365.pdb     -104.770140 kBT
1et4E_M65.pdb     -105.831918 kBT
1et4E_M236.pdb     -112.389718 kBT
1et4E_M471.pdb     -121.921800 kBT
1et4E_M426.pdb     -121.909522 kBT
1et4E_M234.pdb     -133.969117 kBT
1et4E_M176.pdb     -125.458320 kBT
1et4E_M68.pdb     -109.613446 kBT
1et4E_M401.pdb     -107.303730 kBT
1et4E_M453.pdb     -105.121739 kBT
1et4E_M262.pdb     -112.758887 kBT
1et4E_M494.pdb     -121.811937 kBT
1et4E_M375.pdb     -102.321447 kBT
1et4E_M148.pdb     -96.934055 kBT
1et4E_M355.pdb     -131.239678 kBT
1et4E_M208.pdb     -114.876456 kBT
1et4E_M255.pdb     -109.280407 kBT
1et4E_M110.pdb     -135.985376 kBT
1et4E_M310.pdb     -124.039843 kBT
1et4E_M308.pdb     -91.483186 kBT
1et4E_M282.pdb     -113.396075 kBT
1et4E_M456.pdb     -123.968580 kBT
1et4E_M361.pdb     -114.683451 kBT
1et4E_M266.pdb     -118.747416 kBT
1et4E_M402.pdb     -123.908146 kBT
1et4E_M162.pdb     -111.917146 kBT
1et4E_M67.pdb     -114.613942 kBT
1et4E_M483.pdb     -135.429731 kBT
1et4E_M473.pdb     -88.839898 kBT
1et4E_M407.pdb     -95.170112 kBT
1et4E_M142.pdb     -120.927471 kBT
1et4E_M216.pdb     -122.620638 kBT
1et4E_M108.pdb     -116.690475 kBT
1et4E_M221.pdb     -86.074227 kBT
1et4E_M190.pdb     -111.523411 kBT
1et4E_M97.pdb     -121.271496 kBT
1et4E_M230.pdb     -113.581551 kBT
1et4E_M271.pdb     -105.021871 kBT
1et4E_M487.pdb     -104.786457 kBT
1et4E_M111.pdb     -109.429902 kBT
1et4E_M315.pdb     -105.387013 kBT
1et4E_M472.pdb     -129.426267 kBT
1et4E_M31.pdb     -112.786525 kBT
1et4E_M196.pdb     -120.687375 kBT
1et4E_M408.pdb     -132.962290 kBT
1et4E_M450.pdb     -115.510166 kBT
1et4E_M460.pdb     -115.454156 kBT
1et4E_M146.pdb     -98.500313 kBT
1et4E_M55.pdb     -119.941954 kBT
1et4E_M165.pdb     -142.123248 kBT
1et4E_M22.pdb     -129.486217 kBT
1et4E_M354.pdb     -121.908206 kBT
1et4E_M430.pdb     -129.346730 kBT
1et4E_M8.pdb     -137.526104 kBT
1et4E_M197.pdb     -124.374525 kBT
1et4E_M150.pdb     -108.908125 kBT
1et4E_M404.pdb     -101.481790 kBT
1et4E_M258.pdb     -139.554662 kBT
1et4E_M152.pdb     -112.095094 kBT
1et4E_M260.pdb     -91.955540 kBT
1et4E_M71.pdb     -117.641728 kBT
1et4E_M100.pdb     -123.209272 kBT
1et4E_M350.pdb     -143.450284 kBT
1et4E_M237.pdb     -117.976011 kBT
1et4E_M305.pdb     -112.017358 kBT
1et4E_M125.pdb     -152.265721 kBT
1et4E_M441.pdb     -100.652093 kBT
1et4E_M192.pdb     -118.784915 kBT
1et4E_M224.pdb     -97.498630 kBT
1et4E_M442.pdb     -116.170445 kBT
1et4E_M59.pdb     -124.833046 kBT
1et4E_M203.pdb     -122.413358 kBT
1et4E_M467.pdb     -111.957510 kBT
1et4E_M58.pdb     -87.396506 kBT
1et4E_M132.pdb     -109.124954 kBT
1et4E_M217.pdb     -105.407783 kBT
1et4E_M261.pdb     -95.636878 kBT
1et4E_M104.pdb     -101.406946 kBT
1et4E_M178.pdb     -112.925608 kBT
1et4E_M2.pdb     -142.210074 kBT
1et4E_M60.pdb     -112.293604 kBT
1et4E_M106.pdb     -136.848359 kBT
1et4E_M433.pdb     -125.378700 kBT
1et4E_M303.pdb     -118.682634 kBT
1et4E_M239.pdb     -106.510870 kBT
1et4E_M81.pdb     -126.527514 kBT
1et4E_M114.pdb     -104.907273 kBT
1et4E_M284.pdb     -110.031684 kBT
1et4E_M452.pdb     -103.396525 kBT
1et4E_M495.pdb     -92.476743 kBT
1et4E_M458.pdb     -112.150877 kBT
1et4E_M213.pdb     -107.985856 kBT
1et4E_M12.pdb     -131.026007 kBT
1et4E_M466.pdb     -118.170767 kBT
1et4E_M475.pdb     -125.065068 kBT
1et4E_M428.pdb     -101.834105 kBT
1et4E_M93.pdb     -103.445313 kBT
1et4E_M391.pdb     -93.871385 kBT
1et4E_M382.pdb     -117.858687 kBT
1et4E_M244.pdb     -109.180381 kBT
1et4E_M24.pdb     -131.240135 kBT
1et4E_M451.pdb     -108.968318 kBT
1et4E_M161.pdb     -123.074886 kBT
1et4E_M301.pdb     -123.009936 kBT
1et4E_M195.pdb     -113.315952 kBT
1et4E_M19.pdb     -133.159937 kBT
1et4E_M418.pdb     -113.118647 kBT
1et4E_M457.pdb     -123.022936 kBT
1et4E_M174.pdb     -120.429869 kBT
1et4E_M499.pdb     -112.994550 kBT
1et4E_M61.pdb     -114.219265 kBT
1et4E_M481.pdb     -109.741107 kBT
1et4E_M210.pdb     -108.165039 kBT
1et4E_M223.pdb     -110.431835 kBT
1et4E_M189.pdb     -118.963015 kBT
1et4E_M160.pdb     -120.537938 kBT
1et4E_M326.pdb     -126.256093 kBT
1et4E_M459.pdb     -107.317294 kBT
1et4E_M328.pdb     -107.035313 kBT
1et4E_M135.pdb     -96.192542 kBT
1et4E_M141.pdb     -130.093246 kBT
1et4E_M144.pdb     -117.004637 kBT
1et4E_M184.pdb     -103.145559 kBT
1et4E_M348.pdb     -123.790375 kBT
1et4E_M358.pdb     -99.917127 kBT
1et4E_M366.pdb     -114.644340 kBT
1et4E_M342.pdb     -135.243853 kBT
1et4E_M333.pdb     -121.064707 kBT
1et4E_M356.pdb     -112.069158 kBT
1et4E_M281.pdb     -111.291297 kBT
1et4E_M277.pdb     -112.899057 kBT
1et4E_M273.pdb     -75.002501 kBT
1et4E_M334.pdb     -142.556182 kBT
1et4E_M479.pdb     -102.095912 kBT
1et4E_M250.pdb     -99.118027 kBT
1et4E_M242.pdb     -124.900785 kBT
1et4E_M272.pdb     -119.201611 kBT
1et4E_M101.pdb     -116.434559 kBT
1et4E_M78.pdb     -106.869033 kBT
1et4E_M469.pdb     -102.389895 kBT
1et4E_M102.pdb     -93.833074 kBT
1et4E_M134.pdb     -133.439409 kBT
1et4E_M337.pdb     -106.976697 kBT
1et4E_M10.pdb     -136.688559 kBT
1et4E_M183.pdb     -119.454055 kBT
1et4E_M109.pdb     -114.212119 kBT
1et4E_M212.pdb     -111.366924 kBT
1et4E_M164.pdb     -124.952492 kBT
1et4E_M444.pdb     -91.665907 kBT
1et4E_M443.pdb     -125.966636 kBT
1et4E_M4.pdb     -137.894108 kBT
1et4E_M489.pdb     -135.340342 kBT
1et4E_M232.pdb     -112.578074 kBT
1et4E_M324.pdb     -93.109113 kBT
1et4E_M374.pdb     -122.842878 kBT
1et4E_M321.pdb     -123.636200 kBT
1et4E_M138.pdb     -121.900828 kBT
1et4E_M429.pdb     -109.847329 kBT
1et4E_M49.pdb     -119.242447 kBT
1et4E_M477.pdb     -116.763999 kBT
1et4E_M360.pdb     -105.272868 kBT
1et4E_M191.pdb     -133.302400 kBT
1et4E_M288.pdb     -96.647737 kBT
1et4E_M122.pdb     -110.833364 kBT
1et4E_M343.pdb     -120.961454 kBT
1et4E_M454.pdb     -132.894991 kBT
1et4E_M185.pdb     -124.054474 kBT
1et4E_M276.pdb     -98.945663 kBT
1et4E_M482.pdb     -102.146147 kBT
1et4E_M70.pdb     -102.142023 kBT
1et4E_M252.pdb     -101.868124 kBT
1et4E_M474.pdb     -108.699907 kBT
1et4E_M294.pdb     -107.841002 kBT
1et4E_M290.pdb     -63.713109 kBT
1et4E_M36.pdb     -122.244487 kBT
1et4E_M295.pdb     -97.151869 kBT
1et4E_M369.pdb     -107.572231 kBT
1et4E_M341.pdb     -90.572267 kBT
1et4E_M170.pdb     -114.700791 kBT
1et4E_M86.pdb     -123.953859 kBT
1et4E_M312.pdb     -113.716939 kBT
1et4E_M233.pdb     -120.073688 kBT
1et4E_M275.pdb     -91.957408 kBT
1et4E_M13.pdb     -128.867886 kBT
1et4E_M5.pdb     -134.502888 kBT
1et4E_M128.pdb     -122.210149 kBT
1et4E_M231.pdb     -120.227996 kBT
1et4E_M154.pdb     -107.103522 kBT
1et4E_M28.pdb     -134.472067 kBT
1et4E_M107.pdb     -112.161597 kBT
1et4E_M463.pdb     -121.182375 kBT
1et4E_M126.pdb     -133.325563 kBT
1et4E_M222.pdb     -113.541264 kBT
1et4E_M347.pdb     -101.437975 kBT
1et4E_M193.pdb     -111.100181 kBT
1et4E_M172.pdb     -120.755351 kBT
1et4E_M274.pdb     -83.854249 kBT
1et4E_M91.pdb     -121.821639 kBT
1et4E_M240.pdb     -103.749790 kBT
1et4E_M136.pdb     -100.534922 kBT
1et4E_M249.pdb     -130.373199 kBT
1et4E_M406.pdb     -111.566594 kBT
1et4E_M204.pdb     -120.772509 kBT
1et4E_M80.pdb     -104.741723 kBT
1et4E_M105.pdb     -114.559242 kBT
1et4E_M89.pdb     -113.341427 kBT
1et4E_M309.pdb     -103.920267 kBT
1et4E_M263.pdb     -110.610675 kBT
1et4E_M153.pdb     -110.043610 kBT
1et4E_M367.pdb     -95.364428 kBT
1et4E_M168.pdb     -124.167204 kBT
1et4E_M29.pdb     -133.681719 kBT
1et4E_M423.pdb     -99.175279 kBT
1et4E_M14.pdb     -138.573621 kBT
1et4E_M6.pdb     -141.466788 kBT
1et4E_M51.pdb     -116.860169 kBT
1et4E_M228.pdb     -108.204037 kBT
1et4E_M219.pdb     -117.345469 kBT
1et4E_M439.pdb     -105.455886 kBT
1et4E_M43.pdb     -101.414841 kBT
1et4E_M438.pdb     -100.619802 kBT
1et4E_M395.pdb     -112.479046 kBT
1et4E_M394.pdb     -116.892041 kBT
1et4E_M54.pdb     -117.288331 kBT
1et4E_M377.pdb     -113.253468 kBT
1et4E_M318.pdb     -108.577159 kBT
1et4E_M207.pdb     -98.646931 kBT
1et4E_M385.pdb     -114.614686 kBT
1et4E_M390.pdb     -119.828283 kBT
1et4E_M425.pdb     -115.813958 kBT
1et4E_M497.pdb     -120.501668 kBT
1et4E_M381.pdb     -116.946486 kBT
1et4E_M346.pdb     -124.454710 kBT
1et4E_M130.pdb     -115.980187 kBT
1et4E_M455.pdb     -85.429480 kBT
1et4E_M38.pdb     -127.706780 kBT
1et4E_M278.pdb     -101.542059 kBT
1et4E_M254.pdb     -122.352305 kBT
1et4E_M220.pdb     -91.788139 kBT
1et4E_M298.pdb     -108.934911 kBT
1et4E_M327.pdb     -119.244213 kBT
1et4E_M349.pdb     -104.660259 kBT
1et4E_M48.pdb     -117.976167 kBT
1et4E_M227.pdb     -86.082325 kBT
1et4E_M419.pdb     -89.116794 kBT
1et4E_M44.pdb     -117.853124 kBT
1et4E_M206.pdb     -104.983303 kBT
1et4E_M279.pdb     -110.994925 kBT
1et4E_M7.pdb     -138.321535 kBT
1et4E_M314.pdb     -118.757477 kBT
1et4E_M37.pdb     -150.104416 kBT
1et4E_M264.pdb     -130.447319 kBT
1et4E_M286.pdb     -120.459455 kBT
1et4E_M175.pdb     -84.762725 kBT
1et4E_M133.pdb     -110.267724 kBT
1et4E_M57.pdb     -126.417484 kBT
1et4E_M73.pdb     -124.446034 kBT
1et4E_M23.pdb     -123.032493 kBT
1et4E_M486.pdb     -103.060583 kBT
1et4E_M357.pdb     -103.660802 kBT
1et4E_M39.pdb     -122.119856 kBT
1et4E_M316.pdb     -149.317231 kBT
1et4E_M304.pdb     -113.292671 kBT
1et4E_M40.pdb     -133.752674 kBT
1et4E_M63.pdb     -135.401129 kBT
1et4E_M339.pdb     -104.527199 kBT
1et4E_M143.pdb     -97.188799 kBT
1et4E_M447.pdb     -123.441092 kBT
1et4E_M72.pdb     -111.627571 kBT
1et4E_M46.pdb     -129.805589 kBT
1et4E_M82.pdb     -119.375487 kBT
1et4E_M229.pdb     -121.884640 kBT
1et4E_M380.pdb     -97.528111 kBT
1et4E_M251.pdb     -112.365899 kBT
1et4E_M398.pdb     -121.530962 kBT
1et4E_M259.pdb     -88.263085 kBT
1et4E_M496.pdb     -119.483966 kBT
1et4E_M387.pdb     -120.925749 kBT
1et4E_M368.pdb     -115.258885 kBT
1et4E_M238.pdb     -113.687840 kBT
1et4E_M202.pdb     -112.911729 kBT
1et4E_M287.pdb     -128.373902 kBT
1et4E_M351.pdb     -122.237140 kBT
1et4E_M344.pdb     -111.679287 kBT
1et4E_M186.pdb     -110.780654 kBT
1et4E_M268.pdb     -134.417619 kBT
1et4E_M215.pdb     -117.414960 kBT
1et4E_M118.pdb     -100.616179 kBT
1et4E_M140.pdb     -114.651517 kBT
1et4E_M383.pdb     -107.654720 kBT
1et4E_M500.pdb     -106.169493 kBT
1et4E_M245.pdb     -106.866545 kBT
1et4E_M364.pdb     -94.031513 kBT
1et4E_M103.pdb     -127.728874 kBT
1et4E_M498.pdb     -109.192346 kBT
1et4E_M336.pdb     -126.684030 kBT
1et4E_M353.pdb     -89.580634 kBT
1et4E_M384.pdb     -105.416370 kBT
