2dlcY_M295.pdb     -197.321486 kBT
2dlcY_M135.pdb     -190.936235 kBT
2dlcY_M379.pdb     -182.900093 kBT
2dlcY_M423.pdb     -166.399843 kBT
2dlcY_M485.pdb     -156.626915 kBT
2dlcY_M181.pdb     -189.367908 kBT
2dlcY_M169.pdb     -188.540807 kBT
2dlcY_M253.pdb     -192.622646 kBT
2dlcY_M227.pdb     -171.168257 kBT
2dlcY_M126.pdb     -192.348900 kBT
2dlcY_M481.pdb     -177.903570 kBT
2dlcY_M8.pdb     -231.692456 kBT
2dlcY_M353.pdb     -158.428830 kBT
2dlcY_M206.pdb     -194.699769 kBT
2dlcY_M464.pdb     -176.327143 kBT
2dlcY_M441.pdb     -190.476717 kBT
2dlcY_M107.pdb     -216.588352 kBT
2dlcY_M288.pdb     -170.509777 kBT
2dlcY_M460.pdb     -150.059159 kBT
2dlcY_M14.pdb     -229.083726 kBT
2dlcY_M156.pdb     -183.252011 kBT
2dlcY_M213.pdb     -168.104872 kBT
2dlcY_M275.pdb     -176.257591 kBT
2dlcY_M443.pdb     -148.331900 kBT
2dlcY_M42.pdb     -219.206225 kBT
2dlcY_M342.pdb     -168.315964 kBT
2dlcY_M486.pdb     -172.923242 kBT
2dlcY_M397.pdb     -153.477605 kBT
2dlcY_M425.pdb     -164.456737 kBT
2dlcY_M382.pdb     -164.030268 kBT
2dlcY_M497.pdb     -171.829396 kBT
2dlcY_M364.pdb     -155.631974 kBT
2dlcY_M349.pdb     -185.450840 kBT
2dlcY_M492.pdb     -165.021806 kBT
2dlcY_M53.pdb     -206.328864 kBT
2dlcY_M245.pdb     -170.727488 kBT
2dlcY_M129.pdb     -179.030350 kBT
2dlcY_M81.pdb     -200.727397 kBT
2dlcY_M402.pdb     -155.781716 kBT
2dlcY_M149.pdb     -195.227637 kBT
2dlcY_M209.pdb     -205.675236 kBT
2dlcY_M90.pdb     -213.242572 kBT
2dlcY_M50.pdb     -224.490907 kBT
2dlcY_M282.pdb     -194.415245 kBT
2dlcY_M376.pdb     -171.753717 kBT
2dlcY_M430.pdb     -190.611330 kBT
2dlcY_M67.pdb     -179.470926 kBT
2dlcY_M367.pdb     -200.840495 kBT
2dlcY_M91.pdb     -206.890042 kBT
2dlcY_M355.pdb     -179.888783 kBT
2dlcY_M398.pdb     -174.306591 kBT
2dlcY_M373.pdb     -159.435355 kBT
2dlcY_M337.pdb     -166.038805 kBT
2dlcY_M63.pdb     -196.334678 kBT
2dlcY_M162.pdb     -190.656453 kBT
2dlcY_M255.pdb     -188.701567 kBT
2dlcY_M188.pdb     -183.281557 kBT
2dlcY_M138.pdb     -210.779933 kBT
2dlcY_M361.pdb     -164.236943 kBT
2dlcY_M348.pdb     -176.795770 kBT
2dlcY_M94.pdb     -208.128069 kBT
2dlcY_M273.pdb     -180.291521 kBT
2dlcY_M325.pdb     -160.887936 kBT
2dlcY_M31.pdb     -221.098185 kBT
2dlcY_M263.pdb     -176.561525 kBT
2dlcY_M246.pdb     -197.411187 kBT
2dlcY_M306.pdb     -191.200245 kBT
2dlcY_M428.pdb     -180.102591 kBT
2dlcY_M444.pdb     -160.609295 kBT
2dlcY.pdb     -248.106284 kBT
2dlcY_M26.pdb     -210.401598 kBT
2dlcY_M233.pdb     -188.744195 kBT
2dlcY_M37.pdb     -196.317719 kBT
2dlcY_M289.pdb     -170.229937 kBT
2dlcY_M442.pdb     -162.616437 kBT
2dlcY_M318.pdb     -193.943229 kBT
2dlcY_M64.pdb     -183.715155 kBT
2dlcY_M415.pdb     -166.786970 kBT
2dlcY_M101.pdb     -189.274392 kBT
2dlcY_M345.pdb     -177.424495 kBT
2dlcY_M410.pdb     -167.090940 kBT
2dlcY_M12.pdb     -230.321701 kBT
2dlcY_M315.pdb     -160.263384 kBT
2dlcY_M299.pdb     -182.828639 kBT
2dlcY_M180.pdb     -201.812134 kBT
2dlcY_M399.pdb     -186.043256 kBT
2dlcY_M185.pdb     -190.957081 kBT
2dlcY_M455.pdb     -184.400094 kBT
2dlcY_M115.pdb     -184.067296 kBT
2dlcY_M204.pdb     -191.569331 kBT
2dlcY_M323.pdb     -183.221533 kBT
2dlcY_M452.pdb     -161.020725 kBT
2dlcY_M234.pdb     -169.645893 kBT
2dlcY_M5.pdb     -229.352880 kBT
2dlcY_M302.pdb     -179.814122 kBT
2dlcY_M120.pdb     -190.512765 kBT
2dlcY_M196.pdb     -169.003606 kBT
2dlcY_M283.pdb     -173.031305 kBT
2dlcY_M394.pdb     -190.997908 kBT
2dlcY_M436.pdb     -170.982549 kBT
2dlcY_M445.pdb     -170.809487 kBT
2dlcY_M124.pdb     -197.188769 kBT
2dlcY_M242.pdb     -192.557468 kBT
2dlcY_M110.pdb     -202.051284 kBT
2dlcY_M409.pdb     -201.186475 kBT
2dlcY_M411.pdb     -161.415617 kBT
2dlcY_M375.pdb     -154.956189 kBT
2dlcY_M207.pdb     -187.137988 kBT
2dlcY_M269.pdb     -182.924475 kBT
2dlcY_M418.pdb     -156.179997 kBT
2dlcY_M491.pdb     -179.309798 kBT
2dlcY_M148.pdb     -192.625140 kBT
2dlcY_M483.pdb     -164.607487 kBT
2dlcY_M343.pdb     -177.254801 kBT
2dlcY_M146.pdb     -184.867495 kBT
2dlcY_M251.pdb     -196.217842 kBT
2dlcY_M157.pdb     -190.998842 kBT
2dlcY_M239.pdb     -188.000665 kBT
2dlcY_M65.pdb     -203.965500 kBT
2dlcY_M451.pdb     -172.648931 kBT
2dlcY_M257.pdb     -186.411373 kBT
2dlcY_M340.pdb     -149.587042 kBT
2dlcY_M427.pdb     -181.334860 kBT
2dlcY_M18.pdb     -218.133596 kBT
2dlcY_M414.pdb     -169.067682 kBT
2dlcY_M195.pdb     -184.428873 kBT
2dlcY_M237.pdb     -175.309496 kBT
2dlcY_M75.pdb     -215.859745 kBT
2dlcY_M125.pdb     -191.498131 kBT
2dlcY_M118.pdb     -197.412001 kBT
2dlcY_M212.pdb     -192.835372 kBT
2dlcY_M97.pdb     -194.861923 kBT
2dlcY_M417.pdb     -163.610467 kBT
2dlcY_M119.pdb     -201.469589 kBT
2dlcY_M131.pdb     -196.570136 kBT
2dlcY_M326.pdb     -186.400379 kBT
2dlcY_M259.pdb     -156.645359 kBT
2dlcY_M241.pdb     -185.497274 kBT
2dlcY_M420.pdb     -156.207414 kBT
2dlcY_M422.pdb     -177.191053 kBT
2dlcY_M473.pdb     -142.983806 kBT
2dlcY_M51.pdb     -207.366279 kBT
2dlcY_M482.pdb     -181.145490 kBT
2dlcY_M201.pdb     -195.626523 kBT
2dlcY_M261.pdb     -177.816365 kBT
2dlcY_M41.pdb     -200.672204 kBT
2dlcY_M52.pdb     -211.713099 kBT
2dlcY_M244.pdb     -186.172706 kBT
2dlcY_M165.pdb     -192.181591 kBT
2dlcY_M230.pdb     -201.104298 kBT
2dlcY_M1.pdb     -224.930406 kBT
2dlcY_M200.pdb     -177.018485 kBT
2dlcY_M17.pdb     -228.368379 kBT
2dlcY_M39.pdb     -222.432156 kBT
2dlcY_M111.pdb     -183.098520 kBT
2dlcY_M202.pdb     -181.190430 kBT
2dlcY_M500.pdb     -182.029547 kBT
2dlcY_M32.pdb     -220.758699 kBT
2dlcY_M70.pdb     -201.894870 kBT
2dlcY_M30.pdb     -214.747463 kBT
2dlcY_M92.pdb     -209.349931 kBT
2dlcY_M22.pdb     -219.076296 kBT
2dlcY_M334.pdb     -172.891662 kBT
2dlcY_M116.pdb     -189.694121 kBT
2dlcY_M354.pdb     -210.416183 kBT
2dlcY_M24.pdb     -219.456103 kBT
2dlcY_M358.pdb     -165.976933 kBT
2dlcY_M421.pdb     -176.398368 kBT
2dlcY_M453.pdb     -166.643798 kBT
2dlcY_M168.pdb     -184.784527 kBT
2dlcY_M210.pdb     -182.508577 kBT
2dlcY_M9.pdb     -228.799465 kBT
2dlcY_M43.pdb     -214.111916 kBT
2dlcY_M54.pdb     -219.798119 kBT
2dlcY_M403.pdb     -196.509947 kBT
2dlcY_M474.pdb     -164.854780 kBT
2dlcY_M46.pdb     -205.655843 kBT
2dlcY_M25.pdb     -226.504851 kBT
2dlcY_M454.pdb     -181.296275 kBT
2dlcY_M69.pdb     -215.075421 kBT
2dlcY_M187.pdb     -193.082953 kBT
2dlcY_M153.pdb     -226.509742 kBT
2dlcY_M220.pdb     -183.715223 kBT
2dlcY_M226.pdb     -199.059280 kBT
2dlcY_M280.pdb     -181.471153 kBT
2dlcY_M199.pdb     -191.376772 kBT
2dlcY_M247.pdb     -179.363848 kBT
2dlcY_M82.pdb     -195.695050 kBT
2dlcY_M123.pdb     -210.779948 kBT
2dlcY_M252.pdb     -193.889769 kBT
2dlcY_M264.pdb     -176.736866 kBT
2dlcY_M228.pdb     -160.209328 kBT
2dlcY_M260.pdb     -175.701318 kBT
2dlcY_M371.pdb     -171.050042 kBT
2dlcY_M387.pdb     -171.344116 kBT
2dlcY_M285.pdb     -191.159620 kBT
2dlcY_M40.pdb     -201.743409 kBT
2dlcY_M143.pdb     -192.453660 kBT
2dlcY_M49.pdb     -205.112633 kBT
2dlcY_M377.pdb     -183.530614 kBT
2dlcY_M450.pdb     -157.072427 kBT
2dlcY_M388.pdb     -177.719541 kBT
2dlcY_M28.pdb     -206.018475 kBT
2dlcY_M385.pdb     -156.419845 kBT
2dlcY_M378.pdb     -183.393830 kBT
2dlcY_M297.pdb     -187.050673 kBT
2dlcY_M494.pdb     -140.822551 kBT
2dlcY_M62.pdb     -206.857190 kBT
2dlcY_M2.pdb     -230.532013 kBT
2dlcY_M312.pdb     -178.655872 kBT
2dlcY_M462.pdb     -171.723213 kBT
2dlcY_M57.pdb     -196.609488 kBT
2dlcY_M55.pdb     -195.989631 kBT
2dlcY_M85.pdb     -203.061862 kBT
2dlcY_M433.pdb     -163.294571 kBT
2dlcY_M279.pdb     -151.303669 kBT
2dlcY_M147.pdb     -207.301601 kBT
2dlcY_M458.pdb     -172.914469 kBT
2dlcY_M478.pdb     -150.746896 kBT
2dlcY_M310.pdb     -171.177215 kBT
2dlcY_M432.pdb     -180.793761 kBT
2dlcY_M390.pdb     -197.778876 kBT
2dlcY_M287.pdb     -173.129653 kBT
2dlcY_M320.pdb     -164.990481 kBT
2dlcY_M298.pdb     -165.332569 kBT
2dlcY_M160.pdb     -186.321797 kBT
2dlcY_M336.pdb     -210.085863 kBT
2dlcY_M466.pdb     -177.365630 kBT
2dlcY_M391.pdb     -167.805755 kBT
2dlcY_M56.pdb     -218.524347 kBT
2dlcY_M48.pdb     -212.867749 kBT
2dlcY_M205.pdb     -175.324175 kBT
2dlcY_M27.pdb     -226.520699 kBT
2dlcY_M413.pdb     -145.249245 kBT
2dlcY_M291.pdb     -187.558520 kBT
2dlcY_M319.pdb     -207.201735 kBT
2dlcY_M61.pdb     -204.521240 kBT
2dlcY_M66.pdb     -203.451408 kBT
2dlcY_M224.pdb     -191.334677 kBT
2dlcY_M164.pdb     -192.069197 kBT
2dlcY_M171.pdb     -175.900962 kBT
2dlcY_M435.pdb     -148.443212 kBT
2dlcY_M166.pdb     -185.431397 kBT
2dlcY_M350.pdb     -176.927712 kBT
2dlcY_M448.pdb     -173.511168 kBT
2dlcY_M406.pdb     -174.940054 kBT
2dlcY_M322.pdb     -172.814778 kBT
2dlcY_M249.pdb     -181.346820 kBT
2dlcY_M407.pdb     -199.058410 kBT
2dlcY_M6.pdb     -226.841146 kBT
2dlcY_M272.pdb     -169.404428 kBT
2dlcY_M95.pdb     -203.159115 kBT
2dlcY_M281.pdb     -188.896951 kBT
2dlcY_M393.pdb     -178.513417 kBT
2dlcY_M493.pdb     -168.779408 kBT
2dlcY_M277.pdb     -176.136376 kBT
2dlcY_M338.pdb     -187.230637 kBT
2dlcY_M186.pdb     -200.542622 kBT
2dlcY_M468.pdb     -172.254984 kBT
2dlcY_M159.pdb     -190.137475 kBT
2dlcY_M476.pdb     -164.021936 kBT
2dlcY_M357.pdb     -190.418658 kBT
2dlcY_M33.pdb     -213.907574 kBT
2dlcY_M471.pdb     -145.887495 kBT
2dlcY_M328.pdb     -168.595538 kBT
2dlcY_M194.pdb     -179.761189 kBT
2dlcY_M60.pdb     -198.371571 kBT
2dlcY_M229.pdb     -179.107880 kBT
2dlcY_M104.pdb     -190.330624 kBT
2dlcY_M114.pdb     -208.979244 kBT
2dlcY_M68.pdb     -208.987760 kBT
2dlcY_M276.pdb     -189.262727 kBT
2dlcY_M73.pdb     -190.880982 kBT
2dlcY_M122.pdb     -198.931611 kBT
2dlcY_M266.pdb     -182.470139 kBT
2dlcY_M296.pdb     -195.045933 kBT
2dlcY_M311.pdb     -180.019270 kBT
2dlcY_M3.pdb     -226.342700 kBT
2dlcY_M265.pdb     -183.886809 kBT
2dlcY_M154.pdb     -186.869489 kBT
2dlcY_M80.pdb     -182.952344 kBT
2dlcY_M182.pdb     -188.700712 kBT
2dlcY_M365.pdb     -156.946974 kBT
2dlcY_M132.pdb     -199.484383 kBT
2dlcY_M271.pdb     -177.899168 kBT
2dlcY_M89.pdb     -182.346369 kBT
2dlcY_M465.pdb     -163.494735 kBT
2dlcY_M155.pdb     -196.630716 kBT
2dlcY_M105.pdb     -195.781348 kBT
2dlcY_M158.pdb     -175.269316 kBT
2dlcY_M211.pdb     -189.240169 kBT
2dlcY_M225.pdb     -195.067561 kBT
2dlcY_M470.pdb     -163.849757 kBT
2dlcY_M344.pdb     -192.682634 kBT
2dlcY_M176.pdb     -172.912340 kBT
2dlcY_M332.pdb     -178.449919 kBT
2dlcY_M142.pdb     -189.968165 kBT
2dlcY_M221.pdb     -179.585752 kBT
2dlcY_M134.pdb     -175.278484 kBT
2dlcY_M36.pdb     -216.529278 kBT
2dlcY_M144.pdb     -201.348798 kBT
2dlcY_M45.pdb     -199.997141 kBT
2dlcY_M333.pdb     -180.655724 kBT
2dlcY_M498.pdb     -160.100140 kBT
2dlcY_M193.pdb     -190.129721 kBT
2dlcY_M84.pdb     -200.332685 kBT
2dlcY_M313.pdb     -164.473001 kBT
2dlcY_M127.pdb     -197.676269 kBT
2dlcY_M192.pdb     -191.737354 kBT
2dlcY_M191.pdb     -177.066006 kBT
2dlcY_M488.pdb     -180.594481 kBT
2dlcY_M16.pdb     -220.184513 kBT
2dlcY_M219.pdb     -189.435185 kBT
2dlcY_M102.pdb     -190.060078 kBT
2dlcY_M404.pdb     -163.838605 kBT
2dlcY_M330.pdb     -167.598498 kBT
2dlcY_M490.pdb     -172.534200 kBT
2dlcY_M189.pdb     -159.911377 kBT
2dlcY_M370.pdb     -175.464688 kBT
2dlcY_M232.pdb     -166.608161 kBT
2dlcY_M141.pdb     -171.568272 kBT
2dlcY_M136.pdb     -191.571822 kBT
2dlcY_M128.pdb     -195.297937 kBT
2dlcY_M380.pdb     -188.223023 kBT
2dlcY_M4.pdb     -224.557097 kBT
2dlcY_M303.pdb     -177.251863 kBT
2dlcY_M463.pdb     -144.134635 kBT
2dlcY_M113.pdb     -196.994745 kBT
2dlcY_M346.pdb     -175.409948 kBT
2dlcY_M163.pdb     -158.978846 kBT
2dlcY_M317.pdb     -185.999357 kBT
2dlcY_M484.pdb     -169.092089 kBT
2dlcY_M161.pdb     -182.225413 kBT
2dlcY_M479.pdb     -151.518194 kBT
2dlcY_M10.pdb     -221.928459 kBT
2dlcY_M34.pdb     -209.772861 kBT
2dlcY_M472.pdb     -167.640718 kBT
2dlcY_M495.pdb     -180.149291 kBT
2dlcY_M203.pdb     -190.554332 kBT
2dlcY_M456.pdb     -132.382489 kBT
2dlcY_M21.pdb     -227.302033 kBT
2dlcY_M459.pdb     -182.714077 kBT
2dlcY_M240.pdb     -194.238559 kBT
2dlcY_M44.pdb     -204.084491 kBT
2dlcY_M175.pdb     -222.321999 kBT
2dlcY_M13.pdb     -222.244777 kBT
2dlcY_M356.pdb     -170.354945 kBT
2dlcY_M392.pdb     -174.845178 kBT
2dlcY_M366.pdb     -176.239333 kBT
2dlcY_M359.pdb     -189.214581 kBT
2dlcY_M74.pdb     -195.575796 kBT
2dlcY_M270.pdb     -175.059195 kBT
2dlcY_M369.pdb     -184.900487 kBT
2dlcY_M170.pdb     -175.906515 kBT
2dlcY_M47.pdb     -200.357019 kBT
2dlcY_M72.pdb     -220.636217 kBT
2dlcY_M262.pdb     -192.243175 kBT
2dlcY_M250.pdb     -171.720034 kBT
2dlcY_M238.pdb     -192.768284 kBT
2dlcY_M88.pdb     -205.364202 kBT
2dlcY_M284.pdb     -193.269177 kBT
2dlcY_M396.pdb     -172.596260 kBT
2dlcY_M58.pdb     -214.879126 kBT
2dlcY_M300.pdb     -175.117929 kBT
2dlcY_M419.pdb     -188.581781 kBT
2dlcY_M173.pdb     -181.861529 kBT
2dlcY_M305.pdb     -181.266473 kBT
2dlcY_M172.pdb     -185.485222 kBT
2dlcY_M236.pdb     -182.412800 kBT
2dlcY_M401.pdb     -163.410387 kBT
2dlcY_M480.pdb     -182.847662 kBT
2dlcY_M103.pdb     -196.690474 kBT
2dlcY_M368.pdb     -176.326147 kBT
2dlcY_M447.pdb     -156.213500 kBT
2dlcY_M475.pdb     -155.346344 kBT
2dlcY_M286.pdb     -167.135488 kBT
2dlcY_M400.pdb     -170.778528 kBT
2dlcY_M329.pdb     -152.697394 kBT
2dlcY_M308.pdb     -168.716487 kBT
2dlcY_M15.pdb     -217.695498 kBT
2dlcY_M489.pdb     -172.740849 kBT
2dlcY_M426.pdb     -162.653242 kBT
2dlcY_M151.pdb     -206.581271 kBT
2dlcY_M78.pdb     -204.100644 kBT
2dlcY_M108.pdb     -179.341204 kBT
2dlcY_M59.pdb     -197.606960 kBT
2dlcY_M467.pdb     -128.651420 kBT
2dlcY_M76.pdb     -203.493626 kBT
2dlcY_M19.pdb     -229.155866 kBT
2dlcY_M35.pdb     -210.382908 kBT
2dlcY_M258.pdb     -176.566857 kBT
2dlcY_M20.pdb     -224.031872 kBT
2dlcY_M469.pdb     -172.892331 kBT
2dlcY_M256.pdb     -189.520128 kBT
2dlcY_M183.pdb     -186.382847 kBT
2dlcY_M197.pdb     -182.866732 kBT
2dlcY_M268.pdb     -179.554475 kBT
2dlcY_M383.pdb     -159.219364 kBT
2dlcY_M267.pdb     -171.188715 kBT
2dlcY_M130.pdb     -189.335068 kBT
2dlcY_M304.pdb     -173.419159 kBT
2dlcY_M499.pdb     -159.872978 kBT
2dlcY_M352.pdb     -163.525233 kBT
2dlcY_M139.pdb     -189.437686 kBT
2dlcY_M93.pdb     -198.539061 kBT
2dlcY_M294.pdb     -178.131976 kBT
2dlcY_M324.pdb     -175.152864 kBT
2dlcY_M112.pdb     -201.566452 kBT
2dlcY_M235.pdb     -192.881225 kBT
2dlcY_M362.pdb     -188.371344 kBT
2dlcY_M316.pdb     -148.054730 kBT
2dlcY_M150.pdb     -175.300233 kBT
2dlcY_M23.pdb     -223.893326 kBT
2dlcY_M223.pdb     -176.007242 kBT
2dlcY_M457.pdb     -151.949979 kBT
2dlcY_M487.pdb     -176.394199 kBT
2dlcY_M274.pdb     -187.903115 kBT
2dlcY_M217.pdb     -166.771750 kBT
2dlcY_M416.pdb     -186.435866 kBT
2dlcY_M98.pdb     -195.419711 kBT
2dlcY_M152.pdb     -213.756841 kBT
2dlcY_M327.pdb     -176.276480 kBT
2dlcY_M100.pdb     -193.305760 kBT
2dlcY_M381.pdb     -182.069327 kBT
2dlcY_M331.pdb     -160.848451 kBT
2dlcY_M434.pdb     -170.758046 kBT
2dlcY_M438.pdb     -150.511411 kBT
2dlcY_M309.pdb     -166.084121 kBT
2dlcY_M496.pdb     -179.249141 kBT
2dlcY_M121.pdb     -197.519404 kBT
2dlcY_M178.pdb     -182.821197 kBT
2dlcY_M363.pdb     -157.231833 kBT
