2qbzX_M431.pdb     -544.086133 kBT
2qbzX_M157.pdb     -551.063276 kBT
2qbzX_M267.pdb     -512.661410 kBT
2qbzX_M406.pdb     -515.934838 kBT
2qbzX_M399.pdb     -494.174327 kBT
2qbzX_M302.pdb     -500.057423 kBT
2qbzX_M481.pdb     -488.702351 kBT
2qbzX_M346.pdb     -569.081295 kBT
2qbzX_M252.pdb     -506.880024 kBT
2qbzX_M139.pdb     -550.253529 kBT
2qbzX_M279.pdb     -532.481183 kBT
2qbzX_M320.pdb     -495.686098 kBT
2qbzX_M255.pdb     -501.756950 kBT
2qbzX_M126.pdb     -567.959416 kBT
2qbzX_M309.pdb     -525.979229 kBT
2qbzX_M447.pdb     -510.893626 kBT
2qbzX_M202.pdb     -534.192525 kBT
2qbzX_M396.pdb     -531.650014 kBT
2qbzX_M111.pdb     -568.723696 kBT
2qbzX_M197.pdb     -569.559324 kBT
2qbzX_M427.pdb     -540.868058 kBT
2qbzX_M344.pdb     -518.386437 kBT
2qbzX_M321.pdb     -514.522902 kBT
2qbzX_M273.pdb     -521.423215 kBT
2qbzX_M362.pdb     -527.512408 kBT
2qbzX_M173.pdb     -554.271750 kBT
2qbzX_M217.pdb     -545.203902 kBT
2qbzX_M123.pdb     -565.077372 kBT
2qbzX_M226.pdb     -530.817841 kBT
2qbzX_M297.pdb     -532.252738 kBT
2qbzX_M404.pdb     -509.635211 kBT
2qbzX_M471.pdb     -528.945621 kBT
2qbzX_M1.pdb     -609.559157 kBT
2qbzX_M490.pdb     -472.722412 kBT
2qbzX_M107.pdb     -527.747361 kBT
2qbzX_M257.pdb     -536.927882 kBT
2qbzX_M376.pdb     -511.891978 kBT
2qbzX_M141.pdb     -524.206654 kBT
2qbzX_M374.pdb     -484.002742 kBT
2qbzX_M289.pdb     -524.092044 kBT
2qbzX_M284.pdb     -526.092493 kBT
2qbzX_M80.pdb     -526.470329 kBT
2qbzX_M175.pdb     -546.803356 kBT
2qbzX_M15.pdb     -602.618175 kBT
2qbzX_M441.pdb     -510.970868 kBT
2qbzX_M135.pdb     -535.475181 kBT
2qbzX_M370.pdb     -526.028490 kBT
2qbzX_M194.pdb     -543.019907 kBT
2qbzX_M250.pdb     -545.795820 kBT
2qbzX_M168.pdb     -582.112210 kBT
2qbzX_M115.pdb     -564.805595 kBT
2qbzX_M130.pdb     -572.754012 kBT
2qbzX_M294.pdb     -513.527821 kBT
2qbzX_M179.pdb     -532.482500 kBT
2qbzX_M21.pdb     -606.385508 kBT
2qbzX_M483.pdb     -496.804478 kBT
2qbzX_M276.pdb     -532.052075 kBT
2qbzX_M148.pdb     -558.649033 kBT
2qbzX_M295.pdb     -480.612930 kBT
2qbzX_M112.pdb     -532.201374 kBT
2qbzX_M300.pdb     -519.114519 kBT
2qbzX_M246.pdb     -517.300628 kBT
2qbzX_M161.pdb     -521.225338 kBT
2qbzX_M116.pdb     -563.669569 kBT
2qbzX_M451.pdb     -508.621800 kBT
2qbzX_M274.pdb     -553.772239 kBT
2qbzX_M90.pdb     -549.074533 kBT
2qbzX_M293.pdb     -499.127481 kBT
2qbzX_M408.pdb     -510.526381 kBT
2qbzX_M498.pdb     -536.922229 kBT
2qbzX_M249.pdb     -569.503753 kBT
2qbzX_M413.pdb     -537.854032 kBT
2qbzX_M477.pdb     -503.610520 kBT
2qbzX_M443.pdb     -517.061953 kBT
2qbzX_M285.pdb     -522.453509 kBT
2qbzX_M496.pdb     -510.940142 kBT
2qbzX_M277.pdb     -503.972014 kBT
2qbzX_M368.pdb     -503.475922 kBT
2qbzX_M482.pdb     -495.989958 kBT
2qbzX_M256.pdb     -545.946630 kBT
2qbzX_M479.pdb     -514.379611 kBT
2qbzX_M453.pdb     -507.516520 kBT
2qbzX_M454.pdb     -505.490022 kBT
2qbzX_M465.pdb     -529.728180 kBT
2qbzX_M494.pdb     -499.749933 kBT
2qbzX_M359.pdb     -496.971142 kBT
2qbzX_M484.pdb     -539.073856 kBT
2qbzX_M442.pdb     -528.339810 kBT
2qbzX_M75.pdb     -526.684298 kBT
2qbzX_M85.pdb     -573.401059 kBT
2qbzX_M268.pdb     -551.530061 kBT
2qbzX_M228.pdb     -561.062465 kBT
2qbzX_M286.pdb     -512.023312 kBT
2qbzX_M247.pdb     -506.968422 kBT
2qbzX_M456.pdb     -482.120062 kBT
2qbzX_M488.pdb     -554.108599 kBT
2qbzX_M463.pdb     -559.580325 kBT
2qbzX_M108.pdb     -575.788379 kBT
2qbzX_M24.pdb     -594.874044 kBT
2qbzX_M233.pdb     -541.423612 kBT
2qbzX_M14.pdb     -600.159388 kBT
2qbzX_M195.pdb     -543.746222 kBT
2qbzX_M308.pdb     -563.646332 kBT
2qbzX_M326.pdb     -516.106920 kBT
2qbzX_M237.pdb     -499.803758 kBT
2qbzX_M439.pdb     -526.743425 kBT
2qbzX_M457.pdb     -492.979142 kBT
2qbzX_M386.pdb     -521.290982 kBT
2qbzX_M460.pdb     -464.195958 kBT
2qbzX_M117.pdb     -568.034505 kBT
2qbzX_M42.pdb     -576.177986 kBT
2qbzX_M138.pdb     -559.538275 kBT
2qbzX_M122.pdb     -545.982360 kBT
2qbzX_M235.pdb     -517.798471 kBT
2qbzX_M26.pdb     -603.678655 kBT
2qbzX_M199.pdb     -510.940548 kBT
2qbzX_M19.pdb     -578.833506 kBT
2qbzX_M74.pdb     -566.974024 kBT
2qbzX_M187.pdb     -483.591928 kBT
2qbzX_M475.pdb     -496.580989 kBT
2qbzX_M27.pdb     -562.043133 kBT
2qbzX_M219.pdb     -536.726156 kBT
2qbzX_M114.pdb     -567.034276 kBT
2qbzX_M48.pdb     -591.890233 kBT
2qbzX_M324.pdb     -491.961657 kBT
2qbzX_M428.pdb     -516.117495 kBT
2qbzX_M167.pdb     -540.890346 kBT
2qbzX_M170.pdb     -529.559273 kBT
2qbzX_M11.pdb     -617.545506 kBT
2qbzX_M262.pdb     -518.007384 kBT
2qbzX_M340.pdb     -510.044828 kBT
2qbzX_M198.pdb     -547.070147 kBT
2qbzX_M142.pdb     -548.645684 kBT
2qbzX_M87.pdb     -598.484590 kBT
2qbzX_M153.pdb     -526.792129 kBT
2qbzX_M222.pdb     -526.113827 kBT
2qbzX_M258.pdb     -548.751467 kBT
2qbzX_M151.pdb     -532.001368 kBT
2qbzX_M384.pdb     -525.241181 kBT
2qbzX_M303.pdb     -506.608762 kBT
2qbzX_M160.pdb     -543.106483 kBT
2qbzX_M332.pdb     -530.137065 kBT
2qbzX_M435.pdb     -525.427365 kBT
2qbzX_M125.pdb     -532.045667 kBT
2qbzX_M473.pdb     -549.640765 kBT
2qbzX_M455.pdb     -515.260534 kBT
2qbzX_M2.pdb     -596.833732 kBT
2qbzX_M88.pdb     -553.416206 kBT
2qbzX_M244.pdb     -527.230766 kBT
2qbzX_M208.pdb     -522.123772 kBT
2qbzX_M400.pdb     -524.250702 kBT
2qbzX_M259.pdb     -507.511385 kBT
2qbzX_M458.pdb     -553.811759 kBT
2qbzX_M52.pdb     -573.606213 kBT
2qbzX_M30.pdb     -592.208272 kBT
2qbzX_M335.pdb     -492.339946 kBT
2qbzX_M140.pdb     -484.243420 kBT
2qbzX_M159.pdb     -568.580412 kBT
2qbzX_M25.pdb     -580.483692 kBT
2qbzX_M343.pdb     -546.986113 kBT
2qbzX_M3.pdb     -597.346044 kBT
2qbzX_M207.pdb     -539.136371 kBT
2qbzX_M280.pdb     -504.697497 kBT
2qbzX_M127.pdb     -527.462193 kBT
2qbzX_M60.pdb     -602.755952 kBT
2qbzX_M342.pdb     -501.927706 kBT
2qbzX_M36.pdb     -579.688575 kBT
2qbzX_M459.pdb     -504.154477 kBT
2qbzX_M109.pdb     -537.466722 kBT
2qbzX_M183.pdb     -563.918036 kBT
2qbzX_M319.pdb     -493.756073 kBT
2qbzX_M311.pdb     -513.383600 kBT
2qbzX_M220.pdb     -552.017775 kBT
2qbzX_M223.pdb     -506.276031 kBT
2qbzX_M56.pdb     -572.445538 kBT
2qbzX_M452.pdb     -492.360251 kBT
2qbzX_M306.pdb     -520.494351 kBT
2qbzX_M134.pdb     -543.672325 kBT
2qbzX_M69.pdb     -559.494401 kBT
2qbzX_M304.pdb     -475.544547 kBT
2qbzX_M360.pdb     -523.143954 kBT
2qbzX_M165.pdb     -523.448503 kBT
2qbzX_M248.pdb     -544.251327 kBT
2qbzX_M383.pdb     -494.716707 kBT
2qbzX_M429.pdb     -500.197628 kBT
2qbzX_M196.pdb     -535.588637 kBT
2qbzX_M132.pdb     -536.305373 kBT
2qbzX_M275.pdb     -544.293124 kBT
2qbzX_M239.pdb     -518.280561 kBT
2qbzX_M402.pdb     -505.297453 kBT
2qbzX_M240.pdb     -502.024526 kBT
2qbzX_M46.pdb     -561.990535 kBT
2qbzX_M322.pdb     -509.538907 kBT
2qbzX_M129.pdb     -526.271934 kBT
2qbzX_M97.pdb     -557.932411 kBT
2qbzX_M372.pdb     -521.573776 kBT
2qbzX_M355.pdb     -496.361917 kBT
2qbzX_M446.pdb     -523.670536 kBT
2qbzX_M337.pdb     -517.178164 kBT
2qbzX_M182.pdb     -509.654594 kBT
2qbzX_M388.pdb     -529.298451 kBT
2qbzX_M430.pdb     -502.766399 kBT
2qbzX_M9.pdb     -607.025425 kBT
2qbzX_M417.pdb     -543.725806 kBT
2qbzX_M158.pdb     -545.605464 kBT
2qbzX_M365.pdb     -497.680688 kBT
2qbzX_M128.pdb     -499.181682 kBT
2qbzX_M211.pdb     -516.947899 kBT
2qbzX_M136.pdb     -569.206844 kBT
2qbzX_M181.pdb     -545.489463 kBT
2qbzX_M265.pdb     -526.161710 kBT
2qbzX_M92.pdb     -545.647219 kBT
2qbzX_M224.pdb     -548.184656 kBT
2qbzX_M20.pdb     -583.995666 kBT
2qbzX_M487.pdb     -515.321285 kBT
2qbzX_M186.pdb     -534.832938 kBT
2qbzX_M204.pdb     -521.969538 kBT
2qbzX_M299.pdb     -543.652490 kBT
2qbzX_M61.pdb     -566.547075 kBT
2qbzX_M382.pdb     -494.613818 kBT
2qbzX_M375.pdb     -511.824892 kBT
2qbzX_M327.pdb     -552.548828 kBT
2qbzX_M100.pdb     -571.630401 kBT
2qbzX_M330.pdb     -506.513428 kBT
2qbzX_M225.pdb     -554.385921 kBT
2qbzX_M461.pdb     -507.476361 kBT
2qbzX_M131.pdb     -585.165052 kBT
2qbzX_M313.pdb     -490.634680 kBT
2qbzX_M89.pdb     -571.470247 kBT
2qbzX_M5.pdb     -617.190410 kBT
2qbzX_M149.pdb     -542.289245 kBT
2qbzX_M110.pdb     -612.963487 kBT
2qbzX_M133.pdb     -550.156135 kBT
2qbzX_M154.pdb     -541.568133 kBT
2qbzX_M101.pdb     -546.182995 kBT
2qbzX_M62.pdb     -576.733455 kBT
2qbzX_M467.pdb     -519.426933 kBT
2qbzX_M63.pdb     -578.451373 kBT
2qbzX_M29.pdb     -552.123037 kBT
2qbzX_M282.pdb     -541.079319 kBT
2qbzX_M381.pdb     -514.831237 kBT
2qbzX_M43.pdb     -587.221598 kBT
2qbzX_M81.pdb     -543.342412 kBT
2qbzX_M497.pdb     -508.743725 kBT
2qbzX_M28.pdb     -555.404054 kBT
2qbzX_M84.pdb     -570.743988 kBT
2qbzX_M99.pdb     -522.448904 kBT
2qbzX_M480.pdb     -487.026381 kBT
2qbzX_M98.pdb     -520.254370 kBT
2qbzX_M307.pdb     -497.905181 kBT
2qbzX_M414.pdb     -499.071743 kBT
2qbzX_M491.pdb     -511.246442 kBT
2qbzX_M392.pdb     -501.403130 kBT
2qbzX_M245.pdb     -510.098790 kBT
2qbzX_M76.pdb     -524.488813 kBT
2qbzX_M369.pdb     -528.617364 kBT
2qbzX_M333.pdb     -532.413703 kBT
2qbzX_M476.pdb     -502.705705 kBT
2qbzX_M329.pdb     -547.479678 kBT
2qbzX_M47.pdb     -576.226326 kBT
2qbzX_M266.pdb     -496.383024 kBT
2qbzX_M41.pdb     -627.824689 kBT
2qbzX_M269.pdb     -516.739515 kBT
2qbzX_M57.pdb     -575.976135 kBT
2qbzX_M231.pdb     -506.292503 kBT
2qbzX_M281.pdb     -561.850761 kBT
2qbzX_M409.pdb     -492.070971 kBT
2qbzX_M189.pdb     -570.487083 kBT
2qbzX_M380.pdb     -524.526438 kBT
2qbzX_M22.pdb     -562.543957 kBT
2qbzX_M371.pdb     -519.923645 kBT
2qbzX_M358.pdb     -519.302725 kBT
2qbzX_M104.pdb     -534.240184 kBT
2qbzX_M338.pdb     -536.921390 kBT
2qbzX_M32.pdb     -586.558326 kBT
2qbzX_M251.pdb     -500.263895 kBT
2qbzX_M227.pdb     -557.044063 kBT
2qbzX_M45.pdb     -561.658844 kBT
2qbzX_M7.pdb     -619.328080 kBT
2qbzX_M278.pdb     -552.001263 kBT
2qbzX_M206.pdb     -569.752236 kBT
2qbzX_M124.pdb     -533.448695 kBT
2qbzX_M341.pdb     -524.592217 kBT
2qbzX_M489.pdb     -542.485480 kBT
2qbzX_M478.pdb     -505.553205 kBT
2qbzX_M336.pdb     -522.592044 kBT
2qbzX_M37.pdb     -586.548426 kBT
2qbzX_M155.pdb     -581.225298 kBT
2qbzX_M200.pdb     -550.491615 kBT
2qbzX_M500.pdb     -524.345524 kBT
2qbzX_M236.pdb     -539.539280 kBT
2qbzX_M241.pdb     -557.649332 kBT
2qbzX_M174.pdb     -521.516665 kBT
2qbzX_M95.pdb     -594.804210 kBT
2qbzX_M234.pdb     -538.292924 kBT
2qbzX_M192.pdb     -577.507945 kBT
2qbzX_M83.pdb     -591.745505 kBT
2qbzX_M366.pdb     -533.766057 kBT
2qbzX_M171.pdb     -531.970657 kBT
2qbzX_M113.pdb     -559.752266 kBT
2qbzX_M438.pdb     -477.370389 kBT
2qbzX_M421.pdb     -500.219720 kBT
2qbzX_M180.pdb     -501.706269 kBT
2qbzX_M472.pdb     -492.853428 kBT
2qbzX_M474.pdb     -520.943229 kBT
2qbzX_M4.pdb     -612.556800 kBT
2qbzX_M314.pdb     -546.055607 kBT
2qbzX_M49.pdb     -589.948312 kBT
2qbzX_M203.pdb     -526.210788 kBT
2qbzX_M10.pdb     -592.679966 kBT
2qbzX_M94.pdb     -567.594677 kBT
2qbzX_M450.pdb     -501.967985 kBT
2qbzX_M193.pdb     -518.968296 kBT
2qbzX_M328.pdb     -499.980830 kBT
2qbzX_M143.pdb     -534.321504 kBT
2qbzX_M176.pdb     -534.825549 kBT
2qbzX_M156.pdb     -545.241301 kBT
2qbzX_M96.pdb     -555.063073 kBT
2qbzX_M147.pdb     -538.863969 kBT
2qbzX_M433.pdb     -554.614426 kBT
2qbzX_M411.pdb     -497.037886 kBT
2qbzX_M492.pdb     -544.070134 kBT
2qbzX_M253.pdb     -549.731180 kBT
2qbzX_M35.pdb     -579.554306 kBT
2qbzX_M424.pdb     -527.602934 kBT
2qbzX_M38.pdb     -594.506691 kBT
2qbzX_M201.pdb     -558.196220 kBT
2qbzX_M178.pdb     -538.779370 kBT
2qbzX_M363.pdb     -517.479897 kBT
2qbzX_M405.pdb     -480.091262 kBT
2qbzX_M391.pdb     -507.524209 kBT
2qbzX_M271.pdb     -538.722010 kBT
2qbzX_M55.pdb     -567.915185 kBT
2qbzX_M238.pdb     -532.356676 kBT
2qbzX_M150.pdb     -565.527674 kBT
2qbzX_M469.pdb     -506.788345 kBT
2qbzX_M71.pdb     -575.945153 kBT
2qbzX_M232.pdb     -525.014741 kBT
2qbzX_M23.pdb     -598.630033 kBT
2qbzX_M401.pdb     -521.851400 kBT
2qbzX_M270.pdb     -508.100786 kBT
2qbzX_M77.pdb     -583.755446 kBT
2qbzX_M312.pdb     -547.438524 kBT
2qbzX_M6.pdb     -594.473216 kBT
2qbzX_M33.pdb     -569.969992 kBT
2qbzX_M291.pdb     -546.025629 kBT
2qbzX_M218.pdb     -494.806472 kBT
2qbzX_M215.pdb     -561.731138 kBT
2qbzX_M436.pdb     -499.448198 kBT
2qbzX_M323.pdb     -504.672861 kBT
2qbzX_M422.pdb     -487.663530 kBT
2qbzX_M298.pdb     -540.761595 kBT
2qbzX_M263.pdb     -497.533366 kBT
2qbzX_M317.pdb     -554.562415 kBT
2qbzX_M449.pdb     -529.665418 kBT
2qbzX_M403.pdb     -525.753308 kBT
2qbzX_M288.pdb     -504.249256 kBT
2qbzX.pdb     -657.185204 kBT
2qbzX_M59.pdb     -577.206796 kBT
2qbzX_M12.pdb     -597.116213 kBT
2qbzX_M44.pdb     -581.500930 kBT
2qbzX_M315.pdb     -518.912190 kBT
2qbzX_M190.pdb     -520.381053 kBT
2qbzX_M495.pdb     -496.291434 kBT
2qbzX_M440.pdb     -482.590767 kBT
2qbzX_M91.pdb     -582.042854 kBT
2qbzX_M166.pdb     -546.731483 kBT
2qbzX_M464.pdb     -536.382992 kBT
2qbzX_M310.pdb     -509.155175 kBT
2qbzX_M350.pdb     -545.931825 kBT
2qbzX_M432.pdb     -523.197067 kBT
2qbzX_M64.pdb     -565.530287 kBT
2qbzX_M416.pdb     -517.774395 kBT
2qbzX_M264.pdb     -499.415263 kBT
2qbzX_M466.pdb     -531.090910 kBT
2qbzX_M191.pdb     -549.257148 kBT
2qbzX_M390.pdb     -459.006405 kBT
2qbzX_M205.pdb     -533.780241 kBT
2qbzX_M407.pdb     -474.837695 kBT
2qbzX_M216.pdb     -514.742160 kBT
2qbzX_M448.pdb     -531.259269 kBT
2qbzX_M66.pdb     -565.193305 kBT
2qbzX_M121.pdb     -545.861936 kBT
2qbzX_M54.pdb     -570.750316 kBT
2qbzX_M425.pdb     -487.869954 kBT
2qbzX_M351.pdb     -507.771433 kBT
2qbzX_M210.pdb     -540.856772 kBT
2qbzX_M213.pdb     -519.216480 kBT
2qbzX_M398.pdb     -500.423994 kBT
2qbzX_M410.pdb     -516.594564 kBT
2qbzX_M361.pdb     -519.541375 kBT
2qbzX_M164.pdb     -514.556569 kBT
2qbzX_M353.pdb     -511.749900 kBT
2qbzX_M261.pdb     -508.880276 kBT
2qbzX_M50.pdb     -572.711272 kBT
2qbzX_M393.pdb     -514.496029 kBT
2qbzX_M305.pdb     -554.409154 kBT
2qbzX_M146.pdb     -519.500267 kBT
2qbzX_M357.pdb     -508.280429 kBT
2qbzX_M486.pdb     -543.905804 kBT
2qbzX_M93.pdb     -548.015518 kBT
2qbzX_M39.pdb     -551.285697 kBT
2qbzX_M102.pdb     -553.589999 kBT
2qbzX_M68.pdb     -583.508410 kBT
2qbzX_M79.pdb     -555.464288 kBT
2qbzX_M221.pdb     -555.863719 kBT
2qbzX_M31.pdb     -565.507188 kBT
2qbzX_M373.pdb     -538.374299 kBT
2qbzX_M144.pdb     -506.077525 kBT
2qbzX_M209.pdb     -542.792548 kBT
