1h4sT_M51.pdb     -245.590034 kBT
1h4sT_M328.pdb     -222.950224 kBT
1h4sT_M165.pdb     -197.741445 kBT
1h4sT_M256.pdb     -197.626905 kBT
1h4sT_M201.pdb     -205.891567 kBT
1h4sT_M284.pdb     -216.469988 kBT
1h4sT_M268.pdb     -203.608899 kBT
1h4sT_M21.pdb     -246.885410 kBT
1h4sT_M280.pdb     -232.499578 kBT
1h4sT_M16.pdb     -239.865697 kBT
1h4sT_M330.pdb     -186.526352 kBT
1h4sT_M204.pdb     -208.264893 kBT
1h4sT_M391.pdb     -163.253950 kBT
1h4sT_M129.pdb     -195.632504 kBT
1h4sT_M66.pdb     -233.381708 kBT
1h4sT_M154.pdb     -198.943868 kBT
1h4sT_M3.pdb     -263.795948 kBT
1h4sT_M379.pdb     -182.041123 kBT
1h4sT_M427.pdb     -198.005184 kBT
1h4sT_M407.pdb     -172.342687 kBT
1h4sT_M343.pdb     -209.057573 kBT
1h4sT_M67.pdb     -218.700416 kBT
1h4sT_M335.pdb     -173.947475 kBT
1h4sT_M158.pdb     -206.746273 kBT
1h4sT_M181.pdb     -203.883953 kBT
1h4sT_M356.pdb     -198.760588 kBT
1h4sT_M346.pdb     -201.264010 kBT
1h4sT_M105.pdb     -211.976636 kBT
1h4sT_M9.pdb     -263.435181 kBT
1h4sT_M171.pdb     -206.089604 kBT
1h4sT_M210.pdb     -228.231541 kBT
1h4sT_M180.pdb     -205.858015 kBT
1h4sT_M220.pdb     -192.602235 kBT
1h4sT_M350.pdb     -183.748826 kBT
1h4sT_M455.pdb     -205.309702 kBT
1h4sT.pdb     -261.511712 kBT
1h4sT_M13.pdb     -239.792235 kBT
1h4sT_M102.pdb     -213.458772 kBT
1h4sT_M1.pdb     -259.600760 kBT
1h4sT_M7.pdb     -265.045702 kBT
1h4sT_M58.pdb     -222.716406 kBT
1h4sT_M303.pdb     -162.443507 kBT
1h4sT_M349.pdb     -185.927001 kBT
1h4sT_M80.pdb     -230.620654 kBT
1h4sT_M97.pdb     -196.760662 kBT
1h4sT_M252.pdb     -181.748736 kBT
1h4sT_M402.pdb     -174.716287 kBT
1h4sT_M254.pdb     -200.053666 kBT
1h4sT_M340.pdb     -178.006670 kBT
1h4sT_M295.pdb     -183.802961 kBT
1h4sT_M298.pdb     -216.194815 kBT
1h4sT_M219.pdb     -188.445233 kBT
1h4sT_M471.pdb     -207.923796 kBT
1h4sT_M85.pdb     -213.730783 kBT
1h4sT_M307.pdb     -200.607900 kBT
1h4sT_M103.pdb     -206.670251 kBT
1h4sT_M150.pdb     -198.600346 kBT
1h4sT_M140.pdb     -202.165766 kBT
1h4sT_M319.pdb     -189.646214 kBT
1h4sT_M362.pdb     -201.409491 kBT
1h4sT_M300.pdb     -224.464864 kBT
1h4sT_M410.pdb     -185.326424 kBT
1h4sT_M326.pdb     -185.212682 kBT
1h4sT_M57.pdb     -221.036494 kBT
1h4sT_M155.pdb     -201.425255 kBT
1h4sT_M203.pdb     -210.732650 kBT
1h4sT_M344.pdb     -198.800459 kBT
1h4sT_M175.pdb     -220.613149 kBT
1h4sT_M488.pdb     -188.403123 kBT
1h4sT_M56.pdb     -228.892348 kBT
1h4sT_M69.pdb     -226.573110 kBT
1h4sT_M462.pdb     -200.240033 kBT
1h4sT_M43.pdb     -228.467957 kBT
1h4sT_M72.pdb     -217.435976 kBT
1h4sT_M124.pdb     -203.921060 kBT
1h4sT_M118.pdb     -225.993618 kBT
1h4sT_M104.pdb     -220.080703 kBT
1h4sT_M419.pdb     -190.535245 kBT
1h4sT_M112.pdb     -215.686045 kBT
1h4sT_M275.pdb     -197.906367 kBT
1h4sT_M358.pdb     -185.312649 kBT
1h4sT_M176.pdb     -198.995063 kBT
1h4sT_M294.pdb     -227.794586 kBT
1h4sT_M126.pdb     -237.058826 kBT
1h4sT_M442.pdb     -180.844352 kBT
1h4sT_M247.pdb     -216.321152 kBT
1h4sT_M146.pdb     -192.038423 kBT
1h4sT_M454.pdb     -185.279497 kBT
1h4sT_M354.pdb     -195.913544 kBT
1h4sT_M399.pdb     -181.718544 kBT
1h4sT_M460.pdb     -198.714445 kBT
1h4sT_M310.pdb     -170.215317 kBT
1h4sT_M438.pdb     -189.841069 kBT
1h4sT_M281.pdb     -209.397320 kBT
1h4sT_M432.pdb     -180.416362 kBT
1h4sT_M288.pdb     -211.622675 kBT
1h4sT_M239.pdb     -198.369197 kBT
1h4sT_M249.pdb     -176.518986 kBT
1h4sT_M325.pdb     -212.753688 kBT
1h4sT_M197.pdb     -225.121145 kBT
1h4sT_M31.pdb     -227.770708 kBT
1h4sT_M206.pdb     -200.531302 kBT
1h4sT_M366.pdb     -182.427718 kBT
1h4sT_M323.pdb     -200.919641 kBT
1h4sT_M170.pdb     -199.621326 kBT
1h4sT_M147.pdb     -194.982219 kBT
1h4sT_M450.pdb     -178.865803 kBT
1h4sT_M193.pdb     -208.880511 kBT
1h4sT_M311.pdb     -173.009448 kBT
1h4sT_M339.pdb     -201.144145 kBT
1h4sT_M218.pdb     -211.998286 kBT
1h4sT_M182.pdb     -207.843028 kBT
1h4sT_M205.pdb     -234.952351 kBT
1h4sT_M49.pdb     -246.303004 kBT
1h4sT_M149.pdb     -220.008412 kBT
1h4sT_M400.pdb     -187.947270 kBT
1h4sT_M37.pdb     -245.511065 kBT
1h4sT_M152.pdb     -212.111834 kBT
1h4sT_M230.pdb     -177.924721 kBT
1h4sT_M79.pdb     -202.560969 kBT
1h4sT_M312.pdb     -213.576079 kBT
1h4sT_M266.pdb     -208.163312 kBT
1h4sT_M434.pdb     -194.987146 kBT
1h4sT_M77.pdb     -217.453386 kBT
1h4sT_M148.pdb     -224.379080 kBT
1h4sT_M449.pdb     -209.164796 kBT
1h4sT_M17.pdb     -242.956332 kBT
1h4sT_M316.pdb     -195.755541 kBT
1h4sT_M286.pdb     -193.122751 kBT
1h4sT_M86.pdb     -225.199290 kBT
1h4sT_M484.pdb     -202.246381 kBT
1h4sT_M62.pdb     -223.451654 kBT
1h4sT_M264.pdb     -171.178155 kBT
1h4sT_M11.pdb     -264.157349 kBT
1h4sT_M369.pdb     -181.999947 kBT
1h4sT_M491.pdb     -200.047715 kBT
1h4sT_M496.pdb     -188.642396 kBT
1h4sT_M48.pdb     -234.903391 kBT
1h4sT_M452.pdb     -201.637354 kBT
1h4sT_M73.pdb     -240.962715 kBT
1h4sT_M464.pdb     -165.960381 kBT
1h4sT_M260.pdb     -206.571958 kBT
1h4sT_M321.pdb     -180.239037 kBT
1h4sT_M82.pdb     -228.009583 kBT
1h4sT_M415.pdb     -200.738325 kBT
1h4sT_M500.pdb     -194.864481 kBT
1h4sT_M159.pdb     -227.938226 kBT
1h4sT_M68.pdb     -224.644968 kBT
1h4sT_M331.pdb     -191.154866 kBT
1h4sT_M301.pdb     -193.988596 kBT
1h4sT_M64.pdb     -218.632848 kBT
1h4sT_M168.pdb     -210.935558 kBT
1h4sT_M368.pdb     -169.292918 kBT
1h4sT_M492.pdb     -187.310461 kBT
1h4sT_M498.pdb     -193.853789 kBT
1h4sT_M446.pdb     -215.594356 kBT
1h4sT_M322.pdb     -192.857987 kBT
1h4sT_M378.pdb     -195.465094 kBT
1h4sT_M364.pdb     -207.115717 kBT
1h4sT_M46.pdb     -246.649275 kBT
1h4sT_M324.pdb     -196.465506 kBT
1h4sT_M174.pdb     -211.761254 kBT
1h4sT_M480.pdb     -181.855564 kBT
1h4sT_M373.pdb     -175.473751 kBT
1h4sT_M409.pdb     -200.305606 kBT
1h4sT_M237.pdb     -213.110173 kBT
1h4sT_M251.pdb     -199.821432 kBT
1h4sT_M95.pdb     -222.110935 kBT
1h4sT_M359.pdb     -217.675360 kBT
1h4sT_M144.pdb     -219.867055 kBT
1h4sT_M20.pdb     -254.513932 kBT
1h4sT_M202.pdb     -221.368562 kBT
1h4sT_M381.pdb     -179.741509 kBT
1h4sT_M108.pdb     -211.274322 kBT
1h4sT_M282.pdb     -207.395884 kBT
1h4sT_M27.pdb     -240.658321 kBT
1h4sT_M291.pdb     -224.557567 kBT
1h4sT_M23.pdb     -237.165591 kBT
1h4sT_M227.pdb     -220.730307 kBT
1h4sT_M458.pdb     -168.739697 kBT
1h4sT_M137.pdb     -216.197360 kBT
1h4sT_M337.pdb     -208.274909 kBT
1h4sT_M233.pdb     -196.341133 kBT
1h4sT_M39.pdb     -237.188686 kBT
1h4sT_M83.pdb     -219.519167 kBT
1h4sT_M308.pdb     -202.921697 kBT
1h4sT_M423.pdb     -202.745111 kBT
1h4sT_M269.pdb     -199.383661 kBT
1h4sT_M390.pdb     -211.551626 kBT
1h4sT_M90.pdb     -232.305367 kBT
1h4sT_M293.pdb     -238.331476 kBT
1h4sT_M371.pdb     -199.187484 kBT
1h4sT_M78.pdb     -225.336788 kBT
1h4sT_M235.pdb     -198.673736 kBT
1h4sT_M271.pdb     -194.967768 kBT
1h4sT_M93.pdb     -210.342551 kBT
1h4sT_M8.pdb     -255.314219 kBT
1h4sT_M383.pdb     -192.451823 kBT
1h4sT_M412.pdb     -215.619326 kBT
1h4sT_M226.pdb     -205.114259 kBT
1h4sT_M363.pdb     -203.720276 kBT
1h4sT_M184.pdb     -215.050170 kBT
1h4sT_M456.pdb     -195.461414 kBT
1h4sT_M114.pdb     -222.528904 kBT
1h4sT_M71.pdb     -218.654463 kBT
1h4sT_M292.pdb     -186.255600 kBT
1h4sT_M494.pdb     -206.315326 kBT
1h4sT_M76.pdb     -217.561251 kBT
1h4sT_M125.pdb     -219.236568 kBT
1h4sT_M273.pdb     -221.404089 kBT
1h4sT_M457.pdb     -235.836014 kBT
1h4sT_M283.pdb     -227.004022 kBT
1h4sT_M476.pdb     -162.835704 kBT
1h4sT_M225.pdb     -186.910247 kBT
1h4sT_M172.pdb     -216.546675 kBT
1h4sT_M443.pdb     -206.726603 kBT
1h4sT_M54.pdb     -233.825561 kBT
1h4sT_M212.pdb     -215.493920 kBT
1h4sT_M425.pdb     -204.620900 kBT
1h4sT_M106.pdb     -222.863193 kBT
1h4sT_M341.pdb     -204.513525 kBT
1h4sT_M270.pdb     -204.694260 kBT
1h4sT_M47.pdb     -226.427045 kBT
1h4sT_M59.pdb     -229.855830 kBT
1h4sT_M433.pdb     -204.187911 kBT
1h4sT_M372.pdb     -193.321650 kBT
1h4sT_M338.pdb     -203.946634 kBT
1h4sT_M94.pdb     -215.772051 kBT
1h4sT_M45.pdb     -234.144091 kBT
1h4sT_M489.pdb     -179.829532 kBT
1h4sT_M89.pdb     -215.997975 kBT
1h4sT_M52.pdb     -222.598378 kBT
1h4sT_M92.pdb     -232.597075 kBT
1h4sT_M243.pdb     -208.927837 kBT
1h4sT_M463.pdb     -167.229567 kBT
1h4sT_M88.pdb     -219.253945 kBT
1h4sT_M96.pdb     -231.519948 kBT
1h4sT_M142.pdb     -212.198597 kBT
1h4sT_M240.pdb     -211.148095 kBT
1h4sT_M195.pdb     -217.965761 kBT
1h4sT_M41.pdb     -238.728960 kBT
1h4sT_M130.pdb     -199.434794 kBT
1h4sT_M32.pdb     -230.671612 kBT
1h4sT_M169.pdb     -205.017367 kBT
1h4sT_M50.pdb     -224.081059 kBT
1h4sT_M207.pdb     -200.970403 kBT
1h4sT_M365.pdb     -197.366953 kBT
1h4sT_M428.pdb     -209.393256 kBT
1h4sT_M113.pdb     -207.858891 kBT
1h4sT_M70.pdb     -215.577034 kBT
1h4sT_M351.pdb     -222.689244 kBT
1h4sT_M221.pdb     -212.103324 kBT
1h4sT_M279.pdb     -188.536595 kBT
1h4sT_M24.pdb     -252.277996 kBT
1h4sT_M99.pdb     -233.837085 kBT
1h4sT_M40.pdb     -237.385790 kBT
1h4sT_M117.pdb     -199.775296 kBT
1h4sT_M120.pdb     -230.230119 kBT
1h4sT_M132.pdb     -207.469238 kBT
1h4sT_M244.pdb     -186.165761 kBT
1h4sT_M375.pdb     -180.600393 kBT
1h4sT_M290.pdb     -186.406335 kBT
1h4sT_M302.pdb     -182.511661 kBT
1h4sT_M199.pdb     -202.416505 kBT
1h4sT_M216.pdb     -212.796449 kBT
1h4sT_M123.pdb     -227.601621 kBT
1h4sT_M461.pdb     -208.051683 kBT
1h4sT_M191.pdb     -204.305628 kBT
1h4sT_M157.pdb     -194.660961 kBT
1h4sT_M241.pdb     -208.835257 kBT
1h4sT_M493.pdb     -186.411867 kBT
1h4sT_M98.pdb     -225.206629 kBT
1h4sT_M61.pdb     -243.606283 kBT
1h4sT_M404.pdb     -190.128415 kBT
1h4sT_M436.pdb     -196.931862 kBT
1h4sT_M42.pdb     -228.776350 kBT
1h4sT_M34.pdb     -245.758919 kBT
1h4sT_M33.pdb     -242.455418 kBT
1h4sT_M128.pdb     -212.530668 kBT
1h4sT_M18.pdb     -254.341422 kBT
1h4sT_M483.pdb     -200.703078 kBT
1h4sT_M465.pdb     -203.673682 kBT
1h4sT_M162.pdb     -225.565391 kBT
1h4sT_M352.pdb     -201.191945 kBT
1h4sT_M133.pdb     -215.308043 kBT
1h4sT_M448.pdb     -201.186798 kBT
1h4sT_M84.pdb     -204.064394 kBT
1h4sT_M248.pdb     -210.494165 kBT
1h4sT_M299.pdb     -183.252732 kBT
1h4sT_M190.pdb     -196.556466 kBT
1h4sT_M313.pdb     -212.293018 kBT
1h4sT_M135.pdb     -174.614959 kBT
1h4sT_M29.pdb     -239.712382 kBT
1h4sT_M382.pdb     -213.661757 kBT
1h4sT_M408.pdb     -214.626198 kBT
1h4sT_M255.pdb     -188.961863 kBT
1h4sT_M447.pdb     -182.234069 kBT
1h4sT_M418.pdb     -209.704777 kBT
1h4sT_M223.pdb     -201.514184 kBT
1h4sT_M361.pdb     -185.025227 kBT
1h4sT_M265.pdb     -195.424687 kBT
1h4sT_M466.pdb     -184.026272 kBT
1h4sT_M417.pdb     -187.667469 kBT
1h4sT_M297.pdb     -191.383530 kBT
1h4sT_M385.pdb     -206.595096 kBT
1h4sT_M238.pdb     -192.125291 kBT
1h4sT_M178.pdb     -202.307425 kBT
1h4sT_M305.pdb     -189.370656 kBT
1h4sT_M131.pdb     -218.886499 kBT
1h4sT_M413.pdb     -181.099595 kBT
1h4sT_M242.pdb     -203.854711 kBT
1h4sT_M345.pdb     -207.501376 kBT
1h4sT_M394.pdb     -178.688306 kBT
1h4sT_M357.pdb     -204.632783 kBT
1h4sT_M119.pdb     -208.480429 kBT
1h4sT_M136.pdb     -219.266134 kBT
1h4sT_M342.pdb     -197.740988 kBT
1h4sT_M231.pdb     -199.749988 kBT
1h4sT_M141.pdb     -214.719936 kBT
1h4sT_M445.pdb     -204.279847 kBT
1h4sT_M5.pdb     -253.097717 kBT
1h4sT_M274.pdb     -177.181783 kBT
1h4sT_M60.pdb     -238.317123 kBT
1h4sT_M398.pdb     -188.443418 kBT
1h4sT_M44.pdb     -238.799411 kBT
1h4sT_M22.pdb     -237.353645 kBT
1h4sT_M2.pdb     -259.563440 kBT
1h4sT_M332.pdb     -213.755199 kBT
1h4sT_M497.pdb     -179.185877 kBT
1h4sT_M186.pdb     -185.643757 kBT
1h4sT_M101.pdb     -233.102775 kBT
1h4sT_M259.pdb     -185.754636 kBT
1h4sT_M441.pdb     -197.873429 kBT
1h4sT_M35.pdb     -228.727992 kBT
1h4sT_M336.pdb     -179.477616 kBT
1h4sT_M296.pdb     -189.630290 kBT
1h4sT_M55.pdb     -238.222714 kBT
1h4sT_M376.pdb     -207.004590 kBT
1h4sT_M444.pdb     -196.356103 kBT
1h4sT_M374.pdb     -214.201085 kBT
1h4sT_M487.pdb     -180.537944 kBT
1h4sT_M479.pdb     -217.022973 kBT
1h4sT_M384.pdb     -197.529513 kBT
1h4sT_M318.pdb     -195.154442 kBT
1h4sT_M127.pdb     -193.456212 kBT
1h4sT_M115.pdb     -206.512812 kBT
1h4sT_M258.pdb     -192.553401 kBT
1h4sT_M28.pdb     -233.635731 kBT
1h4sT_M200.pdb     -215.782643 kBT
1h4sT_M474.pdb     -217.831313 kBT
1h4sT_M329.pdb     -184.731458 kBT
1h4sT_M389.pdb     -200.994975 kBT
1h4sT_M12.pdb     -250.062014 kBT
1h4sT_M215.pdb     -214.322223 kBT
1h4sT_M38.pdb     -246.062189 kBT
1h4sT_M420.pdb     -197.265537 kBT
1h4sT_M453.pdb     -189.672316 kBT
1h4sT_M145.pdb     -210.512888 kBT
1h4sT_M304.pdb     -178.271672 kBT
1h4sT_M482.pdb     -207.121950 kBT
1h4sT_M477.pdb     -187.380588 kBT
1h4sT_M490.pdb     -193.807202 kBT
1h4sT_M386.pdb     -181.802971 kBT
1h4sT_M263.pdb     -185.512724 kBT
1h4sT_M65.pdb     -233.072915 kBT
1h4sT_M347.pdb     -215.497846 kBT
1h4sT_M377.pdb     -189.303189 kBT
1h4sT_M253.pdb     -178.225809 kBT
1h4sT_M397.pdb     -218.343378 kBT
1h4sT_M250.pdb     -237.912773 kBT
1h4sT_M196.pdb     -190.512572 kBT
1h4sT_M309.pdb     -182.114304 kBT
1h4sT_M91.pdb     -213.934474 kBT
1h4sT_M287.pdb     -190.649944 kBT
1h4sT_M107.pdb     -210.886768 kBT
1h4sT_M478.pdb     -206.356467 kBT
1h4sT_M19.pdb     -247.467421 kBT
1h4sT_M437.pdb     -196.517896 kBT
1h4sT_M209.pdb     -225.487993 kBT
1h4sT_M36.pdb     -242.877935 kBT
1h4sT_M111.pdb     -210.980544 kBT
1h4sT_M395.pdb     -177.794916 kBT
1h4sT_M257.pdb     -233.095197 kBT
1h4sT_M440.pdb     -215.513903 kBT
1h4sT_M467.pdb     -197.984256 kBT
1h4sT_M314.pdb     -197.002059 kBT
1h4sT_M261.pdb     -209.195654 kBT
1h4sT_M475.pdb     -186.387904 kBT
1h4sT_M26.pdb     -240.665400 kBT
1h4sT_M406.pdb     -196.172159 kBT
1h4sT_M469.pdb     -191.876604 kBT
1h4sT_M388.pdb     -189.609286 kBT
1h4sT_M177.pdb     -195.825107 kBT
1h4sT_M401.pdb     -205.087412 kBT
1h4sT_M163.pdb     -196.196416 kBT
1h4sT_M217.pdb     -203.033721 kBT
1h4sT_M370.pdb     -218.228820 kBT
1h4sT_M134.pdb     -225.791399 kBT
1h4sT_M139.pdb     -196.019491 kBT
1h4sT_M75.pdb     -225.365322 kBT
1h4sT_M122.pdb     -240.779558 kBT
1h4sT_M348.pdb     -179.663999 kBT
1h4sT_M315.pdb     -203.122913 kBT
1h4sT_M160.pdb     -189.056983 kBT
1h4sT_M430.pdb     -210.028014 kBT
