2w2hS_M431.pdb     -45.397648 kBT
2w2hS_M295.pdb     -53.905880 kBT
2w2hS_M498.pdb     -69.764674 kBT
2w2hS_M347.pdb     -60.425177 kBT
2w2hS_M166.pdb     -70.899117 kBT
2w2hS_M417.pdb     -54.047524 kBT
2w2hS_M141.pdb     -72.953700 kBT
2w2hS_M25.pdb     -72.448163 kBT
2w2hS_M26.pdb     -62.776281 kBT
2w2hS_M298.pdb     -63.117832 kBT
2w2hS_M4.pdb     -75.741809 kBT
2w2hS_M293.pdb     -62.538760 kBT
2w2hS_M61.pdb     -71.391731 kBT
2w2hS_M357.pdb     -66.766462 kBT
2w2hS_M436.pdb     -69.719884 kBT
2w2hS_M415.pdb     -51.261698 kBT
2w2hS_M272.pdb     -62.030246 kBT
2w2hS_M6.pdb     -79.464168 kBT
2w2hS_M471.pdb     -78.487227 kBT
2w2hS_M443.pdb     -35.875015 kBT
2w2hS_M152.pdb     -70.254330 kBT
2w2hS_M492.pdb     -63.473002 kBT
2w2hS_M476.pdb     -62.979146 kBT
2w2hS_M5.pdb     -72.061687 kBT
2w2hS_M261.pdb     -64.444881 kBT
2w2hS_M445.pdb     -74.798596 kBT
2w2hS_M230.pdb     -62.959238 kBT
2w2hS_M45.pdb     -70.031046 kBT
2w2hS_M306.pdb     -79.680993 kBT
2w2hS_M389.pdb     -51.897368 kBT
2w2hS_M486.pdb     -73.999449 kBT
2w2hS_M276.pdb     -58.271063 kBT
2w2hS_M8.pdb     -71.749946 kBT
2w2hS_M358.pdb     -67.705643 kBT
2w2hS_M112.pdb     -86.243925 kBT
2w2hS_M129.pdb     -79.413041 kBT
2w2hS_M404.pdb     -78.917566 kBT
2w2hS_M46.pdb     -69.407324 kBT
2w2hS_M333.pdb     -47.316617 kBT
2w2hS_M335.pdb     -53.038663 kBT
2w2hS_M246.pdb     -68.596948 kBT
2w2hS_M323.pdb     -75.130919 kBT
2w2hS_M248.pdb     -71.515949 kBT
2w2hS_M13.pdb     -67.141416 kBT
2w2hS_M334.pdb     -59.575416 kBT
2w2hS_M28.pdb     -63.771834 kBT
2w2hS_M478.pdb     -44.986361 kBT
2w2hS_M69.pdb     -75.994455 kBT
2w2hS_M183.pdb     -52.474595 kBT
2w2hS_M394.pdb     -64.447449 kBT
2w2hS_M20.pdb     -76.662159 kBT
2w2hS_M482.pdb     -46.338217 kBT
2w2hS_M121.pdb     -70.401931 kBT
2w2hS_M302.pdb     -72.272171 kBT
2w2hS_M181.pdb     -72.624408 kBT
2w2hS_M266.pdb     -72.172444 kBT
2w2hS_M395.pdb     -62.368732 kBT
2w2hS_M72.pdb     -75.864024 kBT
2w2hS_M136.pdb     -65.548228 kBT
2w2hS_M364.pdb     -68.931032 kBT
2w2hS_M494.pdb     -43.492933 kBT
2w2hS_M97.pdb     -78.025146 kBT
2w2hS_M287.pdb     -53.740952 kBT
2w2hS_M142.pdb     -66.007800 kBT
2w2hS_M237.pdb     -62.354597 kBT
2w2hS_M191.pdb     -67.978389 kBT
2w2hS_M199.pdb     -62.778688 kBT
2w2hS_M150.pdb     -71.399206 kBT
2w2hS_M360.pdb     -47.783515 kBT
2w2hS_M71.pdb     -69.516678 kBT
2w2hS_M44.pdb     -81.913617 kBT
2w2hS_M265.pdb     -60.930546 kBT
2w2hS_M383.pdb     -71.688657 kBT
2w2hS_M216.pdb     -70.085263 kBT
2w2hS_M1.pdb     -76.195446 kBT
2w2hS_M92.pdb     -61.465231 kBT
2w2hS_M79.pdb     -64.657694 kBT
2w2hS_M458.pdb     -62.572255 kBT
2w2hS_M222.pdb     -71.648679 kBT
2w2hS_M453.pdb     -62.480621 kBT
2w2hS_M22.pdb     -83.436231 kBT
2w2hS_M387.pdb     -61.463781 kBT
2w2hS_M382.pdb     -58.870142 kBT
2w2hS_M238.pdb     -66.589599 kBT
2w2hS_M372.pdb     -89.195714 kBT
2w2hS_M118.pdb     -71.222795 kBT
2w2hS_M177.pdb     -65.240915 kBT
2w2hS_M189.pdb     -73.208092 kBT
2w2hS_M32.pdb     -81.044068 kBT
2w2hS_M371.pdb     -65.171454 kBT
2w2hS_M316.pdb     -58.531753 kBT
2w2hS_M145.pdb     -77.369415 kBT
2w2hS_M37.pdb     -75.141026 kBT
2w2hS_M355.pdb     -68.083887 kBT
2w2hS_M253.pdb     -74.202666 kBT
2w2hS_M277.pdb     -76.536523 kBT
2w2hS_M393.pdb     -56.202997 kBT
2w2hS_M186.pdb     -51.353317 kBT
2w2hS_M130.pdb     -75.660031 kBT
2w2hS_M264.pdb     -48.927763 kBT
2w2hS_M473.pdb     -64.770587 kBT
2w2hS_M462.pdb     -49.754845 kBT
2w2hS_M2.pdb     -78.179804 kBT
2w2hS_M337.pdb     -65.951059 kBT
2w2hS_M374.pdb     -54.057165 kBT
2w2hS_M468.pdb     -56.769925 kBT
2w2hS_M385.pdb     -63.565954 kBT
2w2hS_M275.pdb     -72.801155 kBT
2w2hS_M124.pdb     -72.005986 kBT
2w2hS_M363.pdb     -69.870336 kBT
2w2hS_M203.pdb     -65.186246 kBT
2w2hS_M47.pdb     -62.575954 kBT
2w2hS_M87.pdb     -54.942098 kBT
2w2hS_M268.pdb     -77.796404 kBT
2w2hS_M485.pdb     -64.589532 kBT
2w2hS_M314.pdb     -64.626953 kBT
2w2hS_M187.pdb     -66.820914 kBT
2w2hS_M116.pdb     -72.020130 kBT
2w2hS_M359.pdb     -64.736505 kBT
2w2hS_M491.pdb     -46.561038 kBT
2w2hS_M454.pdb     -70.388394 kBT
2w2hS_M193.pdb     -79.609727 kBT
2w2hS_M73.pdb     -68.011465 kBT
2w2hS_M262.pdb     -58.692054 kBT
2w2hS_M213.pdb     -67.002464 kBT
2w2hS_M444.pdb     -50.058487 kBT
2w2hS_M386.pdb     -73.952460 kBT
2w2hS_M375.pdb     -70.363305 kBT
2w2hS_M419.pdb     -66.690461 kBT
2w2hS_M245.pdb     -70.864318 kBT
2w2hS_M428.pdb     -72.841775 kBT
2w2hS_M190.pdb     -61.628923 kBT
2w2hS_M123.pdb     -64.106272 kBT
2w2hS_M257.pdb     -75.007036 kBT
2w2hS_M369.pdb     -59.893561 kBT
2w2hS_M169.pdb     -63.649500 kBT
2w2hS_M452.pdb     -45.130688 kBT
2w2hS_M12.pdb     -75.256827 kBT
2w2hS_M74.pdb     -66.203309 kBT
2w2hS_M81.pdb     -70.461664 kBT
2w2hS_M83.pdb     -78.552276 kBT
2w2hS_M280.pdb     -60.173750 kBT
2w2hS_M24.pdb     -73.040489 kBT
2w2hS_M330.pdb     -59.275827 kBT
2w2hS_M174.pdb     -81.366252 kBT
2w2hS_M80.pdb     -80.576898 kBT
2w2hS_M180.pdb     -85.498336 kBT
2w2hS_M282.pdb     -62.712060 kBT
2w2hS_M463.pdb     -59.321628 kBT
2w2hS_M434.pdb     -59.262116 kBT
2w2hS_M192.pdb     -77.621616 kBT
2w2hS_M438.pdb     -50.877042 kBT
2w2hS_M148.pdb     -67.706585 kBT
2w2hS_M255.pdb     -67.843086 kBT
2w2hS_M475.pdb     -75.646755 kBT
2w2hS_M102.pdb     -65.017801 kBT
2w2hS_M319.pdb     -51.269020 kBT
2w2hS_M227.pdb     -68.753140 kBT
2w2hS_M137.pdb     -82.835479 kBT
2w2hS_M461.pdb     -55.077073 kBT
2w2hS_M212.pdb     -66.002854 kBT
2w2hS_M19.pdb     -91.116833 kBT
2w2hS_M48.pdb     -87.296874 kBT
2w2hS_M172.pdb     -67.055162 kBT
2w2hS_M354.pdb     -76.814100 kBT
2w2hS_M224.pdb     -59.406085 kBT
2w2hS_M241.pdb     -63.050756 kBT
2w2hS_M107.pdb     -60.702605 kBT
2w2hS_M281.pdb     -63.524471 kBT
2w2hS_M243.pdb     -62.467521 kBT
2w2hS_M244.pdb     -53.740054 kBT
2w2hS_M239.pdb     -60.172582 kBT
2w2hS_M115.pdb     -64.907001 kBT
2w2hS_M284.pdb     -48.091047 kBT
2w2hS_M153.pdb     -74.678110 kBT
2w2hS_M113.pdb     -70.729681 kBT
2w2hS_M460.pdb     -54.551445 kBT
2w2hS_M63.pdb     -73.866579 kBT
2w2hS_M331.pdb     -52.983530 kBT
2w2hS_M62.pdb     -82.455017 kBT
2w2hS_M219.pdb     -69.381507 kBT
2w2hS_M377.pdb     -59.722885 kBT
2w2hS_M57.pdb     -98.008086 kBT
2w2hS_M289.pdb     -62.991505 kBT
2w2hS_M185.pdb     -65.588242 kBT
2w2hS_M182.pdb     -67.726159 kBT
2w2hS_M188.pdb     -57.470888 kBT
2w2hS_M194.pdb     -63.646502 kBT
2w2hS_M210.pdb     -65.226832 kBT
2w2hS_M78.pdb     -72.433993 kBT
2w2hS_M39.pdb     -75.393470 kBT
2w2hS_M423.pdb     -65.818067 kBT
2w2hS_M336.pdb     -75.736184 kBT
2w2hS_M433.pdb     -58.030251 kBT
2w2hS_M441.pdb     -60.218668 kBT
2w2hS_M42.pdb     -69.785755 kBT
2w2hS_M343.pdb     -68.316270 kBT
2w2hS_M21.pdb     -79.670856 kBT
2w2hS_M220.pdb     -70.983824 kBT
2w2hS_M384.pdb     -54.112227 kBT
2w2hS_M474.pdb     -53.435920 kBT
2w2hS_M23.pdb     -83.684416 kBT
2w2hS_M170.pdb     -59.200064 kBT
2w2hS_M17.pdb     -71.353581 kBT
2w2hS_M418.pdb     -61.396854 kBT
2w2hS_M247.pdb     -75.177845 kBT
2w2hS_M75.pdb     -68.971881 kBT
2w2hS_M274.pdb     -65.220244 kBT
2w2hS_M426.pdb     -41.283691 kBT
2w2hS_M286.pdb     -60.115294 kBT
2w2hS_M163.pdb     -63.274410 kBT
2w2hS_M283.pdb     -61.263489 kBT
2w2hS_M469.pdb     -61.332916 kBT
2w2hS_M36.pdb     -81.808604 kBT
2w2hS_M422.pdb     -75.715011 kBT
2w2hS_M430.pdb     -68.066600 kBT
2w2hS_M158.pdb     -74.735187 kBT
2w2hS_M168.pdb     -76.996515 kBT
2w2hS_M144.pdb     -71.643218 kBT
2w2hS_M439.pdb     -46.434867 kBT
2w2hS_M396.pdb     -56.679912 kBT
2w2hS_M249.pdb     -73.812202 kBT
2w2hS_M250.pdb     -69.784607 kBT
2w2hS_M89.pdb     -77.547414 kBT
2w2hS_M195.pdb     -77.768247 kBT
2w2hS_M197.pdb     -69.898869 kBT
2w2hS_M311.pdb     -73.498656 kBT
2w2hS_M211.pdb     -59.798406 kBT
2w2hS_M456.pdb     -67.741138 kBT
2w2hS_M340.pdb     -71.937780 kBT
2w2hS_M368.pdb     -60.485477 kBT
2w2hS_M60.pdb     -83.319682 kBT
2w2hS_M254.pdb     -75.139267 kBT
2w2hS_M350.pdb     -59.270421 kBT
2w2hS_M411.pdb     -58.808318 kBT
2w2hS_M106.pdb     -60.447609 kBT
2w2hS_M175.pdb     -64.148773 kBT
2w2hS_M342.pdb     -68.093157 kBT
2w2hS_M467.pdb     -67.499186 kBT
2w2hS_M465.pdb     -54.612398 kBT
2w2hS_M156.pdb     -63.704922 kBT
2w2hS_M64.pdb     -74.413694 kBT
2w2hS_M332.pdb     -58.322979 kBT
2w2hS_M270.pdb     -64.542309 kBT
2w2hS_M226.pdb     -71.602948 kBT
2w2hS_M310.pdb     -62.206459 kBT
2w2hS_M321.pdb     -67.955983 kBT
2w2hS_M388.pdb     -41.443573 kBT
2w2hS_M214.pdb     -76.809169 kBT
2w2hS_M256.pdb     -55.455298 kBT
2w2hS_M14.pdb     -79.401726 kBT
2w2hS_M398.pdb     -74.064179 kBT
2w2hS_M356.pdb     -72.853756 kBT
2w2hS_M209.pdb     -73.424396 kBT
2w2hS_M55.pdb     -60.205025 kBT
2w2hS_M400.pdb     -59.185617 kBT
2w2hS_M167.pdb     -74.462792 kBT
2w2hS_M176.pdb     -74.853570 kBT
2w2hS_M344.pdb     -54.562081 kBT
2w2hS_M228.pdb     -65.885412 kBT
2w2hS_M409.pdb     -60.613515 kBT
2w2hS_M54.pdb     -74.998912 kBT
2w2hS_M378.pdb     -68.194323 kBT
2w2hS_M322.pdb     -55.688318 kBT
2w2hS_M122.pdb     -78.057145 kBT
2w2hS_M269.pdb     -65.565765 kBT
2w2hS_M362.pdb     -53.003587 kBT
2w2hS_M451.pdb     -64.901840 kBT
2w2hS_M455.pdb     -73.156989 kBT
2w2hS_M251.pdb     -61.770072 kBT
2w2hS_M93.pdb     -64.513114 kBT
2w2hS_M104.pdb     -77.569133 kBT
2w2hS_M119.pdb     -66.107298 kBT
2w2hS_M477.pdb     -60.792943 kBT
2w2hS_M367.pdb     -52.184080 kBT
2w2hS_M457.pdb     -60.429777 kBT
2w2hS_M304.pdb     -69.131791 kBT
2w2hS_M35.pdb     -74.933551 kBT
2w2hS_M345.pdb     -67.252063 kBT
2w2hS_M351.pdb     -56.058281 kBT
2w2hS_M66.pdb     -75.463030 kBT
2w2hS_M318.pdb     -62.998433 kBT
2w2hS_M68.pdb     -82.373453 kBT
2w2hS_M138.pdb     -52.585131 kBT
2w2hS_M41.pdb     -81.578269 kBT
2w2hS_M133.pdb     -74.529126 kBT
2w2hS_M353.pdb     -69.628427 kBT
2w2hS_M488.pdb     -46.499476 kBT
2w2hS_M315.pdb     -69.772039 kBT
2w2hS_M258.pdb     -62.835890 kBT
2w2hS_M120.pdb     -74.421454 kBT
2w2hS_M401.pdb     -73.929450 kBT
2w2hS_M85.pdb     -72.791789 kBT
2w2hS_M40.pdb     -75.104634 kBT
2w2hS_M410.pdb     -66.717566 kBT
2w2hS_M221.pdb     -56.045517 kBT
2w2hS_M135.pdb     -65.171499 kBT
2w2hS_M470.pdb     -55.565148 kBT
2w2hS_M179.pdb     -47.831653 kBT
2w2hS_M464.pdb     -47.491643 kBT
2w2hS_M218.pdb     -71.582386 kBT
2w2hS_M126.pdb     -75.860864 kBT
2w2hS_M252.pdb     -73.066852 kBT
2w2hS_M76.pdb     -62.392126 kBT
2w2hS_M376.pdb     -84.232885 kBT
2w2hS_M234.pdb     -72.499600 kBT
2w2hS_M204.pdb     -81.158678 kBT
2w2hS_M416.pdb     -67.240908 kBT
2w2hS_M240.pdb     -58.693582 kBT
2w2hS_M164.pdb     -59.866944 kBT
2w2hS_M205.pdb     -69.898650 kBT
2w2hS_M146.pdb     -61.798934 kBT
2w2hS_M301.pdb     -58.904923 kBT
2w2hS_M380.pdb     -62.152551 kBT
2w2hS_M440.pdb     -49.462172 kBT
2w2hS_M296.pdb     -70.652738 kBT
2w2hS_M292.pdb     -75.378557 kBT
2w2hS_M500.pdb     -71.927932 kBT
2w2hS_M300.pdb     -69.095695 kBT
2w2hS_M449.pdb     -60.528910 kBT
2w2hS_M198.pdb     -64.549129 kBT
2w2hS_M139.pdb     -81.078799 kBT
2w2hS_M361.pdb     -56.463261 kBT
2w2hS_M320.pdb     -68.117728 kBT
2w2hS_M381.pdb     -69.182302 kBT
2w2hS_M406.pdb     -55.063869 kBT
2w2hS_M131.pdb     -67.306893 kBT
2w2hS_M424.pdb     -71.498043 kBT
2w2hS_M82.pdb     -72.115598 kBT
2w2hS_M206.pdb     -59.248462 kBT
2w2hS_M317.pdb     -77.982247 kBT
2w2hS_M327.pdb     -67.099445 kBT
